ISBN,書籍簡介
9786263160477,"


	伊瑞涅壯烈的過去讓阿爾蒂震驚不已，

	但阿爾蒂也因此看出了伊瑞涅激昂熱情的本質，

	於是終於完成一幅令人信服的肖像畫。

	雷歐也認同她是個獨當一面的畫家，

	在這幸福至極的時刻，

	未知的惡意正在逐漸朝阿爾蒂逼近⋯⋯

"
9786260058234,"

一下興奮雀躍、一下又不夠從容，你的一切，我全都很喜歡喔！才開始和榛名交往，就演變成三角戀的局面…!?奈緒偶然幫助了籃球社的王牌選手‧律，也因此讓律對她相當在意。而榛名察覺到了律的心意後，態度突然變得很古怪…!?吃了醋的榛名，即將展現出令人意想不到的一面…!?令人臉紅心跳不止的第５集！
                    
"
9789572658161,"

樺倉、小花要結婚啦！驚滔駭浪般的前置作業期間，小花試圖說服樺倉讓她在婚禮上ｃｏｓｐｌａｙ，兩人之間產生嫌隙。且看成海＆宏嵩化身助攻王，正經地開導前輩！阿光同學在似是而非的告白後開始躲著小尚，她究竟能否克服內心自卑，表明自己的心意呢？
                    
"
4718016019874,"


 青春──超微碳酸系!!
 城市漸漸染上不同色彩，呼出的氣息也變成冬日的模樣。
 明年的現在，我和他以及大家，究竟會是什麼樣子呢？
 對於懷抱著這種不安全感的堀，宮村對她說出的話是…？
 超微碳酸系校園生活第９集！

本書特色

 ★日本熱賣超過200萬本暢銷作品。
 ★原作三度OVA化，主角群由松岡禎丞、瀬戸麻沙美、細谷佳正、植田佳奈、島崎信長等人氣聲優擔任。

"
9786260058203,"

該怎麼做才能成為老師的女朋友呢…？成績100分，戀愛卻是0分的愛理。這一生從沒有交過男朋友。傾聽愛理戀愛煩惱的是家庭教師‧霜月老師。「要求對方接受最真實的自己未免太自以為是了」、「不要只會用減法看待他人」等等，為愛理著想，刻意給出了嚴厲的意見，然而愛理卻不小心喜歡上了那樣的霜月老師…!?
                    
"
9786260056810,"

佐藤心晴轉生成為自己國中時妄想的原創故事（黑歷史）世界裡的絕世惡女．依雅娜。為了避免被插上死亡旗，她必須將女主角心晴保護到底！醉心於惡女．依雅娜的青梅竹馬．尤米登場！他「為了依雅娜」而計畫暗殺心晴，但要是心晴受傷，主謀的嫌疑毫無疑問地一定會落到依雅娜頭上！依雅娜有辦法阻止他的犯行嗎…!?在「黑歷史」中保護自己！聲量極高的避免死亡旗愛情喜劇，眾所其待的第２集!!
                    
"
9789865129347,"


 在都市的人氣沙龍裡的新人助手「芙美」。
 每天都接受崇拜的王牌美容師——蒼甫的嚴格指導，
 但是每當被他觸碰到時，都會因為動搖而造成失誤。
 那樣的某一天打烊後，蒼甫給芙美當作洗頭的練習對象，
 芙美卻把大量的水噴向蒼甫！？
 又要挨罵了！芙美這麼想的時候蒼甫就像已經看穿她的心思
 把芙美拉向自己的胸懷…壞心眼地微笑著說
 「為什麼我不能碰妳呢？」
 擾亂芙美內心的指尖，開始撫摸著她的身體各處…

本書特色

 ☆「在渴望我的手指嗎？」被觸碰的地方都熾熱地跳動…
 ☆王牌美容師×樸素女主角沙龍打烊後的祕密課程！！並收錄加畫短篇！！
 ☆限定附錄雙面小卡隨書附贈！！

"
9789572659496,"

小文她那為了償還債務而去遠方工作的父親突然回來了，而曉卻爽快地對小文的父親說出了兩人交往的事。小文的父親在聽到後大發雷霆，反對兩人交往，所以小文和曉暫時分開了。為了讓感到不安的小文放心，曉下定決心去找小文的父親｜｜｜？
                    
"
9789865122126,"


	少女漫畫家男子
	迎接告白的季節。

	「瀨尾結月」終於向熱愛羅萊蕾的「若松博隆」表明真身!!
	哥哥「瀨尾遼介」在與「都由香里」約會時吐露情衷!?
	「佐倉千代」也被「野崎梅太郎」以外的帥哥
	火熱告白…!!(少女遊戲)
	神祕大小姐的登場引爆全新的戀愛笑哏。
	少女漫畫家男子愛情喜劇第11集！

本書特色    

	☆本集爆笑持續延燒，吐槽滿點絲毫不嘴軟！
	☆動畫版在台灣播出引起廣大迴響，收藏漫畫1~11集+官方設定集就趁現在！
	☆本書另有特別版以及會場限定版！

"
9789865247065,"


 ★我喜歡你的小說！就是這句話說不出口。
 ★口是心非的大小姐×陰沉男作家同學，充滿誤會的愛情喜劇，拉開序幕！

 北條麗是嗜好看書的大小姐，
 某一天，她發現她最喜歡的網路小說家是同一屆的野上同學。
 她叫了野上同學出來，想告訴他自己是粉絲，
 沒想到她盛氣凌人的個性讓她弄巧成拙，
 不但說不出真心話，不知道為什麼，
 反而變成在威脅他要幫自己寫戀愛小說!?
 口是心非又盛氣凌人的大小姐，充滿誤會的愛情喜劇！

 ©Nakano 2020 ©Zawa 2020 / KADOKAWA CORPORATION

"
9786260056827,"

女主角‧結理所交往的對象，是祖父、父親都擔任過內閣總理大臣的超菁英家系男孩‧葛城慶一郎。並且，葛城家竟然有男孩子在18歲之前，不得跟女孩子有任何性方面接觸的「家規」!?
                    
"
9786260056155,"

將小系與小真結婚一事公開發表的條件，居然是小系必須拿下具規模的演劇獎!!為此，小系非常努力，但試鏡卻屢屢碰壁。另一方面，小真則是一直被人跟蹤。為了守護兩人的「歸處」，他們該怎麼做才好呢…!?大受歡迎的男女逆轉夫妻故事，劇情有了新發展！
                    
"
9789572660218,"

從遙遠的北方國家被擄走，之後被獻給鄂圖曼帝國皇帝‧蘇萊曼進入後宮的許蕾姆，她的存在到了現在，已經晉升到在後宮擁有影響力的寵妃的地位。但是卻造成她與對這件事充滿危機感的皇帝的忠臣‧易卜拉欣的對立，而關係著皇帝的繼承人之事，更讓緊張感日日漸增…？
                    
"
9789865044350,"

人氣話題偶像節奏遊戲！小說版官方漫畫化！在找到失蹤的萬理之前，百決定加入Ｒｅ:ｖａｌｅ。儘管是個前途多舛的重新出發，千會──…？收錄「百載無窮」第３～６話！描繪Ｒｅ:ｖａｌｅ過去的故事，終於來到感動的尾聲！
                    
"
9786260057022,"


	『人本具有七情六慾，這不也是最有趣的地方嗎？』

	今年28歲，從小被母親遺棄在鄉下，與阿嬤相依為命的織遙，
	既沒談過戀愛也不想結婚，只想與阿嬤過著安穩平凡的日子。

	卻沒想到，一場令人措手不及的意外打破了日常…
	當織遙再次睜開眼睛，卻發現她已經…被宣判死亡—!!!

	更沒想到的是，她還捲入了地府官僚間的糾紛!?
	等待著織遙的…會是一場什麼樣的地府體驗?

"
9786260058166,"

錯綜複雜的戀情中，皆渡終於…從「玩具」升格至「女友」!??的朋友‧國友比呂似乎很喜歡皆渡，而?則是對他提出宣戰布告。然後，皆渡終於對?說出「想當你的女朋友」!?
                    
"
4713006544510,"


	【商品內容】
	● 惡魔的新娘愛藏版 單行本全12集
	● 精裝收納書盒X2
	● 畫卡明信片專屬珍藏夾
	● 經典畫卡明信片套組10入
	● 專屬紙箱封裝出貨

	【商品特色】
	● 單行本全12集全新中文翻譯
	● 美術紙手感封面，書封與書背皆為全新設計
	● 採局部燙銀與上下布幀的獨家專屬設計書盒
	● 重新設計製作惡魔與天使兩款風格畫卡10入組

	故事簡介

	神秘暗黑系少女漫畫巨作經典再現！
	一天，惡魔來迎接他的新娘……
	善與惡、溫柔與殘忍、操縱人心的惡魔所露出的微笑!!

	維納斯與迪莫斯的禁忌之戀激怒了大神…迪莫斯淪為惡魔，而妹妹‧維納斯則被囚禁黃泉之國，身體死去，只能等待腐爛化為沼澤汙泥。為了拯救心愛的維納斯，他跨越了漫長時光，就為找出與維納斯相似的女孩，而他終於──…
	美奈子在夢中遇到一個惡魔．迪莫斯，他告訴美奈子他打從遙遠的往昔就愛著她，要來迎接她，讓她成為他的新娘…原本以為只是夢境的美奈子因而鬆了口氣，沒想到一切才要開始—…

"
9786260057060,"

八雲對我來說， 重要到連我自己都不敢相信。 彩葉挺身阻止了食人（相食）晚宴， 卻因此被右月發現自己的真實身分是“稀有種的純粹者”。 八雲覺得和自己一起行動，會使彩葉暴露在危險中，因而想離開彩葉，但卻…!? 相愛的心意錯身而過，即使如此仍被彼此吸引的兩人。 為了保護彩葉， 八雲選擇的最終決定是——！
                    
"
9786260056162,"

７月，小系的生日，同時也是小真和小系的結婚紀念日即將到來。在無期限分居生活中無法見面的兩人決定互送對方禮物！最後結果會如何呢…!?另一方面，小系的周遭開始出現可疑人物，而且危機正步步逼近她──!?
                    
"
9789865040048,"


	最強女僕久違地再次登場♪
	本書收錄了和「小雪會墮入地獄嗎」的合作短篇外，還有最後一集後美咲和碓冰的蜜月故事等，一共7篇短篇♪

"
9789572665619,"


	該隱全心信賴的利夫竟然是達利拉的成員！一度從悲憤陷入絕望深淵的該隱，為了拯救自己的靈魂，下定決心要和父親‧亞力克西斯進行最終對決！亞力克西斯與耶洗別充滿深沉悲哀的執著與末路終於即將明朗化！該隱與利夫的羈絆，以及他們的命運又會如何？將一切導向滅亡，讓人驚訝的惡靈真面目究竟是……？超級哥德式羅曼史，令人感動的最後一集！

"
9786260056780,"

多年來的祈求，將回歸於你─── 人類與吸血鬼的共存─── 這是樞的心願，也是優姬和零鋪陳至今的道路， 然而這些卻在扭曲的惡意之前脆弱崩塌。 在某方勢力煽動對立的陰謀下，吸血鬼成了人類的「敵人」。 身處在憎惡與絕望之間擺盪的世界，優姬和零該往何處去？ 此外，被寄予虛幻希望的愛與戀的想法是……？
                    
"
9789572664186,"


	以毒藥收藏家出名的年輕伯爵「該隱」，體內流著禁忌的血液，帶有金光的瞳眸就是悖德的證明。即使得不到父母的愛、掙脫不了命運的詛咒，但還有忠心耿耿的執事「利夫」以及同父異母的妹妹「瑪麗薇莎」陪在身邊。濃霧瀰漫的倫敦，已然敗壞的貴族社會，各種離奇的怪異事件，以憎恨為名的獠牙帶著兇殘，朝該隱步步進逼……

"
9789572664193,"


	內容除了有描繪19世紀的霧都倫敦，血腥事件的犯人與可怕「開膛手傑克」的初期長期連載「赤羊的刻印」外，還收錄「鏡中的伊莉莎白」、「克雷歐‧多雷法斯之死」、「扭曲的童話」的該隱系列第２集。熊熊燃燒的憎恨火焰！心意相通的情愛羈絆！毒藥伯爵‧該隱、親妹妹‧瑪麗薇莎、忠心的執事‧利夫、美麗的未婚妻、宿敵耶洗別醫生、命運的戀人，以及祕密結社達利拉的神祕總帥……匯集各個主要人物，精彩內容越來越不容錯過！

"
9786260056797,"

光是心儀的人一句我喜歡妳，就讓整個世界看起來和昨日截然不同。奈緒和榛名終於兩情相悅，成為夢想中的男女朋友，奈緒每天都興奮不己，臉上止不住笑意！然後，兩人迎接了第一次的約會。對於因為玩得太開心而不想分開的奈緒，榛名提出了「要來我家嗎？」的提議…!?初次的戀愛閃閃發亮，幸福滿溢的第４集♥
                    
"
9786260056223,"

還要更深…我想… 進到妳的更深處── 本以為上條同學是個正經的人， 沒想到他的真面目竟然是個超級S的傲慢男公關…！ 只要能在他身邊，當他的玩具就行了… 上條接受做好覺悟的奈津菜， 兩人初次共度了一夜∣…。 因為是單戀，所以不能主動渴望他… 腦袋明明理解，但奈津菜卻還想更加感受他的體溫…!?
                    
"
9786260056230,"

…我明明並不是想這樣恣意妄為地抱她的… 但我停不下來… 本以為上條同學是個正經的人， 沒想到他的真面目竟然是個超級S的傲慢男公關…！ 奈津菜為了能待在上條同學身邊，做好了要成為他玩具的覺悟。 奈津菜被他渴求著，就這麼度過了一夜， 而自那以後，奈津菜就愈來愈受到逐漸變得甜蜜而溫柔的他所吸引∣… 在這樣的情況下，上條同學被喚起了心靈創傷…!? 奈津菜被他抱住，彷彿會壞掉般地被他擁抱著，並持續接受著他的身心… 心靈創傷的真相…以及他的兄長‧有獅生的謎團終於明朗!!
                    
"
9789865129392,"


	在游泳教室上課，生活乏味的ＯＬ杏奈。
	某一天，杏奈不小心溺水，被很受歡迎的尊教練出手相救。
	從那次之後，杏奈一直無法忘懷尊教練手臂的溫度…
	就連在上游泳課時，視線也不自覺地瞟向尊教練。在上課結束後，
	「妳一直在用下流的眼神注視著我的身體吧？」
	只有２個人在游泳池的夜晚，被壓抑的欲望快按捺不住了…！？
	「我已經忍不住了…」性格溫柔的尊教練某個開關被打開了。
	伴隨著濺起的水花，抑制不住地激烈愛撫…
	 
本書特色

	☆想被他那粗壯的手臂擁抱在懷裡！！
	☆健美Body的游泳教練×生活乏味的平凡OL！！並收錄加畫短篇！！

"
9786260055837,"

假日逛街約會，去光顧真那家開的美容院，由衣子和真那兩人交往得很順利♡這時候，班上有個煩惱嘴唇保養的女生…。面對和自己有相同煩惱的女生，由衣子會怎麼做呢⋯!?悸動加速的第8集！
                    
"
9786260055844,"

由衣子把真那拖下水，順利（？）跟相原變成好朋友。她和真那的關係也維持得很穩健♥這時候，由衣子要和雛、滿、夏奈舉辦一場姊妹會…？聚會上會出現什麼對話呢!?充滿怦然心動的第九集！
                    
"
9789865127060,"


粗獷男高中生的日常生活裡，
	充滿愛情表現。


	「瀨尾結月」為了贏得「若松博隆」的信賴，學習愛情表現，
	而「堀政行」與「鹿島遊」之間卻萌生奇妙的愛情表現……
	「野崎梅太郎」以「佐倉千代」為女主角，創作漫畫，
	他心中浮現的情感是！？
	愛意與笑料直線加速的少女漫畫家男子喜劇第12集！

本書特色

	☆本集爆笑持續延燒，吐槽滿點絲毫不嘴軟！
	☆動畫版在台灣播出引起廣大迴響，收藏漫畫1~12集+官方設定集就趁現在！
	☆本書另有特別版！
	 

"
9789572665602,"


	達利拉的司祭長‧卡山卓拉，同時也是戴著慈善家面具的格來斯頓爵士對該隱提出邀請，該隱明知是陷阱仍帶著利夫前往。另一方面，瑪麗和奧斯卡不顧該隱的嚴厲阻止，執意要參加爵士出資的遊樂園開幕活動……達利拉在接連收購的土地上進行建設，黃道12宮天使像與慰靈塔……他們的最終目的究竟為何？即將迎來終幕的哥德式懸疑故事第５集登場。

"
9789864862504,"

「會不知不覺地鑽進小文的棉被裡。」曉和小文交往後，仍會不知不覺地像以前一樣碰觸小文。小文變得比以前更意識到曉的存在。正因為兩人在交往，所以彼此的感情才會擦身而過，他們兩人為此感到煩惱…？也有收錄「白晝的流星」獅子尾的番外篇！
                    
"
4718016013872,"


1.ＡＶ素人女優系列最新作「人妻篇」

2.描述素人的女孩子們在各種原因下成為AV女優的短篇集 

	 

	簡單、短時間、高收入。

	不需要任何資格，也不過問年齡。

	只是要女性的話不管是誰都歡迎。

	在這種魅惑的世界中……這次是「人妻篇」。

	 

	網羅各有特色的人妻們，包括年輕人妻、辣媽人妻、女醫師人妻、貴婦人妻、賺錢養家的人妻、柏青哥人妻、不會拒絕的人妻、不色的人妻、性冷感人妻，甚至還有與「夫妻甜蜜物語」中的女主角優良相似度99%的美女人妻也會登場!?ＡＶ素人女優系列最新作！

	 

	別人的妻子嚐起來最甜蜜❤

"
9789572659502,"


	小文在生日那天和曉一起去遊樂園，享受著禁用敬語的「同齡約會」雖然小文打算實行「生日當天晚上7點7分在摩天輪裡接吻」這個幸運的傳說。但是巧遇到曉在學生時代的女朋友，而且她還做出了令人不安的行為…？曉的過去也明朗化的最高潮的一集！

"
9786263088818,"


 「在喜歡的人眼裡，

 即使平凡無奇也閃閃發亮！」

  

 ✧博客來金石堂排行榜冠軍！黃金組合【灰野都×小杏桃】最新續作！

 ✧情緒共感100%！如巧克力般甜蜜又帶點苦澀的青春校園喜劇♥♥♥

 ✧「喜歡」是能變出勇氣的魔法，劇情邁入高潮，全員皆陷入戀心風暴的第６集──

  

 ▶單行本特別收錄①◀ 豪華全彩雙面拉頁海報

 ▶單行本特別收錄②◀ 加筆附錄漫畫「小小的尹泫（９歲）努力中」

  

 「給予妳勇氣的不是硬幣，而是我。」

 　

 看著追逐王子翰離開的林檎背影，

 心裡莫名有點不舒服的尹泫，

 又因為林檎回頭找他而忍不住向對方撒嬌！？

  

 在施展十倍勇氣魔法的同時，

 兩人的關係似乎也悄悄地產生變化……

 ▶免費試閱◀ www.comicstar.com.tw/comic.php?cid=872

  

"
