ISBN,書籍簡介
4712568602324,"

日本成人漫畫雜誌《Comic 快樂天》超人氣新銳作家 幾花單色 第一本個人漫畫作品集！收錄九篇漫畫短篇，真實描繪現代男女的性態，因寂寞而相濡以沬，男歡女愛的激情模樣。特別推出無修正版本，讓人臉紅心跳的情愛畫面，挑逗讀者每個敏感的神經與感官。心儀的女神在旅館解放的另一面癡態、網聚後零距離的汽車性愛、從咖啡廳的美麗邂逅演變成征服巨乳的契機、與半同居辣妹的大膽騎乘位、用性愛征服童顏女友的芳心、神秘美女誘惑的美臀背後姿、從同事之間的情傷諮詢到直接在包廂相擁求歡…超真實性態不斷撩撥你的想像。
                    
"
9789571080321,"


♥超人氣愛情喜劇手機漫畫，眾所期待的單行本終於出版！！
♥敏感與快感的體驗、危險的調教契約！！
♥1.2集同步上市！！

	貧窮OL真奈剛進公司第一天就捲入這輩子遇到最大的麻煩，
	她居然要以每個月50萬圓的酬勞扮演黑道少主的未婚妻──！？
	真奈看在錢的份上和少主簽下「偽未婚妻契約」，
	但契約內容竟然包括「發生肉體關係」！！！！

	以「扮演未婚妻」的名目，
	每晚被迫接受調教的真奈卻也漸漸地──…！？

"
9789571080338,"


♥超人氣愛情喜劇手機漫畫，眾所期待的單行本終於出版！！
♥敏感與快感的體驗、危險的調教契約！！
♥1.2集同步上市！！

	「我不能再繼續背叛晃太…」
	禁忌的肉體契約將會何去何從！？

	真奈為了得到錢，
	和本堂組的少主‧晃太簽訂了「偽未婚妻契約」。
	為了不讓周遭人起疑，
	晃太每晚都強迫真奈跟他發生「肉體關係」！？
	真奈一開始雖然抗拒，
	但身體卻因為激烈的愛撫而變得越來越敏感──
	但沒想到真奈的祕密卻被晃太的哥哥‧透發現了…！？

"
9789863485308,"

人在巴黎的圓城寺竟然說要保留翡山的求婚…？理央與東雲的穩定關係，眼看就要產生變化。此時，人在京都分公司的小楓，苦於應付周遭的一堆怪胎，而她遠距戀愛的對象奧薗身邊，則出現一位對他虎視眈眈的女性──阿環。
                    
"
9789865043148,"

「一個人真正的愛情只有一次而已｜那就是初戀。」貓實?，18歲。我超級認同。盤算著向這個人告白是否會得到正面回覆的小心機。心想著這個人能不能讓我在朋友面前炫耀的虛榮心…自從談過國中二年級的那場初戀之後，我以為這輩子再也找不到能夠撇除上述那些有著不單純目的的戀情了。直到我在大學開學典禮｜和前男友乾爽悟重逢。那時我想著就算不能復合，至少還能當朋友…結果他完全否認自己有在玩社群網站，是把我當成他的黑歷史了嗎…？那他又為何要吃其他男生的醋，還把我以前送他的禮物掛在房裡…甚至還突然吻我呢…？雖然那些都過去了，但正是因為過去了這麼久，我還是想成為特別的你心中的那個特別的存在…再一次重返初戀!!!
                    
"
9789865042677,"

命運之人是…黑道的王子!?凜花擁有能〝療癒碰觸到的人〞的特殊療癒體質。某天她與難忘的初戀‧柊真再度重逢，但開心的時間很短暫，原來他是流○的兒子!!!而且柊真擁有〝能吸收負能量〞的淨化體質，只要兩人一接觸，柊真就能恢復，兩人發現彼此陷入了「絕對快感」中!!光是和柊真接吻就很令她神魂顛倒了，再加上兩人相配指數超群、舒服到爆……♥♥接下來究竟會變怎樣啊～!?
                    
"
9789865042684,"

對於極道王子，無論身、心都難以抗拒? 柊真具有能吸收人類負面情緒的〝淨化體質〞，而凜花則擁有能療癒碰觸到的人的〝療癒體質〞。凜花治療柊真因幫人淨化而耗損的體力，兩人發展成光是碰觸就能陷入無盡快感中的特殊關係?? 凜花的身、心都已經被柊真緊緊繫住。 不過，凜花才剛開始去柊真經營的公司幫忙，便接二連三發生一連串可疑的事。 那一切全都是組織成員．篠原所設下的陷阱。 而且，篠原甚至還襲擊凜花…!?
                    
"
4711228580958,"


	★「我一直都很想知道接吻的下一步是什麼…。」
	〈與你閃耀地相戀〉杏堂麻衣新作〈甜甜的誘惑陷阱〉同步上市！

	汐梨與瑛人是一對交往三年、感情要好的情侶。
	雖然他們還沒有脫離朋友般相處模式，
	但汐梨卻接收到了來自瑛人的宣言──「我要跟妳上床！」。
	汐梨其實也一直都很想知道接吻的下一步是什麼…
	約定好的紀念日約會…究竟會如何發展呢!?

	除了標題故事『比接吻更甜蜜的事？』
	同時也收錄了其他四篇作品的第一次。

"
9789863569855,"


為了喜歡的人而精心打扮一番＊


	在大阪與家人同住的野野村桃，
	休假日的一大樂趣就是穿上
	從已經去世的奶奶那裡繼承下來的和服出門。
	與暗戀的椎名先生約好要一起去滋賀吃漢堡排的小桃，
	面對即將到來的初次約會，
	每天都緊張不已……

本書特色

	1.平日是普通的OL，假日是穿著和服遊覽關西各地的古典少女！
	跟著和服少女感受純潔單戀的心動❤

	2.書中介紹的各景點都是實際存在的場景喔！
	喜歡和服也喜歡旅遊的你不容錯過！

"
9789572625842,"


	被肉食系魅力吸引的發情戀愛喜劇♥正在與擁有黑豹特性的綾部玲里交往的宇佐見亨，順利縮短兩人之間的距離。但卻碰上新來的猛獸性狼少女伊勢崎蘭花，而且梟性的江田島天乃也決定要認真參戰，讓局面陷入三方混戰？戀情在無法反抗的本能驅使下開始失控，發情系戀愛喜劇完結篇。

"
