ISBN,書籍簡介
9789864942770,"


	以生命之神歐西里斯為首，九柱神各司其職，守護埃及。
	然而在戰爭之神賽特突然殺了兄長歐西里斯，並篡奪其王位後，
	和平的埃及，就此陷入賽特殘暴的血腥統治。
	數百年後，歐西里斯的妻子，魔法之神伊西斯攜子前來復仇，
	眾神趁此機會進行審判，
	希望能藉由王權正統繼承者荷魯斯之手，一舉推翻賽特。

	可未料，以此為始，賽特與荷魯斯這對叔姪的關係，
	便如沙漠的詭譎多變般，走向了炙熱而不可預測的方向──

本書特色

	※姪╳叔，兄╳弟，凡人的道德標準，不適用於神！
	※超乎想像的神話題材，當至高之神陷入如同凡人般的情感執念……故事發展令人不忍釋卷！
	※全彩印刷，完美呈現埃及眾神華麗風貌。
	※第二集收錄實體書Q版彩蛋漫畫〈興夫與孬夫〉。
	※隨書附贈封面圖明信片。

	ENNEAD九柱神 Season 1 Ⅰ 特裝版
	特裝版豪華收錄：
	1.珍藏書盒
	2.《九柱神 Season1 I》1~3集
	3.印刷簽名壓克力畫板  尺寸 14.6cm×20.8cm
	4.九柱神燙金貼紙  尺寸 14cm×18cm
	5.精緻銀箔人物卡  尺寸 7cm×12cm
	6.角色紙立牌  尺寸 10.8cmX18cm

"
9789572669860,"


	最喜歡幻想風格與異世界作品的上班族阿宅‧桃瀨，發現一本自己以前經常翻閱的「召喚魔法大全集」。桃瀨產生懷念的感覺，忍不住廚二心沸騰，當場開始詠唱命運之僕的召喚術。結果突然之間，壁櫥裡出現真正的鬼‧慧葉！雖然桃瀨想要趕快送這個凶神惡煞回去，可是卻因為某種咒語，桃瀨被迫和慧葉開始怪異的同居生活─被看不見的力量連結，鬼Ｘ上班族有點Ｈ的日常ＢＬ！

"
9789864942787,"


	賽特與荷魯斯的三場決鬥，在眾神的見證下，終於展開。
	面對賽特這般強悍無比的戰爭與沙漠之神，
	尚未成神的荷魯斯即便看似居於劣勢，
	但在母親的計畫與暗中協助下，
	他仍舊在艱困的戰鬥之中，有了一搏之力。

	殊不知，一場水中大戰，
	賽特為了獲勝的某個無意之舉，竟撩動了荷魯斯，
	讓他本該堅定的心，動搖了起來……

	本書收錄Q版彩蛋漫畫〈興夫與孬夫〉。

本書特色

	Mojito 備受矚目的埃及神話BL漫，正式授權19禁版本，全球首發！
	叔姪對決，其背後所關聯的，是心思各異的眾神……
	※隨書附贈封面圖明信片

	尚未成神的他，與戰神賽特的決鬥，即將開始！

"
9789572662731,"


	在極彩之家迎來第二年的烏羽，過著無法見到思念的人‧路加的日子。在暑假一起去天藍家的途中，烏羽無法壓抑想見路加的心情，實行了某個計畫，但卻因此發生了意料之外的事件──！純真之心光燦閃耀的感性幻想故事！

"
9786260057008,"

不管是家庭環境或是職場人際關係都不順心的幸志郎， 索性決定要離開這世界。 憐憫他的天使本想使用希望之箭， 卻搞錯射出了「愛之箭」!! 而且和幸志郎一起被愛之箭射中的， 居然是覬覦幸志郎靈魂的惡魔‧靈西！ 好色又大膽的靈西和個性內向的幸志郎， 這樣的兩人在相遇的第一天就上床， 過著恩愛甜蜜的同居生活。 然而，愛之箭的效力是有期限的， 知道這件事的人只有靈西…!?
                    
"
9789572666593,"

內向的冬真和活潑的蒼是一起長大的兒時玩伴。蒼為校園風雲人物，在男女同學之間都人緣極佳，但每次都因為太過黏戀人而慘遭對方提分手，傷心得跑來向冬真哭訴。冬真壓抑不了自己對蒼的情感，兩人便因此展開了一段不為人知的關係──即使兩人有肉體上親密接觸，冬真仍充滿不安全感。同學槙村暗自察覺到了冬真的不安和蒼扭曲的佔有慾，便決定挺身而出！關心我的好友，和總愛以甜言蜜語綁住我的戀人。搖擺在兩人之間，究竟該如何選擇？
                    
"
9789572661727,"

新是個快到３０歲的咖啡廳店長，因為他有超級巨根，所以女生都不願意跟他做愛。有一個一個看起來純真的男大學生清夜來到他的店裡，他自稱是淫魔，希望新提供精液。清夜不害怕新的巨根，讓新很高興，於是新決定和清夜在一起。清夜雖然是淫魔，但非常純真，只在親友的保護下在特種營業裡幫人口交以取得精液，他在吞食了新的精液後覺得特別美味，後來就喜歡上新。
                    
"
9786263046573,"


	即使沒有朋友，即使被家人捨棄，只要有理人同學在就不要緊…

	無可救藥的人渣大我，很親近學園之王兼兒時玩伴的理人，還被他依賴著。
	但是，當他知道被他強迫發生關係的女生是理人的女友之後，理人他們宣稱要對他懲罰，並侵犯了他。
	大我一邊哭一邊不斷呼喊著理人的名字，然後懇求原諒。
	理人看到他這副模樣，笑得很怪異。
	「啊啊，你好可愛…我的大我。」
	學園之王的執著攻X人渣不良少年之歪曲的共依存ＢＬ。

	BL漫畫。
	學園之王的執著攻X人渣不良少年的狂愛！

"
9786260056391,"

超強的〝哥哥〞與超可愛〝弟弟〞之間的結義系恩愛放閃!!就跟女子學校裡有的姐妹制度一樣，不良男子學園裡也有著兄弟制度。不良少年本堂在校園中所向披靡，某天，新生．黑須對他懇求道「請你當我的大哥吧──!!」本堂不由得開始覺得他很可愛……!?
                    
"
9789572664278,"

男性ＢＬ漫畫家雷藏，因為某次巧合，認識了跟他同為男性的ＢＬ漫畫家ＴＯＳ。雷藏人長得帥現實生活也很充實，是個暢銷作家，但他的作品屬於黑暗的流派。另一方面，ＴＯＳ作品是風格甜美的ＢＬ，本人卻有社交障礙。完全相反的兩個人，居然在酒醉之後決定開始交往…期間，ＴＯＳ漸漸流露出他純粹的本質，也讓雷藏掩飾起來的施虐心蠢蠢欲動…？
                    
"
