ISBN,書籍簡介
9789572628034,"

擁有最棒胸部的女生‧春見花羽，過著不斷被熱愛胸部的帥氣女生‧市原千秋搓揉胸部的日本。「……這關係到底是怎麼回事？」，當春見開始有這種煩惱時，便在朋友的建議之下，做出一個決定──有一點白爛的百合喜劇，反擊的第2集☆
                    
"
9789572621448,"


	芽衣為了繼承學院，主動決定跟柚子分手，只留下一封告別信就離開家。透過那封信，柚子第一次發現芽衣心中的許多想法，她雖然尊重芽衣的夢想，卻很煩惱是否該接受分手的提議…。不過，她跟久違的沙羅、妮娜姊妹談過之後，開始察覺自己內心真正的想法。於是，她跟著所有與柚子以及芽衣有關的人們，展開了一項行動…？姊妹的戀情，感動的最後高潮！

"
9789864863471,"


	柚子順利讓芽衣收下了對戒，儘管雙方說好這是「秘密的關係」，但還是讓她對於跟芽衣交往變得很有自信。到了暑假，原本她還很期待要跟芽衣一起度過，結果卻得參加輔導。她在輔導時遇見了３年級的白帆鈴蘭，對方是個眼神犀利又奇怪的人物。雖然柚子以她的開朗跟白帆學姊變成了朋友，不過她卻得知透過敏銳觀察力能夠看出對方秘密的白帆學姊，對芽衣特別感興趣…？柚子為了不讓她看出她們之間的戀人關係，不由得刻意避開芽衣。就在大家一起參加夏日祭典的那一晚，芽衣她…？

"
9789864318797,"


	……說到校外教學，
	就應該要打枕頭戰跟聊感情吧！
	雖然無法在故事當中全部呈現出來，
	希望柚子她們也可以留下更多的回憶……。

	從聖誕節當晚之後，柚子跟芽衣就過著王不見王的日子。
	儘管柚子打算趁著校外教學修補關係，
	第一天卻因為遲到來不及搭上新幹線。

	偶然遇見的美少女‧沙羅讓柚子鼓起了勇氣，
	決定把自己的心意告訴芽衣，
	後來自稱是沙羅妹妹的妮娜卻出現了…？

"
9789865245306,"


	★以國、高中到大學直升的女子學園為舞台，夢幻的少女們「戀愛」與「親吻」的故事。
	★糾葛、決心，不知何時的回憶。由備受期待的新銳漫畫家缶乃獻上的青春群像劇。

	「所謂的愛，並不是彼此凝視，
	而是二人一起看著同樣的方向。」

	過去、現在，度過的每個日子。新銳作者罐乃所編織的青春群像。
	送給大家這齣以國、高中到大學直升的女子學園「清蘭學園」為舞台…
	少女們「戀」與「吻」的物語最新刊。

	©Canno 2018 / KADOKAWA CORPORATION

"
9789865245320,"


 ★以國、高中到大學直升的女子學園為舞台，夢幻的少女們「戀愛」與「親吻」的故事。
 ★糾葛、決心，不知何時的回憶。由備受期待的新銳漫畫家缶乃獻上的青春群像劇。

 「所謂的未來，就在現在。」

 過去、現在，度過的每個日子。新銳作者罐乃所編織的青春群像。
 送給大家這齣以國、高中到大學直升的女子學園「清蘭學園」為舞台…
 少女們「戀」與「吻」的物語完結篇。

 ©Canno 2019 / KADOKAWA CORPORATION

"
9789865245313,"


	★以國、高中到大學直升的女子學園為舞台，夢幻的少女們「戀愛」與「親吻」的故事。
	★糾葛、決心，不知何時的回憶。由備受期待的新銳漫畫家缶乃獻上的青春群像劇。

	「別征服世界，先征服自己吧！」

	過去、現在，度過的每個日子。新銳作者罐乃所編織的青春群像。
	送給大家這齣以國、高中到大學直升的女子學園「清蘭學園」為舞台…
	少女們「戀」與「吻」的物語最新刊。

	©Canno 2018 / KADOKAWA CORPORATION

"
9789572644065,"

「才想說開始看沒多久，結果已經看完了」獻上一定會令您產生這種感想的第１７集！其實大約２分是剛剛好…欸？已經互換了？
                    
"
9789572642023,"

芽衣為了讓學院變得更好而決定成為理事長，柚子為了支持她而暗自決定報考同一所大學。沒有血緣關係的姊妹成了一對戀人，兩人打算好好度過最後一年的高中生活，朋友們看著只是因為對方說「喜歡妳」就開心不已的柚子，還是不由得會吃醋。學妹‧紗耶香身為學生會委員，對於被修改的校規抱持反對態度，她對這兩人不為人知的關係產生了懷疑…？
                    
"
9789572641538,"

隱性御宅族ＯＬ清水真琴在某次參加同人活動時，偶然被同事前川茜發現了…！以此為契機，使原本沒什麼交集的兩人產生了交流，然而在某次的同人活動中，卻發現了前川原本其實是個漫畫家！
                    
"
9789577438423,"


 ★改編動畫2018年10～12月於日本地區播映，大受好評！

 ★作者仲谷鳰榮獲第二十一屆電撃漫畫大賞「金賞」！

 ★清新純愛的百合佳作，淡淡情愫撥動你的心弦！

 ★系列作發行量突破100萬冊！

  

 喜歡上一個人究竟是什麼意思。

 透過沙彌香的告白，

 開始面對其中含義的燈子。

  

 隨後，找不到自己心意去處的侑，

 收到了來自燈子的一封訊息。

 兩人飛奔而出。

 為了抵達重要的人身旁，和她說重要的話。

  

 「七海學姊，我喜歡妳。」

  

 ©Nakatani Nio 2019 / KADOKAWA CORPORATION

"
9789572641965,"

全世界早就引頸期盼，女孩之愛的甜蜜衍生漫畫，正式啟動！柚子跟芽衣歷經重重困難，終於成為一對戀人。兩人以沒有血緣關係的姊妹及戀人的身分，度過高中生活。…但是在好友‧晴美、跟妹妹一樣的茉莉看來，她們似乎都沒有什麼進展…。清純的辣妹跟有些笨拙又面無表情的學生會長。這對不管發生什麼事都分不開的戀人，正一步一步，每天孕育對彼此的愛。
                    
"
9789577434937,"


	★改編動畫2018年10～12月於日本地區播映，大受好評！
	★作者仲谷鳰榮獲第二十一屆電撃漫畫大賞「金賞」！
	★清新純愛的百合佳作，淡淡情愫撥動你的心弦！
	★系列作發行量突破85萬冊！

	燈子開始靠自己的雙腳前進。
	不過，她身旁並沒有侑的位置。
	時光就在彼此沒交集下飛逝，燈子與沙彌香出發前往教育旅行。
	「我要向她表明心意。那個時刻已經到來。」

	©Nakatani Nio 2019 / KADOKAWA CORPORATION

"
9789572628027,"

市原千秋是個如同王子一般帥氣的高中女生，然而其實她……最愛的就是胸部！甚至到了如果不揉胸部就難以維持理智的地步！而做為「理想的胸部」的擁有者，春見花羽只好貢獻出自己的胸部來滿足千秋的欲望……獻給胸部愛好者的輕鬆小品漫畫，現在登場！
                    
"
9789575649388,"


	★改編動畫2018年10月於日本地區播映，大受好評！
	★作者仲谷鳰榮獲第二十一屆電撃漫畫大賞「金賞」！
	★清新純愛的百合佳作，淡淡情愫撥動你的心弦！
	★系列作銷售突破25萬冊！

	學生會公演的舞台劇終於開幕。
	那對燈子來說是她的目的，
	也應是她全力以赴的終點站。
	寄託了侑願望的劇本，將會對燈子的內心帶來什麼變化？
	於是──那個時刻即將來臨。

	「明明之前只有我
	對妳來說是特別的啊！」

	©Nakatani Nio 2018 / KADOKAWA CORPORATION

"
9789575644932,"


	想要改變燈子。
	找到自己願望的侑，
	向小曆提案改變學生會公演劇本。
	但是，侑的願望並不是燈子所期望的……

	「如果變成姊姊是錯誤的，
	那我應該變成什麼呢？」

本書特色

	★改編動畫預定2018年10月於日本地區播映！
	★作者仲谷鳰榮獲第二十一屆電撃漫畫大賞「金賞」！
	★清新純愛的百合佳作，淡淡情愫撥動你的心弦！
	★系列作銷售突破25萬冊！

"
9789578531802,"


	七海燈子的宿願──學生會公演，
	在暑假期間實施了集訓。

	燈子、侑、沙彌香，參加集訓的三個人各懷心事。
	另一方面，燈子長久以來追尋的理想開始產生動搖。

	「侑，妳不要喜歡我哦。」

本書特色

	★作者仲谷鳰榮獲第二十一屆電撃漫畫大賞「金賞」！
	★清新純愛的百合佳作，淡淡情愫撥動你的心弦！
	★系列作銷售突破25萬冊！

"
9789864704477,"


	柚子跟芽衣終於成了一對戀人。就在此時，卻發生柚子的粉絲寧音模仿她將頭髮染成棕色的事件。面對替寧音求情的柚子，晴美的姐姐也是前學生會長美津子，提出一個提議…？

"
9789864738175,"


	七海燈子與小糸侑，
	看著兩人的距離逐漸縮短，佐伯沙彌香愈來愈感到焦慮。

	可是，決定以燈子期望的形式
	陪在她身邊的侑，打算放棄喜歡人──

	「我不會喜歡上任何人，至今如此，以後也是。」

本書特色

	★作者仲谷鳰榮獲第二十一屆電撃漫畫大賞「金賞」！
	★清新純愛的百合佳作，淡淡情愫撥動你的心弦！
	★系列作銷售突破25萬冊！

"
9789864735785,"


	七海燈子成為會長，新的學生會開始運作。

	成為學生會幹部的小糸侑在接受燈子心意的同時，
	對於自己仍舊沒有萌生特別的情感而心懷苦悶。

	「我也想喜歡七海學姊。」
	侑開始產生這個想法，然而──

本書特色

	★作者仲谷鳰榮獲第二十一屆電撃漫畫大賞「金賞」！
	★清新純愛的百合佳作，淡淡情愫撥動你的心弦！

"
9789864732654,"


 一年級新生小糸侑的煩惱是不明白何謂喜歡一個人的心情。
 正好又撞見學生會學姊七海燈子被人告白的一幕。
 燈子坦言不管是誰來告白都無法讓她心跳加快。
 對此深有同感的侑卻在之後從燈子口中聽到意想不到的話。
 「我好像會喜歡上妳。」

本書特色    

 ★作者仲谷鳰榮獲第二十一屆電撃漫畫大賞「金賞」！
 ★清新純愛的百合佳作，淡淡情愫撥動你的心弦！

"
9789864825356,"


	柚子跟芽衣雖然是一對戀人，卻必須在學生會長選舉打對台。在晴美的協助下，順利度過逆境繼續留在學院的柚子，在理事長室跟芽衣接吻，使得彼此的愛意更加深厚。從那一天起，柚子變得更加在意芽衣。身為姊姊想要帶領芽衣，決定第一次主動約她出去。研究了各種戀愛故事，還製作一本秘密筆記打算照著執行，卻被芽衣發現了。筆記被搶走，不知為何芽衣卻表示「明天的約會，我打算按照筆記上所寫的來進行」…？讓沒有血緣關係的姐妹，同時也是一對戀人的心連結起來的第6集！

"
