ISBN,書籍簡介
9789572656716,"

朱里是個花樣年華的高中女生，和媽媽兩人相依為命。可惜，媽媽車禍過世，朱里成了孤苦無依的女孩。每天都在想念媽媽的她，向老天爺許願，希望能有家人作伴，突然間，一股神秘力量將她帶到了異世界！這裡因為遭人類攻擊，岌岌可危，為了扳回劣勢，急需戰力，而異世界魔王的小孩擁有以一擋十的力量，因此，朱里被要求和魔王努力「製造」家人，好對抗人類的百萬大軍…？
                    
"
9789572676158,"


	為了守護席路菲爾德，水灼必須要先取得「魔律式石」，但知道這個道具線索的只有道恩，但沒想到道恩因為山賊團出事而行蹤不明。於是水灼一行人決定先找到山賊團的位置再說，但眼前出現的人是…赤羽龍王…!?

"
9789865246037,"


無信仰心的制裁業火──
 戰爭還會持續下去！

 帝國軍允許法蘭索瓦共和國軍進行「敦克爾克大撤退」。
 為了詢問完全看不清事情嚴重性的帝國軍中央參謀本部的真意，
 譚雅飛向帝國……

本書特色

 ★由人氣小說所改編的漫畫版終於登場！
 ★書名雖有幼女二字，內容卻是不折不扣的硬派軍武科幻戰記作品！
 ★《幼女戰記》漫畫第一部完結！

"
9789865246020,"


絕不容許敵軍的反攻勢力
	成功逃亡國外！


	隱藏於勝利中的影子、尚未點燃的愛國之炎，命運離不開幼女……
	熬過聯合王國的強襲，第二〇三大隊進軍法蘭索瓦共和國首都。
	看到共和國軍過於疲弱的模樣，譚雅認為應當不會發生前世發生過的敦克爾克大撤退……

本書特色

	★由人氣小說所改編的漫畫版終於登場！
	★書名雖有幼女二字，內容卻是不折不扣的硬派軍武科幻戰記作品！
	★畫面的魄力別有一番風格。

"
9789865245269,"


 ★本書為輕小說作家鎌池和馬代表作《魔法禁書目錄》的外傳漫畫作品。
 ★故事以小說版中的人氣角色御坂美琴為主角，但故事線仍與本傳略有重疊。
 ★原作中的男主角上条當麻，在本書中則以配角身分出現。
 ★本書已於日本推出三季動畫版。

 美琴能否展開復仇呢!?
 暴走與覺醒的「監獄解鎖篇」漸趨緊張熱烈!!!

 春暖嬉美等人拿下第二少年院並誘拐了初春，
 其真正的目的是為了讓初春構築世界級的網路系統，
 將隱匿於學園都市的「能力開發」技術公諸於世。
 嬉美的計畫恐怕會讓世界陷入混亂的另一方面，她們一行人經歷過的黑暗過去即將揭曉……

 初春假裝暫時順從嬉美，同時摸索逃脫的計策。
 為了拯救她，佐天入侵少年院，美琴也連忙趕來。
 然而，嬉美身上寄宿著連美琴都能擊退的「龍之力」，
 眾人真的有辦法能夠抵擋得她嗎……!?

 ©KAZUMA KAMACHI / MOTOI FUYUKAWA 2020 / KADOKAWA CORPORATION

"
9789572661284,"

新的魔王誕生了。這代表世界的力量平衡即將產生改變。人類、魔物，以及魔王。利姆路會對他們產生影響，同時也會成為他們注目的存在。這時，利姆路收到了消息，得知盟友維爾德拉復活——
                    
"
9789572657003,"

禪院甚爾降靈後狀況急轉直下，使澀谷事變陷入更大的混亂！冥冥為了追捕夏油而趕往地下月台，七海則是因為輔助監督遭害而感到憤怒——就在一級術師在發動攻勢時，虎杖遇到了九相圖的長男・脹相……！
                    
"
9789572646625,"

來…委身於我……謝爾被趕下伯爵的寶座，目前受到通緝，藏身在劉的鴉片館當中，他提出的反擊手段會是……？藏匿身陷困境的主人，在恣意的男人的菸管前端，灰褐色的霧氣彌漫、彌漫。為您送上全世界最惡毒的執事漫畫…
                    
"
9789572642986,"

高專擊退了特級咒靈・花御等人的來襲，但宿儺的手指和特級咒物「咒胎九相圖」卻被搶走了。九相圖得到新的肉身，誕生了新的威脅——虎杖等人並不知道這件危機，前往擊退「出現在門前的咒靈」，然而……！
                    
"
9789571085807,"


	★《潘朵拉之心》望月淳最新作★
	☆以吸血鬼傳說交織而成的唯美幻想冒險☆

	「──這是，我和瓦尼塔斯相遇。
	我們一同前進，得到很多，也失去很多。
	然後直到…旅途最後，我親手殺死他的故事。」

	■前情提要■
	人類過去曾與吸血鬼共存，但在過去的戰爭結束後，
	大多數的吸血鬼已經都跑到「境界」的另一邊，消失不見了。
	只剩少數混雜在人類世界裡繼續生活。
	而此時，巴黎傳出了疑似吸血鬼的連續殺人案……

	一名叫諾亞的青年，收到老師囑咐，
	準備前往巴黎去調查在吸血鬼童話中出現的「瓦尼塔斯之書」。
	沒想到在空中飛船「空游鯨號」中，意外碰上了發狂的吸血鬼。
	此時出現了一名自稱是「瓦尼塔斯」的黑髮少年，手持藍皮銀鎖的魔導書，
	他說自己是「吸血鬼的醫生」並「醫治」了失控的吸血鬼。
	諾亞為了查明書的真相，便開始與瓦尼塔斯一起行動，潛入花都巴黎的另一面……

	【故事簡介】
	過去曾經讓法國陷入恐慌的「熱沃當野獸」在19世紀復活了。
	瓦尼塔斯等人想要調查「野獸」和吸血鬼之間有何關聯，
	然而聖騎士‧阿斯托福與業火魔女‧貞德卻阻擋在他們面前。
	而在被白雪覆蓋的世界裡大笑的人又是誰───？

"
9789572620366,"


	少年感化院內突然出現咒胎。為了救出留在裡面的人，高專派遣虎杖等一年級生前往！然而，咒胎變化成特級咒靈並發動襲擊，讓他們一行人陷入了危機。虎杖與宿儺交換身體的控制權，想要打倒咒靈。然而……！

"
