ISBN,書籍簡介
9789572608418,"


	前不良少年‧武道，為了拯救遭到黑幫「東京卍會」殺害的最愛前女友‧日向，藉由時空跳躍來到12年前的國中時期！受到總長‧麥基賞識的武道，加入了東卍，回到現代之後，發現過去的好友‧小敦，如今成了東卍的幹部──。

"
9789572608432,"

為了拯救最愛的前女友‧日向，沒用的男人‧武道藉由時空跳躍來到12年前的國中時期。儘管武道試圖阻止龍堅的死，然而清將的刀還是刺向了龍堅！看到龍堅倒地不起，讓武道感到絕望。難道他還是無法改變未來？武道真正的復仇即將展開！
                    
"
9789572608425,"


	原本是不良少年又很沒用的武道，為了拯救遭到黑幫「東京卍會」殺害的最愛前女友‧日向，藉由時空跳躍來到12年前的國中時期！為了阻止東卍與愛美愛主火拼而導致內部分裂，武道試圖說服麥基相信自己的說詞，此時卻遭到愛美愛主的突襲！急轉直下的狀況、接連改變的過去，都讓武道不知所措！而凶刃正逐步朝著龍堅逼近！

"
9789572666104,"


	為了追尋自己勾勒的理想鄉，哈茲企圖完成「宇宙種子」並藉此打倒全王。第７宇宙最強拍檔，悟空與貝吉達加上特南克斯，挺身對抗星球消滅的危機！他們能否保護全世界？宇宙爭亂篇隆重完結！

"
9789572669495,"

不死曾經跟敲門者戰鬥，好不容易建立了穩定且和平的世界。不死逐漸適應變化的日常生活，附身在人類體內的觀察者突然出現在他面前。觀察者說敲門者正蔓延到世界各地，不死才明白當初與敲門者的戰鬥在他不知情的情況下已經敗北。儘管不死對此感到失望卻仍舊決定戰鬥，與寄生在某位少女‧三森體內的敲門者進行對峙。三森「哥哥」弘敏的出現，讓事情急速發展──。當世界的「和平」假面具被揭穿，這一次不死能夠帶來真正的安穩嗎？這是一部關於求生意志的故事。
                    
"
9789572669211,"


	神鳥時鷺失蹤了，時空巡邏隊‧特南克斯與小潘奉時之界王神的命令去尋找，並在找到的同時又再次碰上另一個次元的悟空與貝吉達，同時12宇宙的破壞神們一齊現身，聲稱那是「毀滅宇宙的災厄之鳥」便要將地球連同時鷺一起破壞。悟空出手阻止，與破壞神比魯斯打了起來，此時宇宙之間出現異狀，伏尤帶著真正的災厄之鳥現身了……！

"
9789572662663,"

在一切都改變之後的和平時代，不死與叫做祐樹的國中生成了好朋友。他將過去的同伴都集合在祐樹家，再次開始過著安穩的時刻。但是，他與哈亞瑟一族後代的少女──水葉相遇進而不斷交流之下，原本平靜的日常逐漸有了變化。水葉跟母親之間產生了芥蒂，讓她在學校與家庭備感孤獨而渴求得到愛。扭曲的心態終於導致生活出現問題──。不死原本所建構的「和平」難道只是個幻影而已嗎？這是尋求愛的故事。
                    
"
9789864866441,"


	在一個人的身體中，約有60兆個細胞，每種細胞都有各自的任務。某一天，一個普通的細胞在路上救了幾個細菌小孩，照理應該要把細菌交給免疫系統消滅，但他卻對那些小孩子產生了同情心，打算要送他們回家。但想不到那些細菌的真實身份居然是……

"
4710601043035,"


	來自未來的特南克斯，因為時空亂流又再度回到現代，然而他居然被捉走了！悟空與貝吉達在神秘人物伏尤的帶領下，來到據說困住特南克斯的地方‧監獄行星。想不到這卻是一個陷阱，在這裡等著他們的竟是一場規模浩大的實驗！而不僅如此，悟空與貝吉達也將與意外的人──另一個時空的自己──見面？一場牽扯到多重宇宙的超時空大冒險將正式開始！

"
9789864823321,"


	在一個人的身體中，約有60兆個細胞，每種細胞都有各自的任務……常常遇到細菌攻擊的紅血球小姐，這次遇到了金黃色葡萄球菌來襲！這次連白血球也被打敗了，幸好神秘人物「單核球」現身擊敗了金黃色葡萄球菌，而「單核球」的真實身份居然是……！

"
