ISBN,書籍簡介
9786263048133,"


	2003年，地球的科技已臻至顛峰，不僅機器人隨處可見，連機器人專屬的法律都制定了。只不過其外表仍可輕易地就看出來。這時，一件事改變了人類對機器人的認知，那就是小金剛的誕生。

	究其原，是因為一件意外事故致使一名小孩身亡，他的父親天馬博士由於悲傷過度，想出了令孩子活過來的法子──即照他兒子的樣子製作一個機器人，一個科學的最高藝術品。

	小金剛的製造成功著實讓天馬博士喜悅不已，待小金剛猶如自己的兒子般寵愛著，然而時間一久，他卻開始嫌隙起小金剛來了……

本書特色

	2003年，ATOM誕生！！
	手塚治虫筆下不朽的機械人名作！愛與感動仍將延續……
	 

"
9789865126216,"


 模仿貴族生活的

 無臉家族──「闇影」。

 做為另一張「臉」，

 服侍闇影的「活人偶」。

  

 這座無人到訪的奇幻宅邸裡，

 遍佈少女們的柔聲與斑斑煤汙──

  

本書特色

  

 ★本作在2020年10月16日宣布動畫化！！！

 ★侍奉於闇影家族的活人偶‧艾蜜莉可，將一步步揭開隱藏在宅邸中的無數祕密...

 ★另有隨書附錄「萬年曆小卡」！

  

"
9786263035102,"


 ★本作在2020年10月16日宣布動畫化!!!
 ★侍奉於闇影家族的活人偶‧艾蜜莉可，將一步步揭開隱藏在宅邸中的無數祕密...
  
 「亡靈騷動」落幕!!

 隱藏在真相
 背後的是如煤汙般
 晦暗的悲傷往事。

 事件的傷疤尚未癒合，
 大人的陰謀已在蠢蠢欲動──

"
9786263160330,"


 先前引發太陽閃焰的黑子，
 又開始活動。
 再過幾天，規模超越上次、
 輻射量足以致命的太陽閃焰，
 恐有衝著月球而來之虞。

 六太所屬的「ＪＯＫＥＲＳ」小組
 不得不在有限的時間內，
 分頭進行返航的準備
 以及天文台的工程。

 關關難過關關過，
 處理麻煩事越來越上手的他們，
 卻不知道即將面臨月球任務以來
 最大的危機──

"
9786263032095,"


 為找出「亡靈騷動」的真凶，
 同期的四對主僕各自奔走。

 尋求真相的眾人，
 在過程中意外發現
 蔓延於宅邸的祕密。

 在影宅中，連生命價值也扭曲變形──

本書特色    

 ★本作在2020年10月16日宣布動畫化！！！
 ★侍奉於闇影家族的活人偶‧艾蜜莉可，將一步步揭開隱藏在宅邸中的無數祕密...
 ★另有隨書附錄「萬年曆小卡」！

"
9789571097343,"


 太陽閃焰引發月球基地

 一連串停電災難，

 六太所屬的

 「ＪＯＫＥＲＳ」小組克服之後，

 旋即和新機器人

 投入建造「莎朗天文台」。

  

 另一方面，

 成功在ＩＳＳ太空站上

 實驗ＡＬＳ蛋白質結晶化的芹夏，

 將這個偉大的研究成果託付給補給船「ＦＵＪＩ」。

  

 儘管一位在月球，一位在ＩＳＳ，

 六太和芹夏對地球上的人依舊充滿想念。

 　

 完成太空任務的芹夏，

 返航地球的這天

 終於到來──

  

"
9789865126988,"


	為證明存在價值，

	五對新人參加了

	「見面式」。

	 

	對他們品頭論足的

	視線逐漸增加，

	「看不見的表情」開始綻放──

	 

本書特色

	 

	★本作在2020年10月16日宣布動畫化！！！

	★侍奉於闇影家族的活人偶‧艾蜜莉可，將一步步揭開隱藏在宅邸中的無數祕密...

	★另有隨書附錄「萬年曆小卡」！

	 

"
9789862511336,"

科幻題材。地球在遭到白色怪異體「奇居子」的破壞後，人類只好生活在巨大太空船裡。主角是屬於低階層的人民，卻意外成為戰鬥機的駕駛員，讓他的生活從此有了改變……太陽系遭到奇居子破壞之後過了千年。巨大播種船．賽德尼亞，為了維持人類的繁衍而航行於太空中。在賽德尼亞最底層長大的少年．谷風長道，成為衛人訓練生的他，被允許駕駛著雖是舊型，但歷史悠久的名機繼衛。長道賭上性命的戰爭，現在即將揭開序幕！
                    
"
9789865246075,"


	★動畫版導演今西隆志和鋼彈改編漫畫名家夏元雅人攜手合作！
	★堪稱「 0083」 ORIGIN的經典舊作新詮釋！
	★星塵作戰面臨最大的障礙！

	卡多仍然駕駛諾耶．吉爾奮戰不懈!!
	弘與卡多的完全對決!?男人們在墜落的殖民衛星中怒號著！
	 

"
9789865498870,"


 通過「見面式」的新成人們在宴會上品嚐「咖啡」。

 於是，眼中充滿喜悅與痴狂的少年少女們，
 仰望偉大的爺爺而激動落淚。

 影宅是囚禁眾人的「牢獄」──…？

本書特色

 ★本作在2020年10月16日宣布動畫化！！！
 ★侍奉於闇影家族的活人偶‧艾蜜莉可，將一步步揭開隱藏在宅邸中的無數祕密...
 ★另有隨書附錄「萬年曆小卡」！

"
