ISBN,書籍簡介
9789865247454,"


	★超人氣作品《文豪Stray dogs》首部電影漫畫版登場！
	★原作者朝霧カフカ盛讚！「沒看過這本，別說你看過文豪Stray dogs！」
	★在濃霧裡，面對的是另一個自己……？迷惘、掙扎、吶喊──都是因為我想活下來。

	因為「龍的氣息」，異能者們與從身上分離的異能戰鬥。
	掌握到「只要打倒分離出去的異能，能力就會回來」這項情報，
	敦、鏡花、芥川各自擊敗自己的異能。
	然而不知為何只有敦就算打倒白虎，異能也沒有恢復，讓他苦惱不已。
	這時，澁澤在費奧多爾的策略下體驗到死亡。
	每個人打開各自抵達的記憶門扉，「失去的記憶」就此復甦……
	《文豪Stray dogs》電影版漫畫，開始邁向尾聲──

	©Gun_Zi 2021
	©2018 Kafka Asagiri,Sango Harukawa/KADOKAWA/Bungo StrayDogs DA Partners
	KADOKAWA CORPORATION

"
9789572662533,"

小樽的治安惡化，大多數居民還擁有名為雅桐刀的刀械。在劍心和左之助追查這些刀械的總管・雅桐當中，明日郎等人巧遇雅桐，並提出發財的門路相約見面。劍心來到見面的場地竟大吃一驚。雅桐的真實身份是逃獄犯，並因為其惡行惡狀而被劍心教訓的男人！
                    
"
9789861013824,"

懷著摯誠理想守護人們的劍心，以及曾經風靡無數讀者的精彩故事，現在以「完全版」的型態推出中文版──無與倫比的典藏版本，內容包含9大特色（1）彩頁完整重現〈第1卷收錄高達26頁〉。（2）封面全部重新繪製。（3）各卷新增卷頭彩繪新稿。（4）各卷加映人物設計新畫稿。（5）奇幻造型大師雨宮慶太人名提字加持。（6）「時事隨想拾遺」別冊特典〈第17卷、19卷初版限量附錄〉。（7）「設定秘話拾遺」別冊特典〈第18卷、20卷初版限量附錄〉。（8）大開本、大畫面，內文全新校訂編排。（9）高級印刷用紙質感百分百。
                    
"
9789861013763,"

懷著摯誠理想守護人們的劍心，以及曾經風靡無數讀者的精彩故事，現在以「完全版」的型態推出中文版──無與倫比的典藏版本，內容包含9大特色（1）彩頁完整重現〈第1卷收錄高達26頁〉。（2）封面全部重新繪製。（3）各卷新增卷頭彩繪新稿。（4）各卷加映人物設計新畫稿。（5）奇幻造型大師雨宮慶太人名提字加持。（6）「時事隨想拾遺」別冊特典〈第17卷、19卷初版限量附錄〉。（7）「設定秘話拾遺」別冊特典〈第18卷、20卷初版限量附錄〉。（8）大開本、大畫面，內文全新校訂編排。（9）高級印刷用紙質感百分百。
                    
"
9789869553919,"


	我的父親葉宏甲創造了60年前本土漫畫英雄諸葛四郎，實現了他的漫畫夢，把一生貢獻給了台灣本土漫畫。 

	我認為雖然大鬥雙假面是他的代表作，但大破山嶽城確實是他的登峰之作，是最好看的諸葛四郎漫畫。大破山嶽城是諸葛四郎系列中第一次四郎真平必須從重大的挫折中反敗為勝。在患難失敗中情義相挺，勇敢求勝，深深地牽動那世代讀者每周追劇的心。這漫畫代表了那個世代的英雄夢。 

	復刻版的努力是為了完整保留這台灣本土漫畫的社會資產。因為當時大破山嶽城漫畫周刊連戴有1824頁，但後來各種再版和單行本卻只有1008到1440頁而已，原版的漫畫周刊失散在民間的收藏家手中。我們這次復刻版製作，不僅走遍台灣找尋收藏家共襄盛舉提供掃描檔案，更挑戰修圖和印刷的技術，採用當年山城風雲豪華版單行本的格式，再加上收集到漫畫週刊1776頁(97.5%), 並且分享葉宏甲經典漫畫刊頭，絶對展現60年前的懷舊風華。 

	大破山獄城復刻版將在2018年5月12日配合紙風車舞台劇演出同時推出。全套十冊，定價1500元，特價1200元。

"
9789863322887,"

以被丟下的菸草為線索而來到赤鼈甲的劍心，與前新撰組成員，同時也是現任警官的齋藤一重逢了。另一方面，憎恨劍心的觀柳，派出以前在新撰組人稱「劊子手刃衛」的男人擔任刺殺劍心的新刺客，以神谷道場為目標，開始行動…！
                    
"
9789861013794,"

懷著摯誠理想守護人們的劍心，以及曾經風靡無數讀者的精彩故事，現在以「完全版」的型態推出中文版──無與倫比的典藏版本，內容包含9大特色（1）彩頁完整重現〈第1卷收錄高達26頁〉。（2）封面全部重新繪製。（3）各卷新增卷頭彩繪新稿。（4）各卷加映人物設計新畫稿。（5）奇幻造型大師雨宮慶太人名提字加持。（6）「時事隨想拾遺」別冊特典〈第17卷、19卷初版限量附錄〉。（7）「設定秘話拾遺」別冊特典〈第18卷、20卷初版限量附錄〉。（8）大開本、大畫面，內文全新校訂編排。（9）高級印刷用紙質感百分百。
                    
"
9789861013749,"

懷著摯誠理想守護人們的劍心，以及曾經風靡無數讀者的精彩故事，現在以「完全版」的型態推出中文版──無與倫比的典藏版本，內容包含9大特色（1）	彩頁完整重現〈第1卷收錄高達26頁〉。（2）	封面全部重新繪製。（3）	各卷新增卷頭彩繪新稿。（4）	各卷加映人物設計新畫稿。（5）	奇幻造型大師雨宮慶太人名提字加持。（6）「時事隨想拾遺」別冊特典〈第17卷、19卷初版限量附錄〉。（7）「設定秘話拾遺」別冊特典〈第18卷、20卷初版限量附錄〉。（8）大開本、大畫面，內文全新校訂編排。（9）高級印刷用紙質感百分百。
                    
"
9789863322870,"

內容分為兩部分，包括「神劍闖江湖－電影版－」，以及在本傳故事開始前所發生的前傳「第零幕」。電影版與本傳為平行世界，劇情描述在明治時代，隱姓埋名的劍心旅行到東京時因為一場劍術競技表演而認識小薰，並幫助她保護了道場，之後又遇見左之助等等。第零幕則是描述劍心在橫濱遇見了一個外國人醫生，被捲入陰謀而與來自外國的劍術高手戰鬥，最後再度踏上旅程。
                    
"
9789861013756,"

懷著摯誠理想守護人們的劍心，以及曾經風靡無數讀者的精彩故事，現在以「完全版」的型態推出中文版──無與倫比的典藏版本，內容包含9大特色（1）彩頁完整重現〈第1卷收錄高達26頁〉。（2）封面全部重新繪製。（3）各卷新增卷頭彩繪新稿。（4）各卷加映人物設計新畫稿。（5）奇幻造型大師雨宮慶太人名提字加持。（6）「時事隨想拾遺」別冊特典〈第17卷、19卷初版限量附錄〉。（7）「設定秘話拾遺」別冊特典〈第18卷、20卷初版限量附錄〉。（8）大開本、大畫面，內文全新校訂編排。（9）高級印刷用紙質感百分百。
                    
"
9789865128623,"


	正統續篇重出江湖!!

	為了保護龍馬，
	我將會永生不死。

本書特色

	一八六四年，在京都等待萬次的是擁有「逸番隊」這個暗殺部隊的新選組。土佐的岡田以藏為了救武市瑞山，自願歸入新選組的麾下。另一方面，壤夷志士們為了起義而在某間旅館聚會討論，身為桂小五郎保鑣的萬次也參與其中，然而突然遭新選組近藤勇突襲。

"
9789571093666,"


	為劍而活，化為惡鬼。生於大地，死於大地。每個人在人生中都要經歷的孤獨鍛鍊，武藏運用在今生的劍術，秀作則是將希望寄託在傳給下一代的土地上。

	 

	無法相互理解的兩人，藉由弱小的稻穗，人生有了交會，在心中結下出乎意料的果實。

	 

"
9789572653166,"

齋藤依劍客兵器的要求所召集的「強者」，竟是昔日宿敵志志雄一派・十本刀的倖存者。劍心與齋藤將「強者」帶至現場準備審問凍座，然而凍座卻要求與劍心交手，並表示在交手期間進行審問會無所不答，劍心與能在人的戰鬥當中看見其本質化為形體的劍客兵器・凍座之間的戰鬥會如何發展？
                    
"
4711228582600,"


	以最精彩的日本戰國末期到德川初期為背景，寫出日本劍豪宮本武藏波瀾壯闊的一生傳奇！
	結合漫畫巨星井上雄彥的圖象、近代文豪吉川英治的劇情、名書法家黃明勝的題字，凝聚出的世紀精選。

"
9789577434760,"


	★超人氣作品《文豪Stray dogs》首部電影漫畫版登場！
	★原作者朝霧カフカ盛讚！「沒看過這本，別說你看過文豪Stray dogs！」
	★在濃霧裡，面對的是另一個自己……？迷惘、掙扎、吶喊──都是因為我想活下來。

	「難道你認為世上真有能夠戰勝自己異能的人嗎？」
	在濃霧包圍的橫濱當中，異能者們被迫與自己的異能一戰──
	儘管鏡花已經下定決心要打倒母親的仇敵夜叉白雪，
	卻又對於一旦將其打倒，自己便會再度和夜叉合為一體而猶疑。
	而打從心底期望與羅生門一戰的芥川，
	面對這個絕佳的好機會，他靜靜燃起鬥志。
	另一方面，遲疑著與月下獸正面交鋒的敦則是……
	超人氣異能動作戰鬥作品《文豪Stray dogs》電影版漫畫第二集登場！

	©Gun_Zi 2019
	©2018 Kafka ASAGIRI,Sango HARUKAWA/KADOKAWA/Bungo StrayDogs DA Partners
	KADOKAWA CORPORATION

"
4711228581757,"


	武藏和胤舜再次對峙，無法逃離死亡的恐懼。
	當武藏將這種感覺收藏到內心時，
	他的心靈、肉體，產生了某種變化。

"
4711228581382,"


	為了挑戰劍聖柳生石舟齋，宮本武藏與柳生四高弟展開劍道的討論，卻因為城太郎的誤闖而演變成武藏與四高弟的決戰，到底勝負如何？與此同時，武藏與阿通的重逢，有會對柳生之戰造成什麼影響呢？

"
4711228580989,"


 以最精彩的日本戰國末期到德川初期為背景，寫出日本劍豪宮本武藏波瀾壯闊的一生傳奇！結合漫畫巨星井上雄彥的圖象、近代文豪吉川英治的劇情、名書法家黃明勝的題字，凝聚出的世紀精選。

"
4711228580552,"


 祇園藤次出現在武藏與阿嚴和尚決鬥後，想與武藏一決勝負。
 當決鬥正激烈時，寶藏院的第二代－胤舜打斷了他們，
 並要求與武藏決鬥幫阿嚴和尚報仇。
 武藏能夠順利的突破重圍，成為天下第一嗎？

"
