ISBN,書籍簡介
9789572657560,"

就在功太郎與百太郎打得難分難捨之際，應援團團長鹿斗典善及時趕到並打斷了兩人的對決。鹿斗帶著眾人來到自己的宅邸，表示願意賠償功太郎的損失，但條件是他要在全國高中格鬥運動大賽獲得優勝。向來我行我素的功太郎當然不肯同意，就在一行人準備要離開鹿斗宅邸時，卻碰巧撞見了與鹿斗的漂亮孫女由利榮正在交往，前來懇請鹿斗允許兩人婚約的狂死郎－－
                    
"
9789572653227,"

暗黑魔界復活？失去時之界王神的特南克斯等時空巡邏隊們，跟著多米格拉殺進敵方根據地！時空巡邏隊VS暗黑帝國軍！爭奪「時間」的光與闇爆發衝突，暗黑魔界任務的最終一戰，結果將是如何…？
                    
"
9789573430766,"

豬熊柔，一個嚮往平凡生活的天才女柔道家，在其命運的捉弄下，卻一步一步走向柔道的不歸路。
                    
"
9789572667767,"

岡薩雷斯與千堂分出勝負之後，接下來的壓軸大賽就是里卡路德・瑪爾濟斯vs.比利・馬卡藍，雙方皆是不同組織的拳王。比賽結束後，一步返回日本，卻意外得知鷹村的下一場比賽已有安排。這次鷹村要挑戰的是WBC的S・中量級拳王，基斯・多拉貢！
                    
"
9789572659267,"

校代表選拔賽終於到來，奪冠呼聲高的極端流隊在功太郎的帶領下以挖苦嘲笑的方式企圖打擊第一場對戰對手第三空手道部的士氣。但天光寺的一個質問立刻讓功太郎慌了手腳｜｜沒有顧問老師的社團無法參加公開比賽！一行人在短短的開賽前夕茫然地尋找著可以擔任顧問的老師但苦無成果，最後在逼不得已的狀況下，麻由美下跪懇求剛剛才被功太郎嘲笑的第三空手道部老師能否兼任顧問｜｜。
                    
"
9786263160415,"


★日本亞馬遜平均4.7顆星好評，用經典風格締造的全新思春期同居神話！
★您多久沒有閱讀到不講熱血，深刻著墨親情的少年漫畫了呢？

 劍道流派「花形流」自古流傳著一個傳說，延續至今：
 「當天之劍與地之劍交會之際，龍將會從天而降…」

 女國中生劍道手柊千繪，突然現身在自稱硬派金髮不良少年中學生的須崎愛一郎面前，
 目的是要到須崎家的劍道場踢館。
 原因是須崎家的流派「花形流」因為身為傳人的愛一郎父親失蹤，而開始沒落。
 千繪所屬的分家「柊花形流」為了斬斷與宗家的關係，要求絕一勝負。
 對決的過程中，愛一郎意外獲得了一把神祕的劍，情急之下拿來格檔。
 當兩人的劍互相抗拮時，一道雷光從天而降。煙消雲散後，兩把劍消失，而地上竟出現了一個小嬰兒！
 而且只要兩人吵架，嬰兒就會開始大哭大鬧，兩人為了嬰兒只好停戰。
 然而事情不只這麼簡單，這位嬰兒不但會漂浮，還會瞬間移動。
 被超能力嬰兒搞到人仰馬翻的同時，竟又出現了敵對勢力，覬覦嬰兒的神祕力量！

 一邊是目中無人，自稱孤狼的不良少年，
 一邊是從小鑽研劍道，視愛劍為愛人的劍道狂人。
 面對突然出現的超能力嬰兒，兩人身邊將會出現怎麼樣的大變化！？

"
9789572641439,"

藉由審神者之力而得以顯現的付喪神‧刀劍男士們，回溯至過去的時代，為打倒妄想改變歷史的時間溯行軍而揮舞自身的刀刃。第一部隊也順利完成任務，回歸本丸。另一方面，不斷自問守護歷史意義的和泉守，最後得出了一個答案。第二部隊接下審神者交代的新任務，來到慶應二年的京都‧伏見│││
                    
"
9789865485337,"


其為企業的代理戰爭


	56歲上班族‧山下一夫突然受到公司會長傳喚！
	他知道的是日本經濟的「地下」情況。
	以受到企業雇用鬥技者的勝負來決定生意的異種格鬥競技。
	其名為──「拳願競技」。
	一夫被任命為神祕鬥技者‧十鬼蛇王馬的照顧人員後，
	參加了爭奪拳願會會長寶座，決定日本第一〈企業〉與〈鬥技者〉的
	「拳願絕命淘汰賽」。

	淘汰賽複賽結束後，
	東洋電力的速水綁架了各社長，
	甚至還以雇用的武裝集團包圍競技場，
	展開了他的政變行動。

	在複賽時身受重傷，整個呈現昏睡狀態的王馬，
	以及在一旁看守著他的山下一夫，
	他們又該如何面對這場由手持武器的恐佈分子VS.鬥技者的戰鬥呢？而這場政變的的結果又是…！！

本書特色

	☆期待的動畫化終於在2019年7月於netflix獨占撥出，和漫畫不同呈現方式的打擊感和動作，喜歡拳願阿修羅的讀者也請多關注動畫喔！

日本讀者絕讚好評！

	「好久沒有看到這麼令人激昂的格鬥漫畫了。」

	「本來以為是很常見的類型，結果卻是至今從未看過的漫畫！」

	故事各有特色的人物與紮實的美式畫風。

"
9789572662564,"

得到新力量的貝吉達，回到地球後正式展開復仇戰！他那靈魂強制分離的招式，讓莫洛的力量逐漸分離。然而莫洛也保留了壓箱絕技……不只有73的備份，還有更可怕的絕招……？
                    
"
9789572619018,"


	決定宇宙能否生存的「力之大會」終於開始！悟空所在的第７宇宙，在弗力札加入後，也參與這場大會！就在悟空等強者大亂鬥的同時，弗力札卻與弗洛斯特接觸……？

"
