ISBN,書籍簡介
9786263032163,"


 ●田村由美老師最新，2019漫畫大賞 第2名——
 讓事件本質顯現出來的男人久能 整，登場!!!!!
  
 針對廣島的狩集家歷代不斷上演遺產爭奪戰一事，
 一行人循線調查並逐漸揭露過往，
 有幕後黑手存在的事實亦隨之浮現。
 不僅如此，更得知汐路等人的父母輩
 意料外的深埋心思!?
 廣島篇帶著追加篇幅邁入精彩結局！
 加上新篇章揭幕，不可錯過的第四集！

"
9789572644027,"

魔犬森林殺人事件 等以犯人們為主角的衍生作品也終於進入「case」系列了！在第7集裡，金田一的好朋友、辛勤工作的女傭，還有哥哥遇害的妹妹將各自帶著傾盡全力的詭計登場…！刻耳柏洛斯、指揮家、Scorpion……請親眼見證被冠以如此名號的犯人們與名偵探之間的死鬥吧！
                    
"
9789864866014,"


	殺人犯是夏洛克‧福爾摩斯──因為無辜背上殺害錐伯伯爵的黑鍋，夏洛克遭到警察廳逮捕並且拘留。為了揭發背後主使的「某人」，夏洛克動身準備查清事件真相。照亮大英帝國黑暗的名偵探的誕生，令威廉的「計畫」進入新局面──！

"
9789572649282,"

貓貓雖然一度遭後宮解僱，卻又以直接受壬氏僱用的形式進入外廷任職。而帶著刺激她好奇心的事件找上門來請求貓貓解謎、甚至附帶麻煩委託的情況也更勝於以往。名偵探˙貓貓誕生｜｜……？新章揭開序幕的第五集登場！
                    
"
9789865247102,"


	★當名偵探高中生變成大叔，曾經的風光只剩下時代的眼淚!?
	★偵探大叔遇上少根筋的現役女高中生助手，滿滿戳中你的笑點！

	前名偵探──名雲桂一郎
	因為大腦老化，
	連委託人拜訪的日子都不記得了。
	武鬥派女高中生助手──真白
	非常嚮往遊牧民族般的結婚生活。
	某天，兩人接到電視節目的邀約，
	名雲在獎金的誘惑之下決定參加，
	但表面上是純情派，私底下卻超級腹黑的
	偶像七里里卻也參加了同樣的電視節目──
	這場勾心鬥角的比賽究竟是誰會勝出呢!?

	©Masakuni Igarashi 2020 / KADOKAWA CORPORATION

"
9789865247089,"


	★當名偵探高中生變成大叔，曾經的風光只剩下時代的眼淚!?
	★偵探大叔遇上少根筋的現役女高中生助手，滿滿戳中你的笑點！

	前名偵探──名雲桂一郎
	因為五十肩而抬不起手臂，
	連要去現場的計程車都招不到。
	女高中生──真白穿上黑色的全身泳衣，
	集眾人的好奇目光於一身。
	經歷「偷拍狂逮捕事件」與
	「真白的手機失竊事件」，
	兩人過著忙於工作的日子，
	某天卻遇到兩組新的怪盜團體
	同時潛入美術館──!?

	©Masakuni Igarashi 2020 / KADOKAWA CORPORATION

"
9789865498894,"


 赤井秀一、世良真純、羽田秀吉、瑪莉
 赤井家主要人物的精選登場章節與個人檔案都能在這本精選集裡面窺見一二！
 此外，書中也會一併介紹與赤井家有著密不可分關係的重要人物喔!!
  
 精明能幹的ＦＢＩ搜查官赤井秀一
 其實有個充滿謎團的家庭！
 世良真純、羽田秀吉、瑪莉、赤井務武…
 每個成員都充滿個性且擁有出色的推理能力！

 本書收錄了描述他們活躍表現的章節，
 還有柯南等人與赤井家邂逅的章節
 『掀起漣漪的魔法師』喔！
 快來見識令人恐懼的赤井家族吧!!

"
9789865498818,"


 ●田村由美老師最新，2019漫畫大賞 第2名——
 讓事件本質顯現出來的男人久能 整，登場!!!!!
  
 據聞狩集家在爭奪遺產方面，歷代不乏因此喪命者。
 受到其中一名繼承人汐路的請託，
 久能整造訪廣島，
 同席見證了宣讀遺書的現場。
 更從此事當中嗅到行蹤不明的犬堂我路的算計。
 繼承人候補者為汐路與堂兄姊這四人。
 整一步步被拉進攸關性命安危的血親相爭暴風圈!?

"
9789572637913,"

犯罪爵士的過去那是禁忌的果實──一手策畫「開膛手傑克（Jack the Ripper）事件」的元凶，也就是大英帝國首屈一指的媒體王米爾沃頓。事件過後，一直提防威廉，並打探其來歷的他，終於找到了貧民窟的「某位少年」對貴族發動的「訴訟案」……威廉與路易斯過去的記錄，現在終於即將揭曉──
                    
"
9789572630815,"


	揭發腐敗的倫敦警察黑幕狂放大膽的美貌刺客──威廉與冒牌開膛手傑克等人對峙。終於到了制裁的時刻──另一方面，夏洛克也因為這起事件，對犯罪爵士做出了某樣推理。隨即，警察卻宣布理應不存在的「開膛手傑克」已經落網。為了揭發這起冤案，龐德開始準備潛入倫敦警察廳……？然後，犯罪顧問與顧問偵探又再度見面了！

"
