ISBN,書籍簡介
9789572666821,"

「化物語」前日譚第零話──「傷物語」！阿良良木曆救了姬絲秀忒，為了讓自己變回人類而戰鬥。他擊退了兩名對手，最後一名對手是「平凡人」奇洛金卡達。可是，就在曆即將鼓足幹勁，迎接戰鬥之前，卻突然收到「羽川被擄走了」的消息！「掟上今日子的備忘錄」西尾維新X　「飛輪少年」大暮維人 聯手鉅獻這才是新的怪異！怪異！怪異！十二分超乎想像的〈物語〉！
                    
"
9789572665206,"


	葉在出雲完成修行，讓O‧S（小字：超靈體）進化了。沒想到在O‧S（小字：超靈體）狀態下，阿彌陀丸竟然可以說話！接著終於迎來S.F.（小字：通靈人大戰）第三戰。對手是擁有金光燦爛O‧S（小字：超靈體）的蓮。兩人的戰鬥終於開始！

"
9789572665541,"


	封印在遠古時代琥珀中的謎團？這是艘能夠穿越時間和空間的漂泊方舟。藉著方舟，Ｄ伯爵抵達了遙遠的時空盡頭││││詭譎與戰慄的新系列，第２集！在散發妖異光芒的琥珀中，封閉的遠古時代生物究竟是？在Ｄ伯爵妖艷笑容的迷惑下，眾人的命運漸漸偏離軌道…

"
9789572617151,"

相隔113年又有上弦之鬼犧牲，憤怒的無慘對剩下的上弦之鬼們下達進一步的命令！另一方面，鋼鐵塚因為炭治郎跟妓夫太郎戰鬥造成刀子捲刃而相當憤怒。為了得到全新的刀，炭治郎造訪了鋼鐵塚所在的刀匠故鄉…？
                    
"
9789864867899,"


	炭治郎等人在「柱」之一阿忍的安排下，治好戰鬥所受的傷，還學會了全面集中‧常中。後來一行人接到新的指令搭上「無限列車」，跟著炎柱煉獄一起，對付潛伏在列車上的鬼！但是，鬼打造出的夢境裡所發生的事，讓炭治郎等人被困在夢境裡！他們有辦法能夠擺脫這個窘境嗎？

"
9789864867837,"


	舞台是日本的大正時代，名叫竈門炭治郎的平凡農村少年，靠著賣炭來維持一家的生計。某天他下山去賣炭，回家時天色已暗，好心的三郎爺爺變留他住了一晚。隔天他回到家卻發現家人全都遭到殘殺，只剩禰豆子身體還有餘溫，然而她似乎變得跟平常不太一樣？為了尋求拯救妹妹的方法，炭治郎踏上了斬鬼的冒險旅程。

"
4710601044100,"


	在19世紀末的花都巴黎‧拱廊街的一角，開著一家由妖媚又美麗的Ｄ伯爵經營的寵物店。詭譎嚇人的神秘恐怖漫畫傑作，第5集！嚮往大都會的一位青年來到巴黎。乍看之下，他來並沒有什麼目的，只是要來享受大都會的生活。眼看伯爵的戀愛指導也將白費功夫時，他眼前竟然出現了命運的女神……？

"
9789572626108,"

原本分裂成各種感情的鬼‧半天狗，除了本體以外都合而為一攻擊炭治郎！半天狗指責炭志郎欺負「弱者」，讓陷入苦戰的炭志郎相當憤慨？另一方面，霞柱時透找回過去的記憶，與玉壺對峙。結果時透身上出現了變化？
                    
"
9789572665183,"


	S.F.（小字：通靈人大戰）終於開打。葉的第一個對手是以精靈可樂波古‧可樂樂為持有靈的轟隆轟隆。面對慵懶卻強大的葉，轟隆轟隆使出全部巫力發起挑戰。轟隆轟隆的最大招式‧巨大雪崩即將朝葉襲來？

"
4710601043721,"


	在19世紀末的花都巴黎‧拱廊街的一角，開著一家由妖媚又美麗的Ｄ伯爵經營的寵物店。詭譎嚇人的神秘恐怖漫畫傑作，第４集！隨著萬博即將到來，巴黎也隱約透出歡欣雀躍的氛圍。就在里裘利安男爵忙著替萬博做準備時，一位精力十足的美國女孩前來造訪。她在尋找自己行蹤不明的父親。這位父親追尋著傳說的「人魚」，最後竟然消失蹤影…！

"
9789572665190,"


	進入第二戰，葉與死靈術師‧法斯特八世對峙。法斯特殘酷的行徑讓葉大動肝火，但是卻被逼入巫力幾乎耗盡的絕境之中。不過葉似乎有什麼祕計？

"
4710601043707,"


	在19世紀末的花都巴黎‧拱廊街的一角，開著由Ｄ伯爵經營的一家妖媚又美麗的寵物店。在這裡，任何珍奇異獸應有盡有，而且這些寵物還能實現主人的任何願望。然而，在旁冷眼旁觀的伯爵臉上，卻浮現一抹淡淡的笑意……！詭譎嚇人的神秘恐怖漫畫傑作，期盼已久的第２集出刊！

"
9789865124472,"


	柯南、毛利小五郎、安室透以及協田兼則──

	這奇妙的一行人目的地是位於長野縣深山的廢棄教堂。在那裡等著他們的，則是神祕的暗號與命案！？查案途中，柯南試圖向安室打探出有關「ＲＵＭ」真實身分的重要提示……
	 
本書特色

	★2001年榮獲第46回小學館漫畫賞（少年部門）

	★2003年漫畫版發行部數突破１億本

	★2014年「名偵探柯南」連載20周年

	★第20彈電影《名偵探柯南：純黑的惡夢》票房為63.3億日圓，突破許多柯南電影史上的新紀錄，也與上一部作品《業火的向日葵》的票房相差18.5億，成功打破《漆黑的追跡者》超越前期《戰慄的樂譜》10.8億日圓的紀錄。

"
9789572663516,"


	鬼的始祖‧鬼舞辻無慘與炭治郎他們的戰鬥邁入最終階段…！珠世挺身而出用在無慘身上的四種藥，讓他變得衰弱，逐漸被逼入絕境。炭治郎與禰豆子，以及鬼殺隊的命運將會如何？與鬼之間漫長的戰鬥，終於來到決勝時刻！

"
9789572658444,"

終於到了最後一集！在最終話的故事中，地獄面臨了一個轉機！其名為人事異動。發令者當然是鬼灯，而被命令的居然是……！！連載了大約９年的較為歡樂地獄ＤＡＹＳ就此完結！但想必往後地獄仍會一直以鬼灯為中心繼續運轉下去！褉萩的結婚讓漢先生高興不已！地獄成員要全體集合盛大地慶祝～！
                    
"
9789572673959,"


	「化物語」前日譚第零話──「傷物語」！阿良良木曆救了姬絲秀忒，為了讓自己變回人類而戰鬥。他擊退了兩名對手，最後一名對手是「平凡人」奇洛金卡達。可是，就在曆即將鼓足幹勁，迎接戰鬥之前，卻突然收到「羽川被擄走了」的消息！「掟上今日子的備忘錄」西尾維新X　「飛輪少年」大暮維人 聯手鉅獻這才是新的怪異！怪異！怪異！十二分超乎想像的〈物語〉！

"
9789572673645,"


	一個神秘的帥氣男子，把小鈴找了出去…？祭里想要去觀察狀況，但卻被小彌與小露阻止了。那個帥哥跟小鈴說，希望她能幫忙救治受傷的妖怪……。於是小鈴就使出她的力量，治好了妖怪的傷。然而事情並沒有這麼簡單——！？

"
9789572665213,"


	蓮和葉都在讓O‧S（小字：超靈體）進化後投入戰鬥。蓮終於使出最後的巫力，對葉發動攻擊！而葉則準備接下蓮的攻擊。能夠通過預賽、進軍正式比賽的人，究竟是蓮還是葉？

"
9789572667651,"

一個神秘的帥氣男子，把小鈴找了出去…？祭里想要去觀察狀況，但卻被小彌與小露阻止了。那個帥哥跟小鈴說，希望她能幫忙救治受傷的妖怪……。於是小鈴就使出她的力量，治好了妖怪的傷。然而事情並沒有這麼簡單——！？
                    
"
9789864623143,"

這次楠雄要去看來到當地的馬戲團表演。沒想到將楠雄尊為師父的蝶野居然正在那個馬戲團裡擔任小丑！由於正式表演之前蝶野臨時受傷無法上場，只好拜託楠雄代班負責小丑的工作！？
                    
"
9789572665176,"


	巨大的彗星巡迴世界。那是宣告通靈人大戰即將開打的星星。不過葉還是老樣子，一點緊張的感覺都沒有。此時帕契族的席巴出現在葉的面前。身邊有精靈隨行的他，竟然是S.F.（小字：通靈人大戰）的主辦委員？

"
9789572664582,"

風卷祭里是一名退魔忍，在斬妖除魔時卻被妖王「白銀」變成了女生！變成女生之後，他跟自己的青梅竹馬花奏鈴之間的關係，也開始產生了微妙的變化。另一方面，由於花奏鈴身上有著特殊的妖力，導致許多妖怪都想要接近她。祭里不僅要以女生的身份重新習慣學校與日常生活，還必須在這種狀況下保護小鈴，同時尋找讓自己變回男生的方法……！
                    
"
4710601043714,"


	在19世紀末的花都巴黎‧拱廊街的一角，開著一家由妖媚又美麗的Ｄ伯爵經營的寵物店。隨著萬博即將到來，巴黎也隱約透出歡欣雀躍的氛圍。這時，一位少女千里迢迢來到巴黎擔任日本館的導覽員。她的目的是找出殺父仇人。詭譎嚇人的神秘恐怖漫畫傑作，期盼已久的第３集出刊！

"
9789572651094,"

熱烈求愛！！春一終於獲得了與超煩女神．天探女進行初次約會的機會！閻魔大王的愛妻初次登場！夫妻一同參加孫子的學習成果發表會。大王所溺愛的孫子飾演的角色居然是桃太郎！而夜叉一所溺愛…！更正，他所寵愛的孩子們也出道當獄卒了！這是受到大家支持與愛護的第三十集！太感謝了！！
                    
"
9789572641927,"

因萬聖節而欣喜的斯卡雷特突然開始提起自己悽慘的過去…。要接待貴客就交給他們！何謂地獄的笑咪咪三連星？技術課接受撒旦王的委託著手開發美少女遊戲！不管怎麼說，美少女遊戲的討論就是停不下來！此外由於不明植物輔佐官的登場，十王輔佐官在第二十九集終於全體到齊！一看就穿幫的劣質變身！熱燗和冷變成小白的模樣讓您為之一笑！
                    
"
