ISBN,書籍簡介
9789572611289,"


	被宮侑的發球盯上，西谷一再接球失誤…！進入第２局，稻荷崎展開強烈攻勢，分數差距拉開，但烏野慢慢地削弱稻荷崎佔上風的局勢，然而…？能否掌握扳回一城的機會呢？西谷受到考驗的時刻！

"
9789572603857,"


	冴子姊前來加油，烏野對稻荷崎之戰愈來愈精彩！有高中第一舉球員之稱的宮侑用發球折磨西谷，不僅如此，侑還與雙胞胎兄弟‧治施展「怪人快攻」，凌駕日向等人之上！有沒有辦法超越高中盃亞軍「最強的挑戰者」呢？

"
9789864862887,"


	在與伊達工打練習賽時，影山與日向等人在磨合中仍然試圖改變。烏野的新武器，能否突破連超快攻都無法穿透的鐵壁呢!?過完新年，春季高中排球全國大會終於開幕──！

"
9789864824908,"


	即將參加春高的烏野排球社接到了一個消息，相關單位邀請影山參加全日本青年代表隊的強化集訓！相對於以選手身份領先在前的影山，一心求進步的日向，不請自來，出現在宮城縣的１年選拔強化集訓！？

"
9789572676486,"


	《諸神之心》是款擁有高人氣的多人線上戰鬥競技場遊戲，每次的比賽都會提供高獎金與薪水，讓許多遊戲玩家趨之若鶩，主角樂樂雖然是個自閉症少年，在社交上有著重重障礙，但自從接觸了《諸神之心》，他發現了這個與以往完全不同的世界…

"
9789864860722,"


	在宮城縣１年級選拔強化集訓中，日向雖然無法參加練習，但求知若渴地找機會學習!!另一方面，參加全日本青年代表隊強化集訓的影山，開始煩惱如何與集訓成員相處!?春高前的總驗收是與伊達工一戰，還收錄大篇幅的加畫…!!

"
9789864704026,"


	縣代表決定戰的決賽，烏野對上白鳥澤，一共要比５局。烏野高中一度因為月島受傷，而少了守備的支柱，但其他人憑著對得分的堅持，拚命把比數拉近！超越極限，精疲力盡的激鬥，終於打到最後階段。縣代表決定戰的贏家是誰？

"
9789863657927,"


 戰情告急的縣代表決定戰決賽第４局。沒有後路的烏野高中，繼月島之後，日向也在守備方面表現亮眼，與白鳥澤的猛攻激烈較勁。可是此時，影山的動作不太對勁！？烏野能否將無路可退的狀況加以翻盤呢？

"
9789864620609,"


 縣代表決定戰準決賽的第３局，青葉城西來到了賽末點。在失掉１分，比賽就結束的困境中，烏野以所有的實力面對最後一局。與宿敵再戰終於分出輸贏！本書還收錄頁數豐富的新畫內容！

"
9789861079493,"

近藤光某日再爺爺家倉庫挖寶時，發現一個古老的棋盤，使得平安時代的棋士‧佐為的靈魂附到了阿光的身上，也讓阿光開始了他的圍棋之路。
                    
"
9789865485443,"


 ★引領網球運動風潮，各種創新表現與招式也蔚為話題，現任日本職業網球選手錦織圭從小就是忠實讀者。本作無疑是具代表性的經典漫畫，至今仍持續在動畫、舞台劇、遊戲等多種媒體發展。

 決勝錦標賽八強賽第四場比賽
 由真田與法國選手奧修瓦魯進行對決。
 面對步步進逼取得有利情勢的真田，
 奧修瓦魯祭出了『五車之術』引誘真田連續犯錯，
 逐步將其逼入絕境。
 真田若打贏此戰，
 日本即可晉級前４強，
 但不知其結果是…!?

"
9789864867264,"


	春季高中排球全國大會第一戰！對手是連續２年參賽的椿原學園。烏野不適應巨大的會場，一度陷入苦戰，後來影山適應了空間，用日向的怪人快攻令全場歡聲雷動！！可是椿原有一項出人意料的「秘密武器」！？

"
9789864623853,"


 烏野高中打敗了宿敵青葉城西，與王者‧白鳥澤展開縣代表決定戰的決賽！面對超高中級主攻手‧牛島的絕對優勢，烏野一度苦戰，但以西谷的接扣球為契機，開始把握回攻的機會。他們能否因此對白鳥澤還以顏色呢？

"
9789863652120,"

遠征東京之行進入中盤，烏野的練習成果一點一點地開始表現出來。但是日向跟影山的新快攻練得不順利，日向感到焦躁…。追求空中戰力的日向，加入強校的主攻手‧木兔等人的自主練習，進行特訓…
                    
"
9789863322290,"

日向等人拚命練習，準備參加高中盃預選！然而在賽程之中，同組的還有青葉城西和宿敵“鐵壁”伊達工業！不管對手是誰，都要打贏眼前的這一戰。新生的烏野排球社上戰場了！
                    
"
9789863245353,"

日向和影山挑戰社內３對３的排球比賽！為了破解月島的身高優勢，兩人用快攻的搭擋攻擊來找尋勝利機會。影山為了把日向的能力做最大的利用，在最恰當的時機舉球給日向。兩人的力量產生相加效果時，名搭檔就此誕生!!
                    
"
9789863245360,"

２年級的自由球員‧西谷的社團禁足期間結束，回到社團。但他說如果主攻手旭不歸隊，他也不回來。對主攻手懷有憧憬的日向，和影山一起去找旭…此時，烏野確定要與宿敵打一場練習賽？
                    
"
9789864821396,"


	由於防守王牌‧夜久受傷，音駒一度陷入苦戰…相對於緊抓對手的守備漏洞一再出招的戶美學園，音駒的主將黑尾，認為有勝算，展現氣勢！拿到東京都代表最後一個名額的球隊是「貓」還是「蛇」呢？

"
9789864627783,"


 縣代表決定戰決賽第２局。烏野推出以月島和西谷為中心的ｔｏｔａｌ　ｄｅｆｅｎｃｅ奏效，慢慢地追上王者‧白鳥澤！在互不相讓的攻防過程中，破壞僵持狀態的那１分，是誰拿下的呢？

"
9789572648452,"

西元202X年。在日本有一項受到全世界歡迎的公路賽車。它的名稱是「MFG」。第2戰「蘆之湖GT」決賽在雨勢不斷的惡劣環境下進行。擁有超凡技術的片桐夏向克服了就連神級15人都束手無策的濕滑路面，讓自己的名次不斷往前提升。夏向，勢不可擋的痛快進擊！
                    
"
9789865128609,"


	決勝錦標賽八強賽第三場比賽
	是龍馬與法國選手普朗斯的對決。
	面對普朗斯的愛司球戰法，
	龍馬祭出『光球』加以抗衡。
	不料途中龍馬被普朗斯
	一記強力的回擊球貫穿拍線，
	擊中身體昏倒在球場上…？！

本書特色    

	★引領網球運動風潮，各種創新表現與招式也蔚為話題，現任日本職業網球選手錦織圭從小就是忠實讀者。本作無疑是具代表性的經典漫畫，至今仍持續在動畫、舞台劇、遊戲等多種媒體發展。

"
9789865124984,"


	決勝錦標賽第一場比賽雙打２
	變成了一場由君島／白石VS特里斯坦／堤默迪所展開的帥哥大對決。
	相對於一得分便擺出POSE的其他３人，
	白石始終頑強地堅守著自己的風格。
	這場比賽到最後究竟會鹿死誰手呢！？

本書特色

	★引領網球運動風潮，各種創新表現與招式也蔚為話題，現任日本職業網球選手錦織圭從小就是忠實讀者。本作無疑是具代表性的經典漫畫，至今仍持續在動畫、舞台劇、遊戲等多種媒體發展。

"
9789864623914,0
9789864706716,"


	四校爭奪春高出場權的東京都代表決定戰開幕了！獲勝就確定打進全國。在準決賽交手的是音駒高中和梟谷學園。面對狀況絕佳的木兔，音駒高中派出夜久迎擊，由研磨擬定對策！能不能打倒木兔呢？

"
9789863482291,"

烏野高中排球社把輸給青葉城西的不甘心化為動力，樹立新的目標，開始前進。遠征東京之行定案，眾人興高采烈之時，在前面等待的是期末考？分數不及格，就無法去遠征……極可能不及格的日向、影山、田中、西谷的命運如何？
                    
"
9789863371977,"

烏野高中的第三場比賽對上青葉城西。烏野高中陷入苦戰，派出菅原代替影山擔任舉球員。在場邊觀察球隊的時間比任何人都久的菅原，慢慢地主導局勢！可是，面對對手的王牌及川的發球，仍找不到克服的線索!?
                    
"
9789863325659,"

面對以鐵壁般攔網為武器的伊達工，日向的“怪咖快攻”奏效，烏野高中先拿下一盤。可是，在具威脅性的攔網員‧青根的緊迫盯人的發威下，伊達工的防禦更加堅固！經過一番攻防，烏野終於來到決勝分!?
                    
"
9789863248798,"

烏野高中排球社集訓最後一天，與宿敵音駒高中的練習賽開打！音駒緊迫盯人的接球技術和舉球員．孤爪的觀察力發威，令日向和影山的快攻遇到阻撓，終於被攔網了…!?
                    
"
9789863245346,"

日向翔陽看了電視轉播後，被排球的魅力所吸引，參加了國中第一場也是最後一場的正式比賽。然而，他徹底地敗在別名「球場上的王者」的天才選手‧影山的手下。日向發誓報仇，考進烏野高中並加入排球社，看到國中的宿敵影山竟然考進同一所高中，遂向他挑戰。結果雖然展現一點才能，可是兩人的不和引發風波，惹惱了隊長！
                    
"
