ISBN,書籍簡介
9786263160408,"


★長達10年連載、在台銷售突破130萬冊、引領知識型漫畫風潮──

★《神之雫》第一部全44集熱銷中！

★沖本秀×亞樹直經典組合，葡萄酒漫畫《神之雫》最終章終於解禁！

  

 索姆查伊看到「希斯托利克旅館」餐飲爭霸賽的直播，而委託神咲雫為道地的亞洲料理，協調整合搭配的葡萄酒。神咲雫接下工作後，從索姆查伊的談話中得知，原來他之所以迷上葡萄酒的契機，就是克里斯做的好事！索姆查伊希望料理與葡萄酒結婚時，可以保留原來的老店風味。為了使命必達，神咲雫將要挑戰葡萄酒與添加香菜的異國料理之結婚難題！！


  

"
9786263088580,"


★長達10年連載、在台銷售突破130萬冊、引領知識型漫畫風潮──

★《神之雫》第一部全44集熱銷中！

★沖本秀×亞樹直經典組合，葡萄酒漫畫《神之雫》最終章終於解禁！

  

 在原島翔引介下，神咲雫接受了北輕井澤「希斯托利克旅館」的會席料理與日本葡萄酒的整合協調工作。然而對面「蒙塔妮旅館」的資深侍酒師琉璃山，卻企圖把酒會活動變成「餐飲爭霸賽」！！ 神咲雫他們用日本葡萄酒，和與田村肇貼近葡萄酒的料理，對抗違規使用高級葡萄酒的琉璃山，而逐漸爭取到賓客的支持。競賽即將進入中場，情勢終於逆轉了……！？

  

"
9789572662960,"

攸關壽司師傅新人比賽，將與佐治進行三場比賽。兩人被交付的第二道課題是星鰻。面對贏得第一道課題，幹勁十足的將太，發出冷笑的佐治做出勝利宣言。用來煮出好吃星鰻的煮汁，非得耗費長時間來製作不可。不過比賽是一星期後，速成的煮汁沒有勝算。面對入門以來，一試再試，耐心讓煮汁熟成的佐治，沒有煮汁的將太將如何挑戰？
                    
"
9789864869848,"

新人技師‧裕乃不斷犯錯，因為周遭眾人都很優秀而逐漸失去自信。她與來到甘春醫院主訴肩膀疼痛的坂元美月，因為一首歌而對彼此敞開心房。美月和朋友組的樂團要舉辦解散演唱會，裕乃得知她對演唱會寄託的感情後，將她與過去的自己重疊在一起，於是決心幫助她…
                    
"
9789572636947,"

傳說中的釣手・鮎川魚紳與當代實際存在的釣手進行對決的企劃「對決！天才釣手・魚紳！」。第１戰的舞台位於河口湖，目標則是大口黑鱸。而與他對上的，則是現役最強的鱸魚行家・青木大介！相較於以大魚為目標的魚紳，青木大介則是以快攻完成達標下限，究竟在河口湖展開的死鬥會如何進展？
                    
"
9789572662984,"

壽司師傅們互相比試技術的壽司師傅新人比賽。第三回合比賽，將太被賦予的課題是車蝦壽司。對戰對象是就連築地也對他另眼相看的蝦子鑑定名人‧下山鐵雄。他成了阻擋在看輕蝦子壽司，認為很簡單的將太面前的高牆。鑑定功力比不上他的將太，下工夫挑戰蝦子名人。歷經一再地嘗試失敗後，產生出來的「蝦鬆壽司」能否克服素材的障礙？
                    
"
9789571097435,"


★長達10年連載、在台銷售突破130萬冊、引領知識型漫畫風潮──

★《神之雫》第一部全44集熱銷中！

★沖本秀×亞樹直經典組合，葡萄酒漫畫《神之雫》最終章終於解禁！

  

 在原島翔引介下，神咲雫接受了北輕井澤「希斯托利克旅館」的會席料理與日本葡萄酒的整合工作。

 他利用進化的日本葡萄酒，讓極端執著於會席料理規矩和風味的老闆也讚不絕口，終於開始著手進行真正的結婚。

 這時有人提出與「蒙塔妮旅館」聯手舉辦花園酒會的企劃，而這個企劃竟然是琉璃山設下的陷阱！！

  

"
9789571093697,"


	★長達10年連載、在台銷售突破130萬冊、引領知識型漫畫風潮──
	★《神之雫》第一部全44集熱銷中！
	★沖本秀×亞樹直經典組合，葡萄酒漫畫《神之雫》最終章終於解禁！
	-----------------------------------------------------------------------------------------------------------
	神咲雫從『神之雫』的第二頁敘述中，發現了「熟成」這個關鍵詞，而推想出老酒與熟成肉的結婚。他找到父親也曾造訪的店家，體會了熟成之深奧。又在老闆們難卻的盛情之下，品嚐到夢幻熟成肉與「拉費‧羅吉德堡」1917年份的結婚奇蹟。同席的紫野原雅在驚嘆之餘，不禁問他：「這是『神之雫』嗎？」他的回答是——？

"
9789572662991,"

壽司師傅新人比賽準決賽的比賽項目是光物。不過因為對戰對象紺屋碧悟的妨礙，魚貨無法進入築地市場。為了戰勝碧悟，只能得到夢幻之魚「黃金鯖魚」。因此將太和百目之辰、大和壽司的老闆前往若狹灣。但是海上狂風大作。而且黃金鯖魚只有在海的墳場‧轟岩那裡才能捕到。將太究竟能不能得到黃金鯖魚，和碧悟一決勝負呢？
                    
"
9789865240776,"


	★TV動畫佳評如潮！
	★衛宮飯再度上菜！就是要在衛宮家吃的飯才好吃！
	★Fate×料理所編織出的美味又溫柔的世界——
	★收錄誰都會做的特製食譜！

	由「Fate/stay night」的主角衛宮士郎親手做的衛宮飯再度上菜囉，這次又有哪些菜色端上桌呢？

	本集菜單
	003 第31話 滿滿的辣椒！香辣辣子雞
	029 第32話 清爽的莓果冰沙
	039 第33話 減輕苦味的沖繩風苦瓜雜炒
	059 第34話 大家一起包的餃子
	083 第35話 大小姐的酥脆千層豬排
	109 第36話 日式加西式的各種三明治
	133 番外篇  弓兵特製 培根蛋奶義大利麵

	如果你也想吃吃看衛宮家的料理，每話故事後面都有登場料理的食譜喔！大家不妨試著做做看！

	©TAa 2020 ©TYPE-MOON ©Makoto Tadano 2020 / KADOKAWA CORPORATION

"
9789572636930,"


	曾經行遍日本與世界各地而活躍的傳說釣手・鮎川魚紳，他長期遠離釣魚生涯，以律師的身份過著繁忙的日子。然而卻有人對魚紳提出了某項企劃——。那就是「讓鮎川魚紳與當代實際存在的釣手進行對決」！面對以工作為由回絕的魚紳，菜鳥編輯川嶋為了讓企劃得以實現，竟有勇無謀地向他提出以香魚競釣為賭注！究竟對決會如何發展？而魚紳的答覆又會是什麼？

"
9789572634615,"

持續旅行的一也接下來前往的是，位於內海的一座小島。儘管被稱為「不需要醫生的島」，然而居住在那裡的人卻能接受最先進的治療。一也試圖找出島上的秘密，某位少女卻向他求助。雖然少女還年幼，卻能夠對傷患進行完美緊急處置，還帶他來到島上唯一的診療所！那裡有個披著斗篷的醫生在等著他們……。
                    
"
