ISBN,書籍簡介
9789572666296," 一年一度的全縣釣魚大賽開始了，今年令眾人跌破眼鏡的是，最後贏得冠軍的居然還只是個小毛頭‧三平。原來他前任冠軍一平爺爺的孫子，正所謂青出於藍勝於藍，完全繼承了爺爺精湛的釣魚技巧。但是有人卻藉故找碴，以不符合規章為由提出抗議，要求他交回獎杯跟獎品，甚至提議跟他進行比賽。三平所採取的策略是先玩水在睡午覺，這樣的舉動讓對手摸不著頭緒…。矢口老師的「天才小釣手」這部漫畫曾經在日本掀起釣香魚的熱潮，更是許多讀者童年的回憶，此次重新再版勢必又將造成一波話題。 "
9991100525023,"  
	● 東京動畫大賞、金馬獎最佳動畫長片——宋欣穎《幸福路上》，全新故事！

	● 鳥取國際漫畫優勝賞得主——羅荷，首部漫畫長篇！

	● 電影裡沒說盡的，漫畫一次呈現！

	● 笑中帶淚、淚中有愛，打造台灣《櫻桃小丸子》～

	 

什麼是童年？就是空氣中有草莓冰淇淋的味道！

什麼是幸福？就是「吃得飽、睡得好」！

	 

每個平凡的大人，都曾是不平凡的小孩

走過兒時的點點滴滴，重新找回純真的自己

	 

	本作品以 2018 年上映、備受國際讚譽之動畫電影《幸福路上》為基礎，發展全新前傳「童年時光」系列漫畫，由原作導演宋欣穎編劇、新秀漫畫家羅荷繪製，延續原作的溫暖與感動，更增添了漫畫的趣味，以及繪者清新脫俗的溫柔筆觸。

	 

	故事從一條叫做「幸福」的路展開，以1980年代的台灣為背景，圍繞著小學生「小琪」林淑琪與她的家人朋友間發生的生活趣事。書中性格鮮明的角色們：阿美族魔法阿媽、文藝青年阿文表哥、美軍混血兒莊貝蒂、宮廟小孩許聖恩......宛如台灣歷史的縮影。卡通《小甜甜》、加工廠、老師校外補習、生日吃乖乖、偷聽中共廣播，則重現台灣庶民生活的集體記憶。

	 

	看著這群小學生們胡鬧瞎搞，卻又溫馨可愛的日常，就像看見台灣版的《櫻桃小丸子》。

	 

漫畫《幸福路上1+2》集結12個短篇，描述動畫電影未揭露的故事前傳：

	 

	〈幸福大排上的祕密訊號〉

	幸福路口「無奇不有」的大排水溝，雖然臭氣沖天，卻是孩子們玩樂的所在，也是小琪接收「祕密訊號」的地方。

	 

	〈我的魔法阿媽吃檳榔（上、中、下）〉

	能幹強勢的阿媽與阿姨們霸氣出場！但是，原來不是每個女生變成女人後，都會吃檳榔？

	 

	〈人生中第一個芭比〉

	每個小女生都曾夢寐以求一個金髮藍眼的芭比娃娃，小琪不只有芭比玩具，還有活生生的芭比好朋友！

	 

	〈寵物白雪天鵝湖〉

	大人總是不懂，寵物是小孩的好朋友，即使那隻寵物是一隻大白鵝......？

	 

	〈我的爸媽是匪諜！？〉

	小琪剛獲得保密防諜壁報比賽第二名，卻發現爸媽在偷聽中共的廣播！？「小心，匪諜就在你身邊！」

	 

	〈小琪的色盲王子〉

	阿文表哥是標準的文藝青年，不但是家族第一個大學生，還喜歡看很難的書、放黑膠聽西洋歌曲。特別的是，他總是堅持跟小琪說台語......

	 

	〈生日禮物〉

	4月5日，那天是世界偉人蔣公逝世紀念日，也是清明掃墓節，還是小琪的生日！生日又到了，小琪要跟爸媽要什麼禮物好呢？

	 

	〈壞小孩許聖恩〉

	許聖恩是小琪的「孽緣」，每次都被他捉弄，卻偏偏每次都同班。這次，原本只是在罰站的小琪，竟然跟著許聖恩一起翹課，開始了大冒險～

	 

	〈登上國際舞台的幸福大排〉

	平靜的幸福路，因為震驚大眾的社會事件突然躍上新聞版面，小琪該不會因此走紅！

	 

	〈語言學習機與歌星夢〉

	小琪的爸媽以為他們生了個天才，將來一定要讓她出國留學！殊不知，其實他們是生了個大歌星......？！

	 

《幸福路上》動畫電影獲獎經歷

	 

	2018年第55屆金馬獎：最佳動畫長片

	2018年第20屆台北電影節：百萬首獎、最佳動畫、觀眾票選獎

	2018年第17屆日本東京動畫獎：最佳動畫長片首獎

	2018年第25屆德國斯圖加特國際動畫電影節：最佳動畫長片獎

	2018年第18屆韓國首爾國際動畫影展：最佳動畫長片首獎

	2018年第44屆加拿大渥太華國際動畫影展：評審團特別獎 "
9786263037861,"  
	「持續追逐夢想下去。」

	立志成為漫畫家的淺井碰太與衣著過度暴露的
	死神芙樂莎．普魯伊特訂下了契約，
	只能存活到夢想實現為止，但相對的芙樂會幫助碰太
	逐步邁向銷量1億2700萬的漫畫家之路。

	芙樂的上司美女死神娜比亞．尼普頓突然現身，使芙樂面臨降級危機！
	除此之外，死神見習生烏蘭．菲爾斯也在故事中登場！
	第二集的發展想必也是波濤洶湧…
	碰太的夢想，以及和芙樂的關係，究竟會如何演變──!?

本書特色

	1.色色的漫畫家成長物語!! 立志成為漫畫家的處男與過度裸露的死神少女相遇的話!?
	2.愛吃布丁的芙樂莎很可愛又肉感十足!? "
9789572659663," 震撼吉祥學苑的「廁所偷拍事件」。最後卻是以意想不到的結果收場…而那奈老師寫真女星時代的則是終於被揭開了！「鬼塚in監獄篇」，則是因為典獄長的暗中活躍，因而有另一個刺客前來襲擊鬼塚！ "
9789861089010," 市長為了連任，提出了「孩子與父母幸福生活的城市，零教養院的城市」政策。而這個計畫的頭號犧牲者便是櫻子！為了不讓櫻子的父親將櫻子帶回，鬼塚及學生們也隨之展開行動……！另一方面，內山田教務主任偶然與小鳥樂園的福水院長相遇，終於找到鬼塚的喜悅令兩人忍不住上PUB狂歡…… "
9786263160453,"  
✦網路點擊次數超過5000萬次！系列銷售突破50萬冊！

✧廣大讀者好評推薦！日本AMAZON平均4.7星超高評價！

✦獲獎不斷！「2020這本漫畫真厲害！」男性部門第7名、「2020漫畫新聞大獎」第5名、「2019蔦屋書店讀者票選活動」第6名

✧《進擊的巨人》、《詐騙之王》動畫工作室 WIT STUDIO十週年紀念作品！！！

	 

	小小的勇氣，即將改變世界──

	　

	───｜故事簡介｜───

	 

	國王排名──

	以麾下有名騎士的數量、國民人口、城鎮發展，

	以及國王本人是否像勇者一樣強大，

	綜合以上條件來評價各國國王的排行榜。

	 

	「從今以後，還會有許多快樂的事情等著你！

	所以千萬不能認輸！」

	 

	波吉匆匆地返回陷入陰謀漩渦中的伯斯王國，

	在擊敗冥府罪人基剛，並順利與希琳重逢後，

	為了讓遭到不明人士操縱的魔獸回到冥府，

	趕往位於王城地底下的冥府入口。

	沒想到在那裡等著他的是冥府之王德斯哈

	以及曾將他推下地獄之門的多瑪斯！？

	 

	而在背後操控一切的米蘭喬，

	真正的目的也將一步步明朗化──

	 

讀者感動推薦

	 

	「所有的登場角色都毫不平面，並有豐沛的情感。是一部值得閱讀一遍又一遍的作品。」

	 

	「世界觀、角色與故事設定都十分出色，尤其人物刻畫的層次相當地高。我已經好幾年沒有看到如此有趣的作品。」

	 

	「看到封面的第一印象是『點幼稚』、『畫得不怎麼樣』，幸好我仍然拿起了這本書，沒有錯失閱讀這本傑作漫畫的機會。」

	　

	「這是一部讓人感動且印象深刻的作品。」

	 

	「不算複雜的故事、配上簡單的插圖，卻讓人感動不已！」

	 

	「這是一部帶給我勇氣、為我加油打氣，甚至讓我流淚不已的漫畫。無論是成人或小孩都很推薦閱讀這部作品。」 "
9789865121853,"  
●一段餵食神明的溫馨料理故事！
	 
	在一棟鄉下的老房子裡，住著能為人帶來幸福的神明。
	看得見神明的菅波多緒，正進行著一份包住打工，
	內容是製作供品供奉待在內廳的「神明」。
	但內廳裡的神明是個出乎意料的好吃鬼！
	不管是神明、附近稻荷神社的狐狸，還是狐狸的弟弟小狐狸，
	全都被多緒做的美味餐點收買完畢!?
	和可愛的神明同居並照顧祂，
	甚至還有一點點的戀愛喜劇!?
	這是個神明、不可思議生物們與人類一同度過溫馨四季的故事。 "
9789572665800," 鬼塚參加灣岸監獄實力高超的受刑人們，互相比劃高下的「灣岸武鬥會」。典獄長下令之前曾經一拳就打昏鬼塚的巨獸除掉鬼塚。鬼塚雖然知道典獄長的企圖，但還是參加第1輪的比賽！ "
9789571097442,"  
 ★感謝讀者支持，《總之就是很可愛》榮獲第十三屆巴哈姆特遊戲動漫大賞「年度人氣新作漫畫輕小說」銀賞！！

 ★電視動畫圓滿完結！OVA如火如荼製作中！

 ★《旋風管家》作者畑健二郎強勢回歸！

 ★胃痛NO！黨爭OUT！毫不掩飾愛意的新形態戀愛喜劇，甜蜜開幕！

  

 就算在夢中，小司還是…

 總之就是很可愛！

  

 NASA夢見了遙遠的過往時日。

 出現在那夢裡的老婆打扮甚是奇特，

 給人的感覺跟平常截然不同……

 司在與NASA的邂逅中找到了永恆的愛，

 可以窺見她漫長旅途記憶一角的第13集來了！

   "
9789572645079," 吉祥學苑來了一位新任的老師。這個男人名為「霧島丈」，又名「野獸JOE」。他是超級花心的一流銀行行員。但他似乎與鬼塚處不來…充滿謎團的「監獄篇」的劇情也急轉直下！ "
9789865123598,"  
	在那間古老宅邸的內廳裡，有一個貪吃的神明。擁有特別的體質，能夠看見不可思議事物的菅波多緒，用其最拿手的廚藝，從事著替座敷神做供品的包住打工。不管是世界各國的餐點、超商的點心和冰品，都讓沒離開過宅邸的神明驚訝不已！連神明也一不小心就被好吃的餐點給餵養了呢。這是個被可愛的神明，還有附近神社的狐狸們等不可思議的生物包圍下，度過理想田園生活的故事。

本書特色
	    
	●一段餵食神明的溫馨料理故事！ "
9789861089447," (完結篇)跟母親回家的郁子再度受到母親的虐待。見狀怒不可遏的鬼塚，決定直接找市長算帳，但市長卻從官邸逃走，前往伊豆。鬼塚率領著暴走族大隊在高速公路上疾馳！他究竟能不能成功令市長下跪道歉呢!?鬼塚英吉的湘南14日，在此終於劃下句點！ "
9789861085777," 在菊地和麗美的協助之下，鬼塚設計陷害神子，使她成為縱火殺人案的通緝犯？在莉子的一巴掌下，神子終於認清自己並不是孤單一人，並決定和莉子回到教養院……另一方面，報名參加鳥人大賽的僚一，也在鬼塚的協助之下達成夢想。 "
9789861072029," 菖蒲和鬼塚阻止了莉子‧神子姊妹和「伊底帕斯俱樂部」的孩子們對美姬的脅迫。對「幸福家庭」懷著激烈憎恨的姊妹倆，其實有著小時候被父母拋棄的悲傷過去…神子計畫和伊底帕斯俱樂部成員一起燒掉白天鵝。在混亂之中，菖蒲被神子給帶走了……！ "
9789865246228,"  
NETFLIX催淚神劇《如蝶翩翩》原作
迎接挑戰的70歲爺爺；徬徨不安的23歲青年
兩人將在名為「芭蕾」的夢想中相遇。


	70歲的沈德出，參加完友人的葬禮後，深刻體會人生已開始邁向盡頭。回首過往，他想起了深埋在心中的夢——芭蕾。下定決心後，他不顧家人的反對前往了芭蕾舞教室，在那裡，他遇見了才華洋溢，卻因負傷與環境條件而陷入迷惘的青年李采祿……
	除了對芭蕾的熱愛外，毫無相似點的兩人，將會譜出怎麼樣的故事？德出是否能如願加入學習芭蕾的行列？面對滿腔熱情的德出，采祿的內心將會激起什麼樣的情感呢？

	本書特色：
	‧作者、繪者復刻簽名＋精美全彩印刷，完整收藏所有感動的瞬間。
	‧創下韓國知名網漫平台「Daum Webtoon」8800萬次觀看紀錄，獲得10星滿分評價。
	‧同名戲劇由人氣撕漫男「宋江」與國民爺爺「朴仁煥」感動雙主演。
	‧人生必看經典之作，讓你正視深藏內心的嚮往、勇敢踏上追夢之旅。 "
