ISBN,書籍簡介
9789861175379,"

昭和30年代，還是小學生的勘吉，在一個冬天的清晨，於吾妻橋上認識了一位少女—祭兒。跟叫賣郎中的女兒祭兒逐漸熟識的勘吉，開始幫她做路邊攤的生意，但後來卻…。本集除了收錄作為連載1400回紀念所畫的『邂逅的那座橋之卷』以外，還收錄了其他8篇作品！
                    
"
9786263035461,"


 「想要有桃花運！好想要有個女友！」
 內向的處男大學生．生田大聲喊出發自內心的願望。
 回應生田的呼喚，出現在他面前的是外表俏皮可愛的美少女惡魔．葛雷摩莉！
 但其實她是個「實在太過喜歡美少女，連視線都無法好好對上」跟處男沒兩樣的廢材惡魔……！？

本書特色

 廢材惡魔♀要協助處男♂尋找女友！？

 許願希望能有個女友…
 來的卻是個廢材惡魔…

"
9789865121594,"


 在企圖侵略地球的邪惡組織中，
 被稱為「將軍」的他，
 過著與地球防衛組織「戰隊」展開激烈戰鬥的每一天！
 但今天是假日，進入休息模式的他，
 為了看貓熊而跑到動物園、又或者是為了買冰而去便利商店。
 能夠使乾枯的心靈獲得療癒，
 在Ｔｗｉｔｔｅｒ＆Ｐｉｘｉｖ大受歡迎的療癒系喜劇在此登場！

本書特色

 1.跟邪惡組織的幹部的假日放鬆之道，一起在假日時療癒身心吧！
 2.貓熊預定在消滅人類後大量繁殖。

"
9789572661253,"

由於伊織的彩券中了一大筆錢，因此他打算與千紗兩個人再次去沖繩旅行…但知道了這件事的愛菜卻與耕平聯手起來想要妨礙他們。此時居然還出現了意料之外的伏兵…全裸系青春潛水喜劇漫畫，即將爆發戀愛的多人混戰嗎！？
                    
"
4718016037878,"


	完全回歸到日常模式的龍女朵露，
	為了心愛的小林小姐，
	天天過著以女僕的身分奉獻效勞的日子！！

	而在其他的龍族們也逐漸適應人類社會之際，
	升遷機會＆天外飛來的任務＆超級難搞的家長會等小插曲，
	突然襲向一貫以適度的距離感率性而活的小林小姐！！
	儘管有些東西會逐漸變化，
	但那不也正是所謂的日常嗎！？
	人外系喜劇‧新角色也零星登場的第９集！！

本書特色

	★疲憊ＯＬ×少根筋的可愛龍女的人外系日常喜劇！
	★限定版特別附錄PP書衣&4P小冊子！
	★日本動畫於2017年１月播放！由「京都 Animation」製作！！

"
4718016024717,"


 某日，龍女朵露不請自來闖入了小林住的公寓，並展開了兩人的同居生活。
 朵露雖然瞧不起人類卻很喜歡小林，每天都勤懇賣力地為她效勞。
 儘管如此，在思想觀念上總是有些微妙的出入…？
 這是一部描寫疲憊的單身ＯＬ和少根筋卻死忠效勞主人的龍女之間的人外系日常喜劇！
  
本書特色
  
 ★疲憊ＯＬ×少根筋的可愛龍女的人外系日常喜劇！
 ★首刷限定特典 精心設計的新書衣加上PP軟墊！
 ★日本動畫１月播放！由「京都 Animation」製作！！

"
9789864620128,"


 北原伊織明明是個旱鴨子卻加入了潛水社團。雖然參加酒會時是個鬼神一般的新人、但在海邊卻是個…此外眾所期待、毫不做作的煽情女學姊終於登場了！而鬧翻天的學園祭也即將到來！來吧、初次體驗的新世界正在等待著你。

"
9789864620111,"


 以上大學為契機，北原伊織開始在沿海城鎮居住。他在那裡遇見的是美貌出眾的女孩、以及喜愛喝酒與水肺潛水的強壯男人們。最棒的校園生活在等待著他嗎！？無止境爆笑生動青春喜劇、就此開幕！
 笨蛋測驗召喚獸作者井上堅二初次執筆的原創漫畫！！大學生活！可愛女孩！而且還穿泳裝！這不就肯定會有色色的發展嗎！？（其實沒有）

"
9789861159577,"

這回因為聖誕特集的關係，所以試著在封面附上了「降臨節月曆」唷。所謂「降臨節月曆」，是僅僅只有12月份，可以開心倒數到25日聖誕節的月曆。圖中的數字顯示的就是日期。12月1日到來的時候，就把1的部分塗上指定的顏色吧！每天只塗限定的部分，這樣一直到聖誕夜（12月24日）那天，整幅畫就會完成了唷。隨著日期的不同，每天要塗的地方有好幾處，所以要注意不要塗漏了唷！
                    
"
9786263032071,"


	閃亮變身！最強魔法少女！！

	 

	突然在「劍與魔法還有智慧型手機的世界」現身，

	操著關西口音的邪劍「賈斯帝布雷巴」

	（通稱賈斯布雷）。

	而持有此劍的霍普斯兄妹身邊，

	陸續集結了奇奇怪怪的傢伙！

	在第四集裡，除了某種意義頗遺憾的

	魔界最強魔法師之外，

	妹妹莫妮卡也徹底變身魔法少女！

	此外，引起廣大迴響的「精靈決鬥」

	也揭開了淘汰賽的序幕！！

	更多詼諧逗趣的決鬥場面與愛情喜劇

	就在這裡！！

	 

本書特色  

	 

	奇幻世界最強的「劍」誕生！！

	完全顛覆奇幻世界設定的搞笑漫畫！！

	 

"
