ISBN,書籍簡介
9789572668771,"  
	神田對眼前的光景感到十分錯愕。佇立在舞台上的是森山被同伴們所拋棄的身影。森山疼愛著福丸，並會在痛苦的時候給予神田支持，為了這樣的友人，神田能做的是…。「我們開始吧，來一場最棒的演唱會」。貓與人的故事將編織出勇氣與決心。 "
9789572662748," 神田對眼前的光景感到十分錯愕。佇立在舞台上的是森山被同伴們所拋棄的身影。森山疼愛著福丸，並會在痛苦的時候給予神田支持，為了這樣的友人，神田能做的是…。「我們開始吧，來一場最棒的演唱會」。貓與人的故事將編織出勇氣與決心。 "
9789865549992,"  
	○《孤獨的美食家》已故漫畫家大師，最引人熱淚的長銷經典作「豪華紀念版」！

○1992年第37回小學館漫畫獎審查員特別獎，開啟谷口治郎新視野的創作轉捩點

○「紀念新版」特別收錄：5篇漫畫＋2篇散文，以及完整原始彩稿

○台灣版獨家：限量加贈〈養狗〉彩色畫卡

	 

	 

	無論是貓狗、還是別人的小孩，

	有了情感的羈絆，就是「一家人」。

	 

	日本國寶級漫畫家谷口治郎，以飼養貓狗平凡卻真摯的親身經歷，細膩刻畫人與動物相處互動的日常，以及面對毛小孩生離死別的感受。

	 

	如果說，〈養狗〉以愛犬終老前的最後一年來探討「死」、〈然後……養了貓〉用意外接收的孕貓來描繪「生」，那麼〈庭院風景〉與〈三人時光〉，則講述了「離別」與「相遇」。透過人與人、人與動物、動物與動物之間，彼此陪伴而得到的歡樂與治癒，賦予「家人」新的定義。

	此外，書中點出了許多現代人關心的動物照護議題，包含高齡貓犬長照、新生兒導致毛小孩棄養、領養代替購買……等等，相信在動保意識抬頭的今日，讀者更能感同身受。

	*****

	 

	「兩年前，我家養的十五歲的狗死了。照看牠因為老衰而死去的模樣，我內在創作欲望的小小細胞，也發生了些微的變化。湧起了好想畫這隻狗的生與死的心情。」——散文〈回想〉

	谷口治郎相當愛狗，筆下經常出現以「狗」為主角的作品。第一篇漫畫〈養狗〉即是將親身際遇轉化，透過日記般的筆法，敘述主角夫妻照顧年近15歲的愛犬「湯姆」，終老臨走前最後一年的過程。在此作中，谷口治郎帶出高齡寵物的長照課題，細膩摹寫飼主心境轉折，從悉心呵護、焦慮不耐到痛心放手，樸實的圖文灌注了強烈的情感。實際速寫愛犬的臨終模樣，更是令人鼻酸。即使距1991年發表至今已近30年，作品中緻密的描寫、滿溢的情感，仍令人感動不已。

	 

	「寵物們如果不把自己的生命交付給我們，也許就會活不下去。所以，牠們會原諒我們的任性。然後，靜靜地顯現出那些，我們早已遺忘的純粹。那或許是微不足道的事物，我們的心卻因此變得柔軟。」——漫畫〈然後……，養了貓〉

	 

	第二篇〈然後……，養了貓〉記錄愛犬湯姆死後，夫妻因緣際會接收了一隻被棄養的奇怪波斯貓「小破布」。不同於第一篇散發出濃濃的哀傷，此篇以詼諧的調性細數在小破布身上觀察到的趣味，如：像海獺一樣仰睡、屁股毛沾到大號、走路滑倒……等等，讓有養貓經驗的人都能會心一笑。乍看之下，似乎是這對夫妻拯救了貓咪，但貓咪的出現，卻也救贖了因愛犬離世而深陷在哀傷裡的夫妻，使他們重獲新生。

	 

	「家裡突然熱鬧了起來……我甚至在想，莫非，這就是家人，或是類似家人的關係，所應該有的樣子嗎？」——漫畫〈三人時光〉

	經歷狗的死亡、貓的新生，第三篇〈庭院風景〉與第四篇〈三人時光〉，則講述了「離別」與「相遇」。藉由送養小貓、老狗走失的事件，谷口治郎捕捉到人與動物分別時的不捨；而意外借住到家裡的青春期女孩，則讓安靜的屋子充滿歡笑。即使只有短暫的相處光陰，卻足以累積出深厚的感情。無論是貓狗、還是別人的小孩，當有了情感的羈絆，就成為了「一家人」。

	*****

	 

	「這部作品是讓我打開狹窄的漫畫表現的代表性作品，也成為我開展新領域的確實線索。」——谷口治郎

	此版本是谷口治郎去世後的紀念新版，全書重新製版，原始彩稿全部四色印刷。除了四篇〈養狗〉的系列漫畫之外，特別收錄一篇以二戰軍犬為題材的時代劇漫畫〈百年系譜〉，以及谷口治郎親自撰寫的兩篇文章——包含全文超過一萬六千字的長篇散文〈Sasuke和治郎〉，還有原版單行本的後記〈回想〉——在畫格之外，透過真懇的文字，詳實地還原漫畫家本人養狗養貓的真實歷程。

	*****

	 

	日本跨世代讀者・感動痛哭推薦！！

	 

	主人公為「湯姆」送終的場面，和我家愛犬走的時候一模一樣，我心想，原來不是只有我們那麼痛苦啊。想到離開的愛犬，我就淚流滿面無法停止。（56歲・女性）

	 

	雖然書裡多是日常對話，我卻感動不已，好像要起雞皮疙瘩般差點哭出來。讀完以後，發覺日常生活比我想像的更加感人。（36歲・男性）

	 

	我家也有一隻16歲5個月的老狗，老到很憔悴了。我很擔憂，不知道牠何時會離開。為了終將到來的那一天做好心理準備，我買了這本書。（57歲・女性）

	 

	跟動物一起生活，感受過幾次失去的悲傷，每次都心想不要再養寵物了，但怎麼樣也沒辦法放棄和牠們相處的生活，我現在才知道大家都懷抱相同的心情。（26歲・女性）

	 

	和自己的經驗重疊，想起自己的事，淚流不止。一翻開就眼眶泛淚，非常難受，但卻是我很重要的一本書。（44歲・女性）

	 

	*出自日本讀者回函 "
9789571094557,"  
	日本恐怖漫畫界的代表 

	作家伊藤潤二＝恐怖漫畫家Ｊ。 

	喜歡養狗的Ｊ不敵未婚妻Ａ子的柔情攻勢， 

	被迫在家養了一隻西洋品種的幼貓小六、 

	以及一臉妖貓模樣的撒嬌鬼小四。 

	這兩隻嬌客完全不肯親近Ｊ，讓Ｊ的心裡十分不是滋味。……加油吧，Ｊ！ 

	 

	恐怖與搞笑只是一線之隔。 

	恐怖漫畫家的搞笑貓咪漫畫！

	  "
9789572631386," 寵物店裡，有一隻價格下滑也遲遲賣不出去，逐漸放棄希望的成貓。某天，一位大叔出現在牠面前「我想要這孩子」——從此，他們相遇了。 念著與妻子的約定而開始養貓的大叔，因為從未有過養過寵物的經驗，起初被貓咪的種種習性給傷透了腦筋，但貓咪真切又溫暖的反應總能逗得他會心一笑，心中那寂寞的空洞似乎也被彼此給填滿了…… "
9789869411080,"  
知名作家朱天心的街貓觀察故事！
	人氣漫畫家阮光民跨界改編新作！
	首刷隨書附贈紀念版貓咪書籤！
	《獵人們》文學LINE貼圖同步上市！

	 

	「這貓群且在我寫作中不斷增生、繁衍、變換、消失……，他們是非常典型的城市流浪貓和野貓的代表，我恰巧遇到了，目睹其生滅，以為有責任寫下來，證明他們確實來過這世上一場。」——朱天心《獵人們》

	 

	本漫畫改編自知名作家朱天心的散文隨筆集《獵人們》，以街貓觀察為主軸，述寫了自家屋內屋外、街頭巷尾、共享生活場域的貓咪們的故事。

	 

	人氣漫畫家阮光民再度跨領域改編。以原著中〈貓爸爸〉與〈李家寶〉兩段珍貴的回憶為題，描繪出人貓互動的情感與溫度。透過溫暖柔和的色彩使貓咪們成為記憶中最鮮活的存在；而灰階的背景，除了呈現回憶的年代感外，也隱喻著城市的冷漠調性。

	(1)貓爸爸

	貓爸爸，大頭黃背，四處打架，管轄範圍比里長還大，卻對定點餵食的里民送往迎來，翻滾撒嬌，多話異常。貓媽媽像鄰長一樣緊守著巷口巷尾的領地，把小貓們教得機警獨立，難以接近。貓妹妹是隻膽小怕人的絕世美貓，在結紮後性情大變，異常黏人，天天在路邊要求人抱。本篇透過呈現一個街貓家族的生命史，側寫其中的困境與憂慮，觸動與反思。

	(2)李家寶

	李家寶是作家朱天心專屬的白貓王子，顏值高，性情冷，不為母貓所動心，唯獨願與朱天心親近。 幼犬托托的到來，取代了朱天心與家寶相處的時間。在一次機緣下，家人便提議將親人的家寶轉送給友人的小女兒。沒想到家寶竟絕食數日，再送回朱家時已又髒又瘦，病情一度惡化。在生命的最後，當朱天心輕喚他時，家寶仍強撐著晃了幾下尾巴，以他們之間特有的默契，讓她知道，他原諒她了。

	 

名人推薦

	漫畫 ╳ 文學 ╳ 動保 ╳ 電影  跨界強烈推薦！

	 

	「漫長貓志工生涯的甜蜜與缺憾，獵人們終在此書中化成了彩蝶一夢。」

	—— 隱匿（詩人）

	 

	「我從沒想過，文學與漫畫的相遇能如此美好。正值疫情期間，我收到了《獵人們》試閱本，當時的我每天都非常浮躁。然而，當我開始閱讀這部作品，思緒和心緒瞬間進入一個沉靜的狀態。無論『貓爸爸』或『李家寶』都深深觸動我，我會和我的孩子分享這部作品。」

	—— 王師（牽猴子股份有限公司 總經理）

	 

	「生命堅韌又脆弱，無常與打擊會瞬然而至，偶有光輝出現，又能生出活下的力量。再次被《獵人們》感動！」

	—— Raye（十二夜導演）

	 

	「曾陪伴不少貓咪的我，《獵人們》漫畫版的寫實畫面直擊人心，喚起許多與浪貓/家貓相處的記憶，疫情期間這是一本不可多得的沉靜人心之作。」

	—— 太陽臉（圖文插畫家）

	 

	「與動物相處的每個緣分，構築了我們多彩的生命。」

	——吳宗憲（動物當代思潮召集人）

	 

	「在包含〈貓爸爸〉和〈李家寶〉兩篇作品的漫畫版《獵人們》裡，除了讀得出原著朱天心對貓的溫柔情意，也看得見漫畫家阮光民以畫筆療癒讀者的心意：一身金黃閃亮毛皮的貓爸爸如此耀眼，帥氣地過了精彩的一生，與原作者心有戚戚焉的讀者們，也可以少點感傷吧！而家寶貓的離世雖令人揪心，但終究是在溫柔的耳語——『我最愛家寶了』相伴下，闔眼；無限遺憾中，讀者得到了一絲安撫，憑藉著漫畫家所捕捉的瞬間。」

	—— 黃宗慧（台大外文系教授，開設「文學、動物與社會」通識課）

	 

	「街貓、街犬保護是許多動保人投入動保運動的開端，亦是動平會一直在進行的活動。很高興朱天心的《獵人們》一書改為漫畫出版，相信對動保教育的推廣及普及帶來更多機會，使大眾對生活在我周遭的流浪動物的真實樣貌，有充分認識。所謂的『生命教育』就當如此樸實而日常，不用特地去學習，它就在我們的街角巷弄中，如何與這些獵人們共處、包容與學習。正如動平會在推動街貓友善城市方案所說的，街貓作為小小市民，是城市的眾多靈魂角色之一，指引人族愛與包容。」

	—— 林憶珊（台灣動物平權促進會執行長） "
9789865115692,"  
	總是壓抑自己、配合旁人的大學生・篤，
	在某天騎腳踏車回家的路上壓傷了一隻狸貓。
	篤把受傷虛弱的狸貓帶回家照顧，但隔天早上醒來，
	房間裡卻出現一位長了狸貓耳朵和尾巴的少年！
	名叫波可太的少年，是一隻能變成人類的狸貓。
	他為了學習人間事物而開始所謂【狸貓狸貓】的修行，
	但在離開故鄉山林的時候，卻不小心迷路來到了都市。
	為了修行，波可太拜託篤，希望他能
	當自己的主人――!? "
9789572651148," 吉諾維與理拉的同居生活，變得更加綻放光輝。里拉開始對獸人的語言產生興趣，但某一天，吉諾維突然倒下…獸人X女高中生的寵物生活，變得束縛著對方？ "
9789572654866," 窗外來了一隻黑貓。牠是福丸以前還在寵物店的時候，先一步被人領養走的貓咪。看著黑貓滿身是傷並一陣威嚇後拔腿而去，焦慮的福丸竟做出了驚人的舉動。人類與貓的故事將迎來苦難…「福丸，福丸…你在哪裡？」 "
9789572634745," 小狸貓和小狐狸有很多喜歡的東西，比如暖洋洋的太陽公公、睡午覺和甜甜的地瓜。牠們最喜歡的東西，果然還是……？相親相愛的２隻動物的全彩漫畫！還有大量的全新繪製！ "
9789577436566,"  
	★幸福塞滿滿～～

	專屬於你和我，完美無瑕的快樂生活♪

	★今天、昨天、明天，我們都在一起♪

	愛狗人士的聖經，喜愛狗狗的你絕對不能錯過的療癒系漫畫

	★Twitter&pixiv話題作品單行本化！在日本累積銷量突破43萬冊!!

	 

	和你一起夜間散步，

	發現了美麗的夜櫻。

	兩人一起快樂地購物。

	 

	無論何時，

	你的可愛都讓我深陷不拔。

	（但是求求你，

	不要朝蚯蚓撲過去。）

	 

	超有同感的「我家狗狗」短漫，

	越來越可愛的第7集♪

	 

	©rakuda 2019 / KADOKAWA CORPORATION "
4710601040072,"  
	小狸貓和小狐狸的山裡有很多食物！小狸貓和小狐狸雖然很愛吃，但是美味的食物總是平分共享。不過有時候會獨佔？氣氛熱鬧，朋友眾多的山裡的彩色漫畫！附大量的全新繪製！ "
