ISBN,書籍簡介
9789865245276,"  
	★日本於2020年3月27日開始播放第二次改編真人電視劇《愛吃拉麵的小泉同學 第二代》！小泉同學改由櫻田日和主演！
	★在日本累計發行本數達200萬本的大人氣美食漫畫！
	★小泉同學這次也要繼續大快朵頤最愛的拉麵！

	拉麵——令人著迷、無法自拔，
	有時甚至陷入瘋狂……
	這股罪孽深重的香味所吸引到的
	並非只有小泉同學一人……
	沒錯。所謂拉麵，正是在碗底
	追求「某種滿足」的一場旅程——！

	©Naru Narumi 2018 "
9789865245283,"  
	★日本於2020年3月27日開始播放第二次改編真人電視劇《愛吃拉麵的小泉同學 第二代》！小泉同學改由櫻田日和主演！
	★在日本累計發行本數達200萬本的大人氣美食漫畫！
	★小泉同學這次也要繼續大快朵頤最愛的拉麵！

	小泉同學畢竟還是個女高中生。
	她會積極參與學生會事務以改善校園生活，
	也會跑戶外大型活動；
	還會去公園陪小朋友玩，展現大姊姊的一面。
	一般高中生該體驗的青春，她一個都沒少。
	……沒錯，正如各位所預料，
	本集所有內容依然脫離不了拉麵。

	©Naru Narumi 2019 "
9789572669686,"  
	位在東京都西荻窪的一間小酒吧「三星洋酒堂」，由俊美的富家少爺調酒師、沉默寡言的主廚和個性十足的老闆三人共同經營。這家酒吧除了酒水外只提供罐頭料理，菜單裡只寫著「as you like」，他們用客人當下最需要的料理和調酒，撫慰人們或疲憊或迷惘的心。而另一方面，三位酒吧經營人似乎也各有自己的過去需要面對…… "
9789864867110," 小螢小姐Come back？她的目的是？「模範生點心餅有了新的吉祥物！」「靠士力架在野外求生？」「剛洗完澡最適合吃的粗點心是…！」「小螢小姐有什麼新的野心？」小螢登場讓熱鬧度直衝120％的第8集！ "
9789572642962," THE BLUE決戰，創真以充滿了母親回憶的炒飯成功打敗了才波朝陽，獲得與繪里奈再次對決的機會。然而此時的繪里奈陷入迷惘而變得盲目，令創真看不下去。他決定用自己的料理，喚醒繪里奈的神智……食戟之靈，堂堂完結！ "
9789864860074," 季節來到了冬天！劇情有新發展，還有工讀生加入？「大嘴鳥圖案的設計有什麼秘密？」「最適合搭配章魚燒的粗點心是──」「用輪盤巧克力做瞬發式搞笑？」「鹿田柑仔店…有了住在店裡的工讀生？」新發展&新角色登場，風波不斷的第7集！ "
9786263160354,"  
	從「我開動了」到「謝謝招待」，與您共度一段幸福的時光。
	跟著可愛女僕的腳步，來一趟不一樣的日本輕旅行。
	一同感受美麗的日本街道以及人情的溫暖。

【故事簡介】
	於英國豪宅工作的女僕‧雀在日本生活了一段時間，
	盛開的櫻花已然凋謝，漸漸邁向下個季節。
	面對全新的邂逅、夜間散步、與共事的女僕重逢等等，
	雀的世界從公寓慢慢拓展開來！
	當然她對美食的好奇心也與日俱增♪

	由非日常的女僕小姐為大家帶來的
	貪吃日常漫畫第２集暖心登場！

◎望梅止渴未嘗不可？透過本書來一場日本平民美食之旅！
	雖然無法踏出國門，但澎湃旅遊心卻逐漸無法壓抑，快要大爆發了嗎!?本書真實呈現日本街景、房屋場景更是細心考究。不管是新奇的、抑或令人懷念的日本街道都將完美呈現在您眼前。

◎搶先預習，美食當前的最佳旅遊指南！
	面對稀奇古怪的日本攤販美食感到手足無措嗎？
	鯛魚燒該從「頭」吃還是從「尾巴」吃？章魚燒、糰子該怎麼吃才不會弄到破破爛爛又滿嘴狼狽!?藉著女僕小雀的麻雀旅遊指南書，讓您享受美食不卡卡。

◎極致療癒！最幸福的「吃播」就藏在這本漫畫中！
	滿滿女僕小姐的可愛表情， 不論是看到從未見過的食物時驚訝的表情、初次與鄰居打招呼時緊張的表情、不管哪一頁都是極致的療癒表情包。

◎不只是填飽肚子而已，食物與羈絆皆有歷史！
	透過漫畫劇情，傳達各種小吃背後的意義。例如日本人在重要的日子會吃鯛魚、信玄餅的由來、年輪蛋糕「讓幸福逐漸累積」的含意！讓食物的「溫度」透過一篇篇的故事躍然紙上。 "
9789865129088,"  
	★跨種族、跨時空，足以溫暖人心的料理狂想曲！
	 
	大小姐的食物是人類的血液。
	想讓食物更美味，就要餵食人類好吃的料理。
	但是，和食用人類一起度過的日子似乎滿開心的。
	一起出遊、照顧病人、烤地瓜等等。

	然而，由於麗莎大小姐並非人類，
	儘管共度著相同的時光，她所流動的時間卻是不同的。
	對於不會衰老的她而言，這些相處的點滴都是轉瞬之間的事。
	由瞬間情感所交織出的料理狂想曲第二集。 "
9789571095929,"  
 從「我開動了」到「謝謝招待」，與您共度一段幸福的時光。
 跟著可愛女僕的腳步，來一趟不一樣的日本輕旅行。
 一同感受美麗的日本街道以及人情的溫暖。

 【故事簡介】
 原先於英國宅邸擔任女僕的雀，
 基於某些原因來到日本一角的小小公寓展開新生活。
 儘管有許多需要操心的事情，
 不過對日本食物充滿好奇的雀，
 瀟灑地離開公寓去尋找美食…！

 由非日常的小女僕所獻上的
 窩心日常漫畫，就此開演！

 ◎望梅止渴未嘗不可？透過本書來一場日本平民美食之旅！
 雖然無法踏出國門，但澎湃旅遊心卻逐漸無法壓抑，快要大爆發了嗎!?本書真實呈現日本街景、房屋場景更是細心考究。不管是新奇的、抑或令人懷念的日本街道都將完美呈現在您眼前。

 ◎搶先預習，美食當前的最佳旅遊指南！
 面對稀奇古怪的日本攤販美食感到手足無措嗎？
 鯛魚燒該從「頭」吃還是從「尾巴」吃？章魚燒、糰子該怎麼吃才不會弄到破破爛爛又滿嘴狼狽!?藉著女僕小雀的麻雀旅遊指南書，讓您享受美食不卡卡。

 ◎極致療癒！最幸福的「吃播」就藏在這本漫畫中！
 滿滿女僕小姐的可愛表情， 不論是看到從未見過的食物時驚訝的表情、初次與鄰居打招呼時緊張的表情、不管哪一頁都是極致的療癒表情包。

 ◎不只是填飽肚子而已，食物與羈絆皆有歷史！
 透過漫畫劇情，傳達各種小吃背後的意義。例如日本人在重要的日子會吃鯛魚、信玄餅的由來、年輪蛋糕「讓幸福逐漸累積」的含意！讓食物的「溫度」透過一篇篇的故事躍然紙上。 "
9789572636626," 戰況激烈至極的「THE BLUE」淘汰賽！為了與朝陽再戰一場，創真接連打敗黑暗料理人（小字：Noir）對手。另一方面，在別區比賽的繪里奈，竟然碰上意想不到的對戰組合？特等執行官（小字：Bookmaster）的意圖究竟是什麼…？ "
9789572632277," 眾多「光明」料理人在「THE BLUE」那與歷年大異其趣的殘酷試煉中遭到淘汰。順利晉級的創真等人，終於要和實力至今仍是謎團重重的「黑暗」料理人進行料理對決。他們所擁有的能力是……？ "
9789572628911," 世界各地獲選青年齊聚一堂的料理冠軍大賽「THE BLUE」開幕！過去不曾產生交集的「光明界」與「黑暗界」料理人混雜的第一階段審查中，會場被異樣的氣氛籠罩。創真也追著才波朝陽，挑戰第一道關卡…？ "
9789863566137,"  
	27歲的上班族日日野鮎美最討厭被人叫「山女孩」了，
	自稱為單獨登山女子的她，
	被單獨登山男子鷹桑秀平過於大膽的紮營方式嚇了一跳、
	在東京都最高峰的雲取山上，因為不可能的大失誤而陷入窘境、
	實現了從北阿爾卑斯經黑部水庫～前往立山的母女二人之旅，
	甚至還被「幽靈」救了一命⋯！？
	多少次在山中的相遇，全都是令人心動的回憶！

本書特色

	★單獨登山女子X美食　在山上也能用美味食材飽餐一頓！
	★日本超人氣熱賣突破40萬本！！ "
9789572616482,"  
	聯隊食戟也終於進入最終輪！面對最強的十傑．司和龍膽，反動派的命運就寄託在創真和繪里奈的料理上！最終決戰的結果究竟如何…？而繪里奈和薊這對父女所找到的「真正的美食」又是什麼？ "
9789572613948,"  
	進入第4輪！薙切繪里奈終於出馬！面對「甜點女王」茜久保桃的可愛料理，「冰之女王」繪里奈將會端出什麼樣「超乎想像」的料理…？接下來，一色和巧也將挑戰最強的十傑，司和龍膽！ "
9789572607503,"  
	巧被叡山的妨礙料理逼入困境，但他的神情卻充滿自信。巧會呈現出什麼將義大利料理向前拓展的菜色？此外創真和田所也燃起對勝利的執念！白熱化的第3輪，勝負即將分曉！ "
9789864701841,"  
 吃！玩！吃！滿是粗點心的暑假！

 「宿醉時…就吃這款粗點心！」
 「棒棒冰的正確折斷方法？」
 「來玩猜拳超人吧！」
 「……放暑假還要去學校？」
 盡情吃喝玩樂的暑假時光！ "
9789864701834,"  
	夏日祭典到了！歡樂的點心暑假狀況絕佳！

	「讓我們來一場…堂堂正正的品麩菓子對決！」
	「用乳酸糖來玩醫生遊戲？」
	「我要成為梅子醬的接班人…」
	「吃下GLICO牛奶糖，奔跑吧阿九！」
	…炎熱又美～味的夏天，風情正盛！ "
9789864701827,"  
	小螢對粗點心的愛，進一步升溫！

	「高麗菜太郎的『太郎』…是代表什麼？」
	「一起思考超繩Q的玩法吧！」
	「哈密瓜球的容器有什麼用途…」
	「來吧，酸葡萄對決開始！」
	…歡樂的點心暑假不會結束♪ "
9789864701810," 鄉下柑仔店老闆的兒子．鹿田九，是個相當熟悉店內販賣之粗點心的高中少年，但他的夢想卻是成為漫畫家，堅持不願繼承自家柑仔店。突然出現在他面前的點心生產商「枝垂COMPANY」社長千金．枝垂螢，則是個異常熱愛粗點心的美麗少女。小螢即將展開一連串攻勢，透過介紹各式各樣美味又懷舊的粗點心，激起阿九繼承自家柑仔店的意願！ "
9789864821617,"  
	在煙火大會上急速進展？急轉直下的暑假！「麥粒巧克力的麥粒…是什麼？」「迷你咪咪糖到底是什麼？」「餅太郎的品名有何秘密…？」「小螢和阿九參加煙火大會！」震驚四座、進展驚愕的第6集！ "
9789572667705," 你就是「玉麒麟」……據說能夠使用全部「傳說中的八廚具」的人……在中斷三天之後，西安麵條比賽重新展開。準決賽‧第二戰開始，阿飛和路以搭檔的『太極宮』，與擁有神秘變臉廚師的『丹鳳門』展開激烈衝突。施展超級絕技的雙龍廚師，以及以一敵二大膽無畏的敖華。他們的對決已經達到異次元的領域……太極料理界、敖華，以及阿昴。在三方對峙的局面中，麵條比賽走向出乎眾人意料的結局－－ "
