ISBN,書籍簡介
9786263035980,"


 「在演藝圈(這個世界)裡，謊言就是武器。」

 升學進入設有演藝科的高中就讀的雙胞胎兄妹阿奎亞與露比。
 看著同學們都已投身演藝圈打拚奮鬥，露比不由得感到焦慮…
 於是也開始準備邁向偶像之路！！
 另一邊，阿奎亞受到網路劇的製片人邀請，決定參演戀愛真人秀。
 但演藝圈所謂的「真實」究竟是…！？

 「赤坂アカ×横槍メンゴ」的豪華組合，從最新的觀點切入描述「演藝圈」的衝擊作…第3集！！

本書特色

 1.赤坂アカ《輝夜姬想讓人告白～天才們的戀愛頭腦戰～》×横槍メンゴ《人渣的本願》《妳是我的淫蕩女王》(作畫)，超級作者搭檔聯手打造最強漫畫！
 2.日本①～③集超速累積銷售100萬冊！
 3.日本2021漫畫大賞入圍作品！
 4.熱血、轉生、戀愛、懸疑、推理──塞滿各種「娛樂」要素的「演藝圈」漫畫！
 5.台灣版限定隨書附錄「偶像角色卡」！
 6.特別應幕活動同時展開，詳情請參考青文官方網站。

"
9786263084636,"


	和菓子糕餅鋪的老闆娘恭子，
	在姊妹淘的慫恿下參加「媽媽活」，
	一種「花錢與小鮮肉約會」的遊戲。
	此時的恭子正因為丈夫出軌而懊惱，
	加上約會對象圭介令她怦然心動，於是兩人發生了肉體關係。
	這場疑似戀愛帶給恭子喜悅，卻也帶來意外的恐怖災難…

"
9789860777208,"


★華文世界首度出版！松本大洋魄力之作，前所未有的精裝大開本！
	★台版豪華獨家──完整收錄：① 法文版松本大洋特別繪製的全彩書衣 ＋ ② 日文版版畫內封 ＋ ③ 限量全彩對開大海報！

	門不只是為了關閉而存在，
	它也可以開啟。

	《花》是松本大洋以「部落」和「祭典」為題材所繪製的漫畫，原本是作為1998年東京「黑帳篷」劇團第41回公演的劇本，是他少數和其他領域創作者合作的作品。2002年成書出版之際，松本大洋又為每一頁進行了大幅的加筆、修改，並加入新繪製的畫面。

	故事圍繞在擁有花之名的「製面者」，以及擁有鳥之名的「祭舞者」兩個部族間。製面者的酋長決定將繼承人傳給次子「椿」，因為長子「百合」懼怕外面的世界，總是把自己關在房內。然而，椿無法像百合那樣感知山林裡的「祂們」，也不擅長製作面具，受到祭舞者的質疑。為了部落與家族，是百合能走出門看見世界，還是椿能苦練出傳承的技藝呢？交織著兄弟之情與家族傳承的物語就此展開……

	松本大洋在畫《乒乓》的時候受邀去了一趟法國安古蘭漫畫節，此行他見到墨必斯（Mœbius）和德魁西（Nicolas de Crécy）等許多法國漫畫名家，受到不小刺激。他曾在《松本大洋本》的訪談中說：「大家（法國漫畫家）的畫都好得不得了，非常帥氣。……我心想，他們的畫實在太厲害了，用週刊連載的時間畫出那樣的東西是不可能的。」

	當時受到的刺激和隨之而來的思考，最早反映在松本大洋作品上的便是1998年創作的《花》，因此本書是一個非常重要的轉折點。在畫完《乒乓》那樣神乎奇技、天才般的強烈分鏡和速度感的作品之後，松本大洋藉由為「黑帳篷」劇團創作的《花》嘗試了一個很大的煞車和轉彎。他在本書中完全捨棄網點的使用，畫面的層次和陰影全部都以版畫般的手繪線條和塗黑來完成。故事敘述的節奏和分鏡的切割也都放緩，其中還加入了四頁鏡頭固定、只讓角色來回遊走交談的復古繪本式分鏡。故事中製作面具的主角能夠看見一般人所未見之靈，全書情節的行進以四季區分，從「秋」開始，結束在「夏」，此中心主旨和結構也讓本書可被視為2000年出版之《GoGo Monster》的先聲。非常建議兩書對照閱讀。

	有別於《GoGo Monster》以小學為背景，《花》有許多描繪原住民木雕面具和祭典舞蹈的場景，在畫風上刻意使用許多大面積的塗黑，令人聯想到木版畫的樸素與粗獷，整部作品既生猛有勁，又帶有神祕氣息。而田裡立著的謎樣塑像以及書末頁又讓人覺得，這是否是歷經了某種「毀壞」後的未來世界……？

	本書也是松本大洋漫畫著作中難得以內頁22.3x29.7cm（約A4）大小呈現的精裝大開本，規格近似歐漫或繪本，也呼應前述的轉變，更能呈現松本魄力十足的全手繪畫面，閱讀起來相當過癮。

	此外，本書將完整收錄：法文版「百合頭像」彩色書衣、日文版黑白版畫內封、日文版全彩大海報（尺寸51.6*70 cm，首刷限定），以及手繪字大師（同時也是原書裝幀）「平野甲賀」替《花》所設計的書名字。

"
9786263047396,"


	阿峰為了軍閥的埋藏金而接近首麻里，
	卻在朝夕相處間逐漸被他吸引。
	只可惜，愛情的幸福轉瞬即逝。
	首麻里遭到逮捕，竟被送進太財家族的礦坑去做苦力！
	蠻荒時代的石狩原野，野性壯闊的求生意志，
	請看大師如何刻劃！

"
9789863191759,"


 超人氣漫畫新星──左萱　首部長篇漫畫作品

 費時兩年取材，親訪大溪多次取景訪談，
 細膩描繪當地實景，感動閃耀的人物情感。

 神之鄉同名音樂型手遊ＡＰＰ　同步登場！
  

神會指引回家的路！

 當年的約定，
 就要綻放在神之鄉的夏日祭典中……

 老街手工月光餅、普濟堂前賽陀螺、
 騎馬銅像都市傳說、閃爍神秘金光的大漢溪，
 還有廟會陣頭與三太子僮仔……


 大三暑假，在台北讀大學的夏志薰，
 帶著暗戀他的美術系同學陳暖暖，
 回到了睽違七年的家鄉大溪，
 也回到他遺忘的童年。

 回憶點點滴滴，也許正是神明指引的回家之路。.
 阿薰逐漸找回屬於自己的回憶，
 童年的玩伴、失和的家人，還沒被履行的約定……
 而大溪人的第二個過年——「六月廿四」
 關聖帝君聖誕的遶境即將來臨……

 漫畫家左萱費時兩年取材，親訪大溪多次取景訪談，
 細膩描繪當地實景，感動閃耀的人物情感，
 連載期間即廣受好評，
 邀您一起來到神之鄉，品嚐這片土地的味道和回憶。

"
9789865377700,"


 「在演藝圈(這個世界)裡，謊言就是武器。」

 在地方都市的婦產科當醫生的五郎過著與演藝圈無緣的每一天。
 另一邊，他所「推崇」的偶像‧星野愛則在明星之路上飛黃騰達。
 然而這樣的兩人卻在「最糟」的情況下相遇，他們的命運開始脈動…！？

 「赤坂アカ×横槍メンゴ」的豪華組合，從最新的觀點切入描述「演藝圈」的衝擊作開幕！！
  
本書特色

 1.赤坂アカ《輝夜姬想讓人告白～天才們的戀愛頭腦戰～》×横槍メンゴ《人渣的本願》《妳是我的淫蕩女王》(作畫)，超級作者搭檔聯手打造最強漫畫！
 2.日本①～③集超速累積銷售100萬冊！
 3.日本2021漫畫大賞入圍作品！
 4.熱血、轉生、戀愛、懸疑、推理──塞滿各種「娛樂」要素的「演藝圈」漫畫！
 5.台灣版限定隨書附錄「偶像角色卡」！
 6.特別應幕活動同時展開，詳情請參考青文官方網站。
 7.①②集同時發售喔！

"
9786263032859,"


 「在演藝圈(這個世界)裡，謊言就是武器。」

 轉生為自己的偶像．星野愛的孩子，卻擁有前世記憶的雙胞胎
 阿奎亞和露比幸福地享受著溫馨甜蜜的「小寶寶生活」！
 但美好的時光轉眼之間就結束了，因為小愛遭到跟蹤狂殺害…
 時光荏苒，雙胞胎在成為高中生的同時，
 阿奎亞為了「復仇」、露比為了像媽媽一樣「閃閃發亮」，
 各自懷著不同的打算準備挑戰「演藝圈」…！

 「赤坂アカ×横槍メンゴ」的豪華組合，從最新的觀點切入描述「演藝圈」的衝擊作…第2集！！
  
本書特色

 1.赤坂アカ《輝夜姬想讓人告白～天才們的戀愛頭腦戰～》×横槍メンゴ《人渣的本願》《妳是我的淫蕩女王》(作畫)，超級作者搭檔聯手打造最強漫畫！
 2.日本①～③集超速累積銷售100萬冊！
 3.日本2021漫畫大賞入圍作品！
 4.熱血、轉生、戀愛、懸疑、推理──塞滿各種「娛樂」要素的「演藝圈」漫畫！
 5.台灣版限定隨書附錄「偶像角色卡」！
 6.特別應幕活動同時展開，詳情請參考青文官方網站。
 7.①②集同時發售喔！

"
9789864624607,"


	赤場帝一以成為名門學校．海帝高校的下一任學生會會長為目標努力奮鬥。而這次森園會長終於要發表會長的候補人選。但其中卻出現了原本應該已經被冰室算計排除掉的菊馬的名字。究竟森園為何會指名菊馬成為候補人選？另一方面，一心想得到美美子的野野宮祭出了卑鄙的手段。受到過去曾讓日本列島為之震驚的野野宮及高天原所支持的菊馬陣營玩弄的帝一將會面臨什麼樣的命運？

"
9789865127114,"


 輪流行房而同床共寢的二男一女。
 三人是青梅竹馬，從兒時就締結了堅定的友情。
 不過畢業從同時，莫名進入了這般不可思議的生活。
 三個人相愛是怎麼回事？不會有嫉妒嗎？
 雖說是青梅竹馬，但一切能順利嗎？
 就算遭到周圍人無數的質疑與批判，
 今天三人也繼續過著心跳加速的興奮生活。

本書特色

 1.《夫妻甜蜜物語》克‧亜樹之最新作品！
 2.灌注全心所描繪，最新的愛的形式。二男一女之間開始了祕密生活!!

"
9789572658338,"

國內分成13區的多瓦王國，自99年前便設置了管轄警察局、消防局等等眾多機構的巨大統一機關「ACCA」。位於首都勃東區的ACCA總部設置了監察課，除了派遣總部的職員到各區的ACCA分部監察，副課長吉恩‧歐塔斯更是不定期到各區視察工作情況。然而神秘兮兮、總是低調地完成職務的他，即將捲入一場左右國運的大陰謀中……！
                    
"
