ISBN,書籍簡介
9789869935760,"


	日本江戶時代晚期浮世繪大師歌川國芳，作風新奇大膽，充滿懾人的氣魄與天馬行空的想像。本書描述國芳與慧眼獨具的富商遠州屋佐吉邂逅，得其資助，以銳利熱情的藝術家之眼，凝視江戶的人情世故，並從中汲取養分，在歌舞伎演員與劫富濟貧的大盜身上，看見江戶子令人屏息讚歎的豪情俠義，納為筆下一幅幅震撼人心的肖像浮世繪而聲名遠播，最終成就一代大師的傳奇。

推薦人

	米　雷　《過氣英雄傳》漫畫家　
	TAMON  《鬼滅超解析》作者
	李孟學　《典藏ARTouch》編輯
	林齊晧　《udn Global 轉角國際》編輯

本書特色

	作者從業餘同人漫畫家時期便多次將時代小說中的劍客化為漫畫，《千》系列與《飄飄國芳一門浮世譚》問世後，更以描繪江戶時代劇漫畫廣為知名。作者以跨越不同領域、陽剛與細膩兼具的筆風，描繪江戶人引以為傲的人情豪氣，向日本浮世繪大師歌川國芳強烈撼人的武者繪等作品致敬。現代漫畫媒體與往昔浮世繪藝術，在本作當中交相輝映，引人入勝。

"
9789863195160,"


	昭和臺灣，摩登大稻埕轉角，
	維特咖啡裡的少年追逐著光影落筆——
	楊佐三郎滿懷畫家夢。
	第五回臺展意外落選、哥哥一句現實警語，
	楊佐三郎遠赴法國，尋找自己繪畫的價值⋯⋯
	「在這裡，人們盡情享受藝術。」
	在臺灣不曾體驗的開放風氣，衝擊他對美與文化的認知，
	一場藝術探索之旅，浪漫展開！

本書特色

	親訪楊三郎美術館取材，國立臺灣美術館專業監修。
	實力派金漫畫家HOM兩年超譯改編——
	曾經迷惘仍不願停筆，傾注青春與信念，臺灣油畫大師楊三郎用畫筆，
	凍結萬物光照下的斑斕絢爛。這是臺灣美術邁向陽光普照的風華年代。

名人推薦

	國立臺灣師範大學美術學系教授｜白適銘——專業顧問
	漫畫家｜61Chi、常勝、韋蘺若明
	美術史研究者｜李欽賢
	旅法畫家｜呂榮琛
	國立臺南藝術大學藝術史學系副教授｜黃猷欽
	——驚艷推薦。

"
9789865126384,"


	背景設定在元和元年，因為德川家康攻下了大阪城，豐臣家敗北了。
	為了殲滅剩下的豐臣家殘黨，德川幕府向民兵配給了「霸府之印」，
	不論身分，只要是豐臣家的殘黨一律格殺勿論。

	沖田總司和柳生宗矩一同前往討伐惡鬼！
	然而惡鬼的實力超乎想像，
	他們是否能順利斬殺惡鬼呢！

	另一方面，因施展了大忍法淤能碁呂，
	真田十勇士成為了雷鬼！

"
9789865245238,"


 ★古風大神 大風颳過 × 知名插畫家 千二百，聯手打造別致懸疑推理！
 ★熱門影視化IP，眾所期待的全彩漫畫化！
 ★特別收錄：全新番外

 「這世間許多事，似乎都源於偶然。」

 窮試子張屏進京參加會試，因為缺錢，在街頭擺攤賣麵。
 去蘭府要帳時，張屏偶遇並因誤會結識了主持本次科舉的禮部侍郎蘭珏。

 為謀生計，好友陳籌推薦張屏為來喜班寫戲本賺錢，
 戲本源自戲班老闆娘娘家一段奇聞怪事，
 豈料戲未上演，戲班老闆突遭謀害，生死未卜。
 而因戲本酬金與戲班生出間隙的張屏，成了頭號疑犯……

 一個故事或許就此開始。
 而若認真追尋，許多的偶然，其實都是偽裝後的刻意。

 ──我一向以為，世上並無鬼神。

"
9786263160385,"


	★軍事漫畫大師川口開治最新力作，榮獲第63屆小學館漫畫賞一般向部門獎。

	 

	夢想與祈禱，無法擊落飛到國民頭上的飛彈。

	當國土遭到侵襲時，還能夠守著「防衛」的原則默不吭聲嗎？

	 

	為了以武力奪回被佔領的先島諸島兩個島嶼，

	「伊吹」的艦載機確保了現場海域的航空優勢！！

	接著，中國軍兩架驅逐艦前來阻止艦隊前進！！

	為了避免擊沉敵艦造成戰火擴大，

	神盾護衛艦「鳥海」挑戰了

	只破壞敵艦武裝的高難度作戰……！！

	然後，為了掃蕩配置在多良間島的反艦飛彈，

	「伊吹」航空團司令淵上起飛——！！！

	 

	伊吹號被中斷的歷史，在此重新展開！


	 

"
9789862359891,"


——他們的戰爭，我們的青春——
	 

日本文化廳Media藝術祭、手塚治虫文化獎、日本漫畫家協會大獎得主
	以輕盈溫柔之筆記下最殘酷的成長物語


	「今日町子的漫畫飄逸又令人窒息，正是因為它巧妙映照出現實中清潔與不潔的共存狀態。」——Mangasick

	「即便不知道那段歷史，腦中卻有非常鮮明的色彩，彷彿我在哪讀過這些似的。」——高妍｜漫畫家


	【特別收錄外傳〈生日蛋糕〉】


	★日本文化廳Media藝術祭評審推薦作
	★2013年改編為舞台劇，由岸田國士戲曲獎得獎人藤田貴大操刀
	★《達文西》票選「當月不可錯過的白金作」

憧憬、初戀、爆破與死亡
	開創戰爭漫畫新風格的代表作

	沖繩，日本二戰時死傷人數最多的本土戰區，而「姬百合學生隊」則是由沖繩兩所女子學校所組成的後勤醫護人員，兩所學校共240名師生，136名師生戰亡。本書以姬百合學生隊的史實為基礎，描繪一個又一個如同百合花盛開的少女面對戰爭的肆虐，青春的甜美如何成為對抗殘酷現實的最後武器。

	「砂糖能鏽蝕鋼鐵嗎？」

	鏡面裡美麗的面孔、令人想起母親溫柔臉龐的皂香、畫滿蛋糕汽水的塗鴉本⋯⋯在砲彈轟然的防空洞中，生命像隨風消逝的詩篇，他們以少女之心所織成的繭保護自己，同時也與鮮血及死亡比鄰，掩埋在歷史的灰燼之中。

	沖繩土生土長的愛國少女桑，與來自東京身世謎樣的真由，兩人相知相惜的友誼，領著她們度過同儕的死亡、逃難的饑饉、士兵的性暴力⋯⋯初出萌芽的曖昧情愫，揭開的卻是真由的身世之謎，歷史上少有人述及的一頁。

	作者今日町子從處女作《千年畫報》出版以來，以清新畫風受日本漫畫界注目。本作為其「戰爭」系列的第一本，以輕盈溫柔的筆觸描繪戰爭日常，為新一代漫畫家開創戰爭漫畫新風格的代表作品。曾以《cocoon 繭》、《Anone》獲日本文化廳Media藝術祭肯定。2014年以《辮子之神》等作品獲手塚治虫文化獎新生奬、2015年以《草莓戦争》獲日本漫畫家協會大獎。

"
9786263027060,"


 ★軍事漫畫大師川口開治最新力作，榮獲第63屆小學館漫畫賞一般向部門獎。

  

 夢想與祈禱，無法擊落飛到國民頭上的飛彈。

 當國土遭到侵襲時，還能夠守著「防衛」的原則默不吭聲嗎？

  

 中國潛水艇「遠征」朝著「伊吹」第五護衛隊群發射魚雷！！！

 在有可能被擊沉的情況下，自衛隊最新銳潛水艇「劍龍」

 與海上船艦所做出的新戰法究竟會是！？

 接著日本政府終於選擇進行武力奪還────！！！

 開出作戰的第一槍的，

 是「伊吹」艦隊────！！！

  

 伊吹號被中斷的歷史，在此重新展開！

  

"
9789865242190,"


	★改編自真人真事，維多利亞時代女探險家的日本奇幻紀行！
	★收錄東京、橫濱、春日部及日光之旅。

	因為日本嚴酷的氣候環境，讓背部舊疾加劇，
	博兒決定在近代化都市秋田接受治療，
	但真的有能治癒痼疾的方法嗎？
	大受好評的探索東瀛紀行，第7集隆重登場！

	©Taiga Sassa 2020 / KADOKAWA CORPORATION

"
9789869976244,"


	台灣1867年的真實故事改編，由同名小說作者陳耀昌老師正式授權，講述台灣多民族在衝突與碰撞中結合的過往，是一部不僅台灣人要知道的歷史故事，更是全世界人將重新看待台灣的歷史片段。

	由曹瑞原執導的公視旗艦戲劇「斯卡羅」耗時3年籌備，將小說「傀儡花」擴大改編為影視作品，特別選在跟歷史上「羅妹號事件」同月同日的今天釋出首波預告，並宣布8月14日首播。

"
9789865485429,"


 18世紀法國大革命前晚。
 當時有位儘管出身平民卻住在凡爾賽宮，
 且權勢凌駕於貴族的一位「裁縫師」。
 她的名字就叫做蘿絲．柏汀。
 這是一個描述受到瑪麗皇后寵愛，
 受到革命波及、被人稱為時尚設計
 鼻祖這樣一個人物所發生的故事。
  
本書特色    

 18世紀法國。
 瑪麗•安東妮皇后的御用時尚設計師。
 真實活在這段動盪歷史裡面的女性－－蘿絲．柏汀
 她所發生的故事將徹底揭曉！！

"
