ISBN,書籍簡介
9789572645826,"


	本書是最近掀起熱烈討論的吾峠呼世晴老師「鬼滅之刃」第一本公式漫迷手冊，內容不但完全公開鬼殺隊的柱、主要隊士的個人詳細基本資料，針對鬼的部分也有詳盡的解說；此外，還有本作品的前身『鬼殺之流』一~三話的珍貴分鏡稿，讓讀者窺見兩者的關係以及演變過程。還附上了連載時的彩色扉頁插圖，讓忠實讀者們可以一飽眼福。

"
9789863567004,"


	《精靈寶可夢 太陽＆月亮 全國全寶可夢大圖鑑》為「上」+「下」兩冊合一的大圖鑑。

	本書為「上」冊，收錄了從始祖大鳥到土台龜等402隻寶可夢喔！

	「上」+「下」總共收錄802隻寶可夢，並且包括原始回歸、地區形態、超級進化等不同的形態變化，甚至連究極異獸也都有收錄喔！(收錄至2017年8月為止的所有寶可夢。)

	另外最新動畫系列《精靈寶可夢 太陽＆月亮》的登場角色們──有從關都地區的真新鎮來到阿羅拉的小智，以及寶可夢學校的夥伴們也全員大集合！

	最後還有2017年劇場版電影《精靈寶可夢 就決定是你了！》的介紹喔！
	 
本書特色
	    
	1.一頁一隻，包括寶可夢的名稱、全國圖鑑編號、屬性、特性、進化、解說等等詳細情報皆一目瞭然！
	2.「上」+「下」一次收服802隻寶可夢吧！
	3.原書是照日文五十音排列，而中文版特別追加中文索引，讓你更好找到最喜歡的寶可夢！

"
9789863567011,"


	《精靈寶可夢 太陽＆月亮 全國全寶可夢大圖鑑》為「上」+「下」兩冊合一的大圖鑑。

	本書為「下」冊，收錄了從搬運小匠到腕力等400隻寶可夢喔！

	「上」+「下」總共收錄802隻寶可夢，並且包括原始回歸、地區形態、超級進化等不同的形態變化，甚至連究極異獸也都有收錄喔！(收錄至2017年8月為止的所有寶可夢。)

	另外最新動畫系列《精靈寶可夢 太陽＆月亮》的登場角色們──有從關都地區的真新鎮來到阿羅拉的小智，以及寶可夢學校的夥伴們也全員大集合！

	最後還有2017年劇場版電影《精靈寶可夢 就決定是你了！》的介紹喔！
	 
本書特色
	    
	1.一頁一隻，包括寶可夢的名稱、全國圖鑑編號、屬性、特性、進化、解說等等詳細情報皆一目瞭然！
	2.「上」+「下」一次收服802隻寶可夢吧！
	3.原書是照日文五十音排列，而中文版特別追加中文索引，讓你更好找到最喜歡的寶可夢！

"
9789571099934,"


背離榮耀化身戰鬼，捍衛化為焦土的家園！


★日台英三地首周銷售NO.1
 ★2020年最受讀玩家喜愛遊戲
 ★橫掃NAVGTR獎，拿下14項獎項
 ★榮獲法米通「2020超流行遊戲大賞」NO.1
 ★榮獲2021 GDC的《最佳視覺藝術》、《玩家票選》獎項
 ★榮獲2020年度遊戲大獎的「最佳美術指導」和「玩家之聲」
 ★榮獲2021第十三屆巴哈姆特遊戲動漫大賞的「年度十大人氣遊戲」、「年度人氣主機遊戲」 金賞
 ★以跌宕的劇情、動人的親情、絕美的風景，獲得玩家一致好評

 蒙古大軍入侵日本時，對馬島的武士們在一場殘酷戰役中幾乎被屠殺殆盡，但是境井仁倖存了下來。
 在戰後餘波中，仁決心救出舅舅志村大人，志村是唯一倖存的另一名武士，如今成了蒙古軍的俘虜。
 仁陷入了必須「以一擋千」的困境，也意識到自己如果想對蒙古侵略者做出反擊，就必須超脫傳統的武士訓練。
 他很快地獲得了一些武藝和武器，這些東西雖然違背了他原本信奉的武士信條，卻能讓他在戰鬥時佔上風。
 在一些新夥伴的協助下，仁很快地建立了戰功，在對馬島民眾和蒙古軍的心中留下了近乎神話的印象，他成了──「戰鬼」。

 美術設定集中蘊藏數百幅概念圖，包括遊戲中的諸多角色、設備、地點和動畫分鏡圖，以及奇譚模式，連同未被採納的早期設計。詩意盎然，色彩鮮明，動作優美，其疾如風──這就是《對馬戰鬼：美術設定集》。

本書特色

 ●蘊藏數百幅概念圖
 ●奇譚模式設計與介紹
 ●世界各地區設計概念美術圖全公開
 ●一次呈現遊戲中角色、裝備、動畫分鏡圖、
 ●披露早期和未使用之概念藝術圖

"
9789863379492,"

(全一冊)「銀之匙」的第一本公式導讀手冊上市了！不只收錄了八軒、御影、駒場、常盤、多摩子等主要角色的介紹，甚至連吉野、西川、別府這些配角，還有登場次數不多的老師等角色都有介紹！另外還收錄了初次公開的1年D班座位表與所有同學的照片！更以簡單易懂的方式替你整理到目前為止的故事！另外還教你怎麼重現在故事裡出現的披薩等美食，更有原作者˙荒川弘老師的專訪！
                    
"
9991100825024,"


．﹒‧°∴°☆隨書贈限量特製劇照閃卡貼，典藏第三季最淒美畫面☆°∴°‧﹒．

	《Thunderbolt Fantasy東離劍遊紀》作品誕生五週年紀念出版
	角色設定｜美術設計｜製作解說｜幕後團隊專訪
	第一手創作秘辛 一次典藏
	◆集五週年大成，逾500張設定資料一次曝光
	◆編劇虛淵玄破萬字深度專訪，合作秘辛與創作理念首次完整揭密
	◆CG×特攝×實景特效，經典場面煉成術大公開

	【台灣】霹靂布袋戲 × 【日本】動漫鬼才 虛淵玄（Nitroplus）
	台日共製、掀起海內外旋風 超越國界＆次元的奇幻武俠大作
	「布袋戲」在台灣是無人不知、無人不曉的傳統表演藝術，而《Thunderbolt Fantasy東離劍遊紀》由對布袋戲深深著迷的日本動漫劇作家虛淵玄（Nitroplus）擔任故事原著・劇本・總監修，與台灣布袋戲最具知名度的「霹靂國際多媒體股份有限公司」合作，是「台灣布袋戲」與「日本動漫」結合出的新型態「偶動漫」，這個跨越國界、超越類型的壯舉，不受布袋戲既定形象限制，本系列不只在日本與台灣．在全亞洲都獲得好評，成功打破布袋戲的傳統收視族群，可說是傳統文化走向國際的第一步！

	台日雙劍合璧　美術設定＆幕後製作全記錄
	《Thunderbolt Fantasy東離劍遊紀》自2016年6月第一季播映以來，已推出三季電視版、兩部劇場版，以及小說、改編舞台劇等延伸跨媒體作品，累積豐富的成果。
	本書匯集《Thunderbolt Fantasy東離劍遊紀》五年來的製作點滴，突破以往寫真書的概念，追溯創作緣起，從幕後創作的角度切入，試圖勾勒出《Thunderbolt Fantasy東離劍遊紀》的完整面貌。
	收錄超過500張設定資料，包含初期提案、草稿、角色設定稿＆寫真、美術概念圖、劇照、幕後側拍、分鏡腳本等，皆以全彩高規格印刷。無論是東離迷、霹靂迷、動漫迷，或是多媒體、動畫、美術設計等相關工作者，都能大飽眼福！

	▎話說從頭，台日製作分工流程一次曝光！
	▎殤不患、蔑天骸……充滿霹靂風格的角色名如何決定？凜雪鴉取自「Glacial Owl」？
	▎動漫風格如何套用到霹靂戲偶上？台日雙方都絞盡腦汁！
	▎劇裡東西怎麼可以看起來這麼好吃！？直擊「東離飯遊紀&西幽飯歌」現場！
	──更多祕辛與幕後設計理念，都能在設定集中找到！

【本書特色】

	★超豪華陣容！《Thunderbolt Fantasy東離劍遊紀》作品五週年紀念序
	- 霹靂國際多媒體董事長 黃強華
	- 霹靂國際多媒體總經理 黃亮勛
	- Nitroplus社長 小坂崇氣
	- GOOD SMILE COMPANY社長 安藝貴範
	- 故事原著・劇本・總監修 虛淵玄（Nitroplus）

	★合作秘辛與創作理念首度完整揭密
	-【深度訪談】核心人物虛淵玄破萬字深度專訪＋角色設計師（三杜シノヴ＆源覺）訪談
	-【職人特寫】導演、操偶師、道具組、美術組等直擊霹靂製作團隊

	★角色設定、場景設定⋯⋯大量未曝光的珍貴資料！
	- 歷代近50位角色一次收錄，包含武器、背面角度、不同時期造型等平常難得一見的細節！
	- 主角群（凜雪鴉、殤不患、浪巫謠）特別棚拍局部特寫！
	- 萬軍破的生日、白蓮的角色提案稿⋯⋯第三季新角色設定資料一次公開！
	- 嘲風房間的浪巫謠掛畫、刑亥的逢魔漏觀察日記⋯⋯細節控必看的場景美術資料！

	★CG×特攝×實景特效，經典場面煉成術大公開
	- 從腳本、分鏡到幕後側拍，一窺直逼電影規格的拍攝製作過程！

	╔《Thunderbolt Fantasy東離劍遊紀》作品年表╗
	2016年7月：《Thunderbolt Fantasy東離劍遊紀》開播
	2017年12月：電影《Thunderbolt Fantasy生死一劍》上映
	2018年8-11月 寶塚歌劇團星組改編為舞台劇
	2018年10月：《Thunderbolt Fantasy東離劍遊紀2》開播
	2019年10月：電影《Thunderbolt Fantasy西幽玹歌》上映
	2021年4月：《Thunderbolt Fantasy東離劍遊紀3》開播
	To be continued...

"
9789865128883,"


	動畫「精靈寶可夢 太陽＆月亮」登場的802隻寶可夢能力和祕密完整介紹的彩色圖鑑書！適應阿羅拉地區獨特自然環境的「地區形態」寶可夢們，以及各種寶可夢超級進化和原始回歸的樣子完全收錄！還有動畫「精靈寶可夢 太陽＆月亮」和「劇場版精靈寶可夢 就決定是你了！」介紹！喜歡寶可夢的你，必收藏的一本！

本書特色
	    
	●以屬性收錄802隻「精靈寶可夢 太陽＆月亮」寶可夢全國大圖鑑!!
	●從阿羅拉地區的新寶可夢到地區形態（阿羅拉的樣子），連超級進化的寶可夢都完整介紹！
	●究極異獸當然也有登場喔！還可以完整了解動畫與電影的祕密！

"
9789572664827,"

本書的內容除了有完整的登場人物資料、各集的故事簡介，以及一也的決鬥史，和腰帶招數介紹。更重要的是有看了會令人血脈賁張的性感人物排行榜！此外，還收錄了作者在製作本書時留下的最開心和辛苦的回憶，並在書中公開本作品的製作現場！最後還收錄了一開始在同人誌上製作的「怪怪守護神」試閱版「繼百」！請千萬別錯過喔！
                    
"
9789572657409,"

作者‧鈴木央在『七大罪』連載結束後，針對全部41集共346話的內容進行大爆料，許多不為人知的內幕，作畫時的心情轉折，眾多角色與台詞的靈感來源等等，內容可以說是包羅萬象。對談過程中作者還不時透露關於目前正在進行的下部作品的小細節，讓讀者在欣賞『七大罪』這故事更深入的細節之餘，還讓人對於老師新作產生了期待。
                    
"
9789865121860,"


FILE.01 FACES
 介紹赤井秀一與安室透，以及與此二人有關係深切之人物的縝密特輯!!

FILE.02 MOVIES
 劇場版《名偵探柯南 純黑的惡夢》的故事是以赤井&安室為中心展開！
 也公開青山剛昌老師親手繪製的原畫、修正分鏡稿以及親筆情節手稿！

FILE.03 TV SERIES
 彙整介紹電視動畫系列中赤井&安室所登場的主要片段!!

FILE.04 SPECIAL ILLUSTRATION GALLERY
 一舉收錄青山剛昌老師所描繪赤井&安室的美麗插圖&珍貴動畫插圖!!

FILE.05 MODEL SHEETS
 大舉公開劇場版&電視版動畫系列設定資料！

本書特色

赤井&安室鉅細靡遺！ 破解兩人祕密之官方記錄!!

 赤井秀一&安室透首本官方FANBOOK!!
 ●赤井秀一／沖矢昴／黑麥威士忌、安室透／波本／降谷零 揭開擁有多重面孔此兩人的的魅力之處!!
 ●回顧第20部劇場版《純黑的惡夢》之名場面!!
 ●解說赤井&安室登場的電視動畫主要片段!!
 ●劇場版&電視動畫設定資料集!!
 ●也收錄了青山剛昌老師的美麗插圖&劇場版原畫!!
 ●編輯大推，完整解說赤井秀一從偽裝死亡到復活的詳細過程！

"
