ISBN,書籍簡介
9786263065659,"


 「嘿……我看到你了……你就在那裡看著我，對吧？

 別擔心，我很快就會去找你！」

  

 如果死侍做的那些歡樂到讓你發笑的事情，實際上非常令人不安，該怎麼辦？

  

 如果死侍決定殺死漫威宇宙裡的所有人，不管是復仇者聯盟、X戰警，或是在一切背後的「始作俑者」，又該怎麼辦？ 

  

 而且，假如他真的做到了，究竟該怎麼辦？

 這樣你還會笑得出來嗎？ 

  

 漫威史上最惡搞的超級反英雄「死侍」，帶你進入漫威史上最瘋狂的「多元宇宙」三部曲！

  

 ★「死侍屠殺三部曲」系列首部曲！完整收錄全四冊原始美國漫畫單行本內容！

 ★頂尖美漫編劇 Cullen Bunn 最膾炙人口的死侍原創故事里程碑，美漫迷不可不知的經典作品！

 ★「不管是故事劇情、美術風格、還是喪心病狂的角色……全都是我們在心裡偷偷期待的事！」──全球美漫迷與讀者五星滿分好評神作！（但評價也有可能由死侍假冒撰寫。）

  

▍故事大綱

  

 死侍突然不明就理殺紅了眼，開始利用自己突破第四道牆的能力， 屠殺整個漫威宇宙的超級英雄與惡棍。

 他的刀下亡魂不計其數，從驚奇四超人、X戰警、甚至復仇者聯盟，全都不是他的對手。

  

 而死侍這麼做的原因，竟是因為他意識到一個驚人的事實……

  

 《死侍屠殺漫威宇宙》為「死侍屠殺三部曲」的首部曲，作為美式漫畫最經典故事之一的開場，就讓我們看看這張腐爛臉能以什麼獨一無二又病態的方式，幹出所有恐怖漫畫都不曾做過的扭曲故事！

  

讀者好評

  

▍全球漫迷心中神作，讀者★★★★★滿分盛讚推薦！（評價撰寫人不排除由死侍假冒。）

  

 「說真的，不管是故事劇情、美術風格、還是喪心病狂的角色……全都是我們在心裡偷偷期待的事（包含那些暢快的復仇）！」──一位來自德州的曾祖母老奶奶

  

 「《死侍屠殺漫威宇宙》絕對是死侍出現在漫威宇宙後最讚的故事線！」

  

 「歡樂滿點！愛看漫畫的人絕對不可以錯過！」

  

 「我從來就對漫威宇宙沒有太大的興趣，但是這一本漫畫……我只能說是我看過最瘋狂的故事！」

  

 「『屠殺』就是死侍在做他自己呀！」

  

 「對於這本漫畫讓我同時感到的興奮與痛心疾首……我實在無法用言語形容。」

  

 「滿分如果是十分，我給這本漫畫十一分。」

 　

 「一但你了解死侍這麼做的目的，你就會開始幫他加油了！死侍加油！」

  

"
9789866634468,"


★金漫獎新科得主小莊、致怡+zei+、常勝、米奇鰻、張季雅漫畫創作新秀安哲、61Chi　一致熱情口碑推薦！

★法國暢銷超過三萬本、售出美、荷、西班牙、日、韓等七國版權。

★榮獲2005年法國圖書人評選年度最佳漫畫獎（le Prix des libraires de bande dessinée, meilleur album）、維京書店年度最佳漫畫獎（le Prix Virgin de la meilleure bande dessinée）等獎項。

	 

	誰會想到，羅浮宮竟然會舉辦漫畫原畫展覽，並出版一系列的漫畫創作？

	 

	這個迥異於羅浮宮常態的漫畫創作出版計劃，並不只是一次文化機構與「新興藝術家」之間的委託創作，而是以自由創作的形式，邀請藝術家進行完全屬於個人的、原創的圖像式探索。因此這個活動並不限於某個特定媒材或風格，藉此向當代漫畫藝術的多樣性與豐富致敬，並映射羅浮宮館藏多面向、多重形式的本質。此系列創作計劃從2005年啟動，至今仍然進行中，囊括法、日兩國12位漫畫大師作品，包括尼古拉．德魁西（Nicolas de Crécy）、恩奇．畢拉（Enki Bilal）、荒木飛呂彥、谷口智郎等，為這次跨域合作留下珍貴記錄，也成為漫畫藝術愛好者注目收藏的一套夢幻逸品。

	 

	「當羅浮宮遇見漫畫」系列作品中譯本第一部：《衝出冰河紀》，法國鬼才漫畫家尼古拉．德魁西（Nicolas de Crécy）以逗趣的人物與奇幻冒險故事，賦予羅浮宮文物新生命。21世紀人類末日降臨，冰雪覆滅了人類文明，災難倖存者全數往南遷徙。多年之後，由年輕貌美的企業繼承者所號召組成的探勘隊，來到北方冰原尋找人類文明遺跡，試圖重建人類歷史記憶。沒想到，在暴風雪之中、不穩定的地殼之上，一座華麗宮殿在探險隊員眼前巍然現身……

	 

歷經大火與大水之後，極端氣候從此將這個文明冰凍起來。

文明遺跡成為怪物的領土，牠們靜悄悄地統治著……

	 

	浩克是一隻很像豬的小狗，不只因為他愛吃愛睡，同時也因為他是新世紀的科學產物、被植入豬基因的改良物種。浩克會說人類語言，更擁有超級靈敏的嗅覺，能聞出古物年歲與歷史痕跡。邏輯推理能力比起人類有過之而無不及的他，是北方探險隊的靈魂人物之一。雖然物種之間有許多隔閡，浩克卻毫不掩飾他對探險隊召集人、企業家之女茱麗葉的仰慕之情；同時浩克也努力工作，以扭轉人類對於其他物種的鄙視與偏見。

	 

	人類文明因極端氣候而滅絕，埋藏在厚厚雪堆裡。人性中的險惡並沒有被暴風雪洗去，貪婪欲望仍在心中蠢蠢欲動。在荒涼遼闊的冰原上，探險隊員們因為共同目標而出發：挖掘人類古文明遺跡，卻各懷鬼胎、彼此不信任，每個人都在為自己的功績盤算著。浩克把人類醜態看在眼裡，卻無可奈何。

	 

	就在一夜暴風雪侵襲過後，熟睡的浩克被人類同伴遺棄在半路上。他的嗅覺因為感冒而失靈，無法追蹤探險隊員去向。當浩克陷入失望與憤怒之際，一股強烈氣味從雪堆中竄出，吸引了他的注意力，於是他開始向下挖掘……

"
9789862352854,"


（動畫師爸爸＋無國界醫生媽媽＋新生小貝比）X緬甸出任務＝？


	舊獨裁者一聲令下，鈔票面額變成＄15、＄45、＄90！？／買電腦竟然要透過秘密管道！？／出門帶傘，大家竟掛在後領口！？／開車撞到和尚絕對監禁！？／行車方向和駕駛座怎麼都在右邊！？／嚼檳榔竟然是王室的高貴傳統！？……

法國安古蘭大獎得主　歐陸視覺文學名家的異鄉見聞錄
	已翻譯銷售至十餘國　一部溫馨幽默而充滿深刻洞見的紙上電影
	讓得立勒一家三口帶你揭開熟悉又陌生國度的神祕面紗！

	「是怎樣的一塊土地，值得翁山蘇姬忍受十五年軟禁，堅定守候？」

	提到緬甸，你會想到什麼？──翁山蘇姬？仰光？……還有呢？
	你知道，緬甸和中國一樣，也擁有自己的五千年歷史嗎？
	你知道緬甸除了被英國統治外，也曾經是印度的一個省份嗎？
	比泰國還遙遠的緬甸，竟然也曾被日本統治過？
	一個國家，竟有接近九成的人口信仰佛教，昨天還在當會計師的鄰居，今天竟馬上變成得道高僧？
	　　
	曾獲歐洲最大法國安古蘭國際漫畫節大獎的居‧得立勒，帶著剛出生的兒子，跟隨被派駐緬甸的無國界醫生妻子，到遙遠陌生的東方國度定居生活。他透過幽默而充滿智慧的文字及輕鬆的畫風筆觸，呈現在異國生活這一年所發生的種種趣事及生活紀錄，讀者不只能身歷其境地看見緬甸當地的生活風景，更能從作者與當地居民的緊密互動，以及對當地文化、政治、宗教等細微犀利且獨到的觀察省思中，深入認識這個同屬亞洲、你我熟悉又陌生的國家──緬甸。

"
9789862358726,"


全球銷售14種語言，法國安古蘭漫畫節最佳作品「金獸獎」得主


70個檢查哨、
	600個路口遭封鎖、
	逛動物園也要配槍的殖民者一家、
	城牆、城牆還是城牆的觀光勝地——

	《緬甸小日子》作者，這次到耶路撒冷帶小孩，
	無神論者在4000年宗教古城的碎念及日常！

	★魁北克Bédéis causa獎（Albéric-Bourgeois）
	★法國索里耶城（Solliès-Ville）漫畫節最佳紀實漫畫
	★法蘭西島區高中生文學獎
	★亞洲法國高中生謝格蘭獎
	★獨立出版社書籍圖像小說獎
	★挪威Sproing最佳外語漫畫獎

	漫畫家居‧得立勒一家，這次跟著無國界醫師組織的腳步，來到了4000年古城耶路撒冷。在這座隔著一條街，可能就混雜著兩個民族、三種宗教以上的複雜城市，居‧德立勒一手記錄政治情勢，一手描繪他們一家在耶路撒冷的日常起居。

	一場祝聖儀式，六個教派在聖墓為何大打出手！？猶太人可以終日研究宗教經典、一輩子不工作？為避免被殖民者以石頭擊打，巴勒斯坦居民想出的對策是在社區裡架設層層保護網；哭牆、聖殿山、死海，到處是步槍與城牆的觀光勝地……有尋常生活也有許多突發狀況，引領讀者感受新聞報導及戰爭衝突之外的耶路撒冷！

國外好評──

	三百頁的時間流裡，混雜著（自我）嘲弄、嚴肅甚至是某種恩典，得立勒讓這個在戰爭與誤解以外，充滿著猶太人、穆斯林、東正教徒與基督徒同樣的神聖之愛的土地，有了血肉。──《觀點雜誌》（Le Point）

	透過《耶路撒冷小日子》，得立勒完成了一份了不起的見證。看完這本書之後我們也許不會變得更有智慧，但是毫無疑問地一定會變得更為謙卑，且會比任何時候，都更關注這些理應能夠共同改善彼此將來的人的未來。──法國—比利時漫畫專欄《對話框與狀聲詞》（Bulles et onomatopées）

	在笑與淚之間，得立勒透過他犀利的眼睛與簡練的畫風，聚焦在這麼一個任人命名（不管是叫做以色列、巴勒斯坦或是月亮都行）的國度，他們運作／故障的荒繆標準。──《巴黎快報》（L’express）

	這本書讓我們透過日常看見以色列人與巴勒斯坦人之間的糾葛與共處。──Culturebox

"
9789869855747,"


法國歐漫大師德魁西首部得獎作品
	極為華麗巴洛克風格的圖像小說
	1992年榮獲比利時漫畫藝術中心大獎
	一起享受末日感的視覺狂歡嘉年華！


	《假聲男高音》為德魁西第一部作品，畫風很巴洛克，構圖與用色極為雕琢華麗。涉獵從嘉年華、弄臣沙龍、馬戲團、畸形傀儡戲、獵奇骨董珍玩，甚至到包辦婚姻、機械時代等議題。他在自序中表示：它會是我的某種宣言：我將漫畫視為藝術史裡的一種延續，並打算把至今為止所有影響我的藝術家整合融入其中：隨著故事的進展，讀者因此可以辨識出對席勒（Egon Schiele）、克林姆（Gustav Klimt）、恩索爾（James Ensor）致敬的蛛絲馬跡，或甚至是較早期的畫家，比如烏切洛（Paolo Uccello）。

	描寫十八世紀的歌劇閹伶瘋貓卡多在怪誕、黑暗之城——虛有斯城的故事。風格獨特且多變，以強烈用色的版畫風格，透過結合動物與機械的人物表現，既奇幻又諷刺，建構出充滿畸形卻華麗的世界。本書1991年出版時，即大獲好評，並於1993年獲得德國Max et Moritz最佳進口漫畫獎。

	德魁西在法國相當受歡迎，被認為是繼墨必斯後最有天分的漫畫家，其筆觸蒼勁有力，畫風狂亂粗曠如草稿般的線條，對於細節描繪清晰，風格獨特。尤其是近年，他與松本大洋合作出版《松本大洋×Nicolas De Crécy插畫作品集》，更是擄獲不少日本漫畫家的讚賞，如寺田克也、大友克洋、浦澤直樹、上杉忠弘、桂正和、真島浩、谷口治郎等……松本大洋對於《FOLIGATTO》曾表示，「他的作品完全是支絕美之舞。他是我的偶像。」而浦澤直樹對他的讚譽是，「他是繼墨必斯之後最令人震撼的！」連天才畫家寺田克也曾提到他說，「厲害到令人害怕，那就是德魁西――」

	虛有斯城（Eccenihilo）是一座充滿血腥與慾望的城鎮，生得畸形的市民們多是斷手斷腳且生著怪病。市長為了使城鎮恢復生機、整頓人心，決定舉辦一場盛大的嘉年華，並邀請舉世聞名的閹伶瘋貓卡多（Foligatto）多回到出生地為大家演唱。

	市民們開始著手準備，從裝飾到華麗的服裝，並以瘋貓卡多形象製作超大型人偶作為狂歡節之王，這使得虛有斯城逐漸充滿新氣象。

	瘋貓卡多以其迷人的歌聲為嘉年華揭開序幕。但第二晚時，他的聲音卻越來越小、進而消失，且他的聲音竟然開始在不同市民口中傳播，並將這股狂歡與魔幻的氛圍推上高峰。而失去聲音的瘋貓卡多在兩位又聾又啞的姑姑協助下，終於能開口說話了，但卻是他從未聽聞的「姊姊」的聲音，於此揭開他出生的祕密……

"
9789869855709,"


當漫畫成為文學藝術……
	奠定「圖像小說」全新文類，美漫教父圖像敘事的革命之作

	革新漫畫的開拓之作精裝收藏版，
	紀念威爾．埃斯納百年冥誕
	史考特．麥克勞德 Scott McCloud 導讀

	威爾．埃斯納的開拓之作《與神的契約》，在1978年默默出版，建立了我們現在所知的「圖像小說」類型，也啟發了整個世代的畫家。「百年冥誕紀念版」採用原畫的全新高解析複製版，帶來生動的清晰度，以及對埃斯納寫作、插畫和構圖的貼近感。高度還原威爾．埃斯納對藝術之願景，提供讀者收藏等級的方式，去體驗這本確立埃斯納成為美國圖像敘事先知地位的開拓之作。

	啟發一種新藝術形式的圖像敘事革新之作
	威爾．埃斯納在漫畫的黎明期便已參與其中。1940年代，他以備受好評的每週連載《閃靈俠》（The Spirit）拓展了這個媒體的邊界，隨著《與神的契約》在1978年出版，他創造了一個全新的載體：圖像小說。它前所未見，開創了一個漫畫家從有所侷限的連載被解放的時代。埃斯納的作品是漫畫可能性的耀眼範例，跟文學藝術一樣創新、感人又複雜的載體。

	埃斯納自認是「報導生死、心碎和無盡掙扎求勝的圖像見證人」。本書開頭的迷人故事，反映出作者現實人生中的悲劇：獨生女之死。虔誠的猶太人弗林．赫許在失去自己最愛的小孩之後，質疑他和上帝的關係。赫許的危機，進而交織出經典的卓普西大道，及大道上令人難忘的居民生活，無疑是大蕭條高峰期時，紐約典型街道的縮影。

	《與神的契約》在1978年默默出版，建立了我們現在所知的「圖像小說」類型，也啟發了整個世代的畫家。此書取材自都市生活中不斷流轉發生的故事，以虛構的「卓普西大道」，呈現經濟大蕭條時期的典型紐約街頭與公寓租屋文化。開頭的迷人篇章，反映出作者現實人生中的悲劇：獨生女之死。虔誠的猶太人赫許在失去自己親愛的小孩之後，開始質疑他和上帝的關係。赫許的危機，也交織出卓普西大道上其他居民的故事：來去流轉的公寓大樓、無法抓住機會的街頭歌手、被打敗的管理員……

	這本精裝「百年冥誕紀念版」以原畫的全新高解析掃描，展示了埃斯納的獨特視覺風格，並新增了漫畫專家史考特．麥克勞的導讀，與埃斯納作品的早年簡史。現在，讀者們可以體驗到引發新藝術形式，確立埃斯納作為美國圖像敘事偉大開拓者之一的傳奇之書了。

"
9789862357675,"



		★第一本入圍英國曼布克獎的視覺文學作品★

		★《紐約時報》2018年百大好書
		★《衛報》2018年度好書
		★《NPR》2018年度好書
		 

「一樁失蹤案，如何演變為一場後川普時代的獵巫行動？」
		 

		電視新聞、廣播電台、社群網路……
		因一樁失蹤案而起的陰謀論與群眾暴力
		刻劃當代社會的疏離與抑鬱
		前所未見的視覺文學


	 

"
9789866634918,"


歐洲情色漫畫大師「馬那哈」最情慾的告白
	愛是身心靈的調和
	放膽去愛、去做、去享受！

	【馬那哈創作50週年・愛藏第一部】
	重新詮釋性愛經典《印度愛經》
	當女主帕娃遇上男神濕婆的性愛冒險旅程

	Kama Sutra，印度愛經。
	兩千年前的印度經典，講述性愛、欲望與家庭生活。

	自英國探險家理查・伯頓（Richard Francis Burton）在19世紀，將此書譯成英文後，《Kama Sutra》已成「東方性愛指南」之代名詞。

	馬那哈Manara，義大利漫畫作者，全世界最知名的情色漫畫家，他的女體描繪與故事，數十年來，讓其圖像如風景照片般，在書店、圖書館及家中得以公然陳列。

	《義大利愛經》這本是馬那哈版的印度愛經，故事開始是一位騎摩托車的女孩「帕娃」，因為一場車禍，撞上快遞員，偶然間拾獲一神祕包裹。由於包裹上沒有任何地址，於是她帶回家。帕娃打開包裹，盒子裡是一條領帶，會變幻成如陽具般的小綠蛇，在帕娃撫觸下則招喚出一男神濕婆。濕婆預言帕娃將會遇到很多困難，在八月的滿月之時，如果可以克服諸多考驗，將會與他有靈肉合一。

	不久，她的朋友露露與其表弟來找帕娃，一探究竟那個包裹，他們發現小綠蛇可以表達思想，說擁有牠就會被就會毀滅女神所窺視，要以雙修來逃離劫難。此時一位印度男子找到帕娃家想要奪回包裹，於是帕娃和露露一起逃跑，性愛冒險即將啟程……

"
9789869595278,"


	嗨，我是貓大叔

	菲利浦．格律克和我決定該是時候邁向全世界了。這可以讓更多人受益於我的智慧（並大幅增加銷售量）。我一直是說著一口道地的法文，但為了達到我的目標，我得學會英文，甚至中文！這需要很多努力及犧牲。當然我已創紀錄的速度和時間完成了使命（我可能胖但非常聰明）。

	 

	我的父母二三事

	對於不總是討喜的稱號 --「比利時大人物」，我可是當之無愧（這個稱號始於維多利亞女王某次出訪她的利奧波德舅舅時，所賜給我的）。一般認為我的父親是菲利浦．格律克先生，而我的母親則是比利時式的超現實主義、荒謬劇場及1970年代的法式諷刺漫畫。一般也認為除了不擅長寫作，我喜歡口無遮攔，用荒唐的雙關語、瘋癲又毫無邏輯可言的推論、默劇般的滑稽笑話，來表達自己對於時間、空間、人類、文字的種種看法；以及享受在冷嘲熱諷的文字與圖畫間。狠狠打臉他人的樂趣。

	 

	更多的關於我

	我可能貿然說了太多了。但你還是不認識我，對吧？這也是為什麼我要在你開始看這本漫畫前先寫下這些。我出生於1983年，一開始出現在比利時最權威的法文晚報Le Soir上，然後我很快變成了晚報吉祥物。從那時開始，我在報上露臉超過12000次，也透過報業聯盟，同時在法文日報及雜誌上嶄露頭角。1986年開始，格律克先生將關於我的漫畫及胡言亂語集結成冊，而我在法與地區愈來愈有名氣。時至今日，歐洲最大的漫畫出版商卡斯特曼雜誌已經發行了18本關於我的著作，也累積了超過千萬本的銷售量（我必須說，聽起來有點跩，但事實就是事實，我已經是比利時及法國家喻戶曉的人物了，就是這樣！）

"
9789866634833,"


結合科幻與人文的圖文界最新大作

歐洲漫畫大師叩問城市未來的預言書

走訪巴黎，是為了讓旅人重新面對過去

	 

羅智成（詩人、作家、文化評論者）

阮慶岳（建築師、小說家）

常勝（漫畫家）

——奇幻推薦

	 

「終於，我在航向地球的途中了。將會有什麼發現，我一無所知。既然已經抓住離開方舟的機會，無論未來如何，我都無悔……」

跟著凱靈夢遊巴黎：全景拱廊街、花神咖啡館、巴黎聖母院、塞納河、艾菲爾鐵塔、凱旋門、工藝博物館、龐畢度中心、巴黎大堂、新橋……

	 

【百年後人類城市是這樣的】

	全球暖化造成地球的劫難，環境污染不適人居住，於是在2051年，有六千人搭上航向遙遠之地的太空船隊「方舟」，逃離地球。在方舟生活了一百多年的方舟居民，漸漸開始想念地球的一切，為了釋出善意，於是派遣一艘太空船前往探尋……

	2155年底，太空梭「迢舶號」即將啟程，少女凱靈終於得以前往地球，踏上她抱以無限綺想的巴黎，逃開限制重重的「烏托邦」。然而，巴黎卻已是座籠罩在巨大玻璃罩中的博物館，古蹟建築被拆解販賣，市民地景得以虛擬重建。凱靈開始分不清什麼是真、什麼是假，究竟，她追求的是巴黎，還是只是在尋找一個假想的歸屬之處？

	 

看史奇頓與彼特的作品總會令我覺得，似乎未來與過去並存著，現實與虛擬並存著，時間不再是一條指向未來往前無限延伸的直線，反倒像是晨曦中的霧般包圍著畫中的世界。——常勝（漫畫家｜2017年獲頒台灣金漫獎與日本京都國際漫畫大賞）

	 

	 

【一段自我追尋的奇幻旅程】

	「正當我以為能回到他身邊的那一刻，卻也失去了他。一切我所渴望的都在幻滅……」

	《再見巴黎》不單是一本充滿未來想像的迷人漫畫，更是一部城市的預言書。史奇頓與彼特這對組合，再度展現了他們的魅力，以濃厚的歷史人文底藴，搭佐瑰麗科幻的圖景，透過將來對往昔的懷想，讓讀者在錯綜時空之間，驚覺虛擬與現實的貼近，反思一座城市的未來該何去何從。

	同時，他們選擇在浩瀚架構下，聚焦於主角的心理，不斷探討人何以逃離、何以追尋、何以歸去。正因你我都曾有懷疑自己不屬於這裡的時候，看著主角凱靈的焦躁混沌，我們似乎也想起了自己，以及那段自我追尋的旅程。

	書裡大量的對白，來自凱靈閱讀地球帶到方舟的古老書籍，諸如班雅明的《巴黎，19世紀之都——拱廊街之書》、羅比達《20世紀》、王爾德的《溫夫人的扇子》、奧地利維克多・法蘭可的《意義的追尋》、波特萊爾的《巴黎的憂鬱》、尼采的《善惡的彼岸》《道德系譜學》、詩人韓波《生活在他方》等，看著這些經典思考人生，搖擺在真實與虛幻之間，渴望追尋自我……

	 

	尼采《道德系譜學》：

「其實，離我們每一個人最遠的，是自己。」

	 

	王爾德《溫夫人的扇子》：

「生命中有兩種悲劇，一種是不能滿足渴望，另一種是滿足了渴望。」

	 

	奧地利維克多・法蘭可《意義的追尋》：

	「懂得『為什麼』而生的人，幾乎足以承擔所有的『如何』而活。」

	 

	波特萊爾《巴黎的憂鬱》：

「必須沉醉下去，凡事皆寓於此：太過沉重的時間，壓碎了你的雙肩，使你傾倒在地，要免於此一難題，你就必須沉醉下去，無止無息。」

	 

	 

	2155年，太空梭「迢舶號」即將啟程；目的地：地球／巴黎。

	凱靈（Kârinh）照料著太空梭上已進入冬眠狀態、平均年齡93歲的乘客。她沒去過地球，當然也不曾走訪巴黎；但從小即失去父母的她，有著母親留給她的遺物：一座小小的巴黎鐵塔。

	凱靈看了許多關於巴黎的書，藉由藥物，她也可在迷幻中走訪書中的巴黎。那是19世紀馬車行走的城巿，那是20世紀地鐵移動的城巿，那是21世紀空中車輛飄浮移動的城巿。

	 

	然而，當凱靈搭著太空梭來到巴黎，發現這城巿已是個籠罩在巨大玻璃罩中暫停營運的博物館。其間的一磚一瓦，若出的起價錢，都可以販售；名勝古蹟亦成了檔案櫃裡的一個收藏品，全無書中的種種神采。

	凱靈追尋著父親的身影，並在這旅程中遇上巴黎反抗軍，他們決定要推翻這城巿的玻璃罩，讓城巿重返可以人居的狀態。在這個革命目標未完成之前，凱靈只能隨著反抗軍前往周遭唯一有人居住的城巿：倫敦……

"
