ISBN,書籍簡介
9789865046880,"

正當胤赫與阿枳珍惜著入宮前所剩無多的甜蜜時光時，九兒卻突然失蹤了!!而擄走九兒的神祕人物則試圖挑撥九兒與胤赫之間的兄弟情誼，暗藏其中的陰謀又將引發什麼樣的波瀾…!?另一方面，終於回到咸陽城的亦卻得知阿枳已另嫁他人…亦又將會－－…
                    
"
9789571093345,"


▎國民漫畫天后‧林青慧，深情演繹的揪心代表作

▎千年的宿命是否能破除？獻上令人動容的最終章！！

▎台灣原創、少女漫畫古風超人氣作品

▎單行本超值收入▶精美雙面彩色拉頁

  

 「既然彼岸花葉永不相見已成定數，

 終歸……要有人願意離開這場輪迴。」

  

 因為舒兒私下提供的事證，

 以及藏在玉瓶中的草人曝光，

 導致玉隱被定罪下獄；

 允兒歷經千辛萬苦總算將他救出，

 但她卻回宮認下所有罪狀……

  

 千年的宿命是否能破除？

 獻上令人動容的最終章！！

  

 ↓免費試閱↓

 www.comicstar.com.tw/comic.php?cid=769

  

"
9789571090221,"


▎本是此花深執念，非以相錯斷相生…

▎國民漫畫天后‧林青慧，深情演繹的揪心代表作

▎少女漫畫第一品牌《夢夢》超人氣連載中

▎單行本超值收入▶精美雙面彩色拉頁

	 

	「別說這輩子…就是永生、永世，我都願讓妳賴著。」

	七夕佳節，同時也是允兒的生辰，

	玉隱特意為她在夏之閣準備了一場夜宴，

	兩人在席間許下結髮之約。

	但沒想到慶祝過後，

	允兒卻留下了訣別信離去……

	 

	↓免費試閱↓

	www.comicstar.com.tw/comic.php?cid=769

"
9789571090191,"


☆銷售突破50,000冊！！！！！最新一集眾所期待出版！

☆豐富內涵多元發展搶手IP：◆彩漫改編好評連載中◆桌遊改編好玩熱賣中

☆橫跨三代，滿滿親情Ｘ愛情的療癒系作品

☆少女漫畫第一品牌《夢夢》超人氣連載

	 

	「一同來尋找，屬於自己的樂園的寶藏吧。」

	所有人都聚集到樂園，

	７個寶藏的意義總算真相大白！

	迫不及待要跟大家一起探險密道的小樂，

	卻突然在房間裡消失了…？

	 

	↓免費試閱↓

	www.comicstar.com.tw/comic.php?cid=151

"
9789571063690,"


	▎我從未想要取代她…只求您仔細想想看，我是我，不是她呀…
	▎俊美西域王X冒牌和親公主，前世令人唏噓的另一對CP登場！
	▎少女漫畫第一品牌《夢夢》超人氣連載中
	▎單行本超值收入▶精美雙面彩色拉頁

	「雖然我明白，自始至終我都只是替代品…」
	舒兒的前世──云舒，
	最終代替玉蒔公主遠嫁烏狨；
	但是沒想到，
	過不久就被烏狨王發現了…!?

	↓免費試閱↓
	www.comicstar.com.tw/comic.php?cid=769

"
9789571086057,"


	▎就算千年更迭、刀戟侵凌…我都依然願為妳而來。
	▎古風天后‧林青慧深情演繹的揪心代表作
	▎少女漫畫第一品牌《夢夢》超人氣連載中
	▎單行本超值收入▶精美雙面彩色拉頁

【故事簡介】
	「能與妳再次於輪迴中相遇共生…對我而言，足已。」
	暗殺事件後重傷的允兒，
	深陷於前世回憶中遲遲不甦醒…
	而動作頻頻的舒兒，
	她的下一步又會是…？
	↓免費試閱↓
	http://www.comicstar.com.tw/comic.php?cid=769

"
9789571084671,"


	「死生契闊，與子成說；執子之手，與子偕老──」
	被舒兒安排的殺手所傷，
	允兒和玉隱雙雙陷入昏迷。
	而兩人原本隱約知曉的前世，
	也在夢中緩緩呈現……

	↓免費試閱↓
	www.comicstar.com.tw/comic.php?cid=769

"
9789571083520,"


☆古裝天后林青慧精心打造，風起雲湧的第五集！！！
☆單行本超值收錄▶精美雙面拉頁海報
☆全台冠軍《夢夢》少女漫畫月刊人氣連載中

	「飛奔而馳的…又豈只是縈繞心頭的那段錯與對？」
	白玉隱因為被墨少淮彈劾而入宮，
	擔心不已的允兒約墨少淮想替玉隱解釋，
	不料卻更加引發他的憤怒，
	甚至被強吻了！！
	另一方面，
	目睹這一切的舒兒越發感到絕望，
	於是做出了一個重大的決定……

	▼免費試閱▼
	www.comicstar.com.tw/comic.php?cid=769

"
9789571093338,"


§ 漫畫家Coser陳漢玲，華麗動作系少女漫堂堂完結──

§ 跨越時空的冒險之旅，原罪捕捉計畫最終篇章！ 

§ 最後的第七個原罪「傲慢」，竟然出現在天界！？

§ 內頁獨家收錄▶精美雙面拉頁海報

  

 我是潘朵拉，在解決我的黑化問題之後，絲朵拉因為擔心我，獨自前往第五個原罪「貪婪」出現的日本平安時代。而被「貪婪」附身的陰陽師‧安倍晴明，他居然是烏列爾的轉世，還因此引發潛藏在絲朵拉體內的第六個原罪──「嫉妒」！！除此之外，希拉天后竟然派出加百列來人間執行什麼天罰……我想，最後一個原罪「傲慢」一定就是在天界吧！我要把它們統統都回收啦───！！

  

 這場跨越時空的冒險之旅，即將華麗又優雅地畫下完結！

  

 ▼免費試閱▼

 www.comicstar.com.tw/comic.php?cid=893

  

"
9789863195207,"


	她離開了這座城市、他想起了那段日子，
	在一本共同筆記本，交替編寫一段故事。
	「我們不曾在一起，也沒想過真的要追求她。」
	但他無法釐清，為什麼總在歡愉時分，浮現她的眼、她的臉。
	迷離的心緒，恍若暗示故事未完待續⋯⋯
	「如果這是你的故事，你會怎麼收尾？」

本書特色

	席捲法國安古蘭、歐亞期刊爭相邀稿。
	臺灣新銳漫畫家曾耀慶，首部個人風格漫畫。
	風很柔軟、落葉很輕，
	慾望很濃，我畫故事給你聽。
	壓克力、粉彩、水彩⋯⋯400幅全手繪多媒材創作。
	依情節氛圍轉換畫技，交錯呈現。這是最細膩而深刻的一一說故事遊戲。
	私密絮語，情感呢喃，自我探索，真實告白。
	說著別人的故事，不知不覺攤開了自己。

"
9789865043711,"

在歷經幾番波折後，胤赫與阿枳兩人終於結髮成婚－－就在兩人度過些許甜蜜新婚之際，始皇也在此時下達召令，三個月後阿枳將得入宮。眼看入宮時日逼近，為阻此事，胤赫所想出的方式竟是…？!而阿枳為了探知靈能之力的作用，決定再次入冥想之境，然而竟是遇上意想不到之人...!!
                    
"
