ISBN,書籍簡介
9789869957922,"


	魔法氾濫的時代，一切將被地獄吞噬⋯⋯

	距今數世紀後，能源與技術由魔法取代，
	但魔法帶來的天災與犯罪也使世界陷入灰暗，專業處理機構紛紛成立。
	其中，由魔法使菁英組成的跨國性組織「落日魔導團」，最負盛名。

	某一年，新天災「地獄現象」乍現，
	地獄之門於各地倏忽廣開，怪物災厄四起⋯⋯
	各國召集魔法使、獸人、工兵等，
	組織特殊作戰部隊，派往北境防禦、阻止地獄擴大。

	少年艾利，落日魔導團最年輕魔法使之一，
	擁有強大魔力卻對一切不感興趣，
	這是他在深陷地獄的紛雜世界裡，派遣於各處的消極日常……

本書特色

	7歲闖地獄、12歲能屠龍。
	然而，厭世魔法使並不想當英雄。
	率性線條勾勒奇幻時空。
	潛力新人漫畫家布克，刻畫最強魔法少年的日常物語，
	高冷魅力觸動人心！
	 

"
9789862195550,"

．開地宮，鬥鬼神，破解千古謎題，遊走生死禁區藏在翻板機關下的通道，是救命的出路，還是引人更深入死地的迷宮？死屍皮帶扣上刻著的數字，莫非大有文章？打住！打住！別想了，趕緊解決另一個更要緊的問題吧──救命啊！誰能讓追在隊伍後頭的血屍老兄歇歇腳，別那麼盡責了好不好？本書特色重現經典！暢銷小說《盜墓筆記》完美改編簡體版甫上市即緊急再版，2011年最出色、討論度最高的漫畫作品！地北天南，上山下海。從山東戰國墓、西沙船墓、秦嶺青銅神樹、長白山雲頂天宮、戈壁崑崙鬼城，再到廣西十萬大山秘境。開地宮、鬥妖物、破困境，壯闊詭譎的背景與離奇難解的謎團交織，新視覺，新氛圍，扣人心弦的情節，盡在《盜墓筆記》漫畫版全新開始。
                    
"
9789860645989,"


	一直這麼熱血不累嗎？
	冷一點一樣可以拯救世界～

	率性線條刻劃奇幻時空，
	圍繞在最強魔法少年身邊的日常物語。

	帝國無法地帶的妓女無故消失，
	百年未見的「食人鬼」現蹤！？

	武裝魔法使──率直冷的聯邦公主蘇菲亞，
	首次執行一人任務！
	 
	內容簡介
	 
	魔法氾濫的時代，在失序之前暗潮洶湧……
	 
	距今數世紀後，能源與技術由魔法取代，
	但同時也有許多未解的詛咒，造成異變的物種肆虐。
	天災「地獄之門」難以消滅、怪物災厄四起，各區內橫行無阻的犯罪使得社會秩序逐漸歪斜。
	 
	聖靈堡十八區、榭拉南六至九區、特區，
	是帝國境內龍蛇雜處，無法可管的地帶。
	蘇菲亞接獲任務前往十八區，為了調查不明原因消失的妓女，
	她們將潛入黑暗深處，挖掘人們視而不見的慾望哀歌。
	 
	另一方面，特殊作戰四隊，
	艾利和狼人約拿過著異常悠哉的前線日常。
	然而隨著聯邦靈魂學家奈斯特的出現，
	艾利強大魔力的源頭、歷史洪流中埋藏的秘密也被逐一揭開……

"
9789579447980,"


｜臺灣漫畫第一個道士偵探｜
	推理懸疑 × 除魔靈異 × 民俗日常
	不可知論偵探 海鱗子
	挑戰宗教殺人事件！


「如果會覺得不可思議，一定只是有些東西你看不見而已。」
	身為職業道士卻不懂畫符、可以見到死後世界但不相信有神，
	平日玩手遊、養電子寵物，只有除魔辦案時對社會有正面貢獻，
	遊走人間鬼界的青年海鱗子，論破人性、鬼事與懸案！

──陰廟男屍、湖中浮屍，接連出現在人來人往的熱鬧公園。
	──人人說是水鬼作祟，宗教獻祭，在他眼中卻有另一個「真相」。

	★改編自《筷：怪談競演奇物語》，CCC創作集 ×獨步文化共製臺灣推理漫畫
	★國際書展大獎入圍作家．〈珊瑚之骨〉薛西斯編劇，驚人回馬槍令你讀完馬上想重讀一次！
	★一鳴驚人的出道作！新銳漫畫家鸚鵡洲，以清新輕盈的筆觸詮釋社會寫實×推理靈異！
	★隨書附「海鱗子祕話別冊」！收錄編輯部&作者群訪談、未公開設定圖、四格漫畫、「海鱗子的一日」剖析、短篇小說〈神明的箱子〉等豐富內容，引領各位進入不可知論偵探的世界！

【故事介紹】

捨身羅漢──是祈求工程順利的活祭習俗。
	人們會將祭品打扮成神佛，頭戴砂鍋、
	腳穿芒鞋、手持木劍、身穿金甲……
	再活埋祭品、使其化身鎮壓孤魂的鬼王。

	公園的破舊小廟，出現一具被野狗啃食的男性屍體。
	他全身上下貼滿符咒，穿戴古怪衣裳，散發惡臭。
	幾日後，湖底上浮一具女屍，身上穿有黃色道袍。
	有人說是水鬼作祟，要抓交替；
	有人說是活祭，祈求附近工程順利。
	警方陷入瓶頸，懷疑這是還沒停止的連續殺人事件。

	一名可以見到死後世界、洞悉人世執念及陰間鬼事，
	縈繞重重謎團的青年道士，應警方之約協助調查。
	他以冷靜理性的雙眼，抽絲剝繭死亡懸案；
	然而，他沒有告訴警方，比起殺人事件，
	他其實對貼在屍身上的「符咒」更感興趣……

既非典型偵探也非傳統道士，
	海鱗子的第一案，就此展開！

	本集收錄內容｜海鱗子首樁案件〈捨身羅漢篇〉、未公開日常推理短篇〈北十字星〉

【作者的話】

	主角海鱗子可以見到死後的世界，卻不相信天國與地獄的存在。
	不過，他又自稱99%的無神論者，心中存著1%對天國的想望。
一個能看見死後世界的人，對於死後的追求是什麼？
	又為什麼有這樣的追求、懷抱如此矛盾的願望？
	這是我在故事中為他設定的核心命題。──薛西斯（編劇）

▍隨書附《不可知論偵探》「海鱗子祕話別冊」 
	紀念《不可知論偵探》第一集上市，隨書附三十二頁特典別冊，內容包含兩位作者訪談、編輯部對談、鸚鵡洲送給讀者的四格漫畫、新繪人物圖、海鱗子事務所平面圖、「海鱗子 & 吳雙的一日」特輯、各種設定手稿及薛西斯為漫畫撰寫的短篇小說〈神明的箱子〉等豐富內容，期盼帶領讀者更深入海鱗子世界。

▍關於《不可知論偵探》的「不可知論」
	不可知論者，認為神的存在難以被證明或反證。然而，正因為沒有充分證據斷言神是否存在，即使神明存在，也是不可知的。本作主角海鱗子便是抱持這樣的價值觀，面對一切人鬼之事。如今海鱗子在第一集故事中經歷第一樁案件〈捨身羅漢篇〉及日常推理番外篇〈北十字星〉，未來他將碰到更多案件、遇見更多不同的人們，或許這樣的信念也會有所改變。

▍《不可知論偵探》幕後故事：CCC 創作集× 獨步文化漫畫書系「NAZOMAN」
	CCC創作集是從「中央研究院數位典藏與數位學習國家型科技計畫」中誕生的漫畫雜誌，二〇二〇年開設線上漫畫平台，戮力培植推廣臺灣圖文創作者，並與出版社合作出版優質創作，《不可知論偵探》是二〇二一年的最新代表作之一。該書描繪道士偵探「海鱗子」偵破各色案件，故事脫胎於《筷：怪談競演奇物語》〈珊瑚之骨〉，漫畫案件靈感起點來自臺灣歷史及民俗日常文化，由原著作者薛西斯擔任編劇，鸚鵡洲作畫，CCC創作集和獨步文化共同製作，也是獨步文以「謎團」為核心的漫畫新書系「NAZOMAN」首部本土作品。

"
9789572659656,"

為了獲得救出帝普羅斯的訊息，眾工會齊心協力挑戰魔王，但面對魔王的強大力量紛紛敗退。除了強大的力量以外，還有著近似無止境的回復能力，面對如此高牆，貓等人該如何處置!?來到了夢不落城，獲得了重要道具之一的決裂鑰匙，此時迷薩亞開始闡述了整個世界的變化與源由…面對最後的任務，眾人備好各種資源再次挑戰，但面對如同神明的三個存在，貓等人也抱持著忐忑不安卻又興奮難耐的心情，走上登往天空的階梯，迎向眾人的是來自各方各界的怪物…最後的傳說，即將顯現！
                    
"
9789863194675,"


西元3200年，一場時空浩劫使詛咒釋放、怨靈肆虐，
	倖存者以科技、魔法藏身天上地底，地球一片荒蕪⋯⋯

	 

	千年後，森羅魔法學院郊外，一名女嬰悄然墜落——

	「答應我，妳不能離開學校。」
	一年又一年，看著大家畢業乘龍而去，
	從小在魔法學院長大，卻不能學習魔法，
	少女宸碧不一樣，她是咒物。

	宸碧不懂，咒物是什麼？校外的「地面」又是什麼樣子？
	直到某日，誤入校區禁地，鈦金高塔內傳來低沉男聲。
	一場宿命交易、一個失傳陣法，宸碧有了機會叛逆出走⋯⋯

	十五年前驟現於宇宙四方的遠古遺跡「狩」，滿載預言，
	永世禁錮之人亟欲復甦——
	如今，前紀元最強法師與暗黑科技即將再現，
	宸碧的身世謎底，是世界救贖或滅絕之鑰？

本書特色

	親身取材探訪臺灣各地宮廟。
	揉合東方神話與末日科幻，
	頂尖畫家蚩尤，首部長篇鉅作！

	末日之後，地球荒蕪、怨靈肆虐，
	人類以魔法或科技苟延殘喘──咒術師，應運而生。

	#畫冊級細緻全彩描繪
	#單幅呈現漫畫動感
	#敘事猶如閱讀小說
	前紀元最強法師，暗黑科技再現，
	咒術少女的末日歷險，即刻啟航！

	精美全彩印刷，以大畫面、小說式旁白呈現，放映奧斯卡級別壯闊場景。
	加碼收錄開門拉頁：角色全身及配件圖解。

"
9789866634963,"


劍冷血熱誰來試
三十年後傳奇繼續

	台灣漫畫瑰寶，鄭問寫意水墨最高傑作
	第三部〈前世〉絕版三回漫畫原著復刻版重現江湖
	隨書贈送何勿生大海報＋鄭問復刻簽名畫卡

《阿鼻劍》第一部黑白水墨作品

	1989年郝明義決定創辦《星期漫畫》，找了導演楊德昌當監製，並且頭陣作家鎖定了三位：麥仁杰、曾正忠，以及鄭問。麥仁杰以《鳥人》，曾正忠以《花心赤狐》，鄭問以《阿鼻劍》，又曾經是《刺客列傳》的讀者，所以他給自己留了一個和鄭問共同合作的機會，以筆名「馬利」化身劇作家，這就是阿鼻劍的起源……

	2019年，為了紀念《阿鼻劍》創作三十週年，大辣出版尋回了鄭問第三部〈前世〉三回的闕漏稿子，並將一、二、三部合訂成精裝，以饗讀者們的願望，完美呈現鄭問《阿鼻劍》漫畫完本！

極具詩意的武俠漫畫

	《阿鼻劍》是國內漫畫創作的傳奇之一，也是鄭問的漫畫創作轉捩點，他獨特的水墨畫法，將武俠漫畫帶入了新的層次；而編劇馬利則將原本武俠小說的元素精采地串連重組，並融入發人深省的佛義，使得這部武俠漫畫有別於一般武俠的刀光劍影，有了更深的意涵。

	編劇馬利說，一開始，《阿鼻劍》就有「前世」、「今生」的設計。我和鄭問合作的兩部《阿鼻劍》，第一部〈尋覓〉、第二部〈覺醒〉，都是「今生」的前半段。我的想法是：先用這兩部來讓今生的「何勿生」登場，然後回頭講他的前世，最後再來講他覺醒之後，今生要執行的是什麼。這樣，我和鄭問合作，而有了三十年前出版的兩部《阿鼻劍》漫畫。

	我的算盤雖然是如此逐漸鋪陳開……首先，純粹本土漫畫家創作的《星期漫畫》，在當時俗又大碗的台灣盜版日本漫畫雜誌壓力下，陷入重圍。再來，鄭問在《阿鼻劍》第一部連載結束後，就為東瀛漫畫出版界所重視，大力延攬，終以《東周英雄傳》在講談社閃亮登台……

何勿生：地獄不空，絕不成佛！

	一〈尋覓〉故事描寫背負著私生子命運的主角何勿生，親眼目睹生父于景被練成「阿鼻劍法」的史飛虹所殺；何勿生殺父之仇未報，反而受劍法之害，每天得受一次氣血倒錯的凌遲之苦……

	二〈覺醒〉一場大火讓何勿生遇見從火中重生的阿鼻第九使者，開始經歷代表貪、愚、痴、嗔的武林恩怨，見證「阿鼻（地獄）」即「人世」的深理……

	三〈前世〉何勿生手持阿鼻劍回憶起，他曾經就是阿鼻尊者，即使是過去的武林恩怨情仇，當然也要去解決……

名人推薦

	張大春（作家）
	鄭丰（作家）
	陳志隆（漫畫家）
	常勝（漫畫家）
	──俠義推薦

"
9789572632574,"

跟隨著任務線索前往禁忌金字塔，貓再一次跟遙日有合作的機會。看著眼前陌生的那個人，內心滿懷著無限的想法與思念，但卻怎樣都無法敘說出來。即使是兩大公會合作，卻依然無法逃掉即將滅團的現實。在身旁的夥伴逐一倒下的狀況，只剩下貓和遙日兩人繼續奮戰著。就在貓決定在臨死前來一場絢麗的自爆時，遙日突然…!?
                    
"
9789572624739,"


	赤紅之月，隱藏在虛空中的宮殿。
	迷失的孩童們聚集在宮殿的主人「丹代恩」的身旁。
	為了救出孩童們，貓等人對丹代恩發起了挑戰，但卻遭到一面倒的壓制…

	面對丹代恩強大的實力，貓一行人只能去尋求神族旅人的幫助。
	與此同時，竟然得知了丹代恩的真實身分!?

	而在此之後的某次任務，貓再次與遙日有進行共同合作的機會。
	但面對以往熟悉，如今卻充滿陌生感的遙日，貓會…？

"
4710945553238,"


 決定太子之位的關鍵人物來到山鄴城，桂兒和太子要怎麼面對？百全樓來了貴客要吃考驗刀工的三套鴨，阿漠能完成嗎？桂兒甜甜蜜蜜送點心給某人吃，慕廉醋勁大發，然而實情是…小馥香一行人又遇見了何狀元，何大人卻已經變成衙役了？在禪寺休養的太子竟然遇見了和桂兒長得一模一樣的女子？家傳八十年的鹹金桔，吃了有什麼效果呢？爭取太子之位的陰謀終於蔓延到山鄴城，小馥香堅定上菜中！

"
