ISBN,書籍簡介
4710601043264,"


	「是該選擇的時候了～」小管決定要投入一段新的感情，她將選擇誰？莊任喬站在徬徨的十字路口，面對未來，該如何選擇？追夢最終章，這場配色遊戲就此劃下句點。

"
9789869718660,"


	學會道別，才是真正愛牠。真人真事改編，最感人的野鳥救護行動。
	*溫柔視角、真摯筆觸，繪出愛的生命教育。
	*一本書、一份力，首刷版稅全額捐鳥會。

	渴望回歸海上的信天翁、邂逅小學生志工的幼鳥斑鳩兄弟、
	折翅落難的大蜂鷹、化身親善大使的呆萌貓頭鷹……
	真實故事改編，野鳥志工遇上搞怪鳥活寶，展開笑中帶淚的救護任務！
	「快聯絡台北市野鳥學會！」
	落難鳥兒在各地被拾起，送到救傷中心。
	志工肩負保育使命，與時間賽跑、死神拔河，寄予絕望生命新生機會，
	但搶救之後的照護，才是真正考驗的開始……
	漫畫家LONLON實地取材鳥會與志工，觀察、臨摹多種鳥類。
	真人真事改編，以野鳥為師、自然為校，
	探討以愛為核心的課題──生命教育。

本書特色

	全彩拉頁海報、手繪鳥類圖鑑、四篇獨家專訪，首刷限定贈品─野鳥小圖冊！

【真情推薦】
	汪辰寧／芝山文化綠園環境教育專員、余佩蓁／忠義國小山野教育教師、呂佳璣／台北鳥會野鳥救傷中心專職、林威志／清境國小教務組長、徐彥暉／國際賞鳥嚮導、楊益風／臺灣教育人員產業工會理事長
	*
	黏鼠板原來是殺鳥器!? 拯救野鳥，先拔除危機。
	亂撿雛鳥會破壞生態? 伸出援手，先懂自然法則。
	拾獲傷鳥不能帶回家養！拯救生命，要用對方法。
	故事中吸收新知，更多資訊都在漫畫裡！

"
4715243775306,"


詼諧逗趣的劇情、天馬行空的想像力！
	看老夫子穿梭陰陽兩界，
	與妖魔鬼怪鬥智鬥力，懲奸除惡！


	老夫子誕生50周年，全球銷售突破1億冊。

	老夫子最具想像力大長篇，1980年代王澤手寫台詞，獨家重現！

	看老夫子、大番薯、秦先生遨遊異世界，陪閻王巡邏陰曹地府。

	老夫子去郊外旅遊卻不幸遇上了劫匪，
	危急時刻被一名自稱狐狸仙的道士所救之後，
	獲得了無邊法力，可上天遁地、力大無窮。
	但獲得力量的代價，必須替天行道，
	把流竄人間的妖魔，通通捉拿歸案！

	老夫子誕生50周年，全球銷售突破１億冊！
	經典長篇《老夫子 狐狸仙外傳》獨家手稿，原味呈現
	最具想像力大長篇，最值得收藏的版本。

"
9789866081316,"

看老夫子、大番薯、秦先生，三個臭皮匠的智囊巧計，如何左劈梁山好漢，右打宋朝十萬軍！一場詼諧逗趣、古今英雄豪傑大亂鬥的時空冒險之旅，出發!!發明了時光穿梭機的老夫子，帶著大番薯和秦先生來到傳說中的梁山觀光。一路上遇見了武家兄弟與各個傳奇人物，不僅陰錯陽差地被抓進了府衙，還與高俅鬥智對決！看老夫子一行人如何在宋代梁山呼風喚雨、叱吒江湖，與梁山好漢們的精彩對手好戲，馬上開演！本書特色老夫子誕生50周年，全球銷售突破１億冊！華人漫畫代表作《老夫子水虎傳》全新編排、重新包裝最經典的長篇，最值得收藏的版本。
                    
"
9789866081323,"

看老夫子、大番薯、秦先生，三個臭皮匠的智囊巧計，如何左劈梁山好漢，右打宋朝十萬軍！一場詼諧逗趣、古今英雄豪傑大亂鬥的時空冒險之旅，出發!!和武松結伙的老夫子、大番薯和秦先生，見義勇為力搏蔣門神，運用高科技和心理戰應付張都監與張團練，並巧遇欲向官方投誠的梁山首領──及時雨宋江。老夫子三人變裝潛入皇宮，意圖說服宋徽宗，他們的如意計畫能夠成功嗎？本書特色老夫子誕生50周年，全球銷售突破１億冊！華人漫畫代表作《老夫子水虎傳》全新編排、重新包裝最經典的長篇，最值得收藏的版本。
                    
"
9789866081330,"

看老夫子、大番薯、秦先生，三個臭皮匠的智囊巧計，如何左劈梁山好漢，右打宋朝十萬軍！一場詼諧逗趣、古今英雄豪傑大亂鬥的時空冒險之旅，出發!!遭到通緝的老夫子、大番薯和秦先生，途中遇到了浪子燕青與火眼狻猊鄧飛。同時宋江偷入京城，想利用名妓李師師與宋徽宗談和，引起梁山好漢與徽宗軍兵全面對峙，老夫子、大番薯、秦先生大膽從中斡旋，深入梁軍，探進官營，他們錦囊妙計能否奏效?本書特色老夫子誕生50周年，全球銷售突破１億冊！華人漫畫代表作《老夫子水虎傳》全新編排、重新包裝最經典的長篇，最值得收藏的版本。
                    
"
9789867788313,"

　　《天才阿諾》四格版是以貪吃、愛玩又調皮搗蛋的狗狗「阿諾」作為主角的四格漫畫。四格漫畫有簡潔明快的特點，在短短的四格內，阿諾將帶給你更多的開心歡笑！　　在本書中，你能看到阿諾的不同面貌：口水流不停的貪吃阿諾、被臭鞋子薰昏的誇張阿諾、超愛照鏡子的自戀阿諾、被主人亂剪毛的可憐阿諾……等等，更能認識阿諾的許多朋友：鼠兄鼠弟、小雞、小豬、大惡狗等等。所有阿諾和朋友間發生的趣事，都在《天才阿諾》四格版！本書特色　　1. 以四格漫畫呈現主角狗狗阿諾的趣事，內容輕鬆逗趣，節奏明快流暢。　　2. 阿諾是一隻調皮搗蛋的狗狗，他的「天才」讓周圍的人都哭笑不得。另外阿諾的主人小魚，以及阿諾許多好朋友也在漫畫中登場，一起為讀者帶來歡笑。　　3. 本書是以彩色印刷，不同於市面上一般的黑白漫畫。每篇四格，節奏流暢明快。　　4. 作者為台灣本土漫畫家「發哥」，他的作品還有《胖胖果》、《瘋火輪》、《歡樂白娘子》、《開心婆婆》等。　　5. 收錄超過一百篇的彩色四格漫畫，讓讀者在緊張忙碌的工作之餘，可以輕鬆一下！
                    
"
9789867788283,"

《天才阿諾》四格版是以貪吃、愛玩又調皮搗蛋的狗狗「阿諾」作為主角的四格漫畫。四格漫畫有簡潔明快的特點，在短短的四格內，阿諾將帶給你更多的開心歡笑！　　在本書中，你能看到阿諾的不同面貌：被主人用假手嚇到的膽小阿諾、拿塑膠蘋果給大惡狗吃的調皮阿諾、虐待主人的邪惡阿諾、想稱機佔便宜的小氣阿諾……等等，更能認識阿諾的許多朋友：鼠兄鼠弟、小雞、小豬、大惡狗等等。所有阿諾和朋友間發生的趣事，都在《天才阿諾》四格版！本書特色　　1.以四格漫畫呈現主角狗狗阿諾的趣事，內容輕鬆逗趣，節奏明快流暢。　　2.阿諾是一隻調皮搗蛋的狗狗，他的「天才」讓周圍的人都哭笑不得。另外阿諾的主人小魚，以及阿諾許多好朋友也在漫畫中登場，一起為讀者帶來歡笑。　　3.本書是以彩色印刷，不同於市面上一般的黑白漫畫。每篇四格，節奏流暢明快。　　4.作者為台灣本土漫畫家「發哥」，他的作品還有《胖胖果》、《瘋火輪》、《歡樂白娘子》、《開心婆婆》等。　　5.收錄超過一百篇的彩色四格漫畫，讓讀者在緊張忙碌的工作之餘，可以輕鬆一下！
                    
"
9789867788191,"

　　「天才阿諾」用輕鬆有趣的漫畫描寫人與寵物之間的相處，每四頁一個主題，節奏明快又好讀，小朋友更可以從漫畫中，學習到飼養小狗的知識。本集的內容包括老狗的心聲、教訓、啃骨頭、阿諾的一天等等，充分達到「寓教於樂」的目的！　　本書還特別收錄了：「阿諾考考你」，各種關於狗狗的問題，等你來回答；「狗狗妙聽聞」收集許多關於狗狗的趣事，可以讓你在緊張忙碌的生活中輕鬆一下。本書特色　　1.以漫畫呈現主人小魚與狗狗阿諾相處的趣事，讀起來有趣又溫馨。　　2.描寫了主人與狗狗的生活，可以引起養狗讀者的共鳴。　　3.書中包含許多養狗的常識，讀完可以讓小朋友知道如何養狗。　　4.不同於一般黑白漫畫，而是彩色漫畫，色彩豐富適合小朋友閱讀。每四頁一個主題，節奏流暢明快。　　5.每篇附錄了「阿諾考考你」，各種狗狗問題，等你回答！另外附錄了「狗狗妙聽聞」，收集許多關於狗的趣事，讓你輕鬆一下！
                    
"
9789867788153,"

「天才阿諾」用輕鬆有趣的漫畫描寫人與寵物之間的相處，每四頁一個主題，節奏明快又好讀，小朋友更可以從漫畫中，學習到飼養小狗的知識。本集的內容包括養狗注意事項、狗的訓練、狗的急救箱、生產前後等等，充分達到「寓教於樂」的目的！本書還特別收錄了：「阿諾考考你」，各種關於狗狗的問題，等你來回答；「狗狗妙聽聞」收集許多關於狗狗的趣事，可以讓你在緊張忙碌的生活中輕鬆一下。特色1.以漫畫呈現主人小魚與狗狗阿諾相處的趣事，讀起來有趣又溫馨。2.描寫了主人與狗狗的生活，可以引起養狗讀者的共鳴。3.書中包含許多養狗的常識，讀完可以讓小朋友知道如何養狗。4.不同於一般黑白漫畫，而是彩色漫畫，色彩豐富適合小朋友閱讀。每四頁一個主題，節奏流暢明快。5.每篇附錄了「阿諾考考你」，各種狗狗問題，等你回答！另外附錄了「狗狗妙聽聞」，收集許多關於狗的趣事，讓你輕鬆一下！
                    
"
