ISBN,書籍簡介
9789863655978,"


	同樣都是隸屬於培育與人類敵人‧ＮＯＶＡ作戰人材的教育機關傑尼提克斯的和哉與莎堤萊薩，他們兩人合作經歷過許多嚴苛的戰鬥。潘朵拉面對強敵ＢＵＳＴＥＲＳ而陷入苦戰，在傳奇潘朵拉的協助下扭轉了戰局。但是，ＢＵＳＴＥＲＳ啟動了反冰凍結界，使得情勢進一步急轉直下…。

"
9789863489580,"


	前修巴爾利耶總司令‧拉多庫斯派出ＢＵＳＴＥＲＳ神秘暗殺團體，趁著修巴爾利耶替潘朵拉舉辦酒會放鬆心情時展開攻擊行動。出人意料的襲擊加上壓倒性的實力，使得潘朵拉們不但陷入混亂，更顯得不堪一擊，莎堤萊薩一行人要如何面對…？

"
9789863483250,"

修巴爾利耶再次找上了先前因為阿拉斯加事件而下台的前總司令‧拉多庫斯幫忙，這次他們打算聯手對付青井源吾，於是找來了稱為ＢＵＳＴＥＲＳ的潘朵拉進行訓練。另一方面，源吾也找上了先前受傷的大原博士，邀請她加入『傳奇烙印』計畫…。
                    
"
9789863379102,"

傳奇潘朵拉的出現不但替原本屈居劣勢的潘朵拉解了圍，和哉還從爺爺‧源吾的口中得知令他震驚的消息，原來她們都跟和哉有著血緣關係。之後，所有參與戰鬥的倖存者都被帶往某個設施隔離起來，雖然並未限制行動卻也都無法離開，讓潘朵拉們感到一股不安的氣氛。
                    
"
9789863374008,"

莎堤萊薩跟拉娜打敗了眼前的敵人，還救出了亞妮特跟夏露露之後，一行人便趕著去救出獨自戰鬥的羅可桑努，只是她們卻目睹到一個神秘的未知生物。對方控制了羅克桑努讓她ＮＯＶＡ化之後，接著就開始攻擊莎堤萊薩一行人。
                    
"
9789863328919,"

和哉與莎堤萊薩同樣都是隸屬於培育與人類敵人‧ＮＯＶＡ作戰的人材教育機關‧傑尼提克斯，他們兩人合作經歷過許多嚴苛的戰鬥。人型ＮＯＶＡ接連出現。面對壓倒性數量的敵人，使得潘朵拉們陷入苦戰。為了突破這個危機，青井源吾開始有所行動…
                    
"
9789863325192,"

原本的聯合演習如今卻因為仿造ＮＯＶＡ的失控而完全變調，讓潘朵拉們陷入混亂出現異狀。青井博士面對這樣的狀況，允許武女神使用電漿生體武裝把去破壞所有仿造ＮＯＶＡ。莎堤萊薩開始出現幻覺，她所面對的是已經死去的和哉大姐‧青井和葉。
                    
"
9789863325185,"

完全接不到能賺大錢的案件的律師‧改世樂子。在歷經嚴重的縱火案件，並對律師應有的態度感到相當煩惱的樂子，只好去找跳槽的學長律師‧東海林商量。許多不見再度相逢的兩人的心境會是…？接下爭奪發明的專利權案件的樂子，卻得被迫跟原告‧發明者的麻煩個性苦戰。甚至對方的律師竟然是東海林！
                    
"
9789863249764,"

韓飛官～晉升武林高手的地位！在東嶺決鬥過後，韓飛官已經徹底覺醒！他現在已經脫胎換骨，晉升為武林中的高手了。但是譚花璘仍舊無法瞭解韓飛官所謂的覺醒，覺得自己總是在扯韓飛官的後腿。另一方面天魔神君為了保護前往神地的韓飛官，急速派出第七黑風會和洪均…
                    
"
9789863244721,"

雖然同樣身為１３小隊的成員，但是彼此卻都因為之前的阿拉斯加事件產生了心結，莎堤萊薩甚至委曲求全願意發誓只要身為潘朵拉的一天就不會再出賣同伴，才勉強化解了衝突。不過阿蒂亞卻因為夏露露說了伊莉莎白的壞話而打了起來，最後甚至差點鬧出人命。
                    
"
