ISBN,書籍簡介
9789865618476,"

好啦，她也知道自己倔強又難搞，否則好好的千金小姐幹麼要學媽祖遶境，一步一腳印的去找親戚？還發下宏願，說要賺大錢買大屋，求個安身立命……安個頭啊，她差點餓死路邊啊！幸好她福大命大，遇上百年燈鋪的繼承人撿她回家，還蹭得一個夥計兼小廝的位置，就連吃穿用度都靠他。俗話說，吃人嘴軟，拿人手短，她卻是又吃又拿還嗆給錢的老大，氣得他牙癢癢，直把女子當漢子，逼她吃苦當作吃補，可見她病了、傷了，一向從容的他卻不淡定了，不僅為她延醫治病、買補品，還找他師母來陪她解悶、玩遊戲，待她的身世意外揭露後，他更下令她周身十步內，男賓止進！她氣得抗議，卻壓不住他鋪天蓋地的綿綿情意，他說，別把他當外人，可他霸道的手段，讓她開始考慮，這個不當外人的底線，到底要撐到哪裡？
                    
"
9789865618483,"

都說先愛上的就算輸，明明是她先說愛，怎麼是他輸得一塌糊塗？想當初，是他一時心軟，將唐景玉這小丫頭撿回家擺，雖沒真要她賣身為奴，可也沒說她能反客為主，她一時興起就跟他唱唱反調，再順手討個愛的抱抱，他認定她年紀小，不計較，沒想到她是認真把他當目標，縫衣做飯避異性，堪稱溫良恭儉讓的新代表！可惜她的百般示好，剛好卡到輩分問題，讓他壓縮自己的想像力，幸好他的閃躲也消極，沒等到她放棄，先等到傻徒弟的一句我娶妳，震得他是妒火中燒，也醋得他開竅，動不動就要抱抱加親親。只是人紅是非就多，想往他們之間插花的情敵一個接一個的冒出頭，男的，他發狠心，替她毀屍滅跡；女的，她只靠三言兩語就完勝對手，最後解開逼她離家的心結，也通過師母傳授給她的調教大計，跨過了年齡的距離，戰勝人為因素這個必經課題，此刻，她生不出男丁的家族傳統，竟成為阻撓他娶親的大難題……
                    
"
9789862567807,"

負責保護偶像團體STREET的「戲法型」保標COOL、徒手檔下大卡車的「活力型」硬漢DON，以及「技術型」手塚國風──由出租保鑣展開與職業殺手的一幕幕對決。這群人絕非等閒之輩!!本書更收錄夢幻的出道之作「鐵人─世界第一硬漢─」!!唔呼呼……很硬喔！「硬起來啦啊啊──!!」
                    
"
9789862565520,"

登場鏡頭酷勁十足！解決對手花招百出！透過手提音響來對話、身手非凡的出租保鑣，人稱ＣＯＯＬ。神秘的「咖啡廳店長」手塚國風以及個性鮮明超ＨＯＴ的硬漢們將……守護妳！守護到底!!現在就大聲呼喚他的名字吧！COOL！COOL!!ＣＯＯＬ!!!
                    
"
4713469356675,"

韓國美眉們的宿舍生活依舊是熱鬧不已。不管是脫線的志媛、被志媛耍得團團轉的安娜，還是喜歡同人誌漫畫的敏芝，202號室的三人鬧哄哄的順利度過了一年。新的一年到來，安娜和敏芝竟要搬出宿舍了……被獨自留下的志媛，將會作何反應……？精采結局千萬別錯過了 !!
                    
"
4711552446258,"

志媛終於也成為高中生了！憧憬已久的學生宿舍生活，一年級是３人一寢室。雖然男女分校，但被超有元氣的同伴包圍，今天也是精神飽滿的一天 !!然而，志媛分配到的宿舍「202號房」，卻有著許多詭異的塗鴉字----------「恐怖的202號房」、「小心這面牆！」……202號房究竟隱藏著什麼秘密呢……？
                    
"
9789861024929,"

為了要求爺爺讓女生也有成為繼承者的候補資格，婁鎮展開絕食抗議的激烈行動。而不忍心看下去的婁河則與爺爺進行交易，也因此讓婁鎮正式得到繼承者的候補資格。然而，成氏家族的人則擺出強烈的態度，要婁鎮去檢查是否真的擁有血緣關係…！就這樣為了再次展開的繼承者測試，候選人們都踏上留學的旅程！他們的未來將會如何呢…？第一部完結…！
                    
"
9789861024912,"

第一次試驗以婁河獲得勝利而落幕，第二次試驗在校外教學當中進行的尋寶也已經開始了！在激烈的繼承者爭奪戰當中，婁河、婁民、婁聖三人對於婁鎮是女生的疑惑漸漸變強烈。婁民和婁聖為了讓婁鎮被淘汰而引發了一連串的事件，只有婁河為了保護婁鎮而四處奔波！
                    
"
9789861024899,"

聽到爺爺決定從四位孫子當中挑選出一位做為韓國首富DI集團的繼承人，四位孫子…婁鎮、婁河、婁民、婁聖皆迫不及待地全聚在一起！這四個人個個看來都勢在必得…為了爭奪豪門繼承人之位而展開的一連串高潮迭起的生存遊戲，即將展開！
                    
"
9789861024905,"

比賽結果終於出爐了，而這場賺錢的比賽的優勝者出乎意料地是婁河所獲得！這段時間以來一直都被視為廢人每天只沉迷於打電動的婁河，最後能夠贏得勝利就是靠著打電動所拿到的獎金！隨著日子一天天的過去，加上各種突發事件，婁鎮的真實性別也漸漸曝光！
                    
"
9789861160788,"

韓國最受歡迎的網路動畫明星「中國娃娃PUCCA」，以生動又有趣的角色個性，帶領你走向世界各國，進行「愛的世界大冒險」！美麗的色彩、可愛的畫面，同時注入了世界民族風情和地理常識，不但可以輕鬆閱讀，更可以飽覽地球村的多元面貌，是最適合青少年及全家大小一同欣賞的好書！本書收錄『印度篇』。
                    
"
9789861160764,"

韓國最受歡迎的網路動畫明星「中國娃娃PUCCA」，以生動又有趣的腳色個性，帶領你走向世界各國，進行「愛的世界大冒險」！美麗的色彩、可愛的畫面，同時注入了世界民族風情和地理常識，不但可以輕鬆閱讀，更可以飽覽地球村的多元面貌，是最適合青少年以及全家大小一同欣賞的好書！

"
9789573464068,0
9789867047038,"

當孩子忽然得了腦瘤，一個平凡的小家庭要怎麼面對這個殘酷的命運呢？哭泣、埋怨亦或是帶著笑臉迎接每一天呢？故事的主角是一個調皮搗蛋的小男孩，他不解為何哥哥會生病，而且大人對他的要求越來越多，越來越嚴格！本書從孩子的眼光，解讀家中劇變，充滿了歡笑與淚水，是本適合全家共讀的好書。為了讓更小的讀者也能感受，因此特別推出漫畫版本，希望可以喚起更多讀者的共鳴。
                    
"
9789861160771,"

韓國最受歡迎的網路動畫明星「中國娃娃PUCCA」，以生動又有趣的腳色個性，帶領你走向世界各國，進行「愛的世界大冒險」！美麗的色彩、可愛的畫面，同時注入了世界民族風情和地理常識，不但可以輕鬆閱讀，更可以飽覽地球村的多元面貌，是最適合青少年以及全家大小一同欣賞的好書！
                    
"
9789861160757,"

PUCCA是巨龍麵館老闆的掌上明珠，生性活潑開朗、精力充沛，最愛吃的是家中的招牌料理炸醬麵，最拿手的才藝是筷子舞。有一天，PUCCA遇見一個男孩GARU，他是忍者世家的傳人，背負著振興家業的重大使命兒潛心修練。PUCCA對GARU一見鍾情並展開熱烈追求，而GARU的修練人生也因為PUCCA而大亂。這一段女追男的愛情故事，會怎樣發展下去呢？
                    
"
