ISBN,書籍簡介
9789869718684,"


【連載期間大受好評】
	超讚的漫畫！坐等單行本！
	期待很久了，當過兵看了特別有感。
	時代背景是二、三十年前，現在看還是很有趣～喜歡每回結尾作者的話。
	等了好久，從讀書、退伍，到成為兩個小孩的爸，終於等到了！
	懷念起當兵的美好時光，好多回憶湧上心頭。
	陸軍1785梯報到～讀這作品時，都是往事一幕幕湧上心頭……

	 
	「洞6洞洞，部隊起床！！！」

	又哭又笑又青春，重現90年代軍中生活。
	李鴻欽精心重繪，絕版經典再現江湖！

	我1629梯，你幾梯的啊！？

	我，陳志峰，20歲……
	接到兵單啦！

	台南官田營區，1629梯新兵入伍，連集合場集合！！
	別讓長官第一個記住你！
	伏地挺身加交互蹲跳，蛙人操，撐起來！
	槍舉著，繼續──傘兵操……

	阿峰與南門市場皮蛋阿砲、斯文眼鏡仔阿威，
	菜鳥新兵共同經歷汗水、淚水與歡笑的軍中生活。

	獨樹一幟的類型漫畫，絕版後一書難求，經書迷們萬千期盼，
	《狗臉的歲月》新版誠意加畫、重編出爐。
	取材考據詳實，風格幽默搞笑，卻也血汗交織，
	向讀者分享昔日部隊中所見所聞，
	喚起彼時軍旅生涯的點滴回憶。

	1996年，創作這部作品的動機，是忠實呈現軍中生活，
	希望讓還沒當兵的人，不會像我當年因未知而恐懼。
	時光荏苒，且讓我們一同追憶草綠服的歲月！
	──李鴻欽

名人推薦

	軍事插畫家Mr.Dom
	軍事漫畫研究者 朱國良
	小說《三三五日軍中手札》作者 陸坡
	軍事連線雜誌 採訪主任 劉學謙
	－－真情推薦

"
9789869790635,"


真正擁有「心」的，
	是人類，還是機器人？


Twitter粉絲突破130萬，
アボガド6第一本長篇漫畫！

	★作品被網友喻為「有生之年系列」，讓人只想大喊「Shut up and take my money!」
	★前作短篇漫畫集《滿是空虛之物》預購期間緊急2刷
	台灣讀者表示：
	「有機會看到中文版真的太感動了……！」
	「翻完忍不住再翻一次，每一篇的後勁都好強。」
	「知道有代理時超激動（哭）」
	「人生第一次買了漫畫，真的好喜歡……」

	★新作《滿是溫柔的土地上》，推特上試閱突破60萬like數及10萬次分享，Pixiv網站上超過147萬點閱數，引起廣大迴響！

	時間設定在近未來，戰爭爆發，在各國不擇手段使用劇毒武器之下，地球陷入了一片荒蕪。
	為了清理大戰結束後受到嚴重汙染的地球，人類開發出機器人，同心協力清掃環境。
	好不容易將地球恢復原狀，機器人卻認定「人類」也是危害地球的垃圾，將原本用來清除垃圾的槍口，指向了人類。
	但在這之中，有一群人類和機器人，始終相信著他們能成為朋友……

	日本高人氣影像作家アボガド6首次挑戰長篇漫畫，
	「人類、複製人、機器人」的近未來背景設定，
	融合其個人特色的「利益、道德、生命」現實思辨。
	這是跨越人類和非人類的界線，アボガド6對生命本質的尖銳叩問！

"
9789869623698,"


卻又如此難以放手呢？

	 

抑鬱、厭世、脫力、諷刺……

無法被定義的風格，超越現實的驚人想像力！

Twitter粉絲突破99萬！

天才影像作家アボガド6第一本短篇漫畫集！

	 

	 

	「希望大家可以愛上這樣的日常。」

	——〈花瓶に触れた〉、〈シャルル〉音樂創作人Balloon（須田景凪）愛不釋手推薦！

	 

	 

	一無所有的男孩、

	受人愛戴的女孩、

	下凡到人間的神明大人、

	機器人養大的實驗兒童、

	以壽命交換願望的死神電話、

	沒有名氣的插畫家和正式出道的音樂人……

	 

	日常的碎片彼此相互交疊，

	拼湊出殘酷而耀眼的世界。

	在滿是空虛之物的生活中，

	我們都在尋找生存於此的意義——

	 

	日本新銳影像作家アボガド6以風格強烈的繪畫作品和音樂動畫MV廣為人知，他的作品分鏡獨特，在在彰顯出他強大的說故事能力，目前已有超過50部音樂MV作品，YouTube及日本動畫網站NICONICO點閱數突破5000萬次！

	本書則是他的第一本短篇漫畫集，在日本上市後即火速再版，1年內累計達7刷以上，人氣居高不墜。「空虛感」、「空無感」是アボガド6擅長的主題，漫畫細膩描繪出人性的複雜及面對命運的無能為力，但也映襯出自絕望中誕生的希望。一篇篇看似獨立的短篇，愈接近尾聲則逐漸串連在一起，形成獨特的世界觀，也將平凡的日常染上帶著感傷卻又讓人無法移開視線的絢麗色彩。

"
9789860675443,"


	菜鳥們終於進駐傳說中最操的一五一營基地，
	老兵學長個個面露凶光，引頸期盼……

	「這下我們1607梯的弟兄們要出頭天啦！」

	營長有令！這次基訓普測要拿第一！
	早晚五千公尺徒手跑步、刺槍術練到滿手厚繭，
	帳棚營地高低不平、木板廁所蒼蠅滿地，
	新兵銜接隊的日常，讓人天天都想要逃兵！

	獨樹一幟的軍中生活漫畫，絕版後一書難求，
	經書迷們萬千期盼，《狗臉的歲月》新版誠意加畫、重編出爐。
	取材考據詳實，風格幽默搞笑，卻也血汗交織，
	向讀者分享昔日部隊中所見所聞，喚起彼時軍旅生涯的點滴回憶。

	1996年，創作這部作品的動機，是忠實呈現軍中生活，
	希望讓還沒當兵的人，不會像我當年因未知而恐懼。
	時光荏苒，且讓我們一同追憶草綠服的歲月！——李鴻欽

本書特色

	將軍山「下基地」，一五一營全員注意！
	又哭又笑又青春，血汗交織的90年代軍旅生活。
	地獄野營、老兵加訓，操練永無止盡──
	目標第一！基訓普測大進擊。

真情推薦

	軍事插畫家／Mr.Dom
	軍事漫畫研究者／朱國良
	小說《三三五日軍中手札》作者／陸坡
	軍事連線雜誌　採訪主任／劉學謙

"
9789860777116,"

「日漫有兩座高山，其中一座是手塚治虫，另一座就是柘植義春。」打破漫畫的框架，從「現實」看見「超現實」，在「夢境」與「日常」間遊走。日本前衛漫畫始祖經典作品選集，中文版首度問世！․日本漫畫家協會大獎、法國安古蘭漫畫節特別榮譽獎得主․達到高度藝術性與文學性的漫畫作品，開創日本另類漫畫的《GARO》系代表․特邀Mangasick漫畫私倉擔任選集顧問與專文解說「深愛日陰處而非日照處、暗巷裡而非大街上、『非主流』而非『主流』......這裡雖然沒有繁華，卻有遠離社會喧騷的靜謚。」——川本三郎在日本漫畫界，柘植義春的名字和「漫畫之神」手塚治虫並列。若說手塚治虫奠定了日本主流漫畫的表現形式與美感，柘植義春則是成人漫畫和前衛漫畫的開山始祖。他的作品圍繞著夢境、旅情、私漫畫這三個類型，幾乎都是短篇。「夢境」作品營造出意識流般、似夢非夢的意境，帶有超現實主義及精神分析學的影子；「旅情」作品以偏鄉祕境為場景，在了無生氣的寂寥之地滿足避世遁隱的想望；「私漫畫」作品則混淆了虛實界線，將自己的日常擺在讀者面前。不同於王道漫畫的熱血、友情與奮鬥，柘植義春擅長挖掘沉澱在人們內心深處的黯淡世界，包含對存在的焦慮、現實的逃逸、死亡的恐懼或異樣的性愛妄想，作品充斥著難以排解的抑鬱與糾結。他從不畫大人物或大場面，筆下出現的盡是邊緣失敗者與破敗舊街區，而這種虛無慘澹之氣也成了他的招牌。敘事手法上，柘植義春掙脫了傳統故事漫畫「起承轉合」的框架，不再具備達成目的或解決問題的事件性，也不藉由過程啟發或娛樂讀者。有時候會突然冒出沒有邏輯的對話，或是前後不連貫的分鏡與場景，塑造出分不清是現實還是夢境的詭譎氛圍。這樣斷裂跳躍的實驗性做法，大大地衝擊了漫畫界，也獲得藝文圈與菁英學子的關注。可以說從這時開始，日本漫畫站上了與文學、電影相同的藝術高度。＊＊＊＊＊「他的創造力充滿著一種內在性與解放，使他置身於不可避免且極難忍受的處境。......創作於是（對柘植義春而言），就像是無止境地挺著轉向前方的身驅，卻又準備好要脫逃。」——白土三平柘植義春一生跌宕起伏，飽受精神疾病所苦，創作初期曾經自殺未遂，1965-1970年在日本前衛漫畫雜誌《GARO》發表了許多實驗性、開創性的代表作，可謂其轉捩點，70年代後因身心狀況不佳創作量遞減，1980年代以《無能之人》系列再創漫畫高峰，卻選擇於1987年休筆隱世，從此宛如人間蒸發。但他在日本藝文界的地位卻是無庸置疑，有許多專門探討解析其作品的專書，業界編輯、評論家、作家也不少是他的死忠粉絲。從筑摩書房、新潮社、小學館到講談社，日本各大出版社不斷推出自家編選的柘植義春漫畫集，在日漫界實屬異數。2017年，柘植義春更以新潮社編選的漫畫系列獲頒第46屆「日本漫畫家協會大獎」。Bob Dylan得到諾貝爾文學獎的消息公布後，日本書迷還曾經開玩笑說，「那下一個應該輪到義春了吧！」其在日本的地位可見一斑。柘植義春在歐美也獲得極高的評價，2005年時《無能之人》法語版獲得安古蘭國際漫畫節頒發之「文化遺產獎」。 2020年第47屆法國安古蘭漫畫節難能可貴地獲得本人同意，舉辦了大規模的原稿展「存而不在 ÊTRE SANS EXISTER：柘植義春大展」，避世多年的義春出乎意料地前往參加，並上台領取特別榮譽獎。＊＊＊＊＊「柘植義春漫畫的革命性，不在於揭露某些存於日常生活中心的事物，而在於呈現隱藏在較為『不尋常』範圍內的事粅，在那些我們可以稱為『心之漂浪』的深處。」——寺山修司此次柘植義春首度問世的中文版，邀請了Mangasick漫畫私倉擔任選集顧問，精選其生涯不同時期的經典代表名作，分為兩集同時出版。本書為第一集，共收錄9篇重要代表作：〈螺旋式〉是柘植義春最廣為人知的作品，講述主角被水母刺傷，血流不止，欲尋找醫生卻落入如鬼打牆般的迴圈，塑造出他人即「惡夢」的恐懼。1968年發表時，在藝文界與大學生之間掀起了一陣熱潮，離奇的故事、前衛的敘事手法、加上意味深長的意象，醞釀出濃濃的絕望與瘋狂。〈源泉館老闆〉與〈柳屋老闆〉可說是姐妹作，兩篇都以偏僻淒涼的小鎮作為背景，旅人來到只有女主人的破舊旅館，在妄想夢境或是其他時空，成為了旅館的老闆。〈山椒魚〉是只有七頁的極短篇，透過全篇的獨白，與從動物出發的獨特視角，營造相當晦暗的黑色幽默，令人聯想到卡夫卡。〈沼〉可謂柘植義春的蛻變之作，是他剛開始在《GARO》發表漫畫時的大膽嘗試。描寫東京來的獵人受神祕少女邀請，在山村借住一晚的故事。漫畫結合了性與死的意象，但整篇沒有明確的事件發生，擺脫了故事優先的框架。 〈吱子〉具半自傳的色彩，重現豢養文鳥的意外之死，帶出內心的陰影。是緊接在〈沼〉之後發表的作品，完成度相當高。 〈不可思議的信〉由早期貸本漫畫作品重新改繪而成，透過一封陌生人的信，解開母親墓地之謎，帶著懸疑與推理的色彩。〈夜入侵了〉圍繞在一對失和的同居情侶，有不少暴力、性變態的場景，將男主角精神的不穩定以及對異樣性愛的妄想赤裸坦露。〈李先生一家〉講述莫名其妙住進主角家的奇怪鄰居，充滿著滑稽嘲諷的調性。也可以從中看出柘植義春獨鍾破舊郊區的情懷。「我或許是想要了解，關於過去與目前人生的關係、生與死、虛構與真實，然而我對這些事物卻一無所知。」——柘植義春（※同時出版《柘植義春漫畫選集：紅花、鄰近的風景》，收錄另外10篇義春重要代表作，不可錯過！）
                    
"
9789860777123,"

「日漫有兩座高山，其中一座是手塚治虫，另一座就是柘植義春。」打破漫畫的框架，從「現實」看見「超現實」，在「夢境」與「日常」間遊走。日本前衛漫畫始祖經典作品選集，中文版首度問世！․日本漫畫家協會大獎、法國安古蘭漫畫節特別榮譽獎得主․達到高度藝術性與文學性的漫畫作品，開創日本另類漫畫的《GARO》系代表․特邀Mangasick漫畫私倉擔任選集顧問․收錄日本評論家川本三郎為台灣版全新撰寫的精彩專文「深愛日陰處而非日照處、暗巷裡而非大街上、『非主流』而非『主流』......這裡雖然沒有繁華，卻有遠離社會喧騷的靜謚。」——川本三郎在日本漫畫界，柘植義春的名字和「漫畫之神」手塚治虫並列。若說手塚治虫奠定了日本主流漫畫的表現形式與美感，柘植義春則是成人漫畫和前衛漫畫的開山始祖。他的作品圍繞著夢境、旅情、私漫畫這三個類型，幾乎都是短篇。「夢境」作品營造出意識流般、似夢非夢的意境，帶有超現實主義及精神分析學的影子；「旅情」作品以偏鄉祕境為場景，在了無生氣的寂寥之地滿足避世遁隱的想望；「私漫畫」作品則混淆了虛實界線，將自己的日常擺在讀者面前。不同於王道漫畫的熱血、友情與奮鬥，柘植義春擅長挖掘沉澱在人們內心深處的黯淡世界，包含對存在的焦慮、現實的逃逸、死亡的恐懼或異樣的性愛妄想，作品充斥著難以排解的抑鬱與糾結。他從不畫大人物或大場面，筆下出現的盡是邊緣失敗者與破敗舊街區，而這種虛無慘澹之氣也成了他的招牌。敘事手法上，柘植義春掙脫了傳統故事漫畫「起承轉合」的框架，不再具備達成目的或解決問題的事件性，也不藉由過程啟發或娛樂讀者。有時候會突然冒出沒有邏輯的對話，或是前後不連貫的分鏡與場景，塑造出分不清是現實還是夢境的詭譎氛圍。這樣斷裂跳躍的實驗性做法，大大地衝擊了漫畫界，也獲得藝文圈與菁英學子的關注。可以說從這時開始，日本漫畫站上了與文學、電影相同的藝術高度。＊＊＊＊＊「他的創造力充滿著一種內在性與解放，使他置身於不可避免且極難忍受的處境。......創作於是（對柘植義春而言），就像是無止境地挺著轉向前方的身驅，卻又準備好要脫逃。」——白土三平柘植義春一生跌宕起伏，飽受精神疾病所苦，創作初期曾經自殺未遂，1965-1970年在日本前衛漫畫雜誌《GARO》發表了許多實驗性、開創性的代表作，可謂其轉捩點，70年代後因身心狀況不佳創作量遞減，1980年代以《無能之人》系列再創漫畫高峰，卻選擇於1987年休筆隱世，從此宛如人間蒸發。但他在日本藝文界的地位卻是無庸置疑，有許多專門探討解析其作品的專書，業界編輯、評論家、作家也不少是他的死忠粉絲。從筑摩書房、新潮社、小學館到講談社，日本各大出版社不斷推出自家編選的柘植義春漫畫集，在日漫界實屬異數。2017年，柘植義春更以新潮社編選的漫畫系列獲頒第46屆「日本漫畫家協會大獎」。Bob Dylan得到諾貝爾文學獎的消息公布後，日本書迷還曾經開玩笑說，「那下一個應該輪到義春了吧！」其在日本的地位可見一斑。柘植義春在歐美也獲得極高的評價，2005年時《無能之人》法語版獲得安古蘭國際漫畫節頒發之「文化遺產獎」。 2020年第47屆法國安古蘭漫畫節難能可貴地獲得本人同意，舉辦了大規模的原稿展「存而不在 ÊTRE SANS EXISTER：柘植義春大展」，避世多年的義春出乎意料地前往參加，並上台領取特別榮譽獎。＊＊＊＊＊「柘植義春漫畫的革命性，不在於揭露某些存於日常生活中心的事物，而在於呈現隱藏在較為『不尋常』範圍內的事粅，在那些我們可以稱為『心之漂浪』的深處。」——寺山修司此次柘植義春首度問世的中文版，邀請了Mangasick漫畫私倉擔任選集顧問，精選其生涯不同時期的經典代表名作，分為兩集同時出版。本書為第二集，收錄了10篇重要代表作：〈紅花〉、〈滿酒屋少女〉雖然是完全獨立的兩篇故事，但在情境與角色上卻十分相似：一位旅人來到了偏鄉祕境，遇見有著曲折身世的少女。旅人就像是旁觀者，雖然對少女抱著好奇，卻僅是個過客身分短暫參與，沒有進一步涉入少女的生活。〈現實客棧〉描寫現代人碰上肯定只會憤怒客訴的旅館投宿經驗，主角並非透過旅行享受限期的、奢侈的、消費性的時光，而是直接空降到他人的日常之中。為了找尋漫畫題材而出遊的設定，可說是柘植義春自我的化身。〈海邊敘景〉的故事從陽光明媚的熱鬧沙灘開始，隨著場景轉至人煙罕至的斷崖，也安排主角在此相遇。結尾以跨頁表現淒冷蒼茫的大海，帶著一絲感傷卻又相當浪漫，營造出男女邂逅的微妙氣氛，也是柘植義春作品的名場面。 〈吉保的犯罪〉與〈夢中散步〉描繪了意識下突然冒出的虛幻陰暗面，一個投射出異樣性愛妄想的扭曲世界。特別的是，〈夢中散步〉畫風陡然一變，以清淡的線條與許多空白，展現不同以往的清新質樸。〈夏天的回憶〉與〈無聊的房間〉都是以同居情侶為主角，整體調性逐漸輕快而不再沉重，在看似不合理的主情節下，是真實情侶間發生的種種日常。〈散步的日常〉運用詼諧自嘲的方式，講述為了三百圓而苦惱的困窘。，理應相當淒慘，卻因為用的方式呈現。同樣將「我」設定為漫畫家，自傳性相當濃厚。〈鄰近的風景〉將柘植義春對老舊街區的嚮往、對邊緣人的同理，毫不保留地述說。義春喜歡這些寂寥的地方並以其為舞台，儘管和當時日本高度成長的「開朗」氣氛沾不上邊，但他深知這些破敗之處的美好。「我感覺，雖然是我造訪這個地方，我卻是個一事無成的人、一位失敗者，但我覺得很好。」——柘植義春（※同時出版《柘植義春漫畫選集：螺旋式、李先生一家》，收錄另外9篇義春重要代表作，不可錯過！）
                    
"
9789860630169,"


只要和你一起，
 就是最棒的「喵」生！


 160萬粉絲敲罐罐呼喊！
 アボガド6×貓，第一本全彩插畫卡片書！

本書特色

★超可愛貓咪一本打盡
 日本超人氣繪師アボガド6以其最受歡迎的貓咪插畫為主題，描繪白貓、黑貓、花貓三隻貓在「野菜國」的冒險。可愛小貓和顏色鮮豔的蔬果躍然紙上，搭配趣味短文和蔬果簡介，完全治癒你的心！

★是書也是卡片
 特殊裝幀的插畫卡片書，除了4幅過去的高人氣作品外，更收錄全新繪製的14幅插畫，總共18張卡片！整本書不僅可以閱讀，每頁也可以輕鬆撕下作為卡片使用，送禮自用皆宜！（郵寄時請查詢本地郵局規範，請勿直接投入郵筒交寄。）

★完美呈現日版質感
 繁體中文版比照日版品質，雙書封的書衣使用150g維納斯凝雪映畫紙，背紙使用135g義大利曉雨紙，內頁則採用具天然紙紋、質感極佳的256g貝爾敦超感輕塗紙。

日本讀者直呼可愛推薦

 「非常可愛，很棒的插畫！」

 「很棒的書，蔬菜的插畫很棒，讓人感覺溫暖。」

 「繪畫構想一如往常好到不行，超級可愛！！」

 「啊啊啊啊啊啊啊，我太喜歡了！太可愛了！」

"
9991100825017,"

※套書限量加贈〈螺旋式〉A3尺寸海報※「日漫有兩座高山，其中一座是手塚治虫，另一座就是柘植義春。」打破漫畫的框架，從「現實」看見「超現實」，在「夢境」與「日常」間遊走。日本前衛漫畫始祖經典作品選集，中文版首度問世！․日本漫畫家協會大獎、法國安古蘭漫畫節特別榮譽獎得主․達到高度藝術性與文學性的漫畫作品，開創日本另類漫畫的《GARO》系代表․特邀Mangasick漫畫私倉擔任選集顧問與解說․收錄日本評論家川本三郎為台灣版全新撰寫的精彩專文「深愛日陰處而非日照處、暗巷裡而非大街上、『非主流』而非『主流』......這裡雖然沒有繁華，卻有遠離社會喧騷的靜謚。」——川本三郎在日本漫畫界，柘植義春的名字和「漫畫之神」手塚治虫並列。若說手塚治虫奠定了日本主流漫畫的表現形式與美感，柘植義春則是成人漫畫和前衛漫畫的開山始祖。他的作品圍繞著夢境、旅情、私漫畫這三個類型，幾乎都是短篇。「夢境」作品營造出意識流般、似夢非夢的意境，帶有超現實主義及精神分析學的影子；「旅情」作品以偏鄉祕境為場景，在了無生氣的寂寥之地滿足避世遁隱的想望；「私漫畫」作品則混淆了虛實界線，將自己的日常擺在讀者面前。不同於王道漫畫的熱血、友情與奮鬥，柘植義春擅長挖掘沉澱在人們內心深處的黯淡世界，包含對存在的焦慮、現實的逃逸、死亡的恐懼或異樣的性愛妄想，作品充斥著難以排解的抑鬱與糾結。他從不畫大人物或大場面，筆下出現的盡是邊緣失敗者與破敗舊街區，而這種虛無慘澹之氣也成了他的招牌。敘事手法上，柘植義春掙脫了傳統故事漫畫「起承轉合」的框架，不再具備達成目的或解決問題的事件性，也不藉由過程啟發或娛樂讀者。有時候會突然冒出沒有邏輯的對話，或是前後不連貫的分鏡與場景，塑造出分不清是現實還是夢境的詭譎氛圍。這樣斷裂跳躍的實驗性做法，大大地衝擊了漫畫界，也獲得藝文圈與菁英學子的關注。可以說從這時開始，日本漫畫站上了與文學、電影相同的藝術高度。＊＊＊＊＊「他的創造力充滿著一種內在性與解放，使他置身於不可避免且極難忍受的處境。......創作於是（對柘植義春而言），就像是無止境地挺著轉向前方的身驅，卻又準備好要脫逃。」——白土三平柘植義春一生跌宕起伏，飽受精神疾病所苦，創作初期曾經自殺未遂，1965-1970年在日本前衛漫畫雜誌《GARO》發表了許多實驗性、開創性的代表作，可謂其轉捩點，70年代後因身心狀況不佳創作量遞減，1980年代以《無能之人》系列再創漫畫高峰，卻選擇於1987年休筆隱世，從此宛如人間蒸發。但他在日本藝文界的地位卻是無庸置疑，有許多專門探討解析其作品的專書，業界編輯、評論家、作家也不少是他的死忠粉絲。從筑摩書房、新潮社、小學館到講談社，日本各大出版社不斷推出柘植義春漫畫集，在日漫界實屬異數。2017年，柘植義春更以新潮社編選的漫畫系列獲頒第46屆「日本漫畫家協會大獎」。Bob Dylan得到諾貝爾文學獎的消息公布後，日本書迷還曾經開玩笑說，那下一個應該輪到義春了吧！其在日本的地位可見一斑。柘植義春在歐美也獲得極高的評價，2005年時《無能之人》法語版獲得安古蘭國際漫畫節頒發之「文化遺產獎」。 2020年第47屆法國安古蘭漫畫節難能可貴地獲得本人同意，舉辦了大規模的原稿展「存而不在 ÊTRE SANS EXISTER：柘植義春大展」，避世多年的義春出乎意料地前往參加，並上台領取特別榮譽獎。＊＊＊＊＊「柘植義春漫畫的革命性，不在於揭露某些存於日常生活中心的事物，而在於呈現隱藏在較為『不尋常』範圍內的事粅，在那些我們可以稱為『心之漂浪』的深處。」——寺山修司此次柘植義春首度問世的中文版，邀請了Mangasick漫畫私倉擔任選集顧問，精選其生涯不同時期的經典代表名作，分為兩集同時出版。兩集一共收錄了19篇代表作：【選集1】〈螺旋式〉是柘植義春最廣為人知的作品，講述主角被水母刺傷，血流不止，欲尋找醫生卻落入如鬼打牆般的迴圈，塑造出他人即「惡夢」的恐懼。1968年發表時，在藝文界與大學生之間掀起了一陣熱潮，離奇的故事、前衛的敘事手法、加上意味深長的意象，醞釀出濃濃的絕望與瘋狂。〈源泉館老闆〉與〈柳屋老闆〉可說是姐妹作，兩篇都以偏僻淒涼的小鎮作為背景，旅人來到只有女主人的破舊旅館，在妄想夢境或是其他時空，成為了旅館的老闆。〈山椒魚〉是只有七頁的極短篇，透過全篇的獨白，與從動物出發的獨特視角，營造相當晦暗的黑色幽默，令人聯想到卡夫卡。〈沼〉可謂柘植義春的蛻變之作，是他剛開始在《GARO》發表漫畫時的大膽嘗試。描寫東京來的獵人受神祕少女邀請，在山村借住一晚的故事。漫畫結合了性與死的意象，但整篇沒有明確的事件發生，擺脫了故事優先的框架。 〈吱子〉具半自傳的色彩，重現豢養文鳥的意外之死，帶出內心的陰影。是緊接在〈沼〉之後發表的作品，完成度相當高。 〈不可思議的信〉由早期貸本漫畫作品重新改繪而成，透過一封陌生人的信，解開母親墓地之謎，帶著懸疑與推理的色彩。〈夜入侵了〉圍繞在一對失和的同居情侶，有不少暴力、性變態的場景，將男主角精神的不穩定以及對異樣性愛的妄想赤裸坦露。〈李先生一家〉講述莫名其妙住進主角家的奇怪鄰居，充滿著滑稽嘲諷的調性。也可以從中看出柘植義春獨鍾破舊郊區的情懷。「我或許是想要了解，關於過去與目前人生的關係、生與死、虛構與真實，然而我對這些事物卻一無所知。」——柘植義春【選集2】〈紅花〉、〈滿酒屋少女〉雖然是完全獨立的兩篇故事，但在情境與角色上卻十分相似：一位旅人來到了偏鄉祕境，遇見有著曲折身世的少女。旅人就像是旁觀者，雖然對少女抱著好奇，卻僅是個過客身分短暫參與，沒有進一步涉入少女的生活。〈現實客棧〉描寫現代人碰上肯定只會憤怒客訴的旅館投宿經驗，主角並非透過旅行享受限期的、奢侈的、消費性的時光，而是直接空降到他人的日常之中。為了找尋漫畫題材而出遊的設定，可說是柘植義春自我的化身。〈海邊敘景〉的故事從陽光明媚的熱鬧沙灘開始，隨著場景轉至人煙罕至的斷崖，也安排主角在此相遇。結尾以跨頁表現淒冷蒼茫的大海，帶著一絲感傷卻又相當浪漫，營造出男女邂逅的微妙氣氛，也是柘植義春作品的名場面。 〈吉保的犯罪〉與〈夢中散步〉描繪了意識下突然冒出的虛幻陰暗面，一個投射出異樣性愛妄想的扭曲世界。特別的是，〈夢中散步〉畫風陡然一變，以清淡的線條與許多空白，展現不同以往的清新質樸。〈夏天的回憶〉與〈無聊的房間〉都是以同居情侶為主角，整體調性逐漸輕快而不再沉重，在看似不合理的主情節下，是真實情侶間發生的種種日常。〈散步的日常〉運用詼諧自嘲的方式，講述為了三百圓而苦惱的困窘。，理應相當淒慘，卻因為用的方式呈現。同樣將「我」設定為漫畫家，自傳性相當濃厚。〈鄰近的風景〉將柘植義春對老舊街區的嚮往、對邊緣人的同理，毫不保留地述說。義春喜歡這些寂寥的地方並以其為舞台，儘管和當時日本高度成長的「開朗」氣氛沾不上邊，但他深知這些破敗之處的美好。「我感覺，雖然是我造訪這個地方，我卻是個一事無成的人、一位失敗者，但我覺得很好。」——柘植義春
                    
"
9789869857529,"


聚集牛鬼蛇神的軍營，發生光怪陸離的事情……

	緊張緊張、刺激刺激，下部隊抽籤啦！
	又哭又笑又青春，最經典90年代軍旅漫畫。

	暗黑特別篇殺手 震撼登場


	聚集牛鬼蛇神的軍營，
	發生光怪陸離的事情……
	退伍老學長傳下來的鬼故事說不完，
	傳說七號靶位的佈靶兵死於一顆子彈，卻有七個彈孔，
	打靶射擊結束，看不清面色，阿峰低聲說：「做人不要太鐵齒……」

	好不容易熬到結訓假，愛情紅綠燈下卻一片愁雲慘霧，
	阿威女友疑似兵變？阿峰情路仍晦暗不明……

	獨樹一幟的類型漫畫，絕版後一書難求，
	經書迷們萬千期盼，《狗臉的歲月》新版誠意加畫、重編出爐。
	取材考據詳實，風格幽默搞笑，卻也血汗交織，
	向讀者分享昔日部隊中所見所聞，喚起彼時軍旅生涯的點滴回憶。

	1996年，創作這部作品的動機，是忠實呈現軍中生活，
	希望讓還沒當兵的人，不會像我當年因未知而恐懼。
	時光荏苒，且讓我們一同追憶草綠服的歲月！
	 

──李鴻欽


名人推薦

	軍事插畫家Mr.Dom
	軍事漫畫研究者 朱國良
	小說《三三五日軍中手札》作者 陸坡
	軍事連線雜誌 採訪主任 劉學謙－－真情推薦

"
9789860630176,"


歡迎來到跑馬燈電影院，
 你的人生，借我們看一下吧？


 アボガド6全新畫集
 最觸動人心的觀「影」體驗！

本書特色

★插畫量全系列最多！
 推特粉絲突破160萬，アボガド6繼《果實》、《剝製》之後第三本全彩畫集！更勝之前的插畫量，230幅全彩插畫除了「致鬱」和「治癒」兩種風格外，並收錄アボガド6廣受好評的「天使與死神」系列，是最適合新讀者入門、老讀者收藏的經典之作。

★特別收錄未公開短篇漫畫
 直視死亡，才得以了解活著的意義！アボガド6以短篇漫畫〈上映〉貫穿全書，帶出人生中生老病死、喜怒哀樂的各個階段。

★完美呈現日版質感
 雙書封，書衣使用120g牛皮紙，白墨加彩印，內頁採用150g映畫紙，搭配好翻平閱讀的PUR膠裝訂，完整呈現日版規格和質感。

日本Amazon讀者4.7顆星共感推薦

 「心一下感到溫暖，一下感到不安；一下疼痛、一下又變得柔軟。看這本書的同時，情感也隨之搖擺。」

 「看到哭了，雖然每幅插畫的標題都只有一行字，但光是插畫和標題就讓人非常懂作者想表達的心情，是很能傳達意境的作品。」

 「這是給予名為『一生』這部痛苦電影的肯定。上次的畫集也很棒，這次卻是真正讓我驚喜，一定要看那篇新收錄的漫畫。」

"
