書名,書籍網站,作者,出版社,ISBN,圖片網址
阿爾蒂（12）,https://www.kingstone.com.tw//basic/2019460128221?zone=book&lid=book_class3_paa&actid=book_class3_paa,大久保圭,尖端漫畫  ,9786263160477,https://cdn.kingstone.com.tw/book/images/product/20194/2019460128221/2019460128221b.jpg
青春播放不間斷－05,https://www.kingstone.com.tw//basic/2019460116730?zone=book&lid=book_class3_paa&actid=book_class3_paa,水瀨藍,長鴻      ,9786260058234,https://cdn.kingstone.com.tw/book/images/product/20194/2019460116730/2019460116730b.jpg
阿宅的戀愛太難 09,https://www.kingstone.com.tw//basic/2019479896043?zone=book&lid=book_class3_paa&actid=book_class3_paa,ふじた,東立      ,9789572658161,https://cdn.kingstone.com.tw/book/images/product/20194/2019479896043/2019479896043b.jpg
堀與宮村（09）,https://www.kingstone.com.tw//basic/2019478247716?zone=book&lid=book_class3_paa&actid=book_class3_paa,HERO/萩原ダイスケ,青文      ,4718016019874,https://cdn.kingstone.com.tw/book/images/product/20194/2019478247716/2019478247716b.jpg
霜月老師的不甜膩戀愛講座－02完,https://www.kingstone.com.tw//basic/2019460116600?zone=book&lid=book_class3_paa&actid=book_class3_paa,香魚子,長鴻      ,9786260058203,https://cdn.kingstone.com.tw/book/images/product/20194/2019460116600/2019460116600b.jpg
轉生惡女的黑歷史－02,https://www.kingstone.com.tw//basic/2019460078625?zone=book&lid=book_class3_paa&actid=book_class3_paa,冬夏秋春,長鴻      ,9786260056810,https://cdn.kingstone.com.tw/book/images/product/20194/2019460078625/2019460078625b.jpg
用我的手指蹂躪妳。～打烊後的沙龍、被壞心眼欺負（01）,https://www.kingstone.com.tw//basic/2019460070919?zone=book&lid=book_class3_paa&actid=book_class3_paa,neco,青文      ,9789865129347,https://cdn.kingstone.com.tw/images/restricted.jpg
椿町的寂寞星球 12,https://www.kingstone.com.tw//basic/2019460019475?zone=book&lid=book_class3_paa&actid=book_class3_paa,山森三香,東立      ,9789572659496,https://cdn.kingstone.com.tw/book/images/product/20194/2019460019475/2019460019475b.jpg
月刊少女野崎同學（11）,https://www.kingstone.com.tw//basic/2019479529897?zone=book&lid=book_class3_paa&actid=book_class3_paa,椿泉,青文      ,9789865122126,https://cdn.kingstone.com.tw/book/images/product/20194/2019479529897/2019479529897b.jpg
快為北條麗寫出戀愛小說！（１）,https://www.kingstone.com.tw//basic/2019460087160?zone=book&lid=book_class3_paa&actid=book_class3_paa,ナカノ．ザワ,台灣角川  ,9789865247065,https://cdn.kingstone.com.tw/book/images/product/20194/2019460087160/2019460087160b.jpg
