書名,書籍網站,作者,出版社,ISBN,圖片網址
平行天堂07,https://www.kingstone.com.tw//basic/2019460048444?zone=book&lid=book_class3_pab&actid=book_class3_pab,岡本倫,東立      ,9789572644928,https://cdn.kingstone.com.tw/images/restricted.jpg
親愛的弗蘭克斯 DARLING in the FRANXX 01,https://www.kingstone.com.tw//basic/2019460016399?zone=book&lid=book_class3_pab&actid=book_class3_pab,矢吹健太朗,東立      ,9789572664605,https://cdn.kingstone.com.tw/images/restricted.jpg
冰屬性男子與無表情女子 02,https://www.kingstone.com.tw//basic/2019479936442?zone=book&lid=book_class3_pab&actid=book_class3_pab,殿ヶ谷美由記,東立      ,9789572652640,https://cdn.kingstone.com.tw/book/images/product/20194/2019479936442/2019479936442b.jpg
女朋友 and 女朋友 01,https://www.kingstone.com.tw//basic/2019479984573?zone=book&lid=book_class3_pab&actid=book_class3_pab,ヒロユキ,東立      ,9789572662915,https://cdn.kingstone.com.tw/book/images/product/20194/2019479984573/2019479984573b.jpg
我們真的學不來！ （特裝版） 21（完）,https://www.kingstone.com.tw//basic/2019460085166?zone=book&lid=book_class3_pab&actid=book_class3_pab,筒井大志,東立      ,9789572670019,https://cdn.kingstone.com.tw/book/images/product/20194/2019460085166/2019460085166b.jpg
去唱卡拉OK吧！（全）,https://www.kingstone.com.tw//basic/2019479998488?zone=book&lid=book_class3_pab&actid=book_class3_pab,和山やま,東立      ,9789572666081,https://cdn.kingstone.com.tw/book/images/product/20194/2019479998488/2019479998488b.jpg
終末的女武神 02,https://www.kingstone.com.tw//basic/2019479966203?zone=book&lid=book_class3_pab&actid=book_class3_pab,梅村真也,東立      ,9789572653098,https://cdn.kingstone.com.tw/book/images/product/20194/2019479966203/2019479966203b.jpg
SPY×FAMILY 間諜家家酒 05,https://www.kingstone.com.tw//basic/2019479831501?zone=book&lid=book_class3_pab&actid=book_class3_pab,遠藤達哉,東立      ,9789572658239,https://cdn.kingstone.com.tw/book/images/product/20194/2019479831501/2019479831501b.jpg
SPY×FAMILY 間諜家家酒 02,https://www.kingstone.com.tw//basic/2019479604624?zone=book&lid=book_class3_pab&actid=book_class3_pab,遠藤達哉,東立      ,9789572642665,https://cdn.kingstone.com.tw/book/images/product/20194/2019479604624/2019479604624b.jpg
輝夜姬想讓人告白~天才們的戀愛頭腦戰~22,https://www.kingstone.com.tw//basic/2019460093789?zone=book&lid=book_class3_pab&actid=book_class3_pab,赤坂アカ,東立      ,9789572671405,https://cdn.kingstone.com.tw/book/images/product/20194/2019460093789/2019460093789b.jpg
巷弄迷宮裡的少女 01,https://www.kingstone.com.tw//basic/2019460040998?zone=book&lid=book_class3_pab&actid=book_class3_pab,十月士也,東立      ,9789572655993,https://cdn.kingstone.com.tw/book/images/product/20194/2019460040998/2019460040998b.jpg
我在麻理體內 04,https://www.kingstone.com.tw//basic/2019460082790?zone=book&lid=book_class3_pab&actid=book_class3_pab,押見修造,東立      ,9789863823964,https://cdn.kingstone.com.tw/images/restricted.jpg
你也差不多該死心了！（01）,https://www.kingstone.com.tw//basic/2019460093109?zone=book&lid=book_class3_pab&actid=book_class3_pab,米代恭,尖端漫畫  ,9786263088634,https://cdn.kingstone.com.tw/book/images/product/20194/2019460093109/2019460093109b.jpg
不要欺負我，長瀞同學09,https://www.kingstone.com.tw//basic/2019460061344?zone=book&lid=book_class3_pab&actid=book_class3_pab,NANASHI,東立      ,9789572661178,https://cdn.kingstone.com.tw/book/images/product/20194/2019460061344/2019460061344b.jpg
輝夜姬想讓人告白~天才們的戀愛頭腦戰~21,https://www.kingstone.com.tw//basic/2019479999270?zone=book&lid=book_class3_pab&actid=book_class3_pab,赤坂アカ,東立      ,9789572665770,https://cdn.kingstone.com.tw/book/images/product/20194/2019479999270/2019479999270b.jpg
SPY×FAMILY 間諜家家酒 06,https://www.kingstone.com.tw//basic/2019479965121?zone=book&lid=book_class3_pab&actid=book_class3_pab,遠藤達哉,東立      ,9789572662618,https://cdn.kingstone.com.tw/book/images/product/20194/2019479965121/2019479965121b.jpg
天保桃色水滸傳（02）,https://www.kingstone.com.tw//basic/2019479813101?zone=book&lid=book_class3_pab&actid=book_class3_pab,八月薰、粕谷秀夫,青文      ,9789865125608,https://cdn.kingstone.com.tw/images/restricted.jpg
終末的女武神 01,https://www.kingstone.com.tw//basic/2019479724599?zone=book&lid=book_class3_pab&actid=book_class3_pab,梅村真也,東立      ,9789572653081,https://cdn.kingstone.com.tw/book/images/product/20194/2019479724599/2019479724599b.jpg
SPY×FAMILY 間諜家家酒 04,https://www.kingstone.com.tw//basic/2019479705017?zone=book&lid=book_class3_pab&actid=book_class3_pab,遠藤 達哉,東立      ,9789572653159,https://cdn.kingstone.com.tw/book/images/product/20194/2019479705017/2019479705017b.jpg
SPY×FAMILY 間諜家家酒  01,https://www.kingstone.com.tw//basic/2019479509653?zone=book&lid=book_class3_pab&actid=book_class3_pab,遠藤達哉,東立      ,9789572642658,https://cdn.kingstone.com.tw/book/images/product/20194/2019479509653/2019479509653b.jpg
這樣高大的學妹你喜歡嗎？（１）,https://www.kingstone.com.tw//basic/2019460087030?zone=book&lid=book_class3_pab&actid=book_class3_pab,卓二雄作,台灣角川  ,9789865247034,https://cdn.kingstone.com.tw/book/images/product/20194/2019460087030/2019460087030b.jpg
