書名,書籍網站,作者,出版社,ISBN,圖片網址
幾日 無修正版,https://www.kingstone.com.tw//basic/2018561087277?zone=book&lid=book_class3_pac&actid=book_class3_pac,幾花丹色,未來數位  ,4712568602324,https://cdn.kingstone.com.tw/images/restricted.jpg
我與他的黑色契約~黑幫少主調教ＯＬ~（上） 限,https://www.kingstone.com.tw//basic/2019478864630?zone=book&lid=book_class3_pac&actid=book_class3_pac,ユカ,尖端漫畫  ,9789571080321,https://cdn.kingstone.com.tw/images/restricted.jpg
我與他的黑色契約~黑幫少主調教ＯＬ~（下） 限,https://www.kingstone.com.tw//basic/2019478864760?zone=book&lid=book_class3_pac&actid=book_class3_pac,ユカ,尖端漫畫  ,9789571080338,https://cdn.kingstone.com.tw/images/restricted.jpg
東京愛麗絲12,https://www.kingstone.com.tw//basic/2019477667836?zone=book&lid=book_class3_pac&actid=book_class3_pac,稚野鳥子,東立      ,9789863485308,https://cdn.kingstone.com.tw/book/images/product/20194/2019477667836/2019477667836b.jpg
初戀 × 再一次－01,https://www.kingstone.com.tw//basic/2019479471325?zone=book&lid=book_class3_pac&actid=book_class3_pac,華谷艷,長鴻      ,9789865043148,https://cdn.kingstone.com.tw/book/images/product/20194/2019479471325/2019479471325b.jpg
療癒少女和極道王子－01（限）,https://www.kingstone.com.tw//basic/2019479429746?zone=book&lid=book_class3_pac&actid=book_class3_pac,長江朋美,長鴻      ,9789865042677,https://cdn.kingstone.com.tw/images/restricted.jpg
療癒少女和極道王子－02（限）,https://www.kingstone.com.tw//basic/2019479429876?zone=book&lid=book_class3_pac&actid=book_class3_pac,長江朋美,長鴻      ,9789865042684,https://cdn.kingstone.com.tw/images/restricted.jpg
比接吻更甜蜜的事？（全）,https://www.kingstone.com.tw//basic/2019479385639?zone=book&lid=book_class3_pac&actid=book_class3_pac,杏堂麻衣,尖端漫畫  ,4711228580958,https://cdn.kingstone.com.tw/book/images/product/20194/2019479385639/2019479385639b.jpg
戀愛吧！和服少女（02）,https://www.kingstone.com.tw//basic/2019479331186?zone=book&lid=book_class3_pac&actid=book_class3_pac,山崎零,青文      ,9789863569855,https://cdn.kingstone.com.tw/book/images/product/20194/2019479331186/2019479331186b.jpg
猛獸性少年少女03 （完）,https://www.kingstone.com.tw//basic/2019479300083?zone=book&lid=book_class3_pac&actid=book_class3_pac,中田ゆみ,東立      ,9789572625842,https://cdn.kingstone.com.tw/images/restricted.jpg
貪戀的熱帶魚－07（完）,https://www.kingstone.com.tw//basic/2019479070139?zone=book&lid=book_class3_pac&actid=book_class3_pac,北川美幸,長鴻      ,9789864749195,https://cdn.kingstone.com.tw/book/images/product/20194/2019479070139/2019479070139b.jpg
我被綁架到貴族女校當「庶民樣本」番外篇 01限,https://www.kingstone.com.tw//basic/2019479074717?zone=book&lid=book_class3_pac&actid=book_class3_pac,Sw、七月隆文、閏月戈,東立      ,9789572609668,https://cdn.kingstone.com.tw/book/images/product/20194/2019479074717/2019479074717b.jpg
鄰居♥同居  24完,https://www.kingstone.com.tw//basic/2019479022978?zone=book&lid=book_class3_pac&actid=book_class3_pac,渡辺鮎,東立      ,9789579652940,https://cdn.kingstone.com.tw/book/images/product/20194/2019479022978/2019479022978b.jpg
風夏 20（完）,https://www.kingstone.com.tw//basic/2019478960523?zone=book&lid=book_class3_pac&actid=book_class3_pac,瀬尾公治,東立      ,9789572611463,https://cdn.kingstone.com.tw/images/restricted.jpg
你在那個時候變得更×3野獸了！全,https://www.kingstone.com.tw//basic/2019478933558?zone=book&lid=book_class3_pac&actid=book_class3_pac,時山初芽,長鴻      ,9789864747894,https://cdn.kingstone.com.tw/book/images/product/20194/2019478933558/2019478933558b.jpg
風夏19,https://www.kingstone.com.tw//basic/2019478916360?zone=book&lid=book_class3_pac&actid=book_class3_pac,瀬尾公治,東立      ,9789572607718,https://cdn.kingstone.com.tw/images/restricted.jpg
結婚後的戀愛進行式（３）完,https://www.kingstone.com.tw//basic/2019478858271?zone=book&lid=book_class3_pac&actid=book_class3_pac,sirocco/shin5,台灣角川  ,9789575641696,https://cdn.kingstone.com.tw/book/images/product/20194/2019478858271/2019478858271b.jpg
鄰居♥同居23,https://www.kingstone.com.tw//basic/2019478836033?zone=book&lid=book_class3_pac&actid=book_class3_pac,渡辺鮎,東立      ,9789864863389,https://cdn.kingstone.com.tw/book/images/product/20194/2019478836033/2019478836033b.jpg
風夏 18限,https://www.kingstone.com.tw//basic/2019478805060?zone=book&lid=book_class3_pac&actid=book_class3_pac,瀬尾公治,東立      ,9789572601730,https://cdn.kingstone.com.tw/images/restricted.jpg
風夏16限,https://www.kingstone.com.tw//basic/2019478648032?zone=book&lid=book_class3_pac&actid=book_class3_pac,瀬尾公治,東立      ,9789864865147,https://cdn.kingstone.com.tw/book/images/product/20194/2019478648032/2019478648032b.jpg
保鑣X寶貝02完,https://www.kingstone.com.tw//basic/2019478631201?zone=book&lid=book_class3_pac&actid=book_class3_pac,円城寺真紀,東立      ,9789863373797,https://cdn.kingstone.com.tw/book/images/product/20194/2019478631201/2019478631201b.jpg
鄰居♥同居22,https://www.kingstone.com.tw//basic/2019478559550?zone=book&lid=book_class3_pac&actid=book_class3_pac,渡辺　鮎,東立      ,9789864825448,https://cdn.kingstone.com.tw/book/images/product/20194/2019478559550/2019478559550b.jpg
鄰居♥同居21,https://www.kingstone.com.tw//basic/2019478461730?zone=book&lid=book_class3_pac&actid=book_class3_pac,渡辺　鮎,東立      ,9789864708628,https://cdn.kingstone.com.tw/book/images/product/20194/2019478461730/2019478461730b.jpg
保鑣X寶貝01,https://www.kingstone.com.tw//basic/2019478392942?zone=book&lid=book_class3_pac&actid=book_class3_pac,円城寺真紀,東立      ,9789863373391,https://cdn.kingstone.com.tw/book/images/product/20194/2019478392942/2019478392942b.jpg
風夏12,https://www.kingstone.com.tw//basic/2019478337370?zone=book&lid=book_class3_pac&actid=book_class3_pac,瀬尾公治,東立      ,9789864708703,https://cdn.kingstone.com.tw/book/images/product/20194/2019478337370/2019478337370b.jpg
風夏11,https://www.kingstone.com.tw//basic/2019478257913?zone=book&lid=book_class3_pac&actid=book_class3_pac,瀬尾公治,東立      ,9789864704170,https://cdn.kingstone.com.tw/book/images/product/20194/2019478257913/2019478257913b.jpg
鄰居♥同居20,https://www.kingstone.com.tw//basic/2019478211403?zone=book&lid=book_class3_pac&actid=book_class3_pac,渡辺　鮎,東立      ,9789864702176,https://cdn.kingstone.com.tw/book/images/product/20194/2019478211403/2019478211403b.jpg
風夏10,https://www.kingstone.com.tw//basic/2019478188385?zone=book&lid=book_class3_pac&actid=book_class3_pac,瀬尾公治,東立      ,9789864701209,https://cdn.kingstone.com.tw/book/images/product/20194/2019478188385/2019478188385b.jpg
鄰居♥同居19,https://www.kingstone.com.tw//basic/2019478162729?zone=book&lid=book_class3_pac&actid=book_class3_pac,渡辺　鮎,東立      ,9789864627950,https://cdn.kingstone.com.tw/book/images/product/20194/2019478162729/2019478162729b.jpg
