書名,書籍網站,作者,出版社,ISBN,圖片網址
瀛洲迷花錄,https://www.kingstone.com.tw//basic/2019460060262?zone=book&lid=book_class3_pad&actid=book_class3_pad,腐蝕,未來數位  ,4712568604168,https://cdn.kingstone.com.tw/images/restricted.jpg
為愛融化乃乙女本色,https://www.kingstone.com.tw//basic/2019460047102?zone=book&lid=book_class3_pad&actid=book_class3_pad,常磐綠,未來數位  ,4712568604120,https://cdn.kingstone.com.tw/images/restricted.jpg
年上的少女你也很喜歡吧？ 無修正,https://www.kingstone.com.tw//basic/2019460060392?zone=book&lid=book_class3_pad&actid=book_class3_pad,大嘘,未來數位  ,4712568604182,https://cdn.kingstone.com.tw/images/restricted.jpg
魅魔精源開發公司,https://www.kingstone.com.tw//basic/2019460047492?zone=book&lid=book_class3_pad&actid=book_class3_pad,ShiBi,未來數位  ,4712568604151,https://cdn.kingstone.com.tw/images/restricted.jpg
試作型好色少女 無修正,https://www.kingstone.com.tw//basic/2019460027968?zone=book&lid=book_class3_pad&actid=book_class3_pad,40010試作型,未來數位  ,4712568604090,https://cdn.kingstone.com.tw/images/restricted.jpg
發情光束（限）,https://www.kingstone.com.tw//basic/2019460108087?zone=book&lid=book_class3_pad&actid=book_class3_pad,kakao,更生文化  ,9789860644111,https://cdn.kingstone.com.tw/images/restricted.jpg
痴夢少女 無修正,https://www.kingstone.com.tw//basic/2019460099101?zone=book&lid=book_class3_pad&actid=book_class3_pad,愛上陸,未來數位  ,4711117410045,https://cdn.kingstone.com.tw/images/restricted.jpg
異世界轉移的家裡蹲歐吉桑把帥哥勇者隊伍中的所有女性成員調教成為後宮奴隸了。 無修正,https://www.kingstone.com.tw//basic/2019460047232?zone=book&lid=book_class3_pad&actid=book_class3_pad,無洗米,未來數位  ,4712568604175,https://cdn.kingstone.com.tw/images/restricted.jpg
思春女子乳湧如潮,https://www.kingstone.com.tw//basic/2019460027838?zone=book&lid=book_class3_pad&actid=book_class3_pad,水平線,未來數位  ,4712568604083,https://cdn.kingstone.com.tw/images/restricted.jpg
不貞 with… 特裝版,https://www.kingstone.com.tw//basic/2019479997726?zone=book&lid=book_class3_pad&actid=book_class3_pad,越山弱衰,未來數位  ,4712568603963,https://cdn.kingstone.com.tw/images/restricted.jpg
精靈新嫁娘~Standard Edition~,https://www.kingstone.com.tw//basic/2019479997986?zone=book&lid=book_class3_pad&actid=book_class3_pad,袁藤沖人,未來數位  ,4712568604069,https://cdn.kingstone.com.tw/images/restricted.jpg
壞心眼的肉體接觸 無修正,https://www.kingstone.com.tw//basic/2019479929741?zone=book&lid=book_class3_pad&actid=book_class3_pad,葵井ちづる,未來數位  ,4712568603857,https://cdn.kingstone.com.tw/images/restricted.jpg
新婚妻的眷戀,https://www.kingstone.com.tw//basic/2019460028040?zone=book&lid=book_class3_pad&actid=book_class3_pad,伊藤エイト,未來數位  ,4712568604106,https://cdn.kingstone.com.tw/images/restricted.jpg
與學姐們共度的學園性活 無修正,https://www.kingstone.com.tw//basic/2019460028200?zone=book&lid=book_class3_pad&actid=book_class3_pad,左橋レンヤ,未來數位  ,4712568604144,https://cdn.kingstone.com.tw/images/restricted.jpg
初戀時間。,https://www.kingstone.com.tw//basic/2019479968917?zone=book&lid=book_class3_pad&actid=book_class3_pad,さいもん,未來數位  ,4712568603925,https://cdn.kingstone.com.tw/images/restricted.jpg
長壽戲畫 無修正,https://www.kingstone.com.tw//basic/2019479969099?zone=book&lid=book_class3_pad&actid=book_class3_pad,びんせん,未來數位  ,4712568603932,https://cdn.kingstone.com.tw/images/restricted.jpg
秘密X秘密 無修正,https://www.kingstone.com.tw//basic/2019479858249?zone=book&lid=book_class3_pad&actid=book_class3_pad,三十郎,未來數位  ,4712568603697,https://cdn.kingstone.com.tw/images/restricted.jpg
偶像部！無修正改版,https://www.kingstone.com.tw//basic/2019479851585?zone=book&lid=book_class3_pad&actid=book_class3_pad,師走の翁,未來數位  ,4712568603710,https://cdn.kingstone.com.tw/images/restricted.jpg
#至今為止感覺最棒的一次做愛,https://www.kingstone.com.tw//basic/2019479622574?zone=book&lid=book_class3_pad&actid=book_class3_pad,おかゆさん,未來數位  ,4712568603239,https://cdn.kingstone.com.tw/images/restricted.jpg
在職護理師的性事情 無修正,https://www.kingstone.com.tw//basic/2019479572978?zone=book&lid=book_class3_pad&actid=book_class3_pad,左橋レンヤ,未來數位  ,4712568603192,https://cdn.kingstone.com.tw/images/restricted.jpg
求愛異鄉人 無修正,https://www.kingstone.com.tw//basic/2019479366447?zone=book&lid=book_class3_pad&actid=book_class3_pad,HOMUNCULUS,未來數位  ,4712568602744,https://cdn.kingstone.com.tw/images/restricted.jpg
若妻花滿開,https://www.kingstone.com.tw//basic/2019460099361?zone=book&lid=book_class3_pad&actid=book_class3_pad,綾枷ちよこ,未來數位  ,4712568604267,https://cdn.kingstone.com.tw/images/restricted.jpg
慾情．青春 無修正,https://www.kingstone.com.tw//basic/2019479998068?zone=book&lid=book_class3_pad&actid=book_class3_pad,師走の翁,未來數位  ,4712568604113,https://cdn.kingstone.com.tw/images/restricted.jpg
安妮特與莉莉安娜 ~STANDARD EDITION~,https://www.kingstone.com.tw//basic/2019479945987?zone=book&lid=book_class3_pad&actid=book_class3_pad,葵渚,未來數位  ,4712568603895,https://cdn.kingstone.com.tw/images/restricted.jpg
好色女 通宵發情 淫靡的夜晚,https://www.kingstone.com.tw//basic/2019479905219?zone=book&lid=book_class3_pad&actid=book_class3_pad,みかわや,未來數位  ,4712568603741,https://cdn.kingstone.com.tw/images/restricted.jpg
點心時間 無修正,https://www.kingstone.com.tw//basic/2019479858119?zone=book&lid=book_class3_pad&actid=book_class3_pad,三十郎,未來數位  ,4712568603680,https://cdn.kingstone.com.tw/images/restricted.jpg
黏膜 無修正,https://www.kingstone.com.tw//basic/2019479737612?zone=book&lid=book_class3_pad&actid=book_class3_pad,翁賀馬乃助,未來數位  ,4712568603505,https://cdn.kingstone.com.tw/images/restricted.jpg
桃色水果糖 無修正,https://www.kingstone.com.tw//basic/2019479737902?zone=book&lid=book_class3_pad&actid=book_class3_pad,さくま司,未來數位  ,4712568603499,https://cdn.kingstone.com.tw/images/restricted.jpg
Love me tender －溫柔地愛著我－ 無修正,https://www.kingstone.com.tw//basic/2019479671527?zone=book&lid=book_class3_pad&actid=book_class3_pad,藤丸,未來數位  ,4712568603352,https://cdn.kingstone.com.tw/images/restricted.jpg
色彩繽紛 無修正,https://www.kingstone.com.tw//basic/2019460122519?zone=book&lid=book_class3_pad&actid=book_class3_pad,東出彩(東出イロドリ),未來數位  ,4711117410106,https://cdn.kingstone.com.tw/images/restricted.jpg
君至彼方、已非吾能企及 無修正,https://www.kingstone.com.tw//basic/2019479905349?zone=book&lid=book_class3_pad&actid=book_class3_pad,二峰跨人,未來數位  ,4712568603758,https://cdn.kingstone.com.tw/images/restricted.jpg
糖果雨滴 無修正,https://www.kingstone.com.tw//basic/2019479905509?zone=book&lid=book_class3_pad&actid=book_class3_pad,Hamao,未來數位  ,4712568603802,https://cdn.kingstone.com.tw/images/restricted.jpg
濃情巧克力 無修正,https://www.kingstone.com.tw//basic/2019479905769?zone=book&lid=book_class3_pad&actid=book_class3_pad,Hamao,未來數位  ,4712568603826,https://cdn.kingstone.com.tw/images/restricted.jpg
夫妻甜蜜物語－Step Up Love Story－（77）,https://www.kingstone.com.tw//basic/2019479909507?zone=book&lid=book_class3_pad&actid=book_class3_pad,克．亞樹,青文      ,9789865126537,https://cdn.kingstone.com.tw/images/restricted.jpg
永世流轉 無修正,https://www.kingstone.com.tw//basic/2019479817239?zone=book&lid=book_class3_pad&actid=book_class3_pad,黒青郎君,未來數位  ,4712568603666,https://cdn.kingstone.com.tw/images/restricted.jpg
指導姦 Day after 特裝版,https://www.kingstone.com.tw//basic/2019479801290?zone=book&lid=book_class3_pad&actid=book_class3_pad,BANG-YOU,未來數位  ,4712568603444,https://cdn.kingstone.com.tw/images/restricted.jpg
歡迎回家 無修正,https://www.kingstone.com.tw//basic/2019479801580?zone=book&lid=book_class3_pad&actid=book_class3_pad,雲呑めお,未來數位  ,4712568603635,https://cdn.kingstone.com.tw/images/restricted.jpg
JK．REFLE －少女的療癒－ 無修正,https://www.kingstone.com.tw//basic/2019479789611?zone=book&lid=book_class3_pad&actid=book_class3_pad,大嘘,未來數位  ,4712568603543,https://cdn.kingstone.com.tw/images/restricted.jpg
CHOCO×LOVE －褐色之戀－,https://www.kingstone.com.tw//basic/2019479506737?zone=book&lid=book_class3_pad&actid=book_class3_pad,狼,未來數位  ,4712568603024,https://cdn.kingstone.com.tw/images/restricted.jpg
Knospenmadchen－花蕊少女－ 無修正,https://www.kingstone.com.tw//basic/2019479452973?zone=book&lid=book_class3_pad&actid=book_class3_pad,まめおじたん,未來數位  ,4712568602898,https://cdn.kingstone.com.tw/images/restricted.jpg
美魔女的究極高潮,https://www.kingstone.com.tw//basic/2019479409182?zone=book&lid=book_class3_pad&actid=book_class3_pad,おるおと,未來數位  ,4712568602782,https://cdn.kingstone.com.tw/images/restricted.jpg
TEENISM －青澀主義－ 無修正,https://www.kingstone.com.tw//basic/2019479383215?zone=book&lid=book_class3_pad&actid=book_class3_pad,緑茶イズム,未來數位  ,4712568602768,https://cdn.kingstone.com.tw/images/restricted.jpg
夫妻甜蜜物語－Step Up Love Story－（78）,https://www.kingstone.com.tw//basic/2019460106243?zone=book&lid=book_class3_pad&actid=book_class3_pad,克．亞樹,青文      ,9786263033030,https://cdn.kingstone.com.tw/images/restricted.jpg
戀乳私房特注~再來一份~,https://www.kingstone.com.tw//basic/2019460089584?zone=book&lid=book_class3_pad&actid=book_class3_pad,黒ノ樹,未來數位  ,4712568604205,https://cdn.kingstone.com.tw/images/restricted.jpg
同人展歸途中異世界轉生,https://www.kingstone.com.tw//basic/2019460122939?zone=book&lid=book_class3_pad&actid=book_class3_pad,肉そうきゅー,未來數位  ,4712568604298,https://cdn.kingstone.com.tw/images/restricted.jpg
守密 無修正,https://www.kingstone.com.tw//basic/2019460122649?zone=book&lid=book_class3_pad&actid=book_class3_pad,業龍狼(かるま龍狼),未來數位  ,4711117410175,https://cdn.kingstone.com.tw/images/restricted.jpg
能窺探內心的他、與滿心情色妄想的她,https://www.kingstone.com.tw//basic/2019460122809?zone=book&lid=book_class3_pad&actid=book_class3_pad,清宮涼,未來數位  ,4712568604281,https://cdn.kingstone.com.tw/images/restricted.jpg
裸空間世界的日常 無修正,https://www.kingstone.com.tw//basic/2019460122779?zone=book&lid=book_class3_pad&actid=book_class3_pad,業龍狼(かるま龍狼),未來數位  ,4711117410182,https://cdn.kingstone.com.tw/images/restricted.jpg
乳香四溢的暑假 無修正,https://www.kingstone.com.tw//basic/2019460089744?zone=book&lid=book_class3_pad&actid=book_class3_pad,東野みかん,未來數位  ,4712568604212,https://cdn.kingstone.com.tw/images/restricted.jpg
女裝少年完美戀愛論 無修正,https://www.kingstone.com.tw//basic/2019460028170?zone=book&lid=book_class3_pad&actid=book_class3_pad,チンズリーナ,未來數位  ,4712568604137,https://cdn.kingstone.com.tw/images/restricted.jpg
我最心愛的家 無修正,https://www.kingstone.com.tw//basic/2019479997856?zone=book&lid=book_class3_pad&actid=book_class3_pad,源五郎,未來數位  ,4712568604052,https://cdn.kingstone.com.tw/images/restricted.jpg
朦朧之間的浪漫 無修正,https://www.kingstone.com.tw//basic/2019479968887?zone=book&lid=book_class3_pad&actid=book_class3_pad,雛原惠美,未來數位  ,4712568603918,https://cdn.kingstone.com.tw/images/restricted.jpg
悅樂的巫女,https://www.kingstone.com.tw//basic/2019479945727?zone=book&lid=book_class3_pad&actid=book_class3_pad,桃之助,未來數位  ,4712568603871,https://cdn.kingstone.com.tw/images/restricted.jpg
好色發情JK包圍網 無修正,https://www.kingstone.com.tw//basic/2019479929871?zone=book&lid=book_class3_pad&actid=book_class3_pad,環々唯,未來數位  ,4712568603864,https://cdn.kingstone.com.tw/images/restricted.jpg
閃亮亮 無修正,https://www.kingstone.com.tw//basic/2019479905479?zone=book&lid=book_class3_pad&actid=book_class3_pad,Hamao,未來數位  ,4712568603796,https://cdn.kingstone.com.tw/images/restricted.jpg
暖暖溫柔鄉    無修正,https://www.kingstone.com.tw//basic/2019479905639?zone=book&lid=book_class3_pad&actid=book_class3_pad,Hamao,未來數位  ,4712568603819,https://cdn.kingstone.com.tw/images/restricted.jpg
我家女友身上最為誘人的所在,https://www.kingstone.com.tw//basic/2019479881346?zone=book&lid=book_class3_pad&actid=book_class3_pad,みな本,未來數位  ,4712568603734,https://cdn.kingstone.com.tw/images/restricted.jpg
想得到你的愛撫 已迫不及待 無修正,https://www.kingstone.com.tw//basic/2019479851325?zone=book&lid=book_class3_pad&actid=book_class3_pad,消火器,未來數位  ,4712568603581,https://cdn.kingstone.com.tw/images/restricted.jpg
隔壁正在H真是讓人羨慕呀。 無修正,https://www.kingstone.com.tw//basic/2019479851455?zone=book&lid=book_class3_pad&actid=book_class3_pad,新井カズキ,未來數位  ,4712568603598,https://cdn.kingstone.com.tw/images/restricted.jpg
Please！Freeze！Please！－圖書室三人的祕密情事－ 無修正,https://www.kingstone.com.tw//basic/2019479851615?zone=book&lid=book_class3_pad&actid=book_class3_pad,師走の翁,未來數位  ,4712568603727,https://cdn.kingstone.com.tw/images/restricted.jpg
淫蕩日常女體觀察（限）,https://www.kingstone.com.tw//basic/2019479825302?zone=book&lid=book_class3_pad&actid=book_class3_pad,山本やみー,更生文化  ,9789869944618,https://cdn.kingstone.com.tw/images/restricted.jpg
Bitter Sweet Teens －酸甜苦辣思春期－ 無修正,https://www.kingstone.com.tw//basic/2019479737872?zone=book&lid=book_class3_pad&actid=book_class3_pad,犬上いの字,未來數位  ,4712568603475,https://cdn.kingstone.com.tw/images/restricted.jpg
夫妻甜蜜物語－Step Up Love Story－（76）,https://www.kingstone.com.tw//basic/2019479729259?zone=book&lid=book_class3_pad&actid=book_class3_pad,克．亞樹,青文      ,9789865124021,https://cdn.kingstone.com.tw/images/restricted.jpg
奉侍種族不請自來了！,https://www.kingstone.com.tw//basic/2019479713180?zone=book&lid=book_class3_pad&actid=book_class3_pad,かいづか,未來數位  ,4712568603406,https://cdn.kingstone.com.tw/images/restricted.jpg
御都合即食女友,https://www.kingstone.com.tw//basic/2019479671497?zone=book&lid=book_class3_pad&actid=book_class3_pad,sage．ジョー,未來數位  ,4712568603314,https://cdn.kingstone.com.tw/images/restricted.jpg
Your Song －屬於你的歌－ 無修正,https://www.kingstone.com.tw//basic/2019479671657?zone=book&lid=book_class3_pad&actid=book_class3_pad,藤丸,未來數位  ,4712568603369,https://cdn.kingstone.com.tw/images/restricted.jpg
轉學到離島後寄宿家庭內超色情的困擾,https://www.kingstone.com.tw//basic/2019479661160?zone=book&lid=book_class3_pad&actid=book_class3_pad,なるさわ景,未來數位  ,4712568603246,https://cdn.kingstone.com.tw/images/restricted.jpg
夫妻甜蜜物語－Step Up Love Story（75）,https://www.kingstone.com.tw//basic/2019479659419?zone=book&lid=book_class3_pad&actid=book_class3_pad,克・亜樹,青文      ,9789865123345,https://cdn.kingstone.com.tw/images/restricted.jpg
敗給歐金金並沉淪其中的女孩子們 無修正,https://www.kingstone.com.tw//basic/2019479599586?zone=book&lid=book_class3_pad&actid=book_class3_pad,無洗米,未來數位  ,4712568603222,https://cdn.kingstone.com.tw/images/restricted.jpg
強制播種直達電車,https://www.kingstone.com.tw//basic/2019479572718?zone=book&lid=book_class3_pad&actid=book_class3_pad,日月ネコ,未來數位  ,4712568603147,https://cdn.kingstone.com.tw/images/restricted.jpg
夫妻甜蜜物語－Step Up Love Story－（74）,https://www.kingstone.com.tw//basic/2019479577898?zone=book&lid=book_class3_pad&actid=book_class3_pad,克．亞樹,青文      ,9789865122522,https://cdn.kingstone.com.tw/images/restricted.jpg
大姐姐的正太時間 無修正,https://www.kingstone.com.tw//basic/2019479542377?zone=book&lid=book_class3_pad&actid=book_class3_pad,森島コン,未來數位  ,4712568603123,https://cdn.kingstone.com.tw/images/restricted.jpg
夫妻甜蜜物語－Step Up Love Story－（73）,https://www.kingstone.com.tw//basic/2019479538592?zone=book&lid=book_class3_pad&actid=book_class3_pad,克．亞樹,青文      ,9789865122348,https://cdn.kingstone.com.tw/images/restricted.jpg
好色發情學園性生活 無修正,https://www.kingstone.com.tw//basic/2019479506607?zone=book&lid=book_class3_pad&actid=book_class3_pad,冬みかん,未來數位  ,4712568603017,https://cdn.kingstone.com.tw/images/restricted.jpg
蜂蜜後宮女學院♡體驗入學 無修正,https://www.kingstone.com.tw//basic/2019479470793?zone=book&lid=book_class3_pad&actid=book_class3_pad,ハチゴ,未來數位  ,4712568602935,https://cdn.kingstone.com.tw/images/restricted.jpg
破．廉恥 無修正,https://www.kingstone.com.tw//basic/2019479366287?zone=book&lid=book_class3_pad&actid=book_class3_pad,HOMUNCULUS,未來數位  ,4712568602720,https://cdn.kingstone.com.tw/images/restricted.jpg
夫妻甜蜜物語－Step Up Love Story－（72）,https://www.kingstone.com.tw//basic/2019479368731?zone=book&lid=book_class3_pad&actid=book_class3_pad,克．亞樹,青文      ,9789865120085,https://cdn.kingstone.com.tw/images/restricted.jpg
夫妻甜蜜物語－Step Up Love Story－（71）,https://www.kingstone.com.tw//basic/2019479240020?zone=book&lid=book_class3_pad&actid=book_class3_pad,克．亞樹,青文      ,9789863568636,https://cdn.kingstone.com.tw/images/restricted.jpg
夫妻甜蜜物語－Step Up Love Story－（70）,https://www.kingstone.com.tw//basic/2019479160243?zone=book&lid=book_class3_pad&actid=book_class3_pad,克．亞樹,青文      ,9789863567639,https://cdn.kingstone.com.tw/images/restricted.jpg
夫妻甜蜜物語－Step Up Love Story－（69）,https://www.kingstone.com.tw//basic/2019479058571?zone=book&lid=book_class3_pad&actid=book_class3_pad,克・亜樹,青文      ,9789863566250,https://cdn.kingstone.com.tw/images/restricted.jpg
夫妻甜蜜物語－Step Up Love Story－（68）,https://www.kingstone.com.tw//basic/2019478926567?zone=book&lid=book_class3_pad&actid=book_class3_pad,克．亞樹,青文      ,4718016029767,https://cdn.kingstone.com.tw/images/restricted.jpg
夫妻甜蜜物語－Step Up Love Story－（67）,https://www.kingstone.com.tw//basic/2019478784853?zone=book&lid=book_class3_pad&actid=book_class3_pad,克．亞樹,青文      ,4718016027381,https://cdn.kingstone.com.tw/images/restricted.jpg
我與後宮女僕們?不可告人的情事 無修正,https://www.kingstone.com.tw//basic/2019460089614?zone=book&lid=book_class3_pad&actid=book_class3_pad,ハチゴ,未來數位  ,4712568604236,https://cdn.kingstone.com.tw/images/restricted.jpg
我的媽媽活 無修正,https://www.kingstone.com.tw//basic/2019460047362?zone=book&lid=book_class3_pad&actid=book_class3_pad,海野えび,未來數位  ,4712568604199,https://cdn.kingstone.com.tw/images/restricted.jpg
主僕狂熱 無修正,https://www.kingstone.com.tw//basic/2019479986447?zone=book&lid=book_class3_pad&actid=book_class3_pad,米奇王,未來數位  ,4712568603970,https://cdn.kingstone.com.tw/images/restricted.jpg
