書名,書籍網站,作者,出版社,ISBN,圖片網址
ENNEAD九柱神1,https://www.kingstone.com.tw//basic/2019460058771?zone=book&lid=book_class3_pae&actid=book_class3_pae,Mojito,平心出版  ,9789864942770,https://cdn.kingstone.com.tw/book/images/product/20194/2019460058771/2019460058771b.jpg
阿宅和鬼怪的桃色同居生活（全）,https://www.kingstone.com.tw//basic/2019460069500?zone=book&lid=book_class3_pae&actid=book_class3_pae,晴屋うまこ,東立      ,9789572669860,https://cdn.kingstone.com.tw/images/restricted.jpg
ENNEAD九柱神2,https://www.kingstone.com.tw//basic/2019460057439?zone=book&lid=book_class3_pae&actid=book_class3_pae,Mojito,平心出版  ,9789864942787,https://cdn.kingstone.com.tw/book/images/product/20194/2019460057439/2019460057439b.jpg
極彩之家07,https://www.kingstone.com.tw//basic/2019460061474?zone=book&lid=book_class3_pae&actid=book_class3_pae,びっけ,東立      ,9789572662731,https://cdn.kingstone.com.tw/book/images/product/20194/2019460061474/2019460061474b.jpg
我的快樂小惡魔！－全（限）,https://www.kingstone.com.tw//basic/2019460079707?zone=book&lid=book_class3_pae&actid=book_class3_pae,平喜多柚也,長鴻      ,9786260057008,https://cdn.kingstone.com.tw/images/restricted.jpg
回到起點（全）,https://www.kingstone.com.tw//basic/2019479998808?zone=book&lid=book_class3_pae&actid=book_class3_pae,いちかわ壱,東立      ,9789572666593,https://cdn.kingstone.com.tw/images/restricted.jpg
寶貝、甜心、淫魔 （全）,https://www.kingstone.com.tw//basic/2019460029412?zone=book&lid=book_class3_pae&actid=book_class3_pae,東条さかな,東立      ,9789572661727,https://cdn.kingstone.com.tw/images/restricted.jpg
薔薇和汙泥（全）,https://www.kingstone.com.tw//basic/2019460039299?zone=book&lid=book_class3_pae&actid=book_class3_pae,天河藍,台灣東販  ,9786263046573,https://cdn.kingstone.com.tw/images/restricted.jpg
在有著兄弟制度的不良學園，今天也被逼迫結義－全,https://www.kingstone.com.tw//basic/2019460063188?zone=book&lid=book_class3_pae&actid=book_class3_pae,赤井白斑,長鴻      ,9786260056391,https://cdn.kingstone.com.tw/book/images/product/20194/2019460063188/2019460063188b.jpg
BL漫畫家的戀愛盛宴 01,https://www.kingstone.com.tw//basic/2019460026466?zone=book&lid=book_class3_pae&actid=book_class3_pae,山野でこ,東立      ,9789572664278,https://cdn.kingstone.com.tw/images/restricted.jpg
總攻（自稱）的我怎麼可能會輕易被上！（全）,https://www.kingstone.com.tw//basic/2019460045818?zone=book&lid=book_class3_pae&actid=book_class3_pae,海野えび,青文      ,9786263032774,https://cdn.kingstone.com.tw/images/restricted.jpg
新娘是深閨少爺－全（限）,https://www.kingstone.com.tw//basic/2019460032665?zone=book&lid=book_class3_pae&actid=book_class3_pae,上田にく,長鴻      ,9786260055646,https://cdn.kingstone.com.tw/images/restricted.jpg
獸人專用情人～懷我的孩子！ 02（完）,https://www.kingstone.com.tw//basic/2019479991274?zone=book&lid=book_class3_pae&actid=book_class3_pae,時逆拾,東立      ,9789572636862,https://cdn.kingstone.com.tw/images/restricted.jpg
初戀、傾訴。（全）,https://www.kingstone.com.tw//basic/2019479995302?zone=book&lid=book_class3_pae&actid=book_class3_pae,鳩川ぬこ,東立      ,9789572666050,https://cdn.kingstone.com.tw/images/restricted.jpg
gift 微紅的天空、綻染的螺旋、光輝的河岸、（下）,https://www.kingstone.com.tw//basic/2019479991014?zone=book&lid=book_class3_pae&actid=book_class3_pae,一ノ瀬ゆま,東立      ,9789572604885,https://cdn.kingstone.com.tw/images/restricted.jpg
home－家－ （全）,https://www.kingstone.com.tw//basic/2019479969549?zone=book&lid=book_class3_pae&actid=book_class3_pae,つゆきゆるこ,青文      ,9789865128777,https://cdn.kingstone.com.tw/images/restricted.jpg
越線兄弟 （首刷附錄版）（全）,https://www.kingstone.com.tw//basic/2019479931102?zone=book&lid=book_class3_pae&actid=book_class3_pae,魚ともみ,東立      ,9789572665305,https://cdn.kingstone.com.tw/images/restricted.jpg
凌辱！潛入搜查官－全（限）,https://www.kingstone.com.tw//basic/2019479922377?zone=book&lid=book_class3_pae&actid=book_class3_pae,柊柾葵,長鴻      ,9789865047085,https://cdn.kingstone.com.tw/images/restricted.jpg
溺愛這種事絕對不承認! （全）特別版,https://www.kingstone.com.tw//basic/2019479929291?zone=book&lid=book_class3_pae&actid=book_class3_pae,須坂紫那,青文      ,9789865128036,https://cdn.kingstone.com.tw/images/restricted.jpg
佐佐木與宮野（６）,https://www.kingstone.com.tw//basic/2019479849094?zone=book&lid=book_class3_pae&actid=book_class3_pae,春園ショウ,台灣角川  ,9789865241391,https://cdn.kingstone.com.tw/book/images/product/20194/2019479849094/2019479849094b.jpg
夜畫帳第二卷限定版,https://www.kingstone.com.tw//basic/2019479816997?zone=book&lid=book_class3_pae&actid=book_class3_pae,Byeonduck,平心出版  ,4710462491006,https://cdn.kingstone.com.tw/images/restricted.jpg
佐佐木與宮野（５）,https://www.kingstone.com.tw//basic/2019479678441?zone=book&lid=book_class3_pae&actid=book_class3_pae,春園ショウ,台灣角川  ,9789577438638,https://cdn.kingstone.com.tw/book/images/product/20194/2019479678441/2019479678441b.jpg
Coyote 郊狼 03,https://www.kingstone.com.tw//basic/2019479665618?zone=book&lid=book_class3_pae&actid=book_class3_pae,座裏屋蘭丸,東立      ,9789572650288,https://cdn.kingstone.com.tw/images/restricted.jpg
獸人與少年Ω的小不點雙胞胎 01,https://www.kingstone.com.tw//basic/2019479515722?zone=book&lid=book_class3_pae&actid=book_class3_pae,羽純ハナ,東立      ,9789572645925,https://cdn.kingstone.com.tw/images/restricted.jpg
率真的你&做作的我（全）,https://www.kingstone.com.tw//basic/2019479386131?zone=book&lid=book_class3_pae&actid=book_class3_pae,にやま,尖端漫畫  ,9789571086606,https://cdn.kingstone.com.tw/images/restricted.jpg
抖S幽魂不讓我睡－02（限）,https://www.kingstone.com.tw//basic/2019479326229?zone=book&lid=book_class3_pae&actid=book_class3_pae,朱鷺紫羽,長鴻      ,9789865041540,https://cdn.kingstone.com.tw/images/restricted.jpg
喜歡我就跪下（全）,https://www.kingstone.com.tw//basic/2019479304111?zone=book&lid=book_class3_pae&actid=book_class3_pae,里つばめ,尖端漫畫  ,9789571085081,https://cdn.kingstone.com.tw/book/images/product/20194/2019479304111/2019479304111b.jpg
絕對不原諒戀愛這種事！（全）,https://www.kingstone.com.tw//basic/2019479203698?zone=book&lid=book_class3_pae&actid=book_class3_pae,須坂紫那,青文      ,9789863567424,https://cdn.kingstone.com.tw/images/restricted.jpg
抖S幽魂不讓我睡 －01（限）,https://www.kingstone.com.tw//basic/2019479134480?zone=book&lid=book_class3_pae&actid=book_class3_pae,朱鷺紫羽,長鴻      ,9789865040055,https://cdn.kingstone.com.tw/images/restricted.jpg
VOIＤ－－寂寞的快感（全）限,https://www.kingstone.com.tw//basic/2019478381373?zone=book&lid=book_class3_pae&actid=book_class3_pae,座裏屋蘭丸,尖端漫畫  ,9789571071220,https://cdn.kingstone.com.tw/images/restricted.jpg
療傷遊戲 重新開始  01,https://www.kingstone.com.tw//basic/2019460036373?zone=book&lid=book_class3_pae&actid=book_class3_pae,日ノ原巡,東立      ,9789572667200,https://cdn.kingstone.com.tw/images/restricted.jpg
療傷遊戲 重新開始 （首刷限定版）01,https://www.kingstone.com.tw//basic/2019460036403?zone=book&lid=book_class3_pae&actid=book_class3_pae,日ノ原巡,東立      ,9789572670668,https://cdn.kingstone.com.tw/images/restricted.jpg
明烏夢戀唄（全）,https://www.kingstone.com.tw//basic/2019460046150?zone=book&lid=book_class3_pae&actid=book_class3_pae,朔ヒロ,東立      ,9789572668146,https://cdn.kingstone.com.tw/images/restricted.jpg
ENNEAD九柱神3,https://www.kingstone.com.tw//basic/2019460058511?zone=book&lid=book_class3_pae&actid=book_class3_pae,Mojito,平心出版  ,9789864942794,https://cdn.kingstone.com.tw/images/restricted.jpg
