書名,書籍網站,作者,出版社,ISBN,圖片網址
成為異世界最強魔王10個孩子的媽媽 01,https://www.kingstone.com.tw//basic/2019460042312?zone=book&lid=book_class3_pba&actid=book_class3_pba,遠山繪麻,東立      ,9789572656716,https://cdn.kingstone.com.tw/book/images/product/20194/2019460042312/2019460042312b.jpg
魔王難為 09,https://www.kingstone.com.tw//basic/2019460112442?zone=book&lid=book_class3_pba&actid=book_class3_pba,紅淵、蔡鴻忠,東立      ,9789572676158,https://cdn.kingstone.com.tw/book/images/product/20194/2019460112442/2019460112442b.jpg
幼女戰記（２０）漫畫,https://www.kingstone.com.tw//basic/2019460057699?zone=book&lid=book_class3_pba&actid=book_class3_pba,東條チカ、カルロ‧ゼン,台灣角川  ,9789865246037,https://cdn.kingstone.com.tw/book/images/product/20194/2019460057699/2019460057699b.jpg
幼女戰記（１９）漫畫,https://www.kingstone.com.tw//basic/2019460059013?zone=book&lid=book_class3_pba&actid=book_class3_pba,東條チカ、カルロ‧ゼン,台灣角川  ,9789865246020,https://cdn.kingstone.com.tw/book/images/product/20194/2019460059013/2019460059013b.jpg
魔法禁書目錄外傳 科學超電磁砲１６,https://www.kingstone.com.tw//basic/2019460037295?zone=book&lid=book_class3_pba&actid=book_class3_pba,冬川基、鎌池和馬,台灣角川  ,9789865245269,https://cdn.kingstone.com.tw/book/images/product/20194/2019460037295/2019460037295b.jpg
關於我轉生變成史萊姆這檔事 16,https://www.kingstone.com.tw//basic/2019479945147?zone=book&lid=book_class3_pba&actid=book_class3_pba,伏瀨,東立      ,9789572661284,https://cdn.kingstone.com.tw/book/images/product/20194/2019479945147/2019479945147b.jpg
咒術迴戰 12,https://www.kingstone.com.tw//basic/2019479831471?zone=book&lid=book_class3_pba&actid=book_class3_pba,芥見下々,東立      ,9789572657003,https://cdn.kingstone.com.tw/book/images/product/20194/2019479831471/2019479831471b.jpg
黑執事 29,https://www.kingstone.com.tw//basic/2019479536758?zone=book&lid=book_class3_pba&actid=book_class3_pba,枢やな,東立      ,9789572646625,https://cdn.kingstone.com.tw/book/images/product/20194/2019479536758/2019479536758b.jpg
咒術迴戰 07,https://www.kingstone.com.tw//basic/2019479525899?zone=book&lid=book_class3_pba&actid=book_class3_pba,芥見下々,東立      ,9789572642986,https://cdn.kingstone.com.tw/book/images/product/20194/2019479525899/2019479525899b.jpg
瓦尼塔斯的手札（5）,https://www.kingstone.com.tw//basic/2019479290605?zone=book&lid=book_class3_pba&actid=book_class3_pba,望月淳,尖端漫畫  ,9789571085807,https://cdn.kingstone.com.tw/book/images/product/20194/2019479290605/2019479290605b.jpg
咒術迴戰 02,https://www.kingstone.com.tw//basic/2019479277095?zone=book&lid=book_class3_pba&actid=book_class3_pba,芥見 下々,東立      ,9789572620366,https://cdn.kingstone.com.tw/book/images/product/20194/2019479277095/2019479277095b.jpg
美少女戰士完全版（04）,https://www.kingstone.com.tw//basic/2019479242444?zone=book&lid=book_class3_pba&actid=book_class3_pba,武內直子,青文      ,9789863568117,https://cdn.kingstone.com.tw/book/images/product/20194/2019479242444/2019479242444b.jpg
咒術迴戰 03,https://www.kingstone.com.tw//basic/2019479239291?zone=book&lid=book_class3_pba&actid=book_class3_pba,芥見下々,東立      ,9789572623596,https://cdn.kingstone.com.tw/book/images/product/20194/2019479239291/2019479239291b.jpg
瓦尼塔斯的手札（4）,https://www.kingstone.com.tw//basic/2019478875179?zone=book&lid=book_class3_pba&actid=book_class3_pba,望月淳,尖端漫畫  ,9789571080659,https://cdn.kingstone.com.tw/book/images/product/20194/2019478875179/2019478875179b.jpg
魔都精兵的奴隸03,https://www.kingstone.com.tw//basic/2019460053301?zone=book&lid=book_class3_pba&actid=book_class3_pba,タカヒロ／竹村洋平,東立      ,9789572644744,https://cdn.kingstone.com.tw/images/restricted.jpg
魔女的怪畫集（08）END,https://www.kingstone.com.tw//basic/2019460107585?zone=book&lid=book_class3_pba&actid=book_class3_pba,晴智,青文      ,9789865485498,https://cdn.kingstone.com.tw/book/images/product/20194/2019460107585/2019460107585b.jpg
冥府狩獵者4 （漫畫版） （完）,https://www.kingstone.com.tw//basic/2019460095813?zone=book&lid=book_class3_pba&actid=book_class3_pba,蝴蝶Seba、陳漢民,悅智      ,9789867018540,https://cdn.kingstone.com.tw/book/images/product/20194/2019460095813/2019460095813b.jpg
地縛少年花子君 13,https://www.kingstone.com.tw//basic/2019479908005?zone=book&lid=book_class3_pba&actid=book_class3_pba,あいだいろ,東立      ,9789572653395,https://cdn.kingstone.com.tw/book/images/product/20194/2019479908005/2019479908005b.jpg
特殊傳說漫畫：學院篇 05 珍藏特典組,https://www.kingstone.com.tw//basic/2019479800958?zone=book&lid=book_class3_pba&actid=book_class3_pba,護玄,蓋亞原動力,4715243778932,https://cdn.kingstone.com.tw/book/images/product/20194/2019479800958/2019479800958b.jpg
