書名,書籍網站,作者,出版社,ISBN,圖片網址
東京卍復仇者 02,https://www.kingstone.com.tw//basic/2019479164241?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,和久井健,東立      ,9789572608418,https://cdn.kingstone.com.tw/book/images/product/20194/2019479164241/2019479164241b.jpg
東京卍復仇者 04,https://www.kingstone.com.tw//basic/2019479774914?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,和久井健,東立      ,9789572608432,https://cdn.kingstone.com.tw/book/images/product/20194/2019479774914/2019479774914b.jpg
東京卍復仇者 03,https://www.kingstone.com.tw//basic/2019479215059?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,和久井健,東立      ,9789572608425,https://cdn.kingstone.com.tw/book/images/product/20194/2019479215059/2019479215059b.jpg
超七龍珠英雄 宇宙時空任務！ （附錄版）02,https://www.kingstone.com.tw//basic/2019460027128?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,永山由貴,東立      ,9789572666104,https://cdn.kingstone.com.tw/book/images/product/20194/2019460027128/2019460027128b.jpg
給不滅的你 15,https://www.kingstone.com.tw//basic/2019460075709?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,大今良時,東立      ,9789572669495,https://cdn.kingstone.com.tw/book/images/product/20194/2019460075709/2019460075709b.jpg
超七龍珠英雄 宇宙大霹靂任務！ （附錄版）01,https://www.kingstone.com.tw//basic/2019460075679?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,永山由貴,東立      ,9789572669211,https://cdn.kingstone.com.tw/book/images/product/20194/2019460075679/2019460075679b.jpg
給不滅的你 14,https://www.kingstone.com.tw//basic/2019479967415?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,大今良時,東立      ,9789572662663,https://cdn.kingstone.com.tw/book/images/product/20194/2019479967415/2019479967415b.jpg
工作細胞05,https://www.kingstone.com.tw//basic/2019478786567?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,清水茜,東立      ,9789864866441,https://cdn.kingstone.com.tw/book/images/product/20194/2019478786567/2019478786567b.jpg
超七龍珠英雄 宇宙時空任務！ （附錄版） 01,https://www.kingstone.com.tw//basic/2019479704935?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,永山由貴,東立      ,4710601043035,https://cdn.kingstone.com.tw/book/images/product/20194/2019479704935/2019479704935b.jpg
工作細胞04,https://www.kingstone.com.tw//basic/2019478467152?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,清水 茜,東立      ,9789864823321,https://cdn.kingstone.com.tw/book/images/product/20194/2019478467152/2019478467152b.jpg
工作細胞01,https://www.kingstone.com.tw//basic/2019478119778?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,清水茜,東立      ,9789864701438,https://cdn.kingstone.com.tw/book/images/product/20194/2019478119778/2019478119778b.jpg
東京卍復仇者 01,https://www.kingstone.com.tw//basic/2019478958162?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,和久井健,東立      ,9789572608401,https://cdn.kingstone.com.tw/book/images/product/20194/2019478958162/2019478958162b.jpg
工作細胞06（完）,https://www.kingstone.com.tw//basic/2019460069050?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,清水茜,東立      ,9789572665824,https://cdn.kingstone.com.tw/book/images/product/20194/2019460069050/2019460069050b.jpg
給不滅的你 02,https://www.kingstone.com.tw//basic/2019479980445?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,大今良時,東立      ,9789864863839,https://cdn.kingstone.com.tw/book/images/product/20194/2019479980445/2019479980445b.jpg
給不滅的你 03,https://www.kingstone.com.tw//basic/2019479980575?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,大今良時,東立      ,9789864865109,https://cdn.kingstone.com.tw/book/images/product/20194/2019479980575/2019479980575b.jpg
DEAD DEAD DEMON，S DEDEDEDE DESTRUCTION惡魔的破壞（９）,https://www.kingstone.com.tw//basic/2019479982159?zone=book&lid=book_class3_pbb&actid=book_class3_pbb,淺野いにお,台灣東販  ,9789865117573,https://cdn.kingstone.com.tw/book/images/product/20194/2019479982159/2019479982159b.jpg
