書名,書籍網站,作者,出版社,ISBN,圖片網址
ONE PIECE 航海王特刊 08,https://www.kingstone.com.tw//basic/2019460046440?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,尾田榮一郎,東立      ,9789572648698,https://cdn.kingstone.com.tw/book/images/product/20194/2019460046440/2019460046440b.jpg
進擊的巨人 31,https://www.kingstone.com.tw//basic/2019479787587?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,諫山創,東立      ,9789572651353,https://cdn.kingstone.com.tw/book/images/product/20194/2019479787587/2019479787587b.jpg
進擊的巨人 30,https://www.kingstone.com.tw//basic/2019479652175?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,諫山創,東立      ,9789572646663,https://cdn.kingstone.com.tw/book/images/product/20194/2019479652175/2019479652175b.jpg
進擊的巨人彩色漫畫 無悔的選擇 02（完）,https://www.kingstone.com.tw//basic/2019479318996?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,砂阿久雁(Nitroplus),東立      ,9789572603413,https://cdn.kingstone.com.tw/book/images/product/20194/2019479318996/2019479318996b.jpg
ONE PIECE航海王 92,https://www.kingstone.com.tw//basic/2019479213505?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,尾田榮一郎,東立      ,9789572628980,https://cdn.kingstone.com.tw/book/images/product/20194/2019479213505/2019479213505b.jpg
銀魂 75,https://www.kingstone.com.tw//basic/2019479127949?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,空知英秋,東立      ,9789572620427,https://cdn.kingstone.com.tw/book/images/product/20194/2019479127949/2019479127949b.jpg
ONE PIECE航海王 91,https://www.kingstone.com.tw//basic/2019479127819?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,尾田榮一郎,東立      ,9789572622971,https://cdn.kingstone.com.tw/book/images/product/20194/2019479127819/2019479127819b.jpg
銀魂 74,https://www.kingstone.com.tw//basic/2019479059783?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,空知英秋,東立      ,9789572617137,https://cdn.kingstone.com.tw/book/images/product/20194/2019479059783/2019479059783b.jpg
進擊的巨人 05,https://www.kingstone.com.tw//basic/2019476190960?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,諫山創,東立      ,9789861083223,https://cdn.kingstone.com.tw/book/images/product/20194/2019476190960/2019476190960b.jpg
進擊的巨人 04,https://www.kingstone.com.tw//basic/2019476013399?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,諫山創,東立      ,9789861076812,https://cdn.kingstone.com.tw/book/images/product/20194/2019476013399/2019476013399b.jpg
進擊的巨人 02,https://www.kingstone.com.tw//basic/2019475849012?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,諫山創,東立      ,9789861071008,https://cdn.kingstone.com.tw/book/images/product/20194/2019475849012/2019475849012b.jpg
ONE PIECE航海王 95,https://www.kingstone.com.tw//basic/2019479521181?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,尾田榮一郎,東立      ,9789572646151,https://cdn.kingstone.com.tw/book/images/product/20194/2019479521181/2019479521181b.jpg
ONE PIECE航海王99,https://www.kingstone.com.tw//basic/2019460068718?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,尾田榮一郎,東立      ,9789572670026,https://cdn.kingstone.com.tw/book/images/product/20194/2019460068718/2019460068718b.jpg
小恐龍GON 復刻愛藏版 （首刷附錄版）01,https://www.kingstone.com.tw//basic/2019460046990?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,田中政志,東立      ,9789572669532,https://cdn.kingstone.com.tw/book/images/product/20194/2019460046990/2019460046990b.jpg
ONE PIECE PARTY航海王派對 06,https://www.kingstone.com.tw//basic/2019479931782?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,安藤英／尾田榮一郎,東立      ,9789572651230,https://cdn.kingstone.com.tw/book/images/product/20194/2019479931782/2019479931782b.jpg
進擊的巨人 26,https://www.kingstone.com.tw//basic/2019479090823?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,諫山創,東立      ,9789572617236,https://cdn.kingstone.com.tw/book/images/product/20194/2019479090823/2019479090823b.jpg
進擊的巨人 22,https://www.kingstone.com.tw//basic/2019478506059?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,諫山創,東立      ,9789864861453,https://cdn.kingstone.com.tw/book/images/product/20194/2019478506059/2019478506059b.jpg
進擊的巨人 06,https://www.kingstone.com.tw//basic/2019476355024?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,諫山創,東立      ,9789861092119,https://cdn.kingstone.com.tw/book/images/product/20194/2019476355024/2019476355024b.jpg
進擊的巨人 03,https://www.kingstone.com.tw//basic/2019475909655?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,諫山創,東立      ,9789861071015,https://cdn.kingstone.com.tw/book/images/product/20194/2019475909655/2019475909655b.jpg
進擊的巨人 （特裝版） 30,https://www.kingstone.com.tw//basic/2019479652205?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,諫山創,東立      ,9789572649879,https://cdn.kingstone.com.tw/book/images/product/20194/2019479652205/2019479652205b.jpg
進擊的巨人 28,https://www.kingstone.com.tw//basic/2019479300373?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,諫山創,東立      ,9789572632369,https://cdn.kingstone.com.tw/book/images/product/20194/2019479300373/2019479300373b.jpg
驅魔少年 26,https://www.kingstone.com.tw//basic/2019479262978?zone=book&lid=book_class3_pbc&actid=book_class3_pbc,星野桂,東立      ,9789572628881,https://cdn.kingstone.com.tw/book/images/product/20194/2019479262978/2019479262978b.jpg
