書名,書籍網站,作者,出版社,ISBN,圖片網址
原子小金剛  新裝版（１８）,https://www.kingstone.com.tw//basic/2019460090733?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,手塚治虫,台灣東販  ,9786263048133,https://cdn.kingstone.com.tw/book/images/product/20194/2019460090733/2019460090733b.jpg
SHADOWS HOUSE－影宅－（01）,https://www.kingstone.com.tw//basic/2019479857297?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,走馬燈,青文      ,9789865126216,https://cdn.kingstone.com.tw/book/images/product/20194/2019479857297/2019479857297b.jpg
SHADOWS HOUSE－影宅－（07）,https://www.kingstone.com.tw//basic/2019460136424?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,ソウマトウ,青文      ,9786263035102,https://cdn.kingstone.com.tw/book/images/product/20194/2019460136424/2019460136424b.jpg
宇宙兄弟（33）,https://www.kingstone.com.tw//basic/2019460128511?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,小山宙哉,尖端漫畫  ,9786263160330,https://cdn.kingstone.com.tw/book/images/product/20194/2019460128511/2019460128511b.jpg
SHADOWS HOUSE－影宅－（06）,https://www.kingstone.com.tw//basic/2019460067216?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,ソウマトウ,青文      ,9786263032095,https://cdn.kingstone.com.tw/book/images/product/20194/2019460067216/2019460067216b.jpg
宇宙兄弟（32）,https://www.kingstone.com.tw//basic/2019460020914?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,小山宙哉,尖端漫畫  ,9789571097343,https://cdn.kingstone.com.tw/book/images/product/20194/2019460020914/2019460020914b.jpg
SHADOWS HOUSE－影宅－（03）,https://www.kingstone.com.tw//basic/2019479929031?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,ソウマトウ,青文      ,9789865126988,https://cdn.kingstone.com.tw/book/images/product/20194/2019479929031/2019479929031b.jpg
銀河騎士傳 01,https://www.kingstone.com.tw//basic/2019475421768?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,貳瓶勉,台灣東販  ,9789862511336,https://cdn.kingstone.com.tw/book/images/product/20194/2019475421768/2019475421768b.jpg
機動戰士鋼彈0083 REBELLION（１５）,https://www.kingstone.com.tw//basic/2019460059693?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,夏元雅人、矢立肇．富野由悠季,台灣角川  ,9789865246075,https://cdn.kingstone.com.tw/book/images/product/20194/2019460059693/2019460059693b.jpg
SHADOWS HOUSE－影宅（05）,https://www.kingstone.com.tw//basic/2019460030661?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,ソウマトウ,青文      ,9789865498870,https://cdn.kingstone.com.tw/book/images/product/20194/2019460030661/2019460030661b.jpg
機動戰士海盜鋼彈DUST（７）,https://www.kingstone.com.tw//basic/2019479976660?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,Co-Design、宮崎真一,台灣角川  ,9789865243012,https://cdn.kingstone.com.tw/book/images/product/20194/2019479976660/2019479976660b.jpg
SHADOWS HOUSE－影宅－（04）,https://www.kingstone.com.tw//basic/2019479977452?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,ソウマトウ,青文      ,9789865129040,https://cdn.kingstone.com.tw/book/images/product/20194/2019479977452/2019479977452b.jpg
SHADOWS HOUSE－影宅－（02）,https://www.kingstone.com.tw//basic/2019479857327?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,走馬燈,青文      ,9789865126223,https://cdn.kingstone.com.tw/book/images/product/20194/2019479857327/2019479857327b.jpg
新機動戰記鋼彈W Endless Waltz 敗者們的榮耀（１４）,https://www.kingstone.com.tw//basic/2019479141891?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,小笠原智史,台灣角川  ,9789575646837,https://cdn.kingstone.com.tw/book/images/product/20194/2019479141891/2019479141891b.jpg
AGRAVITY BOYS 無重力少年 02,https://www.kingstone.com.tw//basic/2019460085296?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,中村充志,東立      ,9789572660447,https://cdn.kingstone.com.tw/book/images/product/20194/2019460085296/2019460085296b.jpg
機動戰士MOON鋼彈（４）,https://www.kingstone.com.tw//basic/2019460040028?zone=book&lid=book_class3_pbd&actid=book_class3_pbd,矢立肇、富野由悠季,台灣角川  ,9789865245351,https://cdn.kingstone.com.tw/book/images/product/20194/2019460040028/2019460040028b.jpg
