書名,書籍網站,作者,出版社,ISBN,圖片網址
勿說是推理（04）,https://www.kingstone.com.tw//basic/2019460070049?zone=book&lid=book_class3_pda&actid=book_class3_pda,田村由美,青文      ,9786263032163,https://cdn.kingstone.com.tw/book/images/product/20194/2019460070049/2019460070049b.jpg
金田一少年之事件簿外傳 犯人們之事件簿 07,https://www.kingstone.com.tw//basic/2019460035451?zone=book&lid=book_class3_pda&actid=book_class3_pda,天樹征丸、金成陽三郎、佐藤文也,東立      ,9789572644027,https://cdn.kingstone.com.tw/book/images/product/20194/2019460035451/2019460035451b.jpg
憂國的莫里亞蒂 03,https://www.kingstone.com.tw//basic/2019478960493?zone=book&lid=book_class3_pda&actid=book_class3_pda,竹內良輔(構成),東立      ,9789864866014,https://cdn.kingstone.com.tw/book/images/product/20194/2019478960493/2019478960493b.jpg
藥師少女的獨語05,https://www.kingstone.com.tw//basic/2019460071671?zone=book&lid=book_class3_pda&actid=book_class3_pda,日向夏／ねこクラゲ,東立      ,9789572649282,https://cdn.kingstone.com.tw/book/images/product/20194/2019460071671/2019460071671b.jpg
最近的偵探真沒用（８）,https://www.kingstone.com.tw//basic/2019460087320?zone=book&lid=book_class3_pda&actid=book_class3_pda,五十嵐正邦,台灣角川  ,9789865247102,https://cdn.kingstone.com.tw/book/images/product/20194/2019460087320/2019460087320b.jpg
最近的偵探真沒用（７）,https://www.kingstone.com.tw//basic/2019460087900?zone=book&lid=book_class3_pda&actid=book_class3_pda,五十嵐正邦,台灣角川  ,9789865247089,https://cdn.kingstone.com.tw/book/images/product/20194/2019460087900/2019460087900b.jpg
名偵探柯南 赤井家族精選集,https://www.kingstone.com.tw//basic/2019460042602?zone=book&lid=book_class3_pda&actid=book_class3_pda,青山剛昌,青文      ,9789865498894,https://cdn.kingstone.com.tw/book/images/product/20194/2019460042602/2019460042602b.jpg
勿說是推理（03）,https://www.kingstone.com.tw//basic/2019460042732?zone=book&lid=book_class3_pda&actid=book_class3_pda,田村由美,青文      ,9789865498818,https://cdn.kingstone.com.tw/book/images/product/20194/2019460042732/2019460042732b.jpg
憂國的莫里亞蒂 09,https://www.kingstone.com.tw//basic/2019479995692?zone=book&lid=book_class3_pda&actid=book_class3_pda,柯南．道爾,東立      ,9789572637913,https://cdn.kingstone.com.tw/book/images/product/20194/2019479995692/2019479995692b.jpg
憂國的莫里亞蒂 08,https://www.kingstone.com.tw//basic/2019479934998?zone=book&lid=book_class3_pda&actid=book_class3_pda,柯南．道爾(原案),東立      ,9789572630815,https://cdn.kingstone.com.tw/book/images/product/20194/2019479934998/2019479934998b.jpg
藥師少女的獨語 03,https://www.kingstone.com.tw//basic/2019479873853?zone=book&lid=book_class3_pda&actid=book_class3_pda,日向夏,東立      ,9789572649268,https://cdn.kingstone.com.tw/book/images/product/20194/2019479873853/2019479873853b.jpg
憂國的莫里亞蒂 07,https://www.kingstone.com.tw//basic/2019479842170?zone=book&lid=book_class3_pda&actid=book_class3_pda,柯南．道爾(原案),東立      ,9789572621851,https://cdn.kingstone.com.tw/book/images/product/20194/2019479842170/2019479842170b.jpg
金田一37歲之事件簿 04,https://www.kingstone.com.tw//basic/2019479695189?zone=book&lid=book_class3_pda&actid=book_class3_pda,天樹征丸、佐藤文也,東立      ,9789572642177,https://cdn.kingstone.com.tw/book/images/product/20194/2019479695189/2019479695189b.jpg
名偵探柯南93,https://www.kingstone.com.tw//basic/2019478898819?zone=book&lid=book_class3_pda&actid=book_class3_pda,青山剛昌,青文      ,4718016029323,https://cdn.kingstone.com.tw/book/images/product/20194/2019478898819/2019478898819b.jpg
憂國的莫里亞蒂02,https://www.kingstone.com.tw//basic/2019478728819?zone=book&lid=book_class3_pda&actid=book_class3_pda,竹內良輔(構成),東立      ,9789864861330,https://cdn.kingstone.com.tw/book/images/product/20194/2019478728819/2019478728819b.jpg
名偵探柯南73,https://www.kingstone.com.tw//basic/2019476360011?zone=book&lid=book_class3_pda&actid=book_class3_pda,青山剛昌,青文      ,9789863101239,https://cdn.kingstone.com.tw/book/images/product/20194/2019476360011/2019476360011b.jpg
名偵探柯南72,https://www.kingstone.com.tw//basic/2019476196252?zone=book&lid=book_class3_pda&actid=book_class3_pda,青山剛昌,青文      ,9789862569689,https://cdn.kingstone.com.tw/book/images/product/20194/2019476196252/2019476196252b.jpg
最近的偵探真沒用（６）,https://www.kingstone.com.tw//basic/2019460086668?zone=book&lid=book_class3_pda&actid=book_class3_pda,五十嵐正邦,台灣角川  ,9789865247010,https://cdn.kingstone.com.tw/book/images/product/20194/2019460086668/2019460086668b.jpg
勿說是推理（02）,https://www.kingstone.com.tw//basic/2019479963387?zone=book&lid=book_class3_pda&actid=book_class3_pda,田村由美,青文      ,9789865129309,https://cdn.kingstone.com.tw/book/images/product/20194/2019479963387/2019479963387b.jpg
金田一37歲之事件簿 05,https://www.kingstone.com.tw//basic/2019479852537?zone=book&lid=book_class3_pda&actid=book_class3_pda,天樹征丸,東立      ,9789572643389,https://cdn.kingstone.com.tw/book/images/product/20194/2019479852537/2019479852537b.jpg
