書名,書籍網站,作者,出版社,ISBN,圖片網址
化物語 12,https://www.kingstone.com.tw//basic/2019460085616?zone=book&lid=book_class3_pdc&actid=book_class3_pdc,西尾維新、大暮維人,東立      ,9789572666821,https://cdn.kingstone.com.tw/book/images/product/20194/2019460085616/2019460085616b.jpg
通靈童子 愛藏版 （首刷附錄版） 07,https://www.kingstone.com.tw//basic/2019460044606?zone=book&lid=book_class3_pdc&actid=book_class3_pdc,武井宏之,東立      ,9789572665206,https://cdn.kingstone.com.tw/book/images/product/20194/2019460044606/2019460044606b.jpg
恐怖寵物店 漂泊方舟篇 （首刷附錄版） 02,https://www.kingstone.com.tw//basic/2019479989943?zone=book&lid=book_class3_pdc&actid=book_class3_pdc,秋乃茉莉,東立      ,9789572665541,https://cdn.kingstone.com.tw/book/images/product/20194/2019479989943/2019479989943b.jpg
鬼滅之刃 12,https://www.kingstone.com.tw//basic/2019479447436?zone=book&lid=book_class3_pdc&actid=book_class3_pdc,吾峠呼世晴,東立      ,9789572617151,https://cdn.kingstone.com.tw/book/images/product/20194/2019479447436/2019479447436b.jpg
鬼滅之刃 07,https://www.kingstone.com.tw//basic/2019479283324?zone=book&lid=book_class3_pdc&actid=book_class3_pdc,吾峠呼世晴,東立      ,9789864867899,https://cdn.kingstone.com.tw/book/images/product/20194/2019479283324/2019479283324b.jpg
鬼滅之刃 01,https://www.kingstone.com.tw//basic/2019478766323?zone=book&lid=book_class3_pdc&actid=book_class3_pdc,吾峠 呼世晴,東立      ,9789864867837,https://cdn.kingstone.com.tw/book/images/product/20194/2019478766323/2019478766323b.jpg
恐怖寵物店 巴黎篇 （首刷附錄版） 05,https://www.kingstone.com.tw//basic/2019479906391?zone=book&lid=book_class3_pdc&actid=book_class3_pdc,秋乃茉莉,東立      ,4710601044100,https://cdn.kingstone.com.tw/book/images/product/20194/2019479906391/2019479906391b.jpg
鬼滅之刃 14,https://www.kingstone.com.tw//basic/2019479509103?zone=book&lid=book_class3_pdc&actid=book_class3_pdc,吾峠呼世晴,東立      ,9789572626108,https://cdn.kingstone.com.tw/book/images/product/20194/2019479509103/2019479509103b.jpg
通靈童子 愛藏版 （首刷附錄版） 05,https://www.kingstone.com.tw//basic/2019479990482?zone=book&lid=book_class3_pdc&actid=book_class3_pdc,武井宏之,東立      ,9789572665183,https://cdn.kingstone.com.tw/book/images/product/20194/2019479990482/2019479990482b.jpg
恐怖寵物店 巴黎篇 （首刷附錄版） 04,https://www.kingstone.com.tw//basic/2019479890881?zone=book&lid=book_class3_pdc&actid=book_class3_pdc,秋乃茉莉,東立      ,4710601043721,https://cdn.kingstone.com.tw/book/images/product/20194/2019479890881/2019479890881b.jpg
通靈童子 愛藏版 （首刷附錄版）06,https://www.kingstone.com.tw//basic/2019460027708?zone=book&lid=book_class3_pdc&actid=book_class3_pdc,武井宏之,東立      ,9789572665190,https://cdn.kingstone.com.tw/book/images/product/20194/2019460027708/2019460027708b.jpg
