書名,書籍網站,作者,出版社,ISBN,圖片網址
排球少年31,https://www.kingstone.com.tw//basic/2019478893609?zone=book&lid=book_class3_pea&actid=book_class3_pea,古舘春一,東立      ,9789572611289,https://cdn.kingstone.com.tw/book/images/product/20194/2019478893609/2019478893609b.jpg
排球少年29,https://www.kingstone.com.tw//basic/2019478804568?zone=book&lid=book_class3_pea&actid=book_class3_pea,古舘春一,東立      ,9789572603857,https://cdn.kingstone.com.tw/book/images/product/20194/2019478804568/2019478804568b.jpg
排球少年26,https://www.kingstone.com.tw//basic/2019478567753?zone=book&lid=book_class3_pea&actid=book_class3_pea,古舘春一,東立      ,9789864862887,https://cdn.kingstone.com.tw/book/images/product/20194/2019478567753/2019478567753b.jpg
排球少年24,https://www.kingstone.com.tw//basic/2019478414231?zone=book&lid=book_class3_pea&actid=book_class3_pea,古館春一,東立      ,9789864824908,https://cdn.kingstone.com.tw/book/images/product/20194/2019478414231/2019478414231b.jpg
OFF META非典型玩家 （首刷附錄版） 01,https://www.kingstone.com.tw//basic/2019460112602?zone=book&lid=book_class3_pea&actid=book_class3_pea,鮭＆鯊,東立      ,9789572676486,https://cdn.kingstone.com.tw/book/images/product/20194/2019460112602/2019460112602b.jpg
排球少年25,https://www.kingstone.com.tw//basic/2019478498125?zone=book&lid=book_class3_pea&actid=book_class3_pea,古舘春一,東立      ,9789864860722,https://cdn.kingstone.com.tw/book/images/product/20194/2019478498125/2019478498125b.jpg
排球少年21,https://www.kingstone.com.tw//basic/2019478195406?zone=book&lid=book_class3_pea&actid=book_class3_pea,古館春一,東立      ,9789864704026,https://cdn.kingstone.com.tw/book/images/product/20194/2019478195406/2019478195406b.jpg
排球少年20,https://www.kingstone.com.tw//basic/2019478137048?zone=book&lid=book_class3_pea&actid=book_class3_pea,古館春一,東立      ,9789863657927,https://cdn.kingstone.com.tw/book/images/product/20194/2019478137048/2019478137048b.jpg
排球少年17,https://www.kingstone.com.tw//basic/2019477949079?zone=book&lid=book_class3_pea&actid=book_class3_pea,古館春一,東立      ,9789864620609,https://cdn.kingstone.com.tw/book/images/product/20194/2019477949079/2019477949079b.jpg
棋魂（完全版）20（完）,https://www.kingstone.com.tw//basic/2019476255973?zone=book&lid=book_class3_pea&actid=book_class3_pea,堀田由美(原作),東立      ,9789861079493,https://cdn.kingstone.com.tw/book/images/product/20194/2019476255973/2019476255973b.jpg
新網球王子（27）,https://www.kingstone.com.tw//basic/2019460052229?zone=book&lid=book_class3_pea&actid=book_class3_pea,許斐剛,青文      ,9789865485443,https://cdn.kingstone.com.tw/book/images/product/20194/2019460052229/2019460052229b.jpg
排球少年27,https://www.kingstone.com.tw//basic/2019478662304?zone=book&lid=book_class3_pea&actid=book_class3_pea,古舘春一,東立      ,9789864867264,https://cdn.kingstone.com.tw/book/images/product/20194/2019478662304/2019478662304b.jpg
排球少年18,https://www.kingstone.com.tw//basic/2019477996578?zone=book&lid=book_class3_pea&actid=book_class3_pea,古館春一,東立      ,9789864623853,https://cdn.kingstone.com.tw/book/images/product/20194/2019477996578/2019477996578b.jpg
排球少年11,https://www.kingstone.com.tw//basic/2019477408804?zone=book&lid=book_class3_pea&actid=book_class3_pea,古館春一,東立      ,9789863652120,https://cdn.kingstone.com.tw/book/images/product/20194/2019477408804/2019477408804b.jpg
