書名,書籍網站,作者,出版社,ISBN,圖片網址
我的菁英上司廢得很可愛（全）,https://www.kingstone.com.tw//basic/2019479858539?zone=book&lid=book_class3_ped&actid=book_class3_ped,白崎ナベ,東立      ,9789572659373,https://cdn.kingstone.com.tw/book/images/product/20194/2019479858539/2019479858539b.jpg
九龍大眾浪漫 01,https://www.kingstone.com.tw//basic/2019479934028?zone=book&lid=book_class3_ped&actid=book_class3_ped,眉月啍,東立      ,9789572658499,https://cdn.kingstone.com.tw/book/images/product/20194/2019479934028/2019479934028b.jpg
會長島耕作（12）,https://www.kingstone.com.tw//basic/2019479987369?zone=book&lid=book_class3_ped&actid=book_class3_ped,弘兼憲史,尖端漫畫  ,9789571094007,https://cdn.kingstone.com.tw/images/restricted.jpg
NEW GAME！10,https://www.kingstone.com.tw//basic/2019479936282?zone=book&lid=book_class3_ped&actid=book_class3_ped,得能正太郎,東立      ,9789572648513,https://cdn.kingstone.com.tw/book/images/product/20194/2019479936282/2019479936282b.jpg
學生島耕作就活篇（03）,https://www.kingstone.com.tw//basic/2019479866732?zone=book&lid=book_class3_ped&actid=book_class3_ped,弘兼憲史,尖端漫畫  ,9789571092232,https://cdn.kingstone.com.tw/images/restricted.jpg
學生島耕作就活篇（02）,https://www.kingstone.com.tw//basic/2019479805168?zone=book&lid=book_class3_ped&actid=book_class3_ped,弘兼憲史,尖端漫畫  ,9789571091082,https://cdn.kingstone.com.tw/images/restricted.jpg
七色鸚哥07（完）,https://www.kingstone.com.tw//basic/2019475111508?zone=book&lid=book_class3_ped&actid=book_class3_ped,手塚治虫,台灣東販  ,9789861769219,https://cdn.kingstone.com.tw/book/images/product/20194/2019475111508/2019475111508b.jpg
七色鸚哥06,https://www.kingstone.com.tw//basic/2019475083300?zone=book&lid=book_class3_ped&actid=book_class3_ped,手塚治虫,台灣東販  ,9789861768946,https://cdn.kingstone.com.tw/book/images/product/20194/2019475083300/2019475083300b.jpg
七色鸚哥05,https://www.kingstone.com.tw//basic/2019475035019?zone=book&lid=book_class3_ped&actid=book_class3_ped,手塚治虫,台灣東販  ,9789861768700,https://cdn.kingstone.com.tw/book/images/product/20194/2019475035019/2019475035019b.jpg
七色鸚哥04,https://www.kingstone.com.tw//basic/2019475005548?zone=book&lid=book_class3_ped&actid=book_class3_ped,手塚治虫,台灣東販  ,9789861768328,https://cdn.kingstone.com.tw/book/images/product/20194/2019475005548/2019475005548b.jpg
七色鸚哥03,https://www.kingstone.com.tw//basic/2019474970328?zone=book&lid=book_class3_ped&actid=book_class3_ped,手塚治虫,台灣東販  ,9789861768311,https://cdn.kingstone.com.tw/book/images/product/20194/2019474970328/2019474970328b.jpg
七色鸚哥02,https://www.kingstone.com.tw//basic/2019474929821?zone=book&lid=book_class3_ped&actid=book_class3_ped,手塚治虫,台灣東販  ,9789861767963,https://cdn.kingstone.com.tw/book/images/product/20194/2019474929821/2019474929821b.jpg
七色鸚哥01,https://www.kingstone.com.tw//basic/2019474890831?zone=book&lid=book_class3_ped&actid=book_class3_ped,手塚治虫,台灣東販  ,9789861767628,https://cdn.kingstone.com.tw/book/images/product/20194/2019474890831/2019474890831b.jpg
印刷百面相！01,https://www.kingstone.com.tw//basic/2019460051857?zone=book&lid=book_class3_ped&actid=book_class3_ped,染谷実,東立      ,9789572667002,https://cdn.kingstone.com.tw/book/images/product/20194/2019460051857/2019460051857b.jpg
限＞社長島耕作（07）,https://www.kingstone.com.tw//basic/2019479962915?zone=book&lid=book_class3_ped&actid=book_class3_ped,弘兼憲史,尖端漫畫  ,9789571094274,https://cdn.kingstone.com.tw/images/restricted.jpg
不加班真的可以嗎？~小職員異世界佛心企業初體驗~（３）,https://www.kingstone.com.tw//basic/2019479887058?zone=book&lid=book_class3_ped&actid=book_class3_ped,髭乃慎士、結城鹿介,台灣角川  ,9789865241674,https://cdn.kingstone.com.tw/book/images/product/20194/2019479887058/2019479887058b.jpg
限＞社長島耕作（04）,https://www.kingstone.com.tw//basic/2019479894209?zone=book&lid=book_class3_ped&actid=book_class3_ped,弘兼憲史,尖端漫畫  ,9789571093567,https://cdn.kingstone.com.tw/book/images/product/20194/2019479894209/2019479894209b.jpg
社畜想被幼女幽靈療癒01,https://www.kingstone.com.tw//basic/2019479859031?zone=book&lid=book_class3_ped&actid=book_class3_ped,有田イマリ,東立      ,9789572653463,https://cdn.kingstone.com.tw/book/images/product/20194/2019479859031/2019479859031b.jpg
過氣英雄傳,https://www.kingstone.com.tw//basic/2019479872221?zone=book&lid=book_class3_ped&actid=book_class3_ped,米雷,黑白文化  ,9789869935739,https://cdn.kingstone.com.tw/book/images/product/20194/2019479872221/2019479872221b.jpg
NEW GAME！09,https://www.kingstone.com.tw//basic/2019479772880?zone=book&lid=book_class3_ped&actid=book_class3_ped,得能正太郎,東立      ,9789572642207,https://cdn.kingstone.com.tw/book/images/product/20194/2019479772880/2019479772880b.jpg
學生島耕作就活篇（01）,https://www.kingstone.com.tw//basic/2019479758938?zone=book&lid=book_class3_ped&actid=book_class3_ped,弘兼憲史,尖端漫畫  ,9789571090481,https://cdn.kingstone.com.tw/book/images/product/20194/2019479758938/2019479758938b.jpg
HITMAN 熱血編輯 02,https://www.kingstone.com.tw//basic/2019479718840?zone=book&lid=book_class3_ped&actid=book_class3_ped,尾公治,東立      ,9789572633502,https://cdn.kingstone.com.tw/images/restricted.jpg
