書名,書籍網站,作者,出版社,ISBN,圖片網址
天才小釣手 愛藏版 01,https://www.kingstone.com.tw//basic/2019460042442?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,矢口高雄,東立      ,9789572666296,https://cdn.kingstone.com.tw/book/images/product/20194/2019460042442/2019460042442b.jpg
幸福路上：童年時光 1+2套書,https://www.kingstone.com.tw//basic/2019460033587?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,宋欣穎、羅荷,大塊      ,9991100525023,https://cdn.kingstone.com.tw/book/images/product/20194/2019460033587/2019460033587b.jpg
死亡鐮刀波濤胸湧（02）,https://www.kingstone.com.tw//basic/2019460136394?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,さふぁ太,青文      ,9786263037861,https://cdn.kingstone.com.tw/book/images/product/20194/2019460136394/2019460136394b.jpg
麻辣教師GTO‧失落的樂園 14,https://www.kingstone.com.tw//basic/2019479951506?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,藤沢亨,東立      ,9789572659663,https://cdn.kingstone.com.tw/book/images/product/20194/2019479951506/2019479951506b.jpg
麻辣教師GTO湘南14日08,https://www.kingstone.com.tw//basic/2019476300499?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,藤澤亨,東立      ,9789861089010,https://cdn.kingstone.com.tw/book/images/product/20194/2019476300499/2019476300499b.jpg
國王排名（08）,https://www.kingstone.com.tw//basic/2019460128191?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,十日草輔,尖端漫畫  ,9786263160453,https://cdn.kingstone.com.tw/book/images/product/20194/2019460128191/2019460128191b.jpg
座敷娘與料理人（02）,https://www.kingstone.com.tw//basic/2019479502449?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,佐保里,青文      ,9789865121853,https://cdn.kingstone.com.tw/book/images/product/20194/2019479502449/2019479502449b.jpg
麻辣教師GTO‧失落的樂園 15,https://www.kingstone.com.tw//basic/2019460077703?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,藤沢亨,東立      ,9789572665800,https://cdn.kingstone.com.tw/book/images/product/20194/2019460077703/2019460077703b.jpg
總之就是很可愛（13）,https://www.kingstone.com.tw//basic/2019460020624?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,畑健二郎,尖端漫畫  ,9789571097442,https://cdn.kingstone.com.tw/book/images/product/20194/2019460020624/2019460020624b.jpg
麻辣教師GTO‧失落的樂園 12,https://www.kingstone.com.tw//basic/2019479652335?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,藤沢亨,東立      ,9789572645079,https://cdn.kingstone.com.tw/book/images/product/20194/2019479652335/2019479652335b.jpg
座敷娘與料理人（03）,https://www.kingstone.com.tw//basic/2019479633853?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,佐保里,青文      ,9789865123598,https://cdn.kingstone.com.tw/book/images/product/20194/2019479633853/2019479633853b.jpg
麻辣教師GTO湘南14日09（完）,https://www.kingstone.com.tw//basic/2019476300529?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,藤澤亨,東立      ,9789861089447,https://cdn.kingstone.com.tw/book/images/product/20194/2019476300529/2019476300529b.jpg
麻辣教師GTO湘南14日07,https://www.kingstone.com.tw//basic/2019476223958?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,藤澤亨,東立      ,9789861085777,https://cdn.kingstone.com.tw/book/images/product/20194/2019476223958/2019476223958b.jpg
麻辣教師GTO湘南14日06,https://www.kingstone.com.tw//basic/2019475959070?zone=book&lid=book_class3_pfa&actid=book_class3_pfa,藤澤亨,東立      ,9789861072029,https://cdn.kingstone.com.tw/book/images/product/20194/2019475959070/2019475959070b.jpg
