書名,書籍網站,作者,出版社,ISBN,圖片網址
烏龍派出所96,https://www.kingstone.com.tw//basic/2019472899133?zone=book&lid=book_class3_pfb&actid=book_class3_pfb,秋本治,東立      ,9789861175379,https://cdn.kingstone.com.tw/book/images/product/20194/2019472899133/2019472899133b.jpg
三坪一魔（01）,https://www.kingstone.com.tw//basic/2019460110998?zone=book&lid=book_class3_pfb&actid=book_class3_pfb,鹿島初,青文      ,9786263035461,https://cdn.kingstone.com.tw/book/images/product/20194/2019460110998/2019460110998b.jpg
休假的壞人先生（01）,https://www.kingstone.com.tw//basic/2019479486282?zone=book&lid=book_class3_pfb&actid=book_class3_pfb,森川侑,青文      ,9789865121594,https://cdn.kingstone.com.tw/book/images/product/20194/2019479486282/2019479486282b.jpg
GRAND BLUE碧藍之海 16,https://www.kingstone.com.tw//basic/2019479949015?zone=book&lid=book_class3_pfb&actid=book_class3_pfb,井上堅二,東立      ,9789572661253,https://cdn.kingstone.com.tw/book/images/product/20194/2019479949015/2019479949015b.jpg
小林家的龍女僕（09）限定版,https://www.kingstone.com.tw//basic/2019479703303?zone=book&lid=book_class3_pfb&actid=book_class3_pfb,クール教信者,青文      ,4718016037878,https://cdn.kingstone.com.tw/book/images/product/20194/2019479703303/2019479703303b.jpg
小林家的龍女僕（01）限定版,https://www.kingstone.com.tw//basic/2019478624630?zone=book&lid=book_class3_pfb&actid=book_class3_pfb,クール教信者,青文      ,4718016024717,https://cdn.kingstone.com.tw/book/images/product/20194/2019478624630/2019478624630b.jpg
GRAND BLUE碧藍之海 2,https://www.kingstone.com.tw//basic/2019478101285?zone=book&lid=book_class3_pfb&actid=book_class3_pfb,井上堅二(原作),東立      ,9789864620128,https://cdn.kingstone.com.tw/book/images/product/20194/2019478101285/2019478101285b.jpg
GRAND BLUE碧藍之海 1,https://www.kingstone.com.tw//basic/2019477953984?zone=book&lid=book_class3_pfb&actid=book_class3_pfb,井上堅二,東立      ,9789864620111,https://cdn.kingstone.com.tw/book/images/product/20194/2019477953984/2019477953984b.jpg
烏龍派出所92,https://www.kingstone.com.tw//basic/2019472609978?zone=book&lid=book_class3_pfb&actid=book_class3_pfb,秋本治,東立      ,9789861159577,https://cdn.kingstone.com.tw/book/images/product/20194/2019472609978/2019472609978b.jpg
邪劍先生十分搖擺（04）,https://www.kingstone.com.tw//basic/2019460102955?zone=book&lid=book_class3_pfb&actid=book_class3_pfb,飛田二木壱,青文      ,9786263032071,https://cdn.kingstone.com.tw/book/images/product/20194/2019460102955/2019460102955b.jpg
