書名,書籍網站,作者,出版社,ISBN,圖片網址
義呆利World★Stars （首刷附錄版） 05,https://www.kingstone.com.tw//basic/2019460089034?zone=book&lid=book_class3_pfc&actid=book_class3_pfc,日丸屋秀和,東立      ,9789572670187,https://cdn.kingstone.com.tw/book/images/product/20194/2019460089034/2019460089034b.jpg
義呆利World.Stars 02,https://www.kingstone.com.tw//basic/2019478035573?zone=book&lid=book_class3_pfc&actid=book_class3_pfc,日丸屋秀和,東立      ,9789864317707,https://cdn.kingstone.com.tw/book/images/product/20194/2019478035573/2019478035573b.jpg
義呆利World.Stars 01,https://www.kingstone.com.tw//basic/2019477861586?zone=book&lid=book_class3_pfc&actid=book_class3_pfc,日丸屋秀和,東立      ,9789864317691,https://cdn.kingstone.com.tw/book/images/product/20194/2019477861586/2019477861586b.jpg
站起來吧!半獸人先生 04（完）,https://www.kingstone.com.tw//basic/2019460041070?zone=book&lid=book_class3_pfc&actid=book_class3_pfc,阿羅本景、影崎由那,東立      ,9789572651193,https://cdn.kingstone.com.tw/book/images/product/20194/2019460041070/2019460041070b.jpg
ＲＩＶＥＲ，Ｓ５４３+１,https://www.kingstone.com.tw//basic/2019479996194?zone=book&lid=book_class3_pfc&actid=book_class3_pfc,RIVER,台灣東販  ,9786263046078,https://cdn.kingstone.com.tw/book/images/product/20194/2019479996194/2019479996194b.jpg
義呆利World・Stars（首刷附錄版）04,https://www.kingstone.com.tw//basic/2019478601570?zone=book&lid=book_class3_pfc&actid=book_class3_pfc,日丸屋秀和,東立      ,4710945552934,https://cdn.kingstone.com.tw/book/images/product/20194/2019478601570/2019478601570b.jpg
不會拿捏距離的阿波連同學（05）,https://www.kingstone.com.tw//basic/2019479900139?zone=book&lid=book_class3_pfc&actid=book_class3_pfc,水安里,尖端漫畫  ,9789571092997,https://cdn.kingstone.com.tw/book/images/product/20194/2019479900139/2019479900139b.jpg
不會拿捏距離的阿波連同學（06）,https://www.kingstone.com.tw//basic/2019479900269?zone=book&lid=book_class3_pfc&actid=book_class3_pfc,水安里,尖端漫畫  ,9789571093000,https://cdn.kingstone.com.tw/book/images/product/20194/2019479900269/2019479900269b.jpg
調教咖啡廳（05）,https://www.kingstone.com.tw//basic/2019479628866?zone=book&lid=book_class3_pfc&actid=book_class3_pfc,中山幸,尖端漫畫  ,9789571089065,https://cdn.kingstone.com.tw/book/images/product/20194/2019479628866/2019479628866b.jpg
魔物娘的同居日常 4格同人合集 04,https://www.kingstone.com.tw//basic/2019479478119?zone=book&lid=book_class3_pfc&actid=book_class3_pfc,オカヤド,東立      ,9789863242703,https://cdn.kingstone.com.tw/images/restricted.jpg
傳染全五冊,https://www.kingstone.com.tw//basic/2019479458135?zone=book&lid=book_class3_pfc&actid=book_class3_pfc,吉田戰車,大塊      ,9789865406332,https://cdn.kingstone.com.tw/book/images/product/20194/2019479458135/2019479458135b.jpg
