書名,書籍網站,作者,出版社,ISBN,圖片網址
愛吃拉麵的小泉同學（７）,https://www.kingstone.com.tw//basic/2019460038247?zone=book&lid=book_class3_pfe&actid=book_class3_pfe,鳴見なる,台灣角川  ,9789865245276,https://cdn.kingstone.com.tw/book/images/product/20194/2019460038247/2019460038247b.jpg
愛吃拉麵的小泉同學（８）,https://www.kingstone.com.tw//basic/2019460038117?zone=book&lid=book_class3_pfe&actid=book_class3_pfe,鳴見なる,台灣角川  ,9789865245283,https://cdn.kingstone.com.tw/book/images/product/20194/2019460038117/2019460038117b.jpg
西荻漥 三星洋酒堂 （首刷限定版）01,https://www.kingstone.com.tw//basic/2019460015637?zone=book&lid=book_class3_pfe&actid=book_class3_pfe,井西,東立      ,9789572669686,https://cdn.kingstone.com.tw/book/images/product/20194/2019460015637/2019460015637b.jpg
粗點心戰爭 08,https://www.kingstone.com.tw//basic/2019479658597?zone=book&lid=book_class3_pfe&actid=book_class3_pfe,琴山,東立      ,9789864867110,https://cdn.kingstone.com.tw/book/images/product/20194/2019479658597/2019479658597b.jpg
食戟之靈 36（完）,https://www.kingstone.com.tw//basic/2019479539704?zone=book&lid=book_class3_pfe&actid=book_class3_pfe,附田祐斗,東立      ,9789572642962,https://cdn.kingstone.com.tw/book/images/product/20194/2019479539704/2019479539704b.jpg
粗點心戰爭 07,https://www.kingstone.com.tw//basic/2019479361367?zone=book&lid=book_class3_pfe&actid=book_class3_pfe,琴山,東立      ,9789864860074,https://cdn.kingstone.com.tw/book/images/product/20194/2019479361367/2019479361367b.jpg
女僕小姐的貪吃日常（02）,https://www.kingstone.com.tw//basic/2019460127859?zone=book&lid=book_class3_pfe&actid=book_class3_pfe,前屋進,尖端漫畫  ,9786263160354,https://cdn.kingstone.com.tw/book/images/product/20194/2019460127859/2019460127859b.jpg
麗莎難以入口的餐桌料理（02）,https://www.kingstone.com.tw//basic/2019479991694?zone=book&lid=book_class3_pfe&actid=book_class3_pfe,黑鄉滸,青文      ,9789865129088,https://cdn.kingstone.com.tw/book/images/product/20194/2019479991694/2019479991694b.jpg
女僕小姐的貪吃日常（01）,https://www.kingstone.com.tw//basic/2019479981367?zone=book&lid=book_class3_pfe&actid=book_class3_pfe,前屋進,尖端漫畫  ,9789571095929,https://cdn.kingstone.com.tw/book/images/product/20194/2019479981367/2019479981367b.jpg
食戟之靈 35,https://www.kingstone.com.tw//basic/2019479373698?zone=book&lid=book_class3_pfe&actid=book_class3_pfe,佐伯 俊,東立      ,9789572636626,https://cdn.kingstone.com.tw/book/images/product/20194/2019479373698/2019479373698b.jpg
食戟之靈 34,https://www.kingstone.com.tw//basic/2019479299363?zone=book&lid=book_class3_pfe&actid=book_class3_pfe,附田祐斗,東立      ,9789572632277,https://cdn.kingstone.com.tw/book/images/product/20194/2019479299363/2019479299363b.jpg
食戟之靈 33,https://www.kingstone.com.tw//basic/2019479253723?zone=book&lid=book_class3_pfe&actid=book_class3_pfe,附田祐斗,東立      ,9789572628911,https://cdn.kingstone.com.tw/book/images/product/20194/2019479253723/2019479253723b.jpg
