書名,書籍網站,作者,出版社,ISBN,圖片網址
我推的孩子（03）,https://www.kingstone.com.tw//basic/2019460131764?zone=book&lid=book_class3_pga&actid=book_class3_pga,赤坂アカ、横槍メンゴ,青文      ,9786263035980,https://cdn.kingstone.com.tw/book/images/product/20194/2019460131764/2019460131764b.jpg
黃昏流星群（62）,https://www.kingstone.com.tw//basic/2019460067636?zone=book&lid=book_class3_pga&actid=book_class3_pga,弘兼憲史,尖端漫畫  ,9786263084636,https://cdn.kingstone.com.tw/images/restricted.jpg
花（限量加贈對開彩色大海報）,https://www.kingstone.com.tw//basic/2029460082003?zone=book&lid=book_class3_pga&actid=book_class3_pga,松本大洋,大塊      ,9789860777208,https://cdn.kingstone.com.tw/book/images/product/20294/2029460082003/2029460082003b.jpg
首麻里傳奇（２）,https://www.kingstone.com.tw//basic/2019460066264?zone=book&lid=book_class3_pga&actid=book_class3_pga,手塚治虫,台灣東販  ,9786263047396,https://cdn.kingstone.com.tw/book/images/product/20194/2019460066264/2019460066264b.jpg
神之鄉 上,https://www.kingstone.com.tw//basic/2019477971124?zone=book&lid=book_class3_pga&actid=book_class3_pga,左萱,蓋亞文化  ,9789863191759,https://cdn.kingstone.com.tw/book/images/product/20194/2019477971124/2019477971124b.jpg
我推的孩子（01）,https://www.kingstone.com.tw//basic/2019460084114?zone=book&lid=book_class3_pga&actid=book_class3_pga,赤坂アカ(原作)、横槍メンゴ(漫畫),青文      ,9789865377700,https://cdn.kingstone.com.tw/book/images/product/20194/2019460084114/2019460084114b.jpg
我推的孩子（02）,https://www.kingstone.com.tw//basic/2019460084244?zone=book&lid=book_class3_pga&actid=book_class3_pga,赤坂アカ(原作)、横槍メンゴ(漫畫),青文      ,9786263032859,https://cdn.kingstone.com.tw/book/images/product/20194/2019460084244/2019460084244b.jpg
帝一之國12,https://www.kingstone.com.tw//basic/2019460068428?zone=book&lid=book_class3_pga&actid=book_class3_pga,古屋丸,東立      ,9789864624607,https://cdn.kingstone.com.tw/book/images/product/20194/2019460068428/2019460068428b.jpg
3P開始了!!（01）,https://www.kingstone.com.tw//basic/2019479959212?zone=book&lid=book_class3_pga&actid=book_class3_pga,克．亞樹,青文      ,9789865127114,https://cdn.kingstone.com.tw/images/restricted.jpg
ACCA13區監察課 01,https://www.kingstone.com.tw//basic/2019479812159?zone=book&lid=book_class3_pga&actid=book_class3_pga,小野夏芽,東立      ,9789572658338,https://cdn.kingstone.com.tw/book/images/product/20194/2019479812159/2019479812159b.jpg
神之鄉 下,https://www.kingstone.com.tw//basic/2019478232149?zone=book&lid=book_class3_pga&actid=book_class3_pga,左萱,蓋亞文化  ,9789863192237,https://cdn.kingstone.com.tw/book/images/product/20194/2019478232149/2019478232149b.jpg
朝劇！ （首刷附錄版）04,https://www.kingstone.com.tw//basic/2019460048864?zone=book&lid=book_class3_pga&actid=book_class3_pga,浦沢直樹,東立      ,9789572669068,https://cdn.kingstone.com.tw/book/images/product/20194/2019460048864/2019460048864b.jpg
首麻里傳奇（１）,https://www.kingstone.com.tw//basic/2019460017501?zone=book&lid=book_class3_pga&actid=book_class3_pga,手塚治虫,台灣東販  ,9786263046085,https://cdn.kingstone.com.tw/book/images/product/20194/2019460017501/2019460017501b.jpg
BADON天堂菸館 02,https://www.kingstone.com.tw//basic/2019479970798?zone=book&lid=book_class3_pga&actid=book_class3_pga,小野夏芽,東立      ,9789572653142,https://cdn.kingstone.com.tw/book/images/product/20194/2019479970798/2019479970798b.jpg
被消失的香港,https://www.kingstone.com.tw//basic/2019479673941?zone=book&lid=book_class3_pga&actid=book_class3_pga,柳廣成,蓋亞文化  ,9789863194927,https://cdn.kingstone.com.tw/book/images/product/20194/2019479673941/2019479673941b.jpg
狂賭之淵雙（08）限定版,https://www.kingstone.com.tw//basic/2019479487104?zone=book&lid=book_class3_pga&actid=book_class3_pga,齋木桂,青文      ,4718016037113,https://cdn.kingstone.com.tw/book/images/product/20194/2019479487104/2019479487104b.jpg
