書名,書籍網站,作者,出版社,ISBN,圖片網址
奇子 （１）,https://www.kingstone.com.tw//basic/2019460038797?zone=book&lid=book_class3_pgd&actid=book_class3_pgd,手塚治虫,台灣東販  ,9786263046603,https://cdn.kingstone.com.tw/book/images/product/20194/2019460038797/2019460038797b.jpg
奇子 （２）,https://www.kingstone.com.tw//basic/2019460091525?zone=book&lid=book_class3_pgd&actid=book_class3_pgd,手塚治虫,台灣東販  ,9786263048164,https://cdn.kingstone.com.tw/book/images/product/20194/2019460091525/2019460091525b.jpg
墨世曙光：十個太陽回來了（1+2）套書,https://www.kingstone.com.tw//basic/2019460086248?zone=book&lid=book_class3_pgd&actid=book_class3_pgd,劉育樹、方月琴,蓋亞原動力,4715243779779,https://cdn.kingstone.com.tw/book/images/product/20194/2019460086248/2019460086248b.jpg
純真之人（02）,https://www.kingstone.com.tw//basic/2019460074887?zone=book&lid=book_class3_pgd&actid=book_class3_pgd,坂本真一,尖端漫畫  ,9786263084353,https://cdn.kingstone.com.tw/book/images/product/20194/2019460074887/2019460074887b.jpg
純真之人（03）,https://www.kingstone.com.tw//basic/2019460049236?zone=book&lid=book_class3_pgd&actid=book_class3_pgd,坂本真一,尖端漫畫  ,9786263027121,https://cdn.kingstone.com.tw/book/images/product/20194/2019460049236/2019460049236b.jpg
墨世曙光 第二集 十個太陽回來了（完）,https://www.kingstone.com.tw//basic/2019460086118?zone=book&lid=book_class3_pgd&actid=book_class3_pgd,劉育樹、方月琴,蓋亞原動力,9789860675429,https://cdn.kingstone.com.tw/book/images/product/20194/2019460086118/2019460086118b.jpg
三個阿道夫  典藏版（４）,https://www.kingstone.com.tw//basic/2019479286660?zone=book&lid=book_class3_pgd&actid=book_class3_pgd,手塚治虫,台灣東販  ,9789865110420,https://cdn.kingstone.com.tw/book/images/product/20194/2019479286660/2019479286660b.jpg
赫爾曼.比克斯戰記（A4大開本）,https://www.kingstone.com.tw//basic/2019479092117?zone=book&lid=book_class3_pgd&actid=book_class3_pgd,小林源文,蒼璧出版  ,9789869696418,https://cdn.kingstone.com.tw/book/images/product/20194/2019479092117/2019479092117b.jpg
手塚治虫傑作選「戰爭篇」01,https://www.kingstone.com.tw//basic/2019474729919?zone=book&lid=book_class3_pgd&actid=book_class3_pgd,手塚治虫,台灣東販  ,9789861766836,https://cdn.kingstone.com.tw/book/images/product/20194/2019474729919/2019474729919b.jpg
手塚治虫傑作選「戰爭篇」02,https://www.kingstone.com.tw//basic/2019474730038?zone=book&lid=book_class3_pgd&actid=book_class3_pgd,手塚治虫,台灣東販  ,9789861766843,https://cdn.kingstone.com.tw/book/images/product/20194/2019474730038/2019474730038b.jpg
純真之人（01）,https://www.kingstone.com.tw//basic/2019460074757?zone=book&lid=book_class3_pgd&actid=book_class3_pgd,坂本真一,尖端漫畫  ,9786263084346,https://cdn.kingstone.com.tw/book/images/product/20194/2019460074757/2019460074757b.jpg
