書名,書籍網站,作者,出版社,ISBN,圖片網址
Artists in Taiwan－臺灣插畫．漫畫家藝術精選,https://www.kingstone.com.tw//basic/2019479947691?zone=book&lid=book_class3_pia&actid=book_class3_pia,pixiv（監修）,蓋亞文化  ,9789863195375,https://cdn.kingstone.com.tw/book/images/product/20194/2019479947691/2019479947691b.jpg
堀與宮村 回憶紀念插畫集page.100,https://www.kingstone.com.tw//basic/2019479927877?zone=book&lid=book_class3_pia&actid=book_class3_pia,HERO/萩原ダイスケ,青文      ,9789865128012,https://cdn.kingstone.com.tw/book/images/product/20194/2019479927877/2019479927877b.jpg
歡迎來到實力至上主義的教室Art Works,https://www.kingstone.com.tw//basic/2019478921487?zone=book&lid=book_class3_pia&actid=book_class3_pia,トモセシュンサク,台灣角川  ,9789575642532,https://cdn.kingstone.com.tw/images/restricted.jpg
Re：從零開始的異世界生活 大塚真一郎 Art Works Re：BOX（限定版）,https://www.kingstone.com.tw//basic/2019479354406?zone=book&lid=book_class3_pia&actid=book_class3_pia,大塚真一郎,青文      ,4718016036307,https://cdn.kingstone.com.tw/book/images/product/20194/2019479354406/2019479354406b.jpg
義呆利Axis Powers原作導讀 WW2的義呆利 （全）,https://www.kingstone.com.tw//basic/2019478984055?zone=book&lid=book_class3_pia&actid=book_class3_pia,日丸屋秀和,東立      ,9789864708031,https://cdn.kingstone.com.tw/book/images/product/20194/2019478984055/2019478984055b.jpg
『鬼滅之刃』吾峠呼世晴畫集―幾星霜―（全）,https://www.kingstone.com.tw//basic/2019460061634?zone=book&lid=book_class3_pia&actid=book_class3_pia,吾峠呼世晴,東立      ,9789572669013,https://cdn.kingstone.com.tw/book/images/product/20194/2019460061634/2019460061634b.jpg
Anmi 作品集 CRYSTAL CLEAR（中文版）,https://www.kingstone.com.tw//basic/2019479907633?zone=book&lid=book_class3_pia&actid=book_class3_pia,Anmi,更生文化  ,9789869944632,https://cdn.kingstone.com.tw/book/images/product/20194/2019479907633/2019479907633b.jpg
終將成為妳  官方漫畫精選集（２）,https://www.kingstone.com.tw//basic/2019479889892?zone=book&lid=book_class3_pia&actid=book_class3_pia,柊ゆたか、仲谷鳩,台灣角川  ,9789865241681,https://cdn.kingstone.com.tw/book/images/product/20194/2019479889892/2019479889892b.jpg
ももこ畫集  arietta,https://www.kingstone.com.tw//basic/2019479848462?zone=book&lid=book_class3_pia&actid=book_class3_pia,ももこ,台灣角川  ,9789865241384,https://cdn.kingstone.com.tw/book/images/product/20194/2019479848462/2019479848462b.jpg
終將成為妳  官方漫畫精選集（１）,https://www.kingstone.com.tw//basic/2019479495727?zone=book&lid=book_class3_pia&actid=book_class3_pia,仲谷鳰,台灣角川  ,9789577434944,https://cdn.kingstone.com.tw/book/images/product/20194/2019479495727/2019479495727b.jpg
