書名,書籍網站,作者,出版社,ISBN,圖片網址
死侍屠殺漫威宇宙,https://www.kingstone.com.tw//basic/2018730532843?zone=book&lid=book_class3_pja&actid=book_class3_pja,庫倫．邦恩、達利波．塔拉吉克,尖端      ,9786263065659,https://cdn.kingstone.com.tw/book/images/product/20187/2018730532843/2018730532843b.jpg
衝出冰河紀,https://www.kingstone.com.tw//basic/2018740842871?zone=book&lid=book_class3_pja&actid=book_class3_pja,尼古拉．德魁西,大辣      ,9789866634468,https://cdn.kingstone.com.tw/book/images/product/20187/2018740842871/2018740842871b.jpg
緬甸小日子,https://www.kingstone.com.tw//basic/2015740069796?zone=book&lid=book_class3_pja&actid=book_class3_pja,居．得立勒,臉譜文化  ,9789862352854,https://cdn.kingstone.com.tw/book/images/product/20157/2015740069796/2015740069796b.jpg
耶路撒冷小日子,https://www.kingstone.com.tw//basic/2018562188898?zone=book&lid=book_class3_pja&actid=book_class3_pja,居．得立勒,臉譜文化  ,9789862358726,https://cdn.kingstone.com.tw/book/images/product/20185/2018562188898/2018562188898b.jpg
假聲男高音FOLIGATTO,https://www.kingstone.com.tw//basic/2019479642398?zone=book&lid=book_class3_pja&actid=book_class3_pja,尼古拉．德魁西、亞利修．提,大辣      ,9789869855747,https://cdn.kingstone.com.tw/book/images/product/20194/2019479642398/2019479642398b.jpg
與神的契約（限制級）：百年冥誕紀念版,https://www.kingstone.com.tw//basic/2018561890228?zone=book&lid=book_class3_pja&actid=book_class3_pja,威爾．埃斯納,大辣      ,9789869855709,https://cdn.kingstone.com.tw/images/restricted.jpg
薩賓娜之死,https://www.kingstone.com.tw//basic/2015000038883?zone=book&lid=book_class3_pja&actid=book_class3_pja,尼克．德納索,臉譜文化  ,9789862357675,https://cdn.kingstone.com.tw/book/images/product/20150/2015000038883/2015000038883b.jpg
義大利愛經（限制級）,https://www.kingstone.com.tw//basic/2014290289777?zone=book&lid=book_class3_pja&actid=book_class3_pja,米羅．馬那哈,大辣      ,9789866634918,https://cdn.kingstone.com.tw/images/restricted.jpg
喵！我是貓大叔,https://www.kingstone.com.tw//basic/2018561416800?zone=book&lid=book_class3_pja&actid=book_class3_pja,菲利浦．格律克,沐風      ,9789869595278,https://cdn.kingstone.com.tw/book/images/product/20185/2018561416800/2018561416800b.jpg
再見巴黎Revoir Paris,https://www.kingstone.com.tw//basic/2029478877356?zone=book&lid=book_class3_pja&actid=book_class3_pja,馮索瓦．史奇頓,大辣      ,9789866634833,https://cdn.kingstone.com.tw/book/images/product/20294/2029478877356/2029478877356b.jpg
羅浮7夢,https://www.kingstone.com.tw//basic/2019477971094?zone=book&lid=book_class3_pja&actid=book_class3_pja,常勝、61Chi、小莊、簡嘉誠,大辣      ,9789866634543,https://cdn.kingstone.com.tw/book/images/product/20194/2019477971094/2019477971094b.jpg
斜眼小狗,https://www.kingstone.com.tw//basic/2019477911052?zone=book&lid=book_class3_pja&actid=book_class3_pja,艾堤安．達文多,大辣      ,9789866634536,https://cdn.kingstone.com.tw/book/images/product/20194/2019477911052/2019477911052b.jpg
羅浮宮守護者,https://www.kingstone.com.tw//basic/2019477728261?zone=book&lid=book_class3_pja&actid=book_class3_pja,谷口治郎,大辣      ,9789866634499,https://cdn.kingstone.com.tw/book/images/product/20194/2019477728261/2019477728261b.jpg
陰屍路8—備受煎熬,https://www.kingstone.com.tw//basic/2019477534138?zone=book&lid=book_class3_pja&actid=book_class3_pja,羅伯特．柯克曼,稻田      ,9789865949204,https://cdn.kingstone.com.tw/book/images/product/20194/2019477534138/2019477534138b.jpg
陰屍路7—風暴前夕,https://www.kingstone.com.tw//basic/2019477241616?zone=book&lid=book_class3_pja&actid=book_class3_pja,羅伯特．柯克曼,稻田      ,9789865949198,https://cdn.kingstone.com.tw/book/images/product/20194/2019477241616/2019477241616b.jpg
陰屍路6：殘破人生,https://www.kingstone.com.tw//basic/2019477047546?zone=book&lid=book_class3_pja&actid=book_class3_pja,查理．艾德勒(漫畫),稻田      ,9789865949181,https://cdn.kingstone.com.tw/book/images/product/20194/2019477047546/2019477047546b.jpg
陰屍路5：全面武裝,https://www.kingstone.com.tw//basic/2019476841084?zone=book&lid=book_class3_pja&actid=book_class3_pja,查理．艾德勒(漫畫),稻田      ,9789865949143,https://cdn.kingstone.com.tw/book/images/product/20194/2019476841084/2019476841084b.jpg
陰屍路3—身陷囹圄,https://www.kingstone.com.tw//basic/2019476597288?zone=book&lid=book_class3_pja&actid=book_class3_pja,查理．艾德勒(漫畫),稻田      ,9789865949051,https://cdn.kingstone.com.tw/book/images/product/20194/2019476597288/2019476597288b.jpg
