書名,書籍網站,作者,出版社,ISBN,圖片網址
燄凰 ~ 凝秦遺夢 ~17,https://www.kingstone.com.tw//basic/2019479920663?zone=book&lid=book_class3_pka&actid=book_class3_pka,吳柔萱,長鴻      ,9789865046880,https://cdn.kingstone.com.tw/book/images/product/20194/2019479920663/2019479920663b.jpg
花開千年（10）完,https://www.kingstone.com.tw//basic/2019479925903?zone=book&lid=book_class3_pka&actid=book_class3_pka,林青慧,尖端漫畫  ,9789571093345,https://cdn.kingstone.com.tw/book/images/product/20194/2019479925903/2019479925903b.jpg
花開千年（09）,https://www.kingstone.com.tw//basic/2019479712138?zone=book&lid=book_class3_pka&actid=book_class3_pka,林青慧,尖端漫畫  ,9789571090221,https://cdn.kingstone.com.tw/book/images/product/20194/2019479712138/2019479712138b.jpg
樂園的寶藏（08）,https://www.kingstone.com.tw//basic/2019479712008?zone=book&lid=book_class3_pka&actid=book_class3_pka,林亭葳,尖端漫畫  ,9789571090191,https://cdn.kingstone.com.tw/book/images/product/20194/2019479712008/2019479712008b.jpg
花開千年（08）,https://www.kingstone.com.tw//basic/2019479522263?zone=book&lid=book_class3_pka&actid=book_class3_pka,林青慧,尖端漫畫  ,9789571063690,https://cdn.kingstone.com.tw/book/images/product/20194/2019479522263/2019479522263b.jpg
花開千年（07）,https://www.kingstone.com.tw//basic/2019479274759?zone=book&lid=book_class3_pka&actid=book_class3_pka,林青慧,尖端漫畫  ,9789571086057,https://cdn.kingstone.com.tw/book/images/product/20194/2019479274759/2019479274759b.jpg
花開千年（06）,https://www.kingstone.com.tw//basic/2019479159124?zone=book&lid=book_class3_pka&actid=book_class3_pka,林青慧,尖端漫畫  ,9789571084671,https://cdn.kingstone.com.tw/book/images/product/20194/2019479159124/2019479159124b.jpg
花開千年（05）,https://www.kingstone.com.tw//basic/2019479038917?zone=book&lid=book_class3_pka&actid=book_class3_pka,林青慧,尖端漫畫  ,9789571083520,https://cdn.kingstone.com.tw/book/images/product/20194/2019479038917/2019479038917b.jpg
潘朵拉的禁忌之吻（05）完,https://www.kingstone.com.tw//basic/2019479924241?zone=book&lid=book_class3_pka&actid=book_class3_pka,陳漢玲,尖端漫畫  ,9789571093338,https://cdn.kingstone.com.tw/book/images/product/20194/2019479924241/2019479924241b.jpg
說故事遊戲,https://www.kingstone.com.tw//basic/2019479869238?zone=book&lid=book_class3_pka&actid=book_class3_pka,曾耀慶,蓋亞文化  ,9789863195207,https://cdn.kingstone.com.tw/book/images/product/20194/2019479869238/2019479869238b.jpg
燄凰 ~ 凝秦遺夢 ~16,https://www.kingstone.com.tw//basic/2019479505815?zone=book&lid=book_class3_pka&actid=book_class3_pka,吳柔萱,長鴻      ,9789865043711,https://cdn.kingstone.com.tw/book/images/product/20194/2019479505815/2019479505815b.jpg
特務同盟 （首刷附錄版） 03,https://www.kingstone.com.tw//basic/2019478883952?zone=book&lid=book_class3_pka&actid=book_class3_pka,飄緹亞,東立      ,4710945555249,https://cdn.kingstone.com.tw/book/images/product/20194/2019478883952/2019478883952b.jpg
馥桂吉祥（首刷附錄版）08 完,https://www.kingstone.com.tw//basic/2019478870129?zone=book&lid=book_class3_pka&actid=book_class3_pka,依歡,東立      ,4710945555201,https://cdn.kingstone.com.tw/book/images/product/20194/2019478870129/2019478870129b.jpg
花開千年（04）,https://www.kingstone.com.tw//basic/2019478803226?zone=book&lid=book_class3_pka&actid=book_class3_pka,林青慧,尖端漫畫  ,9789571079493,https://cdn.kingstone.com.tw/book/images/product/20194/2019478803226/2019478803226b.jpg
花開千年（03）,https://www.kingstone.com.tw//basic/2019478519622?zone=book&lid=book_class3_pka&actid=book_class3_pka,林青慧,尖端漫畫  ,9789571074177,https://cdn.kingstone.com.tw/book/images/product/20194/2019478519622/2019478519622b.jpg
