書名,書籍網站,作者,出版社,ISBN,圖片網址
地獄遊行 第一集,https://www.kingstone.com.tw//basic/2019479883630?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,布克,蓋亞原動力,9789869957922,https://cdn.kingstone.com.tw/book/images/product/20194/2019479883630/2019479883630b.jpg
盜墓筆記(原著小說漫畫版)3,https://www.kingstone.com.tw//basic/2019476217179?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,南派三叔(原著),普天      ,9789862195550,https://cdn.kingstone.com.tw/book/images/product/20194/2019476217179/2019476217179b.jpg
地獄遊行 第二集,https://www.kingstone.com.tw//basic/2019460107165?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,布克,蓋亞原動力,9789860645989,https://cdn.kingstone.com.tw/book/images/product/20194/2019460107165/2019460107165b.jpg
不可知論偵探1：捨身羅漢篇（隨書附「海鱗子祕話別冊」，內含編輯部&作者群專訪、「海鱗子的一日」揭密、特典短篇小說〈神明的箱子〉等豐富內容）,https://www.kingstone.com.tw//basic/2019479913962?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,薛西斯,獨步      ,9789579447980,https://cdn.kingstone.com.tw/book/images/product/20194/2019479913962/2019479913962b.jpg
零度領域 14（完）,https://www.kingstone.com.tw//basic/2019479823278?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,D2,東立      ,9789572659656,https://cdn.kingstone.com.tw/book/images/product/20194/2019479823278/2019479823278b.jpg
狩SOUL Vol.1,https://www.kingstone.com.tw//basic/2019479517436?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,蚩尤,蓋亞文化  ,9789863194675,https://cdn.kingstone.com.tw/book/images/product/20194/2019479517436/2019479517436b.jpg
阿鼻劍：三○週年紀念合訂本,https://www.kingstone.com.tw//basic/2019479430315?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,馬利編劇,大辣      ,9789866634963,https://cdn.kingstone.com.tw/book/images/product/20194/2019479430315/2019479430315b.jpg
零度領域 13,https://www.kingstone.com.tw//basic/2019479248156?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,D2,東立      ,9789572632574,https://cdn.kingstone.com.tw/book/images/product/20194/2019479248156/2019479248156b.jpg
零度領域 12,https://www.kingstone.com.tw//basic/2019479147213?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,D2,東立      ,9789572624739,https://cdn.kingstone.com.tw/book/images/product/20194/2019479147213/2019479147213b.jpg
馥桂吉祥（首刷附錄版）07,https://www.kingstone.com.tw//basic/2019478677131?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,依歡,東立      ,4710945553238,https://cdn.kingstone.com.tw/book/images/product/20194/2019478677131/2019478677131b.jpg
配角X3 01,https://www.kingstone.com.tw//basic/2019477828732?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,宇文風,東立      ,9789864313518,https://cdn.kingstone.com.tw/book/images/product/20194/2019477828732/2019477828732b.jpg
邢大與狐仙 （上、下）,https://www.kingstone.com.tw//basic/2019477500409?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,艾姆兔,蓋亞文化  ,4715243773296,https://cdn.kingstone.com.tw/book/images/product/20194/2019477500409/2019477500409b.jpg
柯普雷的翅膀（全）,https://www.kingstone.com.tw//basic/2018551363640?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,AKRU,蓋亞文化  ,9789866815935,https://cdn.kingstone.com.tw/book/images/product/20185/2018551363640/2018551363640b.jpg
死神少女 02完,https://www.kingstone.com.tw//basic/2019476301861?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,周美玲.樓一安,東立      ,9789861093192,https://cdn.kingstone.com.tw/book/images/product/20194/2019476301861/2019476301861b.jpg
死神少女01,https://www.kingstone.com.tw//basic/2019475945585?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,周美玲,東立      ,9789861076997,https://cdn.kingstone.com.tw/book/images/product/20194/2019475945585/2019475945585b.jpg
魔王經紀人 第二部 （１）,https://www.kingstone.com.tw//basic/2019479990772?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,黑夏,台灣角川  ,9789865243913,https://cdn.kingstone.com.tw/book/images/product/20194/2019479990772/2019479990772b.jpg
魔王經紀人 第二部 （２）,https://www.kingstone.com.tw//basic/2019479990802?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,黑夏,台灣角川  ,9789865243920,https://cdn.kingstone.com.tw/book/images/product/20194/2019479990802/2019479990802b.jpg
棄形記 1,https://www.kingstone.com.tw//basic/2019479907923?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,薪鹽、袁建滔,蓋亞原動力,9789869957960,https://cdn.kingstone.com.tw/book/images/product/20194/2019479907923/2019479907923b.jpg
陰間條例冥戰篇,https://www.kingstone.com.tw//basic/2019479853329?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,Salah-D,黑白文化  ,9789869935722,https://cdn.kingstone.com.tw/book/images/product/20194/2019479853329/2019479853329b.jpg
秘密耳語1,https://www.kingstone.com.tw//basic/2019479846628?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,王登鈺（原作）,大塊      ,9789865549282,https://cdn.kingstone.com.tw/book/images/product/20194/2019479846628/2019479846628b.jpg
狩SOUL Vol.2,https://www.kingstone.com.tw//basic/2019479816157?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,蚩尤,蓋亞文化  ,9789863194996,https://cdn.kingstone.com.tw/book/images/product/20194/2019479816157/2019479816157b.jpg
配角X3 10,https://www.kingstone.com.tw//basic/2019479763215?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,宇文風,東立      ,9789572656891,https://cdn.kingstone.com.tw/book/images/product/20194/2019479763215/2019479763215b.jpg
配角X3 （09）,https://www.kingstone.com.tw//basic/2019479462750?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,宇文風,東立      ,9789572644713,https://cdn.kingstone.com.tw/book/images/product/20194/2019479462750/2019479462750b.jpg
配角X3 －08,https://www.kingstone.com.tw//basic/2019479171102?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,宇文風,東立      ,9789572626955,https://cdn.kingstone.com.tw/book/images/product/20194/2019479171102/2019479171102b.jpg
福禍少年 09（完）,https://www.kingstone.com.tw//basic/2019479135432?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,岳印,東立      ,9789572623831,https://cdn.kingstone.com.tw/book/images/product/20194/2019479135432/2019479135432b.jpg
零度領域  11,https://www.kingstone.com.tw//basic/2019479107675?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,D2,東立      ,9789572621486,https://cdn.kingstone.com.tw/book/images/product/20194/2019479107675/2019479107675b.jpg
零度領域 10,https://www.kingstone.com.tw//basic/2019478977484?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,D2,東立      ,9789572616048,https://cdn.kingstone.com.tw/book/images/product/20194/2019478977484/2019478977484b.jpg
冥戰錄~天妃現世~上下卷合集版,https://www.kingstone.com.tw//basic/2019479004028?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,韋宗成,未來數位  ,4712568602300,https://cdn.kingstone.com.tw/book/images/product/20194/2019479004028/2019479004028b.jpg
福禍少年 08,https://www.kingstone.com.tw//basic/2019478958612?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,岳印,東立      ,9789572612545,https://cdn.kingstone.com.tw/book/images/product/20194/2019478958612/2019478958612b.jpg
零度領域09,https://www.kingstone.com.tw//basic/2019478883822?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,D2,東立      ,9789572611623,https://cdn.kingstone.com.tw/book/images/product/20194/2019478883822/2019478883822b.jpg
配角X3 （首刷附錄版）07,https://www.kingstone.com.tw//basic/2019478878415?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,宇文風,東立      ,4710945555713,https://cdn.kingstone.com.tw/book/images/product/20194/2019478878415/2019478878415b.jpg
盜墓筆記漫畫：套書＜1－4集＞（完結）,https://www.kingstone.com.tw//basic/2018560786744?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,南派三叔,普天      ,4712847181328,https://cdn.kingstone.com.tw/book/images/product/20185/2018560786744/2018560786744b.jpg
魔王經紀人（３）,https://www.kingstone.com.tw//basic/2019478687208?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,黑夏,台灣角川  ,9789864739554,https://cdn.kingstone.com.tw/book/images/product/20194/2019478687208/2019478687208b.jpg
福禍少年 （首刷附錄版）07,https://www.kingstone.com.tw//basic/2019478677001?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,岳印,東立      ,4710945553221,https://cdn.kingstone.com.tw/book/images/product/20194/2019478677001/2019478677001b.jpg
配角X3 （首刷附錄版）06,https://www.kingstone.com.tw//basic/2019478671849?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,宇文風,東立      ,4710945553184,https://cdn.kingstone.com.tw/book/images/product/20194/2019478671849/2019478671849b.jpg
時間支配者 （首刷附錄版）03,https://www.kingstone.com.tw//basic/2019478646908?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,彭傑,東立      ,4710945553191,https://cdn.kingstone.com.tw/book/images/product/20194/2019478646908/2019478646908b.jpg
時間支配者 （首刷附錄版）02,https://www.kingstone.com.tw//basic/2019478615065?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,彭傑,東立      ,4710945552361,https://cdn.kingstone.com.tw/book/images/product/20194/2019478615065/2019478615065b.jpg
零度領域（首刷附錄版）08,https://www.kingstone.com.tw//basic/2019478580233?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,貓邏,東立      ,4710945552217,https://cdn.kingstone.com.tw/book/images/product/20194/2019478580233/2019478580233b.jpg
時間支配者 （首刷附錄版）01,https://www.kingstone.com.tw//basic/2019478580363?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,彭傑,東立      ,4710945552354,https://cdn.kingstone.com.tw/book/images/product/20194/2019478580363/2019478580363b.jpg
福禍少年 （首刷附錄版）06,https://www.kingstone.com.tw//basic/2019478540985?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,岳印,東立      ,4710945551746,https://cdn.kingstone.com.tw/book/images/product/20194/2019478540985/2019478540985b.jpg
芒神（５）完,https://www.kingstone.com.tw//basic/2019478456323?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,奕辰,台灣角川  ,9789864735693,https://cdn.kingstone.com.tw/book/images/product/20194/2019478456323/2019478456323b.jpg
配角X3 （首刷附錄版）05,https://www.kingstone.com.tw//basic/2019478483428?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,宇文風,東立      ,4710945551418,https://cdn.kingstone.com.tw/book/images/product/20194/2019478483428/2019478483428b.jpg
武道狂之詩15,https://www.kingstone.com.tw//basic/2019478393734?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,喬靖夫,東立      ,9789864825653,https://cdn.kingstone.com.tw/book/images/product/20194/2019478393734/2019478393734b.jpg
魔王經紀人（１）,https://www.kingstone.com.tw//basic/2018579925592?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,黑夏,台灣角川  ,9789864733460,https://cdn.kingstone.com.tw/book/images/product/20185/2018579925592/2018579925592b.jpg
配角X3 （首刷附錄版）04,https://www.kingstone.com.tw//basic/2019478301937?zone=book&lid=book_class3_pkb&actid=book_class3_pkb,宇文風,東立      ,4710945549606,https://cdn.kingstone.com.tw/book/images/product/20194/2019478301937/2019478301937b.jpg
