書名,書籍網站,作者,出版社,ISBN,圖片網址
火鳳燎原 70,https://www.kingstone.com.tw//basic/2019460016689?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,陳某,東立      ,9789572669891,https://cdn.kingstone.com.tw/book/images/product/20194/2019460016689/2019460016689b.jpg
火鳳燎原 珍藏版（首刷附錄版） 22,https://www.kingstone.com.tw//basic/2019460076461?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,陳某,東立      ,9789572673133,https://cdn.kingstone.com.tw/book/images/product/20194/2019460076461/2019460076461b.jpg
採集人的野帳 1,https://www.kingstone.com.tw//basic/2019479898207?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,英張,蓋亞文化  ,9789869957939,https://cdn.kingstone.com.tw/book/images/product/20194/2019479898207/2019479898207b.jpg
火鳳燎原 68,https://www.kingstone.com.tw//basic/2019479727675?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,陳某,東立      ,9789572656143,https://cdn.kingstone.com.tw/book/images/product/20194/2019479727675/2019479727675b.jpg
火鳳燎原珍藏版 21,https://www.kingstone.com.tw//basic/2019479988991?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,陳某,東立      ,9789572655238,https://cdn.kingstone.com.tw/book/images/product/20194/2019479988991/2019479988991b.jpg
臺灣名人傳記漫畫：湯德章【臺文版】,https://www.kingstone.com.tw//basic/2019479933366?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,蠢羊,時報文化  ,9789571385310,https://cdn.kingstone.com.tw/book/images/product/20194/2019479933366/2019479933366b.jpg
閻鐵花1,https://www.kingstone.com.tw//basic/2019479842910?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,常勝Chang Sheng,大辣      ,9789869949606,https://cdn.kingstone.com.tw/book/images/product/20194/2019479842910/2019479842910b.jpg
異人茶跡4－茶迷大稻埕,https://www.kingstone.com.tw//basic/2019479673811?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,張季雅,蓋亞文化  ,9789863194880,https://cdn.kingstone.com.tw/book/images/product/20194/2019479673811/2019479673811b.jpg
守娘 上,https://www.kingstone.com.tw//basic/2019479395836?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,小峱峱,蓋亞文化  ,9789863194460,https://cdn.kingstone.com.tw/book/images/product/20194/2019479395836/2019479395836b.jpg
火鳳燎原珍藏版04,https://www.kingstone.com.tw//basic/2019476792560?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,陳某,東立      ,9789863248576,https://cdn.kingstone.com.tw/book/images/product/20194/2019476792560/2019476792560b.jpg
火鳳燎原珍藏版03,https://www.kingstone.com.tw//basic/2019476713886?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,陳某,東立      ,9789863244134,https://cdn.kingstone.com.tw/book/images/product/20194/2019476713886/2019476713886b.jpg
東周英雄傳1－3套書（不拆售）,https://www.kingstone.com.tw//basic/2019476583373?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,鄭問,大辣      ,9991010901016,https://cdn.kingstone.com.tw/book/images/product/20194/2019476583373/2019476583373b.jpg
史記（漫畫版）15（完）,https://www.kingstone.com.tw//basic/2019474026056?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,司馬遷(原著),東立      ,9789573470076,https://cdn.kingstone.com.tw/book/images/product/20194/2019474026056/2019474026056b.jpg
畫電影的人：手繪海報的美好時光,https://www.kingstone.com.tw//basic/2019479900009?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,簡嘉誠,蓋亞文化  ,9789863195177,https://cdn.kingstone.com.tw/book/images/product/20194/2019479900009/2019479900009b.jpg
友繪的小梅屋記事簿 第一集,https://www.kingstone.com.tw//basic/2019479517566?zone=book&lid=book_class3_pkc&actid=book_class3_pkc,清水編繪,蓋亞文化  ,9789863194699,https://cdn.kingstone.com.tw/book/images/product/20194/2019479517566/2019479517566b.jpg
