書名,書籍網站,作者,出版社,ISBN,圖片網址
PAVONE孔雀的配色事件簿 （首刷附錄版） 05（完）,https://www.kingstone.com.tw//basic/2019479819233?zone=book&lid=book_class3_pkd&actid=book_class3_pkd,賴安,東立      ,4710601043264,https://cdn.kingstone.com.tw/book/images/product/20194/2019479819233/2019479819233b.jpg
再見信天翁,https://www.kingstone.com.tw//basic/2019479377016?zone=book&lid=book_class3_pkd&actid=book_class3_pkd,LONLON,蓋亞原動力,9789869718660,https://cdn.kingstone.com.tw/book/images/product/20194/2019479377016/2019479377016b.jpg
老夫子 狐狸仙外傳－復刻經典版（套書）,https://www.kingstone.com.tw//basic/2019478056929?zone=book&lid=book_class3_pkd&actid=book_class3_pkd,王澤,蓋亞原動力,4715243775306,https://cdn.kingstone.com.tw/book/images/product/20194/2019478056929/2019478056929b.jpg
老夫子 水虎傳－復刻經典版（上）,https://www.kingstone.com.tw//basic/2019477212777?zone=book&lid=book_class3_pkd&actid=book_class3_pkd,王澤,蓋亞原動力,9789866081316,https://cdn.kingstone.com.tw/book/images/product/20194/2019477212777/2019477212777b.jpg
老夫子 水虎傳－復刻經典版（中）,https://www.kingstone.com.tw//basic/2019477212807?zone=book&lid=book_class3_pkd&actid=book_class3_pkd,王澤,蓋亞原動力,9789866081323,https://cdn.kingstone.com.tw/book/images/product/20194/2019477212807/2019477212807b.jpg
老夫子 水虎傳－復刻經典版（下）,https://www.kingstone.com.tw//basic/2019477212937?zone=book&lid=book_class3_pkd&actid=book_class3_pkd,王澤,蓋亞原動力,9789866081330,https://cdn.kingstone.com.tw/book/images/product/20194/2019477212937/2019477212937b.jpg
天才阿諾06,https://www.kingstone.com.tw//basic/2019475628464?zone=book&lid=book_class3_pkd&actid=book_class3_pkd,發哥,紅狐文化  ,9789867788313,https://cdn.kingstone.com.tw/book/images/product/20194/2019475628464/2019475628464b.jpg
天才阿諾05,https://www.kingstone.com.tw//basic/2019475591348?zone=book&lid=book_class3_pkd&actid=book_class3_pkd,發哥,紅狐文化  ,9789867788283,https://cdn.kingstone.com.tw/book/images/product/20194/2019475591348/2019475591348b.jpg
天才阿諾04,https://www.kingstone.com.tw//basic/2014370121836?zone=book&lid=book_class3_pkd&actid=book_class3_pkd,發哥,紅狐文化  ,9789867788191,https://cdn.kingstone.com.tw/book/images/product/20143/2014370121836/2014370121836b.jpg
天才阿諾03,https://www.kingstone.com.tw//basic/2019475509381?zone=book&lid=book_class3_pkd&actid=book_class3_pkd,發哥,紅狐文化  ,9789867788153,https://cdn.kingstone.com.tw/book/images/product/20194/2019475509381/2019475509381b.jpg
天才阿諾02,https://www.kingstone.com.tw//basic/2014370121256?zone=book&lid=book_class3_pkd&actid=book_class3_pkd,發哥,紅狐文化  ,9789867788108,https://cdn.kingstone.com.tw/book/images/product/20143/2014370121256/2014370121256b.jpg
