書名,書籍網站,作者,出版社,ISBN,圖片網址
瑪麗外宿中06,https://www.kingstone.com.tw//basic/2019476641202?zone=book&lid=book_class3_pla&actid=book_class3_pla,元秀蓮,東立      ,9789861088785,https://cdn.kingstone.com.tw/book/images/product/20194/2019476641202/2019476641202b.jpg
瑪麗外宿中05,https://www.kingstone.com.tw//basic/2019476583663?zone=book&lid=book_class3_pla&actid=book_class3_pla,元秀蓮,東立      ,9789861088778,https://cdn.kingstone.com.tw/book/images/product/20194/2019476583663/2019476583663b.jpg
瑪麗外宿中04,https://www.kingstone.com.tw//basic/2019476034615?zone=book&lid=book_class3_pla&actid=book_class3_pla,元秀蓮,東立      ,9789861073194,https://cdn.kingstone.com.tw/book/images/product/20194/2019476034615/2019476034615b.jpg
瑪麗外宿中03,https://www.kingstone.com.tw//basic/2019476002430?zone=book&lid=book_class3_pla&actid=book_class3_pla,元秀蓮,東立      ,9789861073187,https://cdn.kingstone.com.tw/book/images/product/20194/2019476002430/2019476002430b.jpg
瑪麗外宿中01,https://www.kingstone.com.tw//basic/2019475938464?zone=book&lid=book_class3_pla&actid=book_class3_pla,元秀蓮,東立      ,9789861073163,https://cdn.kingstone.com.tw/book/images/product/20194/2019475938464/2019475938464b.jpg
瑪麗外宿中02,https://www.kingstone.com.tw//basic/2019475962803?zone=book&lid=book_class3_pla&actid=book_class3_pla,元秀蓮,東立      ,9789861073170,https://cdn.kingstone.com.tw/book/images/product/20194/2019475962803/2019475962803b.jpg
河神的新娘22,https://www.kingstone.com.tw//basic/2019478473221?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789863829171,https://cdn.kingstone.com.tw/book/images/product/20194/2019478473221/2019478473221b.jpg
河神的新娘21,https://www.kingstone.com.tw//basic/2019478442678?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789863829164,https://cdn.kingstone.com.tw/book/images/product/20194/2019478442678/2019478442678b.jpg
河神的新娘20,https://www.kingstone.com.tw//basic/2019478336588?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789863829157,https://cdn.kingstone.com.tw/book/images/product/20194/2019478336588/2019478336588b.jpg
河神的新娘19,https://www.kingstone.com.tw//basic/2019477985589?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789863829140,https://cdn.kingstone.com.tw/book/images/product/20194/2019477985589/2019477985589b.jpg
勇往直前灰姑娘（03）,https://www.kingstone.com.tw//basic/2019477943077?zone=book&lid=book_class3_pla&actid=book_class3_pla,林珉萱,尖端漫畫  ,9789571061412,https://cdn.kingstone.com.tw/book/images/product/20194/2019477943077/2019477943077b.jpg
勇往直前灰姑娘（02）,https://www.kingstone.com.tw//basic/2019477708157?zone=book&lid=book_class3_pla&actid=book_class3_pla,林珉萱,尖端漫畫  ,9789571059297,https://cdn.kingstone.com.tw/book/images/product/20194/2019477708157/2019477708157b.jpg
勇往直前灰姑娘（01）,https://www.kingstone.com.tw//basic/2019477503745?zone=book&lid=book_class3_pla&actid=book_class3_pla,林珉萱,尖端漫畫  ,9789571057033,https://cdn.kingstone.com.tw/book/images/product/20194/2019477503745/2019477503745b.jpg
河神的新娘18,https://www.kingstone.com.tw//basic/2019477326993?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789863240860,https://cdn.kingstone.com.tw/book/images/product/20194/2019477326993/2019477326993b.jpg
河神的新娘17,https://www.kingstone.com.tw//basic/2019477263694?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789863240853,https://cdn.kingstone.com.tw/book/images/product/20194/2019477263694/2019477263694b.jpg
無概念少女09,https://www.kingstone.com.tw//basic/2019477175294?zone=book&lid=book_class3_pla&actid=book_class3_pla,李潤喜,東立      ,9789863241867,https://cdn.kingstone.com.tw/book/images/product/20194/2019477175294/2019477175294b.jpg
無概念少女08,https://www.kingstone.com.tw//basic/2019477107059?zone=book&lid=book_class3_pla&actid=book_class3_pla,李潤喜(原作),東立      ,9789863241850,https://cdn.kingstone.com.tw/book/images/product/20194/2019477107059/2019477107059b.jpg
河神的新娘16,https://www.kingstone.com.tw//basic/2019477065366?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789863240846,https://cdn.kingstone.com.tw/book/images/product/20194/2019477065366/2019477065366b.jpg
新東遊記13,https://www.kingstone.com.tw//basic/2019477065496?zone=book&lid=book_class3_pla&actid=book_class3_pla,鄭惠那,東立      ,9789863241836,https://cdn.kingstone.com.tw/book/images/product/20194/2019477065496/2019477065496b.jpg
無概念少女07,https://www.kingstone.com.tw//basic/2019477033761?zone=book&lid=book_class3_pla&actid=book_class3_pla,李潤喜(原作),東立      ,9789863241843,https://cdn.kingstone.com.tw/book/images/product/20194/2019477033761/2019477033761b.jpg
阿宅之戀03,https://www.kingstone.com.tw//basic/2019477028194?zone=book&lid=book_class3_pla&actid=book_class3_pla,韓忪,東立      ,9789863241966,https://cdn.kingstone.com.tw/book/images/product/20194/2019477028194/2019477028194b.jpg
河神的新娘15,https://www.kingstone.com.tw//basic/2019477052663?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789863240839,https://cdn.kingstone.com.tw/book/images/product/20194/2019477052663/2019477052663b.jpg
我的野蠻王妃 28（完） 外傳 不為人知的秘密,https://www.kingstone.com.tw//basic/2019476915532?zone=book&lid=book_class3_pla&actid=book_class3_pla,朴素熙,東立      ,9789863240822,https://cdn.kingstone.com.tw/book/images/product/20194/2019476915532/2019476915532b.jpg
我的野蠻王妃27,https://www.kingstone.com.tw//basic/2019476873559?zone=book&lid=book_class3_pla&actid=book_class3_pla,朴素熙,東立      ,9789863240815,https://cdn.kingstone.com.tw/book/images/product/20194/2019476873559/2019476873559b.jpg
我的野蠻王妃  26,https://www.kingstone.com.tw//basic/2019476856651?zone=book&lid=book_class3_pla&actid=book_class3_pla,朴素熙,東立      ,9789863240808,https://cdn.kingstone.com.tw/book/images/product/20194/2019476856651/2019476856651b.jpg
謎樣少年Mystery（全）,https://www.kingstone.com.tw//basic/2019476773538?zone=book&lid=book_class3_pla&actid=book_class3_pla,黃佳莉,東立      ,9789863243175,https://cdn.kingstone.com.tw/book/images/product/20194/2019476773538/2019476773538b.jpg
本體不明的新娘05完,https://www.kingstone.com.tw//basic/2019476531114?zone=book&lid=book_class3_pla&actid=book_class3_pla,許貴和,東立      ,9789861076188,https://cdn.kingstone.com.tw/book/images/product/20194/2019476531114/2019476531114b.jpg
本體不明的新娘04,https://www.kingstone.com.tw//basic/2019476497977?zone=book&lid=book_class3_pla&actid=book_class3_pla,許貴和,東立      ,9789861076171,https://cdn.kingstone.com.tw/book/images/product/20194/2019476497977/2019476497977b.jpg
本體不明的新娘03,https://www.kingstone.com.tw//basic/2019476497847?zone=book&lid=book_class3_pla&actid=book_class3_pla,許貴和,東立      ,9789861076164,https://cdn.kingstone.com.tw/book/images/product/20194/2019476497847/2019476497847b.jpg
新東遊記12,https://www.kingstone.com.tw//basic/2019476401332?zone=book&lid=book_class3_pla&actid=book_class3_pla,鄭惠那,東立      ,9789861084244,https://cdn.kingstone.com.tw/book/images/product/20194/2019476401332/2019476401332b.jpg
女友狂想曲 07,https://www.kingstone.com.tw//basic/2019476373714?zone=book&lid=book_class3_pla&actid=book_class3_pla,柳炳民,東立      ,9789861084442,https://cdn.kingstone.com.tw/book/images/product/20194/2019476373714/2019476373714b.jpg
無概念少女 06,https://www.kingstone.com.tw//basic/2019476334838?zone=book&lid=book_class3_pla&actid=book_class3_pla,KARA(漫畫),東立      ,9789861083001,https://cdn.kingstone.com.tw/book/images/product/20194/2019476334838/2019476334838b.jpg
多金轉校生04（完）,https://www.kingstone.com.tw//basic/2019476361063?zone=book&lid=book_class3_pla&actid=book_class3_pla,朴璟蘭(漫畫),東立      ,9789861084428,https://cdn.kingstone.com.tw/book/images/product/20194/2019476361063/2019476361063b.jpg
新東遊記 11,https://www.kingstone.com.tw//basic/2019476336542?zone=book&lid=book_class3_pla&actid=book_class3_pla,鄭惠那,東立      ,9789861084237,https://cdn.kingstone.com.tw/book/images/product/20194/2019476336542/2019476336542b.jpg
豪宅女僕 04完,https://www.kingstone.com.tw//basic/2019476334418?zone=book&lid=book_class3_pla&actid=book_class3_pla,李尚恩,東立      ,9789861083711,https://cdn.kingstone.com.tw/book/images/product/20194/2019476334418/2019476334418b.jpg
浪漫工房‧蘭製里 07完,https://www.kingstone.com.tw//basic/2019476336412?zone=book&lid=book_class3_pla&actid=book_class3_pla,徐胤泳,東立      ,9789861084268,https://cdn.kingstone.com.tw/book/images/product/20194/2019476336412/2019476336412b.jpg
戀愛華爾滋 09完,https://www.kingstone.com.tw//basic/2019476294019?zone=book&lid=book_class3_pla&actid=book_class3_pla,伊智,東立      ,9789861084312,https://cdn.kingstone.com.tw/book/images/product/20194/2019476294019/2019476294019b.jpg
人魚戀人 08,https://www.kingstone.com.tw//basic/2019476326635?zone=book&lid=book_class3_pla&actid=book_class3_pla,金永熙,東立      ,9789861083025,https://cdn.kingstone.com.tw/book/images/product/20194/2019476326635/2019476326635b.jpg
豪宅女僕 03,https://www.kingstone.com.tw//basic/2019476333046?zone=book&lid=book_class3_pla&actid=book_class3_pla,李尚恩,東立      ,9789861083704,https://cdn.kingstone.com.tw/book/images/product/20194/2019476333046/2019476333046b.jpg
無概念少女 05,https://www.kingstone.com.tw//basic/2019476323009?zone=book&lid=book_class3_pla&actid=book_class3_pla,李潤喜,東立      ,9789861082998,https://cdn.kingstone.com.tw/book/images/product/20194/2019476323009/2019476323009b.jpg
河神的新娘14,https://www.kingstone.com.tw//basic/2019476287448?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789861082561,https://cdn.kingstone.com.tw/book/images/product/20194/2019476287448/2019476287448b.jpg
新東遊記 10,https://www.kingstone.com.tw//basic/2019476270877?zone=book&lid=book_class3_pla&actid=book_class3_pla,鄭惠那,東立      ,9789861084220,https://cdn.kingstone.com.tw/book/images/product/20194/2019476270877/2019476270877b.jpg
人魚戀人 07,https://www.kingstone.com.tw//basic/2019476234367?zone=book&lid=book_class3_pla&actid=book_class3_pla,金永熙,東立      ,9789861083018,https://cdn.kingstone.com.tw/book/images/product/20194/2019476234367/2019476234367b.jpg
多金轉校生03,https://www.kingstone.com.tw//basic/2019476299229?zone=book&lid=book_class3_pla&actid=book_class3_pla,許貴和(原作),東立      ,9789861076218,https://cdn.kingstone.com.tw/book/images/product/20194/2019476299229/2019476299229b.jpg
浪漫工房‧蘭製里 06,https://www.kingstone.com.tw//basic/2019476270327?zone=book&lid=book_class3_pla&actid=book_class3_pla,徐胤泳,東立      ,9789861084251,https://cdn.kingstone.com.tw/book/images/product/20194/2019476270327/2019476270327b.jpg
河神的新娘13,https://www.kingstone.com.tw//basic/2019476287318?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789861082554,https://cdn.kingstone.com.tw/book/images/product/20194/2019476287318/2019476287318b.jpg
阿宅之戀 02,https://www.kingstone.com.tw//basic/2019476247350?zone=book&lid=book_class3_pla&actid=book_class3_pla,韓忪,東立      ,9789861084329,https://cdn.kingstone.com.tw/book/images/product/20194/2019476247350/2019476247350b.jpg
我的野蠻王妃24,https://www.kingstone.com.tw//basic/2019476205848?zone=book&lid=book_class3_pla&actid=book_class3_pla,朴素熙,東立      ,9789861082530,https://cdn.kingstone.com.tw/book/images/product/20194/2019476205848/2019476205848b.jpg
本體不明的新娘01,https://www.kingstone.com.tw//basic/2019476187137?zone=book&lid=book_class3_pla&actid=book_class3_pla,許貴和(原作),東立      ,9789861076140,https://cdn.kingstone.com.tw/book/images/product/20194/2019476187137/2019476187137b.jpg
本體不明的新娘02,https://www.kingstone.com.tw//basic/2019476187267?zone=book&lid=book_class3_pla&actid=book_class3_pla,許貴和(原作),東立      ,9789861076157,https://cdn.kingstone.com.tw/book/images/product/20194/2019476187267/2019476187267b.jpg
阿宅之戀 01,https://www.kingstone.com.tw//basic/2019476181845?zone=book&lid=book_class3_pla&actid=book_class3_pla,韓忪,東立      ,9789861081205,https://cdn.kingstone.com.tw/book/images/product/20194/2019476181845/2019476181845b.jpg
璽娜，我愛妳! 05完,https://www.kingstone.com.tw//basic/2019476152326?zone=book&lid=book_class3_pla&actid=book_class3_pla,劉衒宿,東立      ,9789861067490,https://cdn.kingstone.com.tw/book/images/product/20194/2019476152326/2019476152326b.jpg
多金轉校生01,https://www.kingstone.com.tw//basic/2019476052565?zone=book&lid=book_class3_pla&actid=book_class3_pla,許貴和(原作),東立      ,9789861076195,https://cdn.kingstone.com.tw/book/images/product/20194/2019476052565/2019476052565b.jpg
多金轉校生02,https://www.kingstone.com.tw//basic/2019476107661?zone=book&lid=book_class3_pla&actid=book_class3_pla,許貴和(原作),東立      ,9789861076201,https://cdn.kingstone.com.tw/book/images/product/20194/2019476107661/2019476107661b.jpg
女友狂想曲 06,https://www.kingstone.com.tw//basic/2019476106909?zone=book&lid=book_class3_pla&actid=book_class3_pla,柳炳民,東立      ,9789861067476,https://cdn.kingstone.com.tw/book/images/product/20194/2019476106909/2019476106909b.jpg
女友狂想曲 05,https://www.kingstone.com.tw//basic/2019476006858?zone=book&lid=book_class3_pla&actid=book_class3_pla,柳炳民,東立      ,9789861067469,https://cdn.kingstone.com.tw/book/images/product/20194/2019476006858/2019476006858b.jpg
人魚戀人 06,https://www.kingstone.com.tw//basic/2019476001938?zone=book&lid=book_class3_pla&actid=book_class3_pla,金永熙,東立      ,9789861061559,https://cdn.kingstone.com.tw/book/images/product/20194/2019476001938/2019476001938b.jpg
璽娜，我愛妳! 04,https://www.kingstone.com.tw//basic/2019475965729?zone=book&lid=book_class3_pla&actid=book_class3_pla,劉衒宿,東立      ,9789861067483,https://cdn.kingstone.com.tw/book/images/product/20194/2019475965729/2019475965729b.jpg
人魚戀人 05,https://www.kingstone.com.tw//basic/2019475936750?zone=book&lid=book_class3_pla&actid=book_class3_pla,金永熙,東立      ,9789861057385,https://cdn.kingstone.com.tw/book/images/product/20194/2019475936750/2019475936750b.jpg
女友狂想曲 04,https://www.kingstone.com.tw//basic/2019475920551?zone=book&lid=book_class3_pla&actid=book_class3_pla,柳炳民,東立      ,9789861067452,https://cdn.kingstone.com.tw/book/images/product/20194/2019475920551/2019475920551b.jpg
浪漫工房‧蘭製里 05,https://www.kingstone.com.tw//basic/2019475825160?zone=book&lid=book_class3_pla&actid=book_class3_pla,徐胤泳,東立      ,9789861054391,https://cdn.kingstone.com.tw/book/images/product/20194/2019475825160/2019475825160b.jpg
河神的新娘12,https://www.kingstone.com.tw//basic/2019475825610?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789861069012,https://cdn.kingstone.com.tw/book/images/product/20194/2019475825610/2019475825610b.jpg
我的野蠻王妃23,https://www.kingstone.com.tw//basic/2019475804974?zone=book&lid=book_class3_pla&actid=book_class3_pla,朴素熙,東立      ,9789861069029,https://cdn.kingstone.com.tw/book/images/product/20194/2019475804974/2019475804974b.jpg
人魚戀人 04,https://www.kingstone.com.tw//basic/2019475764605?zone=book&lid=book_class3_pla&actid=book_class3_pla,金永熙,東立      ,9789861057378,https://cdn.kingstone.com.tw/book/images/product/20194/2019475764605/2019475764605b.jpg
人魚戀人 03,https://www.kingstone.com.tw//basic/2019475764575?zone=book&lid=book_class3_pla&actid=book_class3_pla,金永熙,東立      ,9789861057361,https://cdn.kingstone.com.tw/book/images/product/20194/2019475764575/2019475764575b.jpg
新東遊記 09,https://www.kingstone.com.tw//basic/2019475730426?zone=book&lid=book_class3_pla&actid=book_class3_pla,鄭惠那,東立      ,9789861061511,https://cdn.kingstone.com.tw/book/images/product/20194/2019475730426/2019475730426b.jpg
戀愛華爾滋 08,https://www.kingstone.com.tw//basic/2019475729697?zone=book&lid=book_class3_pla&actid=book_class3_pla,伊智,東立      ,9789861061610,https://cdn.kingstone.com.tw/book/images/product/20194/2019475729697/2019475729697b.jpg
古靈精怪太子妃 03,https://www.kingstone.com.tw//basic/2019475749121?zone=book&lid=book_class3_pla&actid=book_class3_pla,金修妍,東立      ,9789861061542,https://cdn.kingstone.com.tw/book/images/product/20194/2019475749121/2019475749121b.jpg
新東遊記 08,https://www.kingstone.com.tw//basic/2019475730396?zone=book&lid=book_class3_pla&actid=book_class3_pla,鄭惠那,東立      ,9789861061504,https://cdn.kingstone.com.tw/book/images/product/20194/2019475730396/2019475730396b.jpg
戀愛華爾滋 07,https://www.kingstone.com.tw//basic/2019475714860?zone=book&lid=book_class3_pla&actid=book_class3_pla,伊智,東立      ,9789861061603,https://cdn.kingstone.com.tw/book/images/product/20194/2019475714860/2019475714860b.jpg
無概念少女 04,https://www.kingstone.com.tw//basic/2019475699945?zone=book&lid=book_class3_pla&actid=book_class3_pla,李潤喜,東立      ,9789861061535,https://cdn.kingstone.com.tw/book/images/product/20194/2019475699945/2019475699945b.jpg
河神的新娘11,https://www.kingstone.com.tw//basic/2019475717656?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789861061573,https://cdn.kingstone.com.tw/book/images/product/20194/2019475717656/2019475717656b.jpg
浪漫工房‧蘭製里 04,https://www.kingstone.com.tw//basic/2019475635905?zone=book&lid=book_class3_pla&actid=book_class3_pla,徐胤泳,東立      ,9789861054384,https://cdn.kingstone.com.tw/book/images/product/20194/2019475635905/2019475635905b.jpg
無概念少女 03,https://www.kingstone.com.tw//basic/2019475630375?zone=book&lid=book_class3_pla&actid=book_class3_pla,李潤喜,東立      ,9789861054421,https://cdn.kingstone.com.tw/book/images/product/20194/2019475630375/2019475630375b.jpg
璽娜，我愛妳! 03,https://www.kingstone.com.tw//basic/2019475643108?zone=book&lid=book_class3_pla&actid=book_class3_pla,劉衒宿,東立      ,9789861056135,https://cdn.kingstone.com.tw/book/images/product/20194/2019475643108/2019475643108b.jpg
我的野蠻王妃22,https://www.kingstone.com.tw//basic/2019475682794?zone=book&lid=book_class3_pla&actid=book_class3_pla,朴素熙,東立      ,9789861061566,https://cdn.kingstone.com.tw/book/images/product/20194/2019475682794/2019475682794b.jpg
人魚戀人 01,https://www.kingstone.com.tw//basic/2019475594714?zone=book&lid=book_class3_pla&actid=book_class3_pla,金永熙,東立      ,9789861057347,https://cdn.kingstone.com.tw/book/images/product/20194/2019475594714/2019475594714b.jpg
人魚戀人 02,https://www.kingstone.com.tw//basic/2019475620918?zone=book&lid=book_class3_pla&actid=book_class3_pla,金永熙,東立      ,9789861057354,https://cdn.kingstone.com.tw/book/images/product/20194/2019475620918/2019475620918b.jpg
浪漫工房‧蘭製里 03,https://www.kingstone.com.tw//basic/2019475635875?zone=book&lid=book_class3_pla&actid=book_class3_pla,徐胤泳,東立      ,9789861054377,https://cdn.kingstone.com.tw/book/images/product/20194/2019475635875/2019475635875b.jpg
女友狂想曲 03,https://www.kingstone.com.tw//basic/2019475634533?zone=book&lid=book_class3_pla&actid=book_class3_pla,柳炳民,東立      ,9789861056104,https://cdn.kingstone.com.tw/book/images/product/20194/2019475634533/2019475634533b.jpg
豪宅女僕 01,https://www.kingstone.com.tw//basic/2019475602228?zone=book&lid=book_class3_pla&actid=book_class3_pla,李尚恩,東立      ,9789861057279,https://cdn.kingstone.com.tw/book/images/product/20194/2019475602228/2019475602228b.jpg
豪宅女僕 02,https://www.kingstone.com.tw//basic/2019475603430?zone=book&lid=book_class3_pla&actid=book_class3_pla,李尚恩,東立      ,9789861057286,https://cdn.kingstone.com.tw/book/images/product/20194/2019475603430/2019475603430b.jpg
女友狂想曲 01,https://www.kingstone.com.tw//basic/2019475571494?zone=book&lid=book_class3_pla&actid=book_class3_pla,柳炳民,東立      ,9789861056081,https://cdn.kingstone.com.tw/book/images/product/20194/2019475571494/2019475571494b.jpg
女友狂想曲 02,https://www.kingstone.com.tw//basic/2019475581981?zone=book&lid=book_class3_pla&actid=book_class3_pla,柳炳民,東立      ,9789861056098,https://cdn.kingstone.com.tw/book/images/product/20194/2019475581981/2019475581981b.jpg
璽娜，我愛妳! 01,https://www.kingstone.com.tw//basic/2019475571074?zone=book&lid=book_class3_pla&actid=book_class3_pla,劉衒宿,東立      ,9789861056111,https://cdn.kingstone.com.tw/book/images/product/20194/2019475571074/2019475571074b.jpg
璽娜，我愛妳! 02,https://www.kingstone.com.tw//basic/2019475571104?zone=book&lid=book_class3_pla&actid=book_class3_pla,劉衒宿,東立      ,9789861056128,https://cdn.kingstone.com.tw/book/images/product/20194/2019475571104/2019475571104b.jpg
無概念少女 01,https://www.kingstone.com.tw//basic/2019475545471?zone=book&lid=book_class3_pla&actid=book_class3_pla,KARA,東立      ,9789861054407,https://cdn.kingstone.com.tw/book/images/product/20194/2019475545471/2019475545471b.jpg
無概念少女 02,https://www.kingstone.com.tw//basic/2019475545501?zone=book&lid=book_class3_pla&actid=book_class3_pla,KARA,東立      ,9789861054414,https://cdn.kingstone.com.tw/book/images/product/20194/2019475545501/2019475545501b.jpg
古靈精怪太子妃 01,https://www.kingstone.com.tw//basic/2019475556460?zone=book&lid=book_class3_pla&actid=book_class3_pla,金修妍,東立      ,9789861054438,https://cdn.kingstone.com.tw/book/images/product/20194/2019475556460/2019475556460b.jpg
古靈精怪太子妃 02,https://www.kingstone.com.tw//basic/2019475556590?zone=book&lid=book_class3_pla&actid=book_class3_pla,金修妍,東立      ,9789861054445,https://cdn.kingstone.com.tw/book/images/product/20194/2019475556590/2019475556590b.jpg
浪漫工房‧蘭製里 01,https://www.kingstone.com.tw//basic/2019475557092?zone=book&lid=book_class3_pla&actid=book_class3_pla,徐胤泳,東立      ,9789861054353,https://cdn.kingstone.com.tw/book/images/product/20194/2019475557092/2019475557092b.jpg
浪漫工房‧蘭製里 02,https://www.kingstone.com.tw//basic/2019475557122?zone=book&lid=book_class3_pla&actid=book_class3_pla,徐胤泳,東立      ,9789861054360,https://cdn.kingstone.com.tw/book/images/product/20194/2019475557122/2019475557122b.jpg
河神的新娘10,https://www.kingstone.com.tw//basic/2019475546683?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789861056968,https://cdn.kingstone.com.tw/book/images/product/20194/2019475546683/2019475546683b.jpg
新東遊記 07,https://www.kingstone.com.tw//basic/2019475483124?zone=book&lid=book_class3_pla&actid=book_class3_pla,鄭惠那,東立      ,9789861049120,https://cdn.kingstone.com.tw/book/images/product/20194/2019475483124/2019475483124b.jpg
我的野蠻王妃21,https://www.kingstone.com.tw//basic/2019475380447?zone=book&lid=book_class3_pla&actid=book_class3_pla,朴素熙,東立      ,9789861049212,https://cdn.kingstone.com.tw/book/images/product/20194/2019475380447/2019475380447b.jpg
變調小婦人06,https://www.kingstone.com.tw//basic/2019475334020?zone=book&lid=book_class3_pla&actid=book_class3_pla,金姬恩,東立      ,9789861043616,https://cdn.kingstone.com.tw/book/images/product/20194/2019475334020/2019475334020b.jpg
變調小婦人05,https://www.kingstone.com.tw//basic/2019475305471?zone=book&lid=book_class3_pla&actid=book_class3_pla,金姬恩,東立      ,9789861043609,https://cdn.kingstone.com.tw/book/images/product/20194/2019475305471/2019475305471b.jpg
新東遊記 06,https://www.kingstone.com.tw//basic/2019475310628?zone=book&lid=book_class3_pla&actid=book_class3_pla,鄭惠那,東立      ,9789861043630,https://cdn.kingstone.com.tw/book/images/product/20194/2019475310628/2019475310628b.jpg
戀愛華爾滋 06,https://www.kingstone.com.tw//basic/2019475310208?zone=book&lid=book_class3_pla&actid=book_class3_pla,伊智,東立      ,9789861043661,https://cdn.kingstone.com.tw/book/images/product/20194/2019475310208/2019475310208b.jpg
我的野蠻王妃20,https://www.kingstone.com.tw//basic/2019475249966?zone=book&lid=book_class3_pla&actid=book_class3_pla,朴素熙,東立      ,9789861042763,https://cdn.kingstone.com.tw/book/images/product/20194/2019475249966/2019475249966b.jpg
變調小婦人04,https://www.kingstone.com.tw//basic/2019475286558?zone=book&lid=book_class3_pla&actid=book_class3_pla,金姬恩,東立      ,9789861043593,https://cdn.kingstone.com.tw/book/images/product/20194/2019475286558/2019475286558b.jpg
河神的新娘09,https://www.kingstone.com.tw//basic/2019475242042?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789861042787,https://cdn.kingstone.com.tw/book/images/product/20194/2019475242042/2019475242042b.jpg
我的野蠻王妃19,https://www.kingstone.com.tw//basic/2019475255585?zone=book&lid=book_class3_pla&actid=book_class3_pla,朴素熙,東立      ,9789861042756,https://cdn.kingstone.com.tw/book/images/product/20194/2019475255585/2019475255585b.jpg
河神的新娘08,https://www.kingstone.com.tw//basic/2019475241960?zone=book&lid=book_class3_pla&actid=book_class3_pla,尹美庚,東立      ,9789861042770,https://cdn.kingstone.com.tw/book/images/product/20194/2019475241960/2019475241960b.jpg
新東遊記 04,https://www.kingstone.com.tw//basic/2019475226646?zone=book&lid=book_class3_pla&actid=book_class3_pla,鄭惠那,東立      ,9789861033150,https://cdn.kingstone.com.tw/book/images/product/20194/2019475226646/2019475226646b.jpg
新東遊記 05,https://www.kingstone.com.tw//basic/2019475226776?zone=book&lid=book_class3_pla&actid=book_class3_pla,鄭惠那,東立      ,9789861042572,https://cdn.kingstone.com.tw/book/images/product/20194/2019475226776/2019475226776b.jpg
戀愛華爾滋 05,https://www.kingstone.com.tw//basic/2019475206242?zone=book&lid=book_class3_pla&actid=book_class3_pla,伊智,東立      ,9789861042602,https://cdn.kingstone.com.tw/book/images/product/20194/2019475206242/2019475206242b.jpg
新東遊記 02,https://www.kingstone.com.tw//basic/2019475170758?zone=book&lid=book_class3_pla&actid=book_class3_pla,鄭惠那,東立      ,9789861023748,https://cdn.kingstone.com.tw/book/images/product/20194/2019475170758/2019475170758b.jpg
新東遊記 03,https://www.kingstone.com.tw//basic/2019475170888?zone=book&lid=book_class3_pla&actid=book_class3_pla,鄭惠那,東立      ,9789861033143,https://cdn.kingstone.com.tw/book/images/product/20194/2019475170888/2019475170888b.jpg
變調小婦人03,https://www.kingstone.com.tw//basic/2019475097185?zone=book&lid=book_class3_pla&actid=book_class3_pla,金姬恩,東立      ,9789861032900,https://cdn.kingstone.com.tw/book/images/product/20194/2019475097185/2019475097185b.jpg
波瀾萬丈日記 09完,https://www.kingstone.com.tw//basic/2019475059411?zone=book&lid=book_class3_pla&actid=book_class3_pla,柳賀珍,東立      ,9789861032917,https://cdn.kingstone.com.tw/book/images/product/20194/2019475059411/2019475059411b.jpg
