書名,書籍網站,作者,出版社,ISBN,圖片網址
狗臉的歲月：記1629梯 第一集,https://www.kingstone.com.tw//basic/2019479454427?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,李鴻欽,蓋亞原動力,9789869718684,https://cdn.kingstone.com.tw/book/images/product/20194/2019479454427/2019479454427b.jpg
滿是溫柔的土地上：天才影像作家アボガド6第一本長篇漫畫！,https://www.kingstone.com.tw//basic/2018611772061?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,アボガド6,平裝本    ,9789869790635,https://cdn.kingstone.com.tw/book/images/product/20186/2018611772061/2018611772061b.jpg
滿是空虛之物：天才影像作家アボガド6第一本短篇漫畫集,https://www.kingstone.com.tw//basic/2019479063728?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,アボガド6,平裝本    ,9789869623698,https://cdn.kingstone.com.tw/book/images/product/20194/2019479063728/2019479063728b.jpg
狗臉的歲月：記1629梯 第三集,https://www.kingstone.com.tw//basic/2019460110158?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,李鴻欽,蓋亞原動力,9789860675443,https://cdn.kingstone.com.tw/book/images/product/20194/2019460110158/2019460110158b.jpg
柘植義春漫畫集：螺旋式、李先生一家,https://www.kingstone.com.tw//basic/2019460110288?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,柘植義春,大塊      ,9789860777116,https://cdn.kingstone.com.tw/images/restricted.jpg
柘植義春漫畫集：紅花、鄰近的風景,https://www.kingstone.com.tw//basic/2019460110448?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,柘植義春,大塊      ,9789860777123,https://cdn.kingstone.com.tw/images/restricted.jpg
野菜國的冒險：アボガド6×貓，第一本全彩插畫卡片書,https://www.kingstone.com.tw//basic/2019460070599?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,アボガド6,平裝本    ,9789860630169,https://cdn.kingstone.com.tw/book/images/product/20194/2019460070599/2019460070599b.jpg
柘植義春漫畫集：螺旋式+紅花【套書】（限量加贈海報）,https://www.kingstone.com.tw//basic/2019460110318?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,柘植義春,大塊      ,9991100825017,https://cdn.kingstone.com.tw/images/restricted.jpg
狗臉的歲月：記1629梯 第二集,https://www.kingstone.com.tw//basic/2019479506317?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,李鴻欽,蓋亞原動力,9789869857529,https://cdn.kingstone.com.tw/book/images/product/20194/2019479506317/2019479506317b.jpg
上映：歡迎來到跑馬燈電影院，你的人生，借我們看一下吧？アボガド6全新畫集，最觸動人心的觀「影」體驗，隨書附贈手稿別冊！,https://www.kingstone.com.tw//basic/2019460070629?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,アボガド6,平裝本    ,9789860630176,https://cdn.kingstone.com.tw/book/images/product/20194/2019460070629/2019460070629b.jpg
麻辣辦公室,https://www.kingstone.com.tw//basic/2019990083366?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,田宇,漢宇國際  ,9789867229311,https://cdn.kingstone.com.tw/book/images/product/20199/2019990083366/2019990083366b.jpg
鬼虫2,https://www.kingstone.com.tw//basic/2019472512650?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,柏木晴子,東立      ,9789861151526,https://cdn.kingstone.com.tw/images/restricted.jpg
漫漫話台灣：動物篇,https://www.kingstone.com.tw//basic/2019479899129?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,山崎龍,青文      ,9789865126872,https://cdn.kingstone.com.tw/book/images/product/20194/2019479899129/2019479899129b.jpg
想成為漫畫家卻在 33 歲得了腦梗塞 （ 全 ）,https://www.kingstone.com.tw//basic/2014110853652?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,あやめゴン太,尖端      ,9789571090658,https://cdn.kingstone.com.tw/book/images/product/20141/2014110853652/2014110853652b.jpg
失重 第一集,https://www.kingstone.com.tw//basic/2019479506577?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,NIN,蓋亞原動力,9789869857512,https://cdn.kingstone.com.tw/book/images/product/20194/2019479506577/2019479506577b.jpg
一刀傳（三十週年紀念新裝版）,https://www.kingstone.com.tw//basic/2019479439783?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,陳弘耀,目色文化  ,9789869514323,https://cdn.kingstone.com.tw/book/images/product/20194/2019479439783/2019479439783b.jpg
女高中生的生態圖鑑（全）,https://www.kingstone.com.tw//basic/2018561106930?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,しまぷ,台灣角川  ,9789575643812,https://cdn.kingstone.com.tw/book/images/product/20185/2018561106930/2018561106930b.jpg
紙飛機生活誌：漫畫物語,https://www.kingstone.com.tw//basic/2019478811269?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,紙飛機文創團隊,南十字星  ,9789869189132,https://cdn.kingstone.com.tw/book/images/product/20194/2019478811269/2019478811269b.jpg
漫畫家水木茂－我的每一天（全）,https://www.kingstone.com.tw//basic/2019900086340?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,水木茂,尖端      ,9789571078564,https://cdn.kingstone.com.tw/book/images/product/20199/2019900086340/2019900086340b.jpg
我生錯性別了！日本漫畫家的變性之路,https://www.kingstone.com.tw//basic/2019478713952?zone=book&lid=book_class3_pzz&actid=book_class3_pzz,小西真冬,台灣東販  ,9789864755295,https://cdn.kingstone.com.tw/images/restricted.jpg
