書名,書籍網站,作者,出版社,ISBN,圖片網址
與希林攜手同行,https://www.kingstone.com.tw//basic/2017830174410?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,是枝裕和,臉譜文化  ,9789862359853,https://cdn.kingstone.com.tw/book/images/product/20178/2017830174410/2017830174410b.jpg
想法誕生前最重要的事,https://www.kingstone.com.tw//basic/2019640105653?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,森本千繪,臉譜文化  ,9789862356586,https://cdn.kingstone.com.tw/book/images/product/20196/2019640105653/2019640105653b.jpg
圖解動漫音樂創作法：曲式構成＋和弦進行＋表現手法，徹底解說一聽癡迷的魔性祕密！,https://www.kingstone.com.tw//basic/2019130159708?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,小林郁太,易博士    ,9789864800759,https://cdn.kingstone.com.tw/book/images/product/20191/2019130159708/2019130159708b.jpg
如何成為藝術家：普立茲藝評獎得主寫給藝術家的63條生存守則,https://www.kingstone.com.tw//basic/2019030009998?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,傑瑞．薩爾茲,奇點      ,9789869894111,https://cdn.kingstone.com.tw/book/images/product/20190/2019030009998/2019030009998b.jpg
藝術家的正職,https://www.kingstone.com.tw//basic/2019090116438?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,喬安娜．奈格勒爾,典藏      ,9789869615532,https://cdn.kingstone.com.tw/book/images/product/20190/2019090116438/2019090116438b.jpg
英國BBC的經典節目現代藝術的故事：這個作品，為什麼這麼貴?那那款設計，到底好在哪裡？,https://www.kingstone.com.tw//basic/2019090119484?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,威爾．岡波茲,大是      ,9789579164856,https://cdn.kingstone.com.tw/book/images/product/20190/2019090119484/2019090119484b.jpg
觀看權力的方式：改變社會的21世紀藝術行動指南,https://www.kingstone.com.tw//basic/2019000138284?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,納托．湯普森,行人文化  ,9789869859295,https://cdn.kingstone.com.tw/book/images/product/20190/2019000138284/2019000138284b.jpg
觀看的方式,https://www.kingstone.com.tw//basic/2019010048238?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,約翰．伯格,麥田      ,9786263100206,https://cdn.kingstone.com.tw/book/images/product/20190/2019010048238/2019010048238b.jpg
像素百景：進入點陣圖藝術的世界,https://www.kingstone.com.tw//basic/2019000136600?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,Graphic社編輯部,台灣東販  ,9789865116446,https://cdn.kingstone.com.tw/book/images/product/20190/2019000136600/2019000136600b.jpg
藝術松創刊號：VR這回事 ARThon No. 1：VR Matters,https://www.kingstone.com.tw//basic/2019560017135?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,方志軒、王柏偉、王新仁,數位藝術  ,9789869197731,https://cdn.kingstone.com.tw/book/images/product/20195/2019560017135/2019560017135b.jpg
永井荷風江戶藝術論：收錄鈴木春信的錦繪、龔固爾的歌及北齋傳等[新譯],https://www.kingstone.com.tw//basic/2019070019117?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,永井荷風,紅通通文化,9789869782234,https://cdn.kingstone.com.tw/book/images/product/20190/2019070019117/2019070019117b.jpg
藝術家在做什麼？六個理解藝術的二十世紀經典例子,https://www.kingstone.com.tw//basic/2019000129879?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,李歐納．科仁,行人文化  ,9789869782395,https://cdn.kingstone.com.tw/book/images/product/20190/2019000129879/2019000129879b.jpg
托爾斯泰藝術論（修訂版）,https://www.kingstone.com.tw//basic/2019000129039?zone=book&lid=book_class3_oaa&actid=book_class3_oaa,列夫．尼可拉葉維奇．托爾斯泰,遠流      ,9789573286714,https://cdn.kingstone.com.tw/book/images/product/20190/2019000129039/2019000129039b.jpg
