書名,書籍網站,作者,出版社,ISBN,圖片網址
知道了！故宮：國寶，原來如此,https://www.kingstone.com.tw//basic/2019090123139?zone=book&lid=book_class3_oab&actid=book_class3_oab,邱建一,聯經      ,9789570851915,https://cdn.kingstone.com.tw/book/images/product/20190/2019090123139/2019090123139b.jpg
啟示的年代：在藝術、心智、大腦中探尋潛意識的奧秘 從維也納1900到現代,https://www.kingstone.com.tw//basic/2019010047606?zone=book&lid=book_class3_oab&actid=book_class3_oab,艾力克．肯德爾,聯經      ,9789570857856,https://cdn.kingstone.com.tw/book/images/product/20190/2019010047606/2019010047606b.jpg
名畫的動作：另一種觀看角度走進美術史,https://www.kingstone.com.tw//basic/2019010047286?zone=book&lid=book_class3_oab&actid=book_class3_oab,宮下規久朗,新經典文化,9789869968768,https://cdn.kingstone.com.tw/book/images/product/20190/2019010047286/2019010047286b.jpg
台灣美術閱覽,https://www.kingstone.com.tw//basic/2019090029790?zone=book&lid=book_class3_oab&actid=book_class3_oab,李欽賢,玉山社    ,9789579361224,https://cdn.kingstone.com.tw/book/images/product/20190/2019090029790/2019090029790b.jpg
藝術的故事（暢銷萬冊．維拉斯奎斯名畫〈宮女〉紀念書衣版）,https://www.kingstone.com.tw//basic/2019090103445?zone=book&lid=book_class3_oab&actid=book_class3_oab,宮布利希,聯經      ,9789570845129,https://cdn.kingstone.com.tw/book/images/product/20190/2019090103445/2019090103445b.jpg
一日一頁藝術史：認識365幅名畫與藝術名作的美學素養課,https://www.kingstone.com.tw//basic/2019400101635?zone=book&lid=book_class3_oab&actid=book_class3_oab,金榮淑,商周出版  ,9786267012079,https://cdn.kingstone.com.tw/book/images/product/20194/2019400101635/2019400101635b.jpg
藝術家的一日廚房：學校沒教的藝術史：用家常菜向26位藝壇大師致敬,https://www.kingstone.com.tw//basic/2019090120183?zone=book&lid=book_class3_oab&actid=book_class3_oab,潘家欣,大寫出版  ,9789579689410,https://cdn.kingstone.com.tw/book/images/product/20190/2019090120183/2019090120183b.jpg
學院藝術三百年,https://www.kingstone.com.tw//basic/2019090118852?zone=book&lid=book_class3_oab&actid=book_class3_oab,楊墀,藝術家    ,9789862822302,https://cdn.kingstone.com.tw/book/images/product/20190/2019090118852/2019090118852b.jpg
我們告別的時刻,https://www.kingstone.com.tw//basic/2018551809155?zone=book&lid=book_class3_oab&actid=book_class3_oab,陳德政,大家      ,9789869577595,https://cdn.kingstone.com.tw/book/images/product/20185/2018551809155/2018551809155b.jpg
寫給年輕人的西洋美術史：超漫畫圖解版1~3（盒裝套書）,https://www.kingstone.com.tw//basic/2019090100659?zone=book&lid=book_class3_oab&actid=book_class3_oab,高階秀爾,原點      ,9789866408960,https://cdn.kingstone.com.tw/book/images/product/20190/2019090100659/2019090100659b.jpg
中國藝術史,https://www.kingstone.com.tw//basic/2029090077394?zone=book&lid=book_class3_oab&actid=book_class3_oab,薄松年,聯經      ,9789570830613,https://cdn.kingstone.com.tw/book/images/product/20290/2029090077394/2029090077394b.jpg
審美的政治：英國藝術運動的十個瞬間,https://www.kingstone.com.tw//basic/2019090129421?zone=book&lid=book_class3_oab&actid=book_class3_oab,郭婷,秀威出版  ,9789863269564,https://cdn.kingstone.com.tw/book/images/product/20190/2019090129421/2019090129421b.jpg
情色美術史：解讀西洋名畫中的情與慾【五週年新裝版】,https://www.kingstone.com.tw//basic/2019090128639?zone=book&lid=book_class3_oab&actid=book_class3_oab,池上英洋,時報文化  ,9789571388014,https://cdn.kingstone.com.tw/book/images/product/20190/2019090128639/2019090128639b.jpg
殘酷美術史：解讀西洋名畫中的血腥與暴力【五週年新裝版】,https://www.kingstone.com.tw//basic/2019090128769?zone=book&lid=book_class3_oab&actid=book_class3_oab,池上英洋,時報文化  ,9789571388199,https://cdn.kingstone.com.tw/book/images/product/20190/2019090128769/2019090128769b.jpg
情慾與醜惡的藝術之美：《情色美術史》+《殘酷美術史》限量套書（加贈經典名畫杯墊組）,https://www.kingstone.com.tw//basic/2019000136730?zone=book&lid=book_class3_oab&actid=book_class3_oab,池上英洋,時報文化  ,4712966625123,https://cdn.kingstone.com.tw/book/images/product/20190/2019000136730/2019000136730b.jpg
寫給入門者的西洋美術小史【增修新版】,https://www.kingstone.com.tw//basic/2019090128479?zone=book&lid=book_class3_oab&actid=book_class3_oab,章伊秀、邱建一、水瓶子,好讀      ,9789861785332,https://cdn.kingstone.com.tw/book/images/product/20190/2019090128479/2019090128479b.jpg
愛‧慾 浮世繪：日本百年極樂美學，菊與劍外最輝煌的情色藝術史,https://www.kingstone.com.tw//basic/2019460009308?zone=book&lid=book_class3_oab&actid=book_class3_oab,插DX．史克里奇,創意市集  ,9789865534271,https://cdn.kingstone.com.tw/images/restricted.jpg
圓之書：知識發展的球狀視覺史,https://www.kingstone.com.tw//basic/2019400099543?zone=book&lid=book_class3_oab&actid=book_class3_oab,曼努埃爾．利馬,大塊      ,9789865549459,https://cdn.kingstone.com.tw/book/images/product/20194/2019400099543/2019400099543b.jpg
書寫、消費與生活：二十世紀初期中國的美術風景,https://www.kingstone.com.tw//basic/2019090128219?zone=book&lid=book_class3_oab&actid=book_class3_oab,劉瑞寬,藝術家    ,9789862822654,https://cdn.kingstone.com.tw/book/images/product/20190/2019090128219/2019090128219b.jpg
