書名,書籍網站,作者,出版社,ISBN,圖片網址
談美,https://www.kingstone.com.tw//basic/2011800030799?zone=book&lid=book_class3_oad&actid=book_class3_oad,朱光潛,五南      ,9789577638090,https://cdn.kingstone.com.tw/book/images/product/20118/2011800030799/2011800030799b.jpg
美學的意義：關於美的十種表現與體驗,https://www.kingstone.com.tw//basic/2011800028598?zone=book&lid=book_class3_oad&actid=book_class3_oad,李歐納．科仁,行人文化  ,9789869622332,https://cdn.kingstone.com.tw/book/images/product/20118/2011800028598/2011800028598b.jpg
藝用3D人體解剖書：認識人體結構與造型,https://www.kingstone.com.tw//basic/2019010040232?zone=book&lid=book_class3_oad&actid=book_class3_oad,烏迪斯．薩林斯,大家      ,9789869492782,https://cdn.kingstone.com.tw/book/images/product/20190/2019010040232/2019010040232b.jpg
羅浮宮給世界的藝術課：細品20件必看珍寶的經典美學，更讀懂法國與古典歐洲,https://www.kingstone.com.tw//basic/2019060016393?zone=book&lid=book_class3_oad&actid=book_class3_oad,程珺,原點      ,9789579072861,https://cdn.kingstone.com.tw/book/images/product/20190/2019060016393/2019060016393b.jpg
日本美學：物哀、幽玄、侘寂（全三冊）：從唯美的物哀，深遠的幽玄，到空無的侘寂。掌握日本美學關鍵的獨家著作。,https://www.kingstone.com.tw//basic/2019010043448?zone=book&lid=book_class3_oad&actid=book_class3_oad,大西克禮,不二家    ,9789579542661,https://cdn.kingstone.com.tw/book/images/product/20190/2019010043448/2019010043448b.jpg
重返Wabi：Sabi：給日式生活愛好者的美學思考,https://www.kingstone.com.tw//basic/2011800026594?zone=book&lid=book_class3_oad&actid=book_class3_oad,李歐納．科仁,行人文化  ,9789869214148,https://cdn.kingstone.com.tw/book/images/product/20118/2011800026594/2011800026594b.jpg
星空吟遊,https://www.kingstone.com.tw//basic/2018551866141?zone=book&lid=book_class3_oad&actid=book_class3_oad,謝哲青,天下文化  ,4713510942536,https://cdn.kingstone.com.tw/book/images/product/20185/2018551866141/2018551866141b.jpg
永恆的凝望：天才閃耀的時代,https://www.kingstone.com.tw//basic/2017400089366?zone=book&lid=book_class3_oad&actid=book_class3_oad,謝哲青,皇冠文化  ,9789573335627,https://cdn.kingstone.com.tw/book/images/product/20174/2017400089366/2017400089366b.jpg
呼吸巴黎：典藏古美術讓法國成為日常（首刷隨書附贈作者拍攝「法國古董品明信片」一組四張）,https://www.kingstone.com.tw//basic/2029990177491?zone=book&lid=book_class3_oad&actid=book_class3_oad,魏聰洲、蔡潔妮,左岸文化  ,9789860601640,https://cdn.kingstone.com.tw/book/images/product/20299/2029990177491/2029990177491b.jpg
藝術顧問寫給職場工作者的「邏輯式藝術鑑賞法」：運用五種思考架構，看懂藝術，以理性鍛鍊感性,https://www.kingstone.com.tw//basic/2019010048108?zone=book&lid=book_class3_oad&actid=book_class3_oad,堀越啓,漫遊者    ,9789864894826,https://cdn.kingstone.com.tw/book/images/product/20190/2019010048108/2019010048108b.jpg
黃金比例的祕密：存在於藝術、設計與自然中的神聖數字,https://www.kingstone.com.tw//basic/2013160010725?zone=book&lid=book_class3_oad&actid=book_class3_oad,蓋瑞．邁斯納,遠流      ,9789573288640,https://cdn.kingstone.com.tw/book/images/product/20131/2013160010725/2013160010725b.jpg
世界名畫鑑賞入門：品味101幅西洋藝術經典之美,https://www.kingstone.com.tw//basic/2019400097679?zone=book&lid=book_class3_oad&actid=book_class3_oad,陳馨儀,晨星      ,9789865529376,https://cdn.kingstone.com.tw/book/images/product/20194/2019400097679/2019400097679b.jpg
藝術博物館的理論與實踐,https://www.kingstone.com.tw//basic/2019060015891?zone=book&lid=book_class3_oad&actid=book_class3_oad,廖仁義,藝術家    ,9789862822562,https://cdn.kingstone.com.tw/book/images/product/20190/2019060015891/2019060015891b.jpg
用視覺心理學看懂名畫的祕密：誰操控了你的感官？從光源、輪廓、意圖到構造，22堂透視「視覺魅力」的鑑賞,https://www.kingstone.com.tw//basic/2019479742869?zone=book&lid=book_class3_oad&actid=book_class3_oad,三浦佳世,一起來出版,9789869911511,https://cdn.kingstone.com.tw/book/images/product/20194/2019479742869/2019479742869b.jpg
療癒羅浮宮：從羅浮宮經典名畫看人生百態，學會活著的姿態,https://www.kingstone.com.tw//basic/2019479667162?zone=book&lid=book_class3_oad&actid=book_class3_oad,中野京子,時報文化  ,9789571382111,https://cdn.kingstone.com.tw/book/images/product/20194/2019479667162/2019479667162b.jpg
