書名,書籍網站,作者,出版社,ISBN,圖片網址
西洋藝術便利貼：你不可不知道的藝術家故事與藝術小辭典,https://www.kingstone.com.tw//basic/2019090116988?zone=book&lid=book_class3_oae&actid=book_class3_oae,許汝紘,華滋文化  ,9789869645416,https://cdn.kingstone.com.tw/book/images/product/20190/2019090116988/2019090116988b.jpg
叛逆的捉影：當代藝術家新迷思,https://www.kingstone.com.tw//basic/2019070007756?zone=book&lid=book_class3_oae&actid=book_class3_oae,高千惠,遠流      ,9789573257844,https://cdn.kingstone.com.tw/book/images/product/20190/2019070007756/2019070007756b.jpg
破解米開朗基羅（隨行版）,https://www.kingstone.com.tw//basic/2019090094149?zone=book&lid=book_class3_oae&actid=book_class3_oae,蔣勳,天下文化  ,9789863201243,https://cdn.kingstone.com.tw/book/images/product/20190/2019090094149/2019090094149b.jpg
普普藝術，有故事：100個有梗怪咖&酷藝術，為什麼讀廣告、學設計、玩時尚、做藝術，一定要認識它？,https://www.kingstone.com.tw//basic/2019090126345?zone=book&lid=book_class3_oae&actid=book_class3_oae,安迪．史都華．麥凱,原點      ,9789579072816,https://cdn.kingstone.com.tw/book/images/product/20190/2019090126345/2019090126345b.jpg
在當代之後：2017－2018春之當代藝論,https://www.kingstone.com.tw//basic/2019000130868?zone=book&lid=book_class3_oae&actid=book_class3_oae,辛友仁 等人,典藏      ,9789869259712,https://cdn.kingstone.com.tw/book/images/product/20190/2019000130868/2019000130868b.jpg
激進美術館學：當代美術館的當代性,https://www.kingstone.com.tw//basic/2010690015534?zone=book&lid=book_class3_oae&actid=book_class3_oae,克萊兒．畢莎普,一行出版  ,9789869834704,https://cdn.kingstone.com.tw/book/images/product/20106/2010690015534/2010690015534b.jpg
西方現代美術流派,https://www.kingstone.com.tw//basic/2019090120923?zone=book&lid=book_class3_oae&actid=book_class3_oae,胡泊 編著,崧燁文化  ,9789577357571,https://cdn.kingstone.com.tw/book/images/product/20190/2019090120923/2019090120923b.jpg
奇美：無與倫比的博物館經驗,https://www.kingstone.com.tw//basic/2010690014902?zone=book&lid=book_class3_oae&actid=book_class3_oae,范毅舜,積木文化  ,9789864591671,https://cdn.kingstone.com.tw/book/images/product/20106/2010690014902/2010690014902b.jpg
德勒茲與藝術理論,https://www.kingstone.com.tw//basic/2019010042816?zone=book&lid=book_class3_oae&actid=book_class3_oae,陳瑞文,五南      ,9789571199238,https://cdn.kingstone.com.tw/book/images/product/20190/2019010042816/2019010042816b.jpg
向道德主義告別： 關於當代藝術的思考,https://www.kingstone.com.tw//basic/2019010041284?zone=book&lid=book_class3_oae&actid=book_class3_oae,皮力,典藏      ,9789869535489,https://cdn.kingstone.com.tw/book/images/product/20190/2019010041284/2019010041284b.jpg
台灣現當代藝術風神榜：進畫論首部曲,https://www.kingstone.com.tw//basic/2019090113932?zone=book&lid=book_class3_oae&actid=book_class3_oae,王福東,大苑藝術  ,9789869544900,https://cdn.kingstone.com.tw/book/images/product/20190/2019090113932/2019090113932b.jpg
從直島啟航的瀨戶內國際藝術祭：以藝術活化地方,https://www.kingstone.com.tw//basic/2017310181495?zone=book&lid=book_class3_oae&actid=book_class3_oae,福武總一郎、北川富朗,遠流      ,9789573280743,https://cdn.kingstone.com.tw/book/images/product/20173/2017310181495/2017310181495b.jpg
