書名,書籍網站,作者,出版社,ISBN,圖片網址
展覽的表裏：解析日本美術館、藝術祭的特色與策展幕後,https://www.kingstone.com.tw//basic/2019060016713?zone=book&lid=book_class3_oaf&actid=book_class3_oaf,古賀太,麥浩斯    ,9789864086825,https://cdn.kingstone.com.tw/book/images/product/20190/2019060016713/2019060016713b.jpg
直擊！森美術館數位行銷現場：活用IG、推特、臉書社群媒體推廣展覽的第一線實戰筆記,https://www.kingstone.com.tw//basic/2019010046234?zone=book&lid=book_class3_oaf&actid=book_class3_oaf,洞田貫 晉一朗,麥浩斯    ,9789864086290,https://cdn.kingstone.com.tw/book/images/product/20190/2019010046234/2019010046234b.jpg
藝術行銷：藝術/行銷斜槓人的雙刀心法,https://www.kingstone.com.tw//basic/2019010045862?zone=book&lid=book_class3_oaf&actid=book_class3_oaf,夏學理,五南      ,9789577638649,https://cdn.kingstone.com.tw/book/images/product/20190/2019010045862/2019010045862b.jpg
手上美術館2：奧塞美術館必看的100幅畫,https://www.kingstone.com.tw//basic/2019060013927?zone=book&lid=book_class3_oaf&actid=book_class3_oaf,金榮淑,商業周刊  ,9789869468039,https://cdn.kingstone.com.tw/book/images/product/20190/2019060013927/2019060013927b.jpg
手上美術館3：倫敦國家美術館必看的100幅畫,https://www.kingstone.com.tw//basic/2019060014009?zone=book&lid=book_class3_oaf&actid=book_class3_oaf,金榮淑,商業周刊  ,9789869468046,https://cdn.kingstone.com.tw/book/images/product/20190/2019060014009/2019060014009b.jpg
策展的50個關鍵,https://www.kingstone.com.tw//basic/2019010038871?zone=book&lid=book_class3_oaf&actid=book_class3_oaf,李如菁,釀出版    ,9789864451357,https://cdn.kingstone.com.tw/book/images/product/20190/2019010038871/2019010038871b.jpg
狂騷：再現一九二○創造力的大稻埕國際藝術節,https://www.kingstone.com.tw//basic/2017330280130?zone=book&lid=book_class3_oaf&actid=book_class3_oaf,大稻埕國際藝術節工作室,麥浩斯    ,9789864086832,https://cdn.kingstone.com.tw/book/images/product/20173/2017330280130/2017330280130b.jpg
文化創意概論含CCA文化創意應用認證（最新版）（附MOSME行動學習一點通）,https://www.kingstone.com.tw//basic/2015216941939?zone=book&lid=book_class3_oaf&actid=book_class3_oaf,顧惠敏、薛家欣、賴岳興、劉晉彰,台科大    ,9789865232702,https://cdn.kingstone.com.tw/book/images/product/20152/2015216941939/2015216941939b.jpg
臂距之外：行政法人博物館的觀察,https://www.kingstone.com.tw//basic/2019000138154?zone=book&lid=book_class3_oaf&actid=book_class3_oaf,黃心蓉,典藏      ,9789579057844,https://cdn.kingstone.com.tw/book/images/product/20190/2019000138154/2019000138154b.jpg
手作的日常：播種人的手繪日記,https://www.kingstone.com.tw//basic/2019000137942?zone=book&lid=book_class3_oaf&actid=book_class3_oaf,早川由美,典藏      ,9789579057820,https://cdn.kingstone.com.tw/book/images/product/20190/2019000137942/2019000137942b.jpg
