書名,書籍網站,作者,出版社,ISBN,圖片網址
2021拍賣年鑑＜骨董＞,https://www.kingstone.com.tw//basic/2019000137232?zone=book&lid=book_class3_oba&actid=book_class3_oba,華藝文化編輯群,華藝文化  ,9789860630800,https://cdn.kingstone.com.tw/book/images/product/20190/2019000137232/2019000137232b.jpg
2020拍賣年鑑＜骨董＞,https://www.kingstone.com.tw//basic/2019000132022?zone=book&lid=book_class3_oba&actid=book_class3_oba,古董<拍賣年鑑>編輯委員會,華藝文化  ,9789869448864,https://cdn.kingstone.com.tw/book/images/product/20190/2019000132022/2019000132022b.jpg
當藝術遇上法律：藝術投資收藏的攻防對策,https://www.kingstone.com.tw//basic/2015630654873?zone=book&lid=book_class3_oba&actid=book_class3_oba,葉茂林,典藏      ,9789579057509,https://cdn.kingstone.com.tw/book/images/product/20156/2015630654873/2015630654873b.jpg
六朝玉雕綜論,https://www.kingstone.com.tw//basic/2017940018727?zone=book&lid=book_class3_oba&actid=book_class3_oba,劉欽琦、方勝利,時報文化  ,9789571378794,https://cdn.kingstone.com.tw/book/images/product/20179/2017940018727/2017940018727b.jpg
收藏西方古典大師的寶藏：一窺藝術市場交易祕辛的最佳指南,https://www.kingstone.com.tw//basic/2014890047517?zone=book&lid=book_class3_oba&actid=book_class3_oba,李佳樺等,暖暖書屋  ,9789869750950,https://cdn.kingstone.com.tw/book/images/product/20148/2014890047517/2014890047517b.jpg
2019拍賣年鑑＜骨董＞,https://www.kingstone.com.tw//basic/2019000123747?zone=book&lid=book_class3_oba&actid=book_class3_oba,古董<拍賣年鑑>編輯委員會,華藝文化  ,9789869448857,https://cdn.kingstone.com.tw/book/images/product/20190/2019000123747/2019000123747b.jpg
2019文物拍賣大典,https://www.kingstone.com.tw//basic/2017900017623?zone=book&lid=book_class3_oba&actid=book_class3_oba,拍賣大典編輯部,典藏      ,9789869690072,https://cdn.kingstone.com.tw/book/images/product/20179/2017900017623/2017900017623b.jpg
2018書畫拍賣大典,https://www.kingstone.com.tw//basic/2019410017551?zone=book&lid=book_class3_oba&actid=book_class3_oba,拍賣大典編輯部,典藏      ,9789869615518,https://cdn.kingstone.com.tw/book/images/product/20194/2019410017551/2019410017551b.jpg
2018亞洲現代與當代藝術拍賣大典,https://www.kingstone.com.tw//basic/2014890042727?zone=book&lid=book_class3_oba&actid=book_class3_oba,拍賣大典編輯部,典藏      ,9789869615501,https://cdn.kingstone.com.tw/book/images/product/20148/2014890042727/2014890042727b.jpg
2017書畫拍賣大典,https://www.kingstone.com.tw//basic/2019410016219?zone=book&lid=book_class3_oba&actid=book_class3_oba,拍賣大典編輯部,典藏      ,9789869406031,https://cdn.kingstone.com.tw/book/images/product/20194/2019410016219/2019410016219b.jpg
2017亞洲現代與當代藝術拍賣大典,https://www.kingstone.com.tw//basic/2014890038942?zone=book&lid=book_class3_oba&actid=book_class3_oba,拍賣大典編輯部,典藏      ,9789869406048,https://cdn.kingstone.com.tw/book/images/product/20148/2014890038942/2014890038942b.jpg
2017文物拍賣大典,https://www.kingstone.com.tw//basic/2017900016961?zone=book&lid=book_class3_oba&actid=book_class3_oba,拍賣大典編輯部,典藏      ,9789869406024,https://cdn.kingstone.com.tw/book/images/product/20179/2017900016961/2017900016961b.jpg
2016西畫拍賣年鑑,https://www.kingstone.com.tw//basic/2019490016093?zone=book&lid=book_class3_oba&actid=book_class3_oba,西畫〈拍賣年鑑〉編輯委員會,華藝文化  ,9789869043793,https://cdn.kingstone.com.tw/book/images/product/20194/2019490016093/2019490016093b.jpg
2016書畫拍賣大典,https://www.kingstone.com.tw//basic/2019410014925?zone=book&lid=book_class3_oba&actid=book_class3_oba,拍賣大典編輯部,典藏      ,9789869280211,https://cdn.kingstone.com.tw/book/images/product/20194/2019410014925/2019410014925b.jpg
2016亞洲現代與當代藝術拍賣大典,https://www.kingstone.com.tw//basic/2014890036078?zone=book&lid=book_class3_oba&actid=book_class3_oba,拍賣大典編輯部,典藏      ,9789869280204,https://cdn.kingstone.com.tw/book/images/product/20148/2014890036078/2014890036078b.jpg
2015書畫拍賣年鑑,https://www.kingstone.com.tw//basic/2019410014765?zone=book&lid=book_class3_oba&actid=book_class3_oba,書畫 拍賣年鑑 編輯委員會,華藝文化  ,9789869043779,https://cdn.kingstone.com.tw/book/images/product/20194/2019410014765/2019410014765b.jpg
