書名,書籍網站,作者,出版社,ISBN,圖片網址
鈔寫浪漫（2018版）,https://www.kingstone.com.tw//basic/2017190059815?zone=book&lid=book_class3_obc&actid=book_class3_obc,謝哲青,天下文化  ,4713510945858,https://cdn.kingstone.com.tw/book/images/product/20171/2017190059815/2017190059815b.jpg
歐洲鈔票故事館,https://www.kingstone.com.tw//basic/2015610103605?zone=book&lid=book_class3_obc&actid=book_class3_obc,莊銘國,五南      ,9789577637086,https://cdn.kingstone.com.tw/book/images/product/20156/2015610103605/2015610103605b.jpg
隋唐五代貨幣通覽,https://www.kingstone.com.tw//basic/2015610097805?zone=book&lid=book_class3_obc&actid=book_class3_obc,蔡啟祥,博客思    ,9789865633752,https://cdn.kingstone.com.tw/book/images/product/20156/2015610097805/2015610097805b.jpg
名人鈔票故事館 ：世界鈔票上的人物百科,https://www.kingstone.com.tw//basic/2015610095641?zone=book&lid=book_class3_obc&actid=book_class3_obc,莊銘國,五南      ,9789571198415,https://cdn.kingstone.com.tw/book/images/product/20156/2015610095641/2015610095641b.jpg
亞洲鈔票故事館,https://www.kingstone.com.tw//basic/2015610092985?zone=book&lid=book_class3_obc&actid=book_class3_obc,莊銘國,五南      ,9789571194127,https://cdn.kingstone.com.tw/book/images/product/20156/2015610092985/2015610092985b.jpg
遇見鈔票,https://www.kingstone.com.tw//basic/2015610087028?zone=book&lid=book_class3_obc&actid=book_class3_obc,莊銘國,五南      ,9789571189017,https://cdn.kingstone.com.tw/book/images/product/20156/2015610087028/2015610087028b.jpg
鈔票的藝術,https://www.kingstone.com.tw//basic/2015610086526?zone=book&lid=book_class3_obc&actid=book_class3_obc,莊銘國,五南      ,9789571189024,https://cdn.kingstone.com.tw/book/images/product/20156/2015610086526/2015610086526b.jpg
集郵達人來開課：從郵票認識英國鐵路機關車,https://www.kingstone.com.tw//basic/2015570060604?zone=book&lid=book_class3_obc&actid=book_class3_obc,王華南,要有光    ,9789869905718,https://cdn.kingstone.com.tw/book/images/product/20155/2015570060604/2015570060604b.jpg
錢幣鑑賞與收藏,https://www.kingstone.com.tw//basic/2017930003962?zone=book&lid=book_class3_obc&actid=book_class3_obc,吳雄勝,大展      ,9789574689248,https://cdn.kingstone.com.tw/book/images/product/20179/2017930003962/2017930003962b.jpg
海潮音叢刊第一輯,https://www.kingstone.com.tw//basic/2019000089920?zone=book&lid=book_class3_obc&actid=book_class3_obc,海潮月刊社主編．本公司編輯,新文豐    ,9789571720395,https://cdn.kingstone.com.tw/book/images/product/20190/2019000089920/2019000089920b.jpg
