書名,書籍網站,作者,出版社,ISBN,圖片網址
寶石101問，我的第一本珠寶書,https://www.kingstone.com.tw//basic/2013570017673?zone=book&lid=book_class3_obd&actid=book_class3_obd,陸啟萍 杜雨潔,書泉      ,9789864510177,https://cdn.kingstone.com.tw/book/images/product/20135/2013570017673/2013570017673b.jpg
日常水晶儀式,https://www.kingstone.com.tw//basic/2014180358583?zone=book&lid=book_class3_obd&actid=book_class3_obd,娜哈．阿瑪迪,楓樹林    ,9789865572013,https://cdn.kingstone.com.tw/book/images/product/20141/2014180358583/2014180358583b.jpg
翡翠鑑賞選購事典,https://www.kingstone.com.tw//basic/2014860006773?zone=book&lid=book_class3_obd&actid=book_class3_obd,戴鑄明,笛藤出版圖,9789577107770,https://cdn.kingstone.com.tw/book/images/product/20148/2014860006773/2014860006773b.jpg
寶石圖鑑,https://www.kingstone.com.tw//basic/2013570018205?zone=book&lid=book_class3_obd&actid=book_class3_obd,諏訪恭一,晨星      ,9789864438693,https://cdn.kingstone.com.tw/book/images/product/20135/2013570018205/2013570018205b.jpg
行家這樣買寶石（最新修訂版）,https://www.kingstone.com.tw//basic/2014860005141?zone=book&lid=book_class3_obd&actid=book_class3_obd,湯惠民,時報文化  ,9789571361284,https://cdn.kingstone.com.tw/book/images/product/20148/2014860005141/2014860005141b.jpg
天然寶石百科,https://www.kingstone.com.tw//basic/2013570016201?zone=book&lid=book_class3_obd&actid=book_class3_obd,飯田孝一,台灣東販  ,9789862518311,https://cdn.kingstone.com.tw/book/images/product/20135/2013570016201/2013570016201b.jpg
成為水晶包裝師：金屬線與寶石的靜心纏繞藝術,https://www.kingstone.com.tw//basic/2019680008440?zone=book&lid=book_class3_obd&actid=book_class3_obd,Mia米亞,商周出版  ,9789864777150,https://cdn.kingstone.com.tw/book/images/product/20196/2019680008440/2019680008440b.jpg
寶石聖經,https://www.kingstone.com.tw//basic/2013570018045?zone=book&lid=book_class3_obd&actid=book_class3_obd,華特．舒曼,商業周刊  ,9789867778192,https://cdn.kingstone.com.tw/book/images/product/20135/2013570018045/2013570018045b.jpg
玉鑑：和闐玉鑑定指南,https://www.kingstone.com.tw//basic/2017940018147?zone=book&lid=book_class3_obd&actid=book_class3_obd,梁世昌,宏技文化  ,9789868361324,https://cdn.kingstone.com.tw/book/images/product/20179/2017940018147/2017940018147b.jpg
行家這樣買寶石.鑽石【超值限量套書（共兩冊）】,https://www.kingstone.com.tw//basic/2014860006193?zone=book&lid=book_class3_obd&actid=book_class3_obd,吳舜田、繆承翰、湯惠民,時報文化  ,4712966621712,https://cdn.kingstone.com.tw/book/images/product/20148/2014860006193/2014860006193b.jpg
