書名,書籍網站,作者,出版社,ISBN,圖片網址
國畫入門寶典,https://www.kingstone.com.tw//basic/2019440048778?zone=book&lid=book_class3_ocf&actid=book_class3_ocf,王廣勝,北星      ,9789866399183,https://cdn.kingstone.com.tw/book/images/product/20194/2019440048778/2019440048778b.jpg
油彩．熱情．陳澄波,https://www.kingstone.com.tw//basic/2019400015499?zone=book&lid=book_class3_ocf&actid=book_class3_ocf,林育淳,雄獅圖書  ,9789578980686,https://cdn.kingstone.com.tw/book/images/product/20194/2019400015499/2019400015499b.jpg
看懂大師4.5.合訂本,https://www.kingstone.com.tw//basic/2029450072168?zone=book&lid=book_class3_ocf&actid=book_class3_ocf,何恭上,藝術圖書  ,9789576724077,https://cdn.kingstone.com.tw/book/images/product/20294/2029450072168/2029450072168b.jpg
看懂大師 7.8.合訂本,https://www.kingstone.com.tw//basic/2019450071223?zone=book&lid=book_class3_ocf&actid=book_class3_ocf,何恭上,藝術圖書  ,9789576724053,https://cdn.kingstone.com.tw/book/images/product/20194/2019450071223/2019450071223b.jpg
張大千VS.牡丹富貴,https://www.kingstone.com.tw//basic/2019450070691?zone=book&lid=book_class3_ocf&actid=book_class3_ocf,何恭上,藝術圖書  ,9789576724046,https://cdn.kingstone.com.tw/book/images/product/20194/2019450070691/2019450070691b.jpg
墨彩之美,https://www.kingstone.com.tw//basic/2019450066816?zone=book&lid=book_class3_ocf&actid=book_class3_ocf,羅青,九歌      ,9789864502257,https://cdn.kingstone.com.tw/book/images/product/20194/2019450066816/2019450066816b.jpg
最美中國畫100幅,https://www.kingstone.com.tw//basic/2019440054397?zone=book&lid=book_class3_ocf&actid=book_class3_ocf,趙力、阮晶京  編,香港中和  ,9789888466825,https://cdn.kingstone.com.tw/book/images/product/20194/2019440054397/2019440054397b.jpg
106年臺灣省中國書畫學會會員聯展及交流,https://www.kingstone.com.tw//basic/2019410016929?zone=book&lid=book_class3_ocf&actid=book_class3_ocf,王建生,天空數位  ,9789869513760,https://cdn.kingstone.com.tw/book/images/product/20194/2019410016929/2019410016929b.jpg
中國書畫‧日本收藏：關西百年收藏記事,https://www.kingstone.com.tw//basic/2029410013446?zone=book&lid=book_class3_ocf&actid=book_class3_ocf,曾布川寬、西上實等人,典藏      ,9789866049880,https://cdn.kingstone.com.tw/book/images/product/20294/2029410013446/2029410013446b.jpg
墨語自然：陳建焜水墨畫作品集,https://www.kingstone.com.tw//basic/2029400065677?zone=book&lid=book_class3_ocf&actid=book_class3_ocf,陳建焜,北星      ,9789574321179,https://cdn.kingstone.com.tw/book/images/product/20294/2029400065677/2029400065677b.jpg
