書名,書籍網站,作者,出版社,ISBN,圖片網址
向藝術大師學Procreate：有iPad就能畫！初學者也能上手的Procreate插畫課,https://www.kingstone.com.tw//basic/2013120589025?zone=book&lid=book_class3_odb&actid=book_class3_odb,3dtotal Publishing (編著),旗標      ,9789863126638,https://cdn.kingstone.com.tw/book/images/product/20131/2013120589025/2013120589025b.jpg
每天只畫一點點：365個創意驚喜，成為你的解壓良方,https://www.kingstone.com.tw//basic/2029479982912?zone=book&lid=book_class3_odb&actid=book_class3_odb,洛娜．史可碧,大田      ,9789861796246,https://cdn.kingstone.com.tw/book/images/product/20294/2029479982912/2029479982912b.jpg
超可愛圖文隨手畫10000例大全（暢銷珍藏版）：萌翻你的手帳&生活無極限,https://www.kingstone.com.tw//basic/2014713615954?zone=book&lid=book_class3_odb&actid=book_class3_odb,飛樂鳥工作室,碁峰資訊  ,9789865027933,https://cdn.kingstone.com.tw/book/images/product/20147/2014713615954/2014713615954b.jpg
自己的塗鴉自己畫：超萌5000例，就是簡單可愛到爆炸！（附52個塗鴉教學影片）,https://www.kingstone.com.tw//basic/2019479714132?zone=book&lid=book_class3_odb&actid=book_class3_odb,飛樂鳥工作室,碁峰資訊  ,9789865025540,https://cdn.kingstone.com.tw/book/images/product/20194/2019479714132/2019479714132b.jpg
畫出我的超萌感角色與動物：啟發想像力的5步驟簡單畫畫書（全球首發合訂版）,https://www.kingstone.com.tw//basic/2019460065922?zone=book&lid=book_class3_odb&actid=book_class3_odb,Lulu Mayo,碁峰資訊  ,9789865028336,https://cdn.kingstone.com.tw/book/images/product/20194/2019460065922/2019460065922b.jpg
詳解動作和皺褶 衣服畫法訣竅：從衣服結構到各種角度的畫法,https://www.kingstone.com.tw//basic/2019479884132?zone=book&lid=book_class3_odb&actid=book_class3_odb,Rabimaru,北星      ,9789579559584,https://cdn.kingstone.com.tw/book/images/product/20194/2019479884132/2019479884132b.jpg
我的可愛塗鴉超能力：隨手一畫就萌翻你！（附5段塗鴉教學影片）,https://www.kingstone.com.tw//basic/2014713582966?zone=book&lid=book_class3_odb&actid=book_class3_odb,飛樂鳥工作室,碁峰資訊  ,9789865022273,https://cdn.kingstone.com.tw/book/images/product/20147/2014713582966/2014713582966b.jpg
時尚插畫聖經,https://www.kingstone.com.tw//basic/2019480122575?zone=book&lid=book_class3_odb&actid=book_class3_odb,塗至道,遠流      ,9789573289067,https://cdn.kingstone.com.tw/book/images/product/20194/2019480122575/2019480122575b.jpg
Quiet Time主題線條著色畫,https://www.kingstone.com.tw//basic/2019400101895?zone=book&lid=book_class3_odb&actid=book_class3_odb,王琳,橄欖      ,4713008139523,https://cdn.kingstone.com.tw/book/images/product/20194/2019400101895/2019400101895b.jpg
用無輪廓線技法畫出可愛的童趣世界：日本人氣繪師的壓箱祕訣大公開！,https://www.kingstone.com.tw//basic/2019460073095?zone=book&lid=book_class3_odb&actid=book_class3_odb,HYOGONOSUKE,台灣東販  ,9786263047907,https://cdn.kingstone.com.tw/book/images/product/20194/2019460073095/2019460073095b.jpg
COPIC麥克筆渲染手繪細膩靚圖質感：肌膚、金屬、天空、植物…獨一無二的質感技巧，徹底解說！,https://www.kingstone.com.tw//basic/2019480124029?zone=book&lid=book_class3_odb&actid=book_class3_odb,綠華野菜子,三悅文化  ,9789869939270,https://cdn.kingstone.com.tw/book/images/product/20194/2019480124029/2019480124029b.jpg
是新手也沒關係！教你靠插畫生財的祕訣,https://www.kingstone.com.tw//basic/2019479910046?zone=book&lid=book_class3_odb&actid=book_class3_odb,虎硬,尖端      ,9789571092942,https://cdn.kingstone.com.tw/book/images/product/20194/2019479910046/2019479910046b.jpg
從著色繪本學習 ： 配色的基礎知識享受著色的樂趣提升色彩感知力,https://www.kingstone.com.tw//basic/2019480122865?zone=book&lid=book_class3_odb&actid=book_class3_odb,櫻井輝子，堀井理繪,北星      ,9789579559522,https://cdn.kingstone.com.tw/book/images/product/20194/2019480122865/2019480122865b.jpg
1枝鉛筆！輕鬆畫插圖練習本：「描圖→畫圖」學會畫更多插圖,https://www.kingstone.com.tw//basic/2019480122025?zone=book&lid=book_class3_odb&actid=book_class3_odb,Nazomi Kudo,北星      ,9789579559577,https://cdn.kingstone.com.tw/book/images/product/20194/2019480122025/2019480122025b.jpg
簡單易學迪士尼TSUM TSUM手繪插畫,https://www.kingstone.com.tw//basic/2019480121103?zone=book&lid=book_class3_odb&actid=book_class3_odb,いわにしまゆみ、渡邊美里,尖端      ,9789571091303,https://cdn.kingstone.com.tw/book/images/product/20194/2019480121103/2019480121103b.jpg
日本當代最強插畫 2020：150 位當代最強畫師豪華作品集,https://www.kingstone.com.tw//basic/2019479733614?zone=book&lid=book_class3_odb&actid=book_class3_odb,平泉 康兒,旗標      ,9789863126324,https://cdn.kingstone.com.tw/book/images/product/20194/2019479733614/2019479733614b.jpg
速寫台灣：跟著小開老師，從基礎學起，畫出你的台灣style,https://www.kingstone.com.tw//basic/2019479702641?zone=book&lid=book_class3_odb&actid=book_class3_odb,鄭開翔,遠流      ,9789573288435,https://cdn.kingstone.com.tw/book/images/product/20194/2019479702641/2019479702641b.jpg
畫個喵！一筆畫出可愛貓咪繪（加贈畫圖本）：2000張貓星人表情X姿態的萌Q繪畫技法,https://www.kingstone.com.tw//basic/2019480115614?zone=book&lid=book_class3_odb&actid=book_class3_odb,飛樂鳥,創意市集  ,4717702097950,https://cdn.kingstone.com.tw/book/images/product/20194/2019480115614/2019480115614b.jpg
